run,ground truth filename,configuration name,errors filename,verbatimCollectors,collectedBy,secondaryCollectors,recordNumber,verbatimEventDate,minimumEventDate,maximumEventDate,verbatimIdentification,latestScientificName,identifiedBy,verbatimDateIdentified,associatedTaxa,country,firstPoliticalUnit,secondPoliticalUnit,municipality,verbatimLocality,locality,habitat,verbatimElevation,verbatimCoordinates,otherCatalogNumbers,originalMethod,typeStatus,TrueApplicable,TrueN/A,FalseApplicable,FalseN/A,GradedTA,GradedFA,Correct:TA+TN/A,Errors:FA+FN/A,TA+TNA/TA+TNA+FA+FNA,acc1:TA+TNA/TA+TNA+FA+FNA,grdTA+TNA/grdTA+TNA+grdFA+FNA,acc2:grdTP+TN/grdTP+TN+grdFP+FN,TA/TA+FA+FNA,acc3:TA/TA+FA+FNA,grdTA/grdTA+grdFA+FNA,acc4:grdTA/grdTA+grdFA+FNA
Spread_5_30_1139.csv,First100BryophytesTyped.csv,First100BryophytesRunsForPaper,First100BryophytesErrorsForPaper.txt,"[48, 81.5, 100]","[64, 87.3, 100]","[76, 84.5, 100]","[53, 70.2, 100]","[55, 86.4, 100]","[70, 90.8, 100]","[98, 98, 100]","[32, 81.5, 100]","[50, 85.6, 100]","[59, 77.5, 100]","[70, 74.9, 100]","[97, 97, 100]","[98, 98.8, 100]","[77, 86.8, 100]","[83, 85.6, 100]","[61, 62.3, 100]","[5, 56.2, 100]","[8, 52.2, 100]","[20, 49.1, 100]","[28, 74.7, 100]","[69, 89.8, 100]","[64, 75.2, 100]","[99, 99.1, 100]","[100, 100, 100]",924,560,831,85,1384.833829,370.1661711,1484,916,924+560/924+560+831+85,0.618333333,1384+560/1384+560+370+85,0.810337641,924/924+831+85,0.502173913,1384/1384+370+85,0.752582926
Spread_5_30_1025.csv,First100BryophytesTyped.csv,First100BryophytesRunsForPaper,First100BryophytesErrorsForPaper.txt,"[67, 90.0, 100]","[85, 93.8, 100]","[83, 90.9, 100]","[74, 82.5, 100]","[71, 93.2, 100]","[89, 94.2, 100]","[99, 99, 100]","[46, 87.2, 100]","[61, 88.1, 100]","[65, 78.1, 100]","[72, 73.7, 100]","[91, 91, 100]","[98, 98.2, 100]","[85, 91.2, 100]","[87, 89.6, 100]","[69, 71.0, 100]","[16, 66.6, 100]","[22, 60.8, 100]","[22, 50.3, 100]","[24, 75.8, 100]","[73, 94.4, 100]","[1, 16.0, 100]","[99, 99.0, 100]","[99, 99.0, 100]",1050,548,705,97,1425.615295,329.384705,1598,802,1050+548/1050+548+705+97,0.665833333,1425+548/1425+548+329+97,0.822426011,1050/1050+705+97,0.566954644,1425/1425+329+97,0.769854133
Spread_6_11_1050.csv,First100BryophytesTyped.csv,First100BryophytesRunsForPaper,First100BryophytesErrorsForPaper.txt,"[45, 80.8, 100]","[69, 90.8, 100]","[83, 91.2, 100]","[72, 80.3, 100]","[71, 92.8, 100]","[80, 94.8, 100]","[100, 100, 100]","[64, 95.9, 100]","[77, 94.1, 100]","[53, 68.6, 100]","[74, 74.9, 100]","[94, 94, 100]","[99, 99.2, 100]","[83, 90.2, 100]","[85, 88.5, 100]","[75, 75.7, 100]","[8, 56.2, 100]","[9, 63.0, 100]","[27, 50.2, 100]","[47, 80.7, 100]","[68, 94.4, 100]","[82, 89.3, 100]","[96, 96.7, 100]","[100, 100, 100]",1110,551,645,94,1491.039493,263.9605067,1661,739,1110+551/1110+551+645+94,0.692083333,1491+551/1491+551+263+94,0.851187995,1110/1110+645+94,0.6003245,1491/1491+263+94,0.806818182
Spread_6_11_1110.csv,First100BryophytesTyped.csv,First100BryophytesRunsForPaper,First100BryophytesErrorsForPaper.txt,"[42, 77.7, 100]","[67, 87.3, 100]","[83, 91.2, 100]","[68, 77.8, 100]","[70, 92.3, 100]","[80, 94.9, 100]","[99, 99, 100]","[63, 94.5, 100]","[76, 93.4, 100]","[56, 71.1, 100]","[72, 72.9, 100]","[93, 93, 100]","[99, 99.2, 100]","[84, 90.7, 100]","[86, 88.4, 100]","[74, 74.7, 100]","[8, 56.4, 100]","[12, 63.5, 100]","[24, 48.6, 100]","[43, 79.4, 100]","[67, 93.7, 100]","[85, 90.9, 100]","[97, 97.5, 100]","[100, 100, 100]",1103,545,652,100,1482.898681,272.1013195,1648,752,1103+545/1103+545+652+100,0.686666667,1482+545/1482+545+272+100,0.84493539,1103/1103+652+100,0.594609164,1482/1482+272+100,0.799352751
Spread_6_12_1404.csv,First100BryophytesTyped.csv,First100BryophytesRunsForPaper,First100BryophytesErrorsForPaper.txt,"[8, 34.6, 100]","[31, 54.4, 100]","[78, 79.8, 100]","[38, 52.8, 100]","[39, 67.2, 100]","[47, 75.9, 100]","[99, 99, 100]","[41, 74.8, 100]","[66, 87.2, 100]","[42, 58.4, 100]","[53, 54.0, 100]","[99, 99, 100]","[92, 95.0, 100]","[52, 64.2, 100]","[60, 64.6, 100]","[64, 64.8, 100]","[3, 36.8, 100]","[5, 30.3, 100]","[27, 44.8, 100]","[19, 64.9, 100]","[70, 89.2, 100]","[71, 87.2, 100]","[94, 94.6, 100]","[100, 100, 100]",760,538,995,107,1135.343634,619.6563663,1298,1102,760+538/760+538+995+107,0.540833333,1135+538/1135+538+619+107,0.697373906,760/760+995+107,0.408163265,1135/1135+619+107,0.609887157
Spread_6_12_1440.csv,First100BryophytesTyped.csv,First100BryophytesRunsForPaper,First100BryophytesErrorsForPaper.txt,"[7, 33.6, 100]","[31, 54.7, 100]","[78, 79.8, 100]","[37, 52.7, 100]","[37, 66.7, 100]","[47, 75.8, 100]","[99, 99, 100]","[41, 75.5, 100]","[65, 86.1, 100]","[43, 58.6, 100]","[52, 52.8, 100]","[99, 99, 100]","[92, 95.0, 100]","[54, 65.8, 100]","[60, 64.6, 100]","[64, 64.8, 100]","[3, 35.3, 100]","[6, 31.1, 100]","[25, 42.4, 100]","[19, 61.5, 100]","[70, 88.4, 100]","[73, 88.2, 100]","[94, 94.7, 100]","[99, 99.2, 100]",759,536,996,109,1129.078438,625.9215615,1295,1105,759+536/759+536+996+109,0.539583333,1129+536/1129+536+625+109,0.694039183,759/759+996+109,0.407188841,1129/1129+625+109,0.606011809
SpreadJun.20.24.0153.csv,First100BryophytesTyped.csv,First100BryophytesRunsForPaper,First100BryophytesErrorsForPaper.txt,"[24, 69.1, 100]","[13, 77.8, 100]","[69, 84.3, 100]","[56, 65.8, 100]","[63, 90.4, 100]","[93, 98.2, 100]","[100, 100, 100]","[32, 85.3, 100]","[76, 92.4, 100]","[23, 64.8, 100]","[84, 85.9, 100]","[95, 95.2, 100]","[99, 99.2, 100]","[65, 78.5, 100]","[73, 77.9, 100]","[60, 61.1, 100]","[5, 58.5, 100]","[8, 47.0, 100]","[28, 50.5, 100]","[40, 78.6, 100]","[75, 95.2, 100]","[45, 62.9, 100]","[41, 50.6, 100]","[99, 99.2, 100]",808,558,947,87,1310.182752,444.8172478,1366,1034,808+558/808+558+947+87,0.569166667,1310+558/1310+558+444+87,0.778657774,808/808+947+87,0.438653637,1310/1310+444+87,0.711569799
SpreadJun.26.24.1108.csv,First100BryophytesTyped.csv,First100BryophytesRunsForPaper,First100BryophytesErrorsForPaper.txt,"[22, 69.3, 100]","[14, 77.5, 100]","[70, 85.4, 100]","[57, 65.0, 100]","[66, 90.5, 100]","[91, 97.1, 100]","[100, 100, 100]","[33, 85.3, 100]","[79, 92.2, 100]","[27, 67.9, 100]","[84, 85.9, 100]","[95, 95.2, 100]","[99, 99.2, 100]","[66, 78.9, 100]","[69, 74.1, 100]","[59, 59.9, 100]","[4, 60.4, 100]","[9, 49.2, 100]","[33, 56.5, 100]","[37, 78.7, 100]","[72, 93.6, 100]","[47, 62.5, 100]","[47, 55.3, 100]","[100, 100, 100]",822,558,933,87,1321.621134,433.3788658,1380,1020,822+558/822+558+933+87,0.575,1321+558/1321+558+433+87,0.783243018,822/822+933+87,0.446254072,1321/1321+433+87,0.717544813
SpreadJun.21.24.1043.csv,First100BryophytesTyped.csv,First100BryophytesRunsForPaper,First100BryophytesErrorsForPaper.txt,"[10, 57.1, 100]","[67, 86.7, 100]","[82, 91.0, 100]","[64, 73.9, 100]","[55, 85.1, 100]","[74, 90.2, 100]","[100, 100, 100]","[49, 92.3, 100]","[81, 92.6, 100]","[48, 67.9, 100]","[81, 81.4, 100]","[96, 96, 100]","[99, 99.2, 100]","[86, 90.0, 100]","[77, 80.4, 100]","[78, 78, 100]","[4, 46.6, 100]","[0, 42.2, 100]","[24, 48.4, 100]","[31, 74.1, 100]","[73, 95.0, 100]","[79, 93.8, 100]","[78, 81.7, 100]","[100, 100, 100]",950,586,805,59,1357.403701,397.5962985,1536,864,950+586/950+586+805+59,0.64,1357+586/1357+586+397+59,0.8099208,950/950+805+59,0.52370452,1357/1357+397+59,0.748483177
SpreadJun.26.24.1050.csv,First100BryophytesTyped.csv,First100BryophytesRunsForPaper,First100BryophytesErrorsForPaper.txt,"[10, 57.3, 100]","[65, 85.6, 100]","[82, 91.4, 100]","[64, 74.1, 100]","[54, 84.8, 100]","[76, 90.3, 100]","[100, 100, 100]","[47, 92.2, 100]","[82, 92.8, 100]","[48, 67.0, 100]","[82, 82.2, 100]","[96, 96, 100]","[99, 99.2, 100]","[86, 90.2, 100]","[78, 81.4, 100]","[78, 78, 100]","[4, 47.1, 100]","[0, 42.1, 100]","[22, 46.5, 100]","[33, 74.3, 100]","[72, 94.8, 100]","[79, 93.7, 100]","[76, 79.9, 100]","[100, 100, 100]",947,586,808,59,1354.768706,400.2312945,1533,867,947+586/947+586+808+59,0.63875,1354+586/1354+586+400+59,0.808670279,947/947+808+59,0.522050717,1354/1354+400+59,0.746828461
