Image Name,verbatimCollectors,collectedBy,secondaryCollectors,recordNumber,verbatimEventDate,minimumEventDate,maximumEventDate,verbatimIdentification,latestScientificName,identifiedBy,verbatimDateIdentified,associatedTaxa,country,firstPoliticalUnit,secondPoliticalUnit,municipality,verbatimLocality,locality,habitat,substrate,verbatimElevation,verbatimCoordinates,otherCatalogNumbers,originalMethod,typeStatus,URL
0000_C0268502F_p.jpg,leg. M. Fleischer,M. Fleischer,N/A,1076713,25.3.1903,1903-03-25,N/A,Macromitrium,Macromitrium ,N/A,N/A,N/A,Australia,Queensland,N/A,Eumundi ,"(ca. 100 km nördlich Brisbane), Urwald",[precise locality unknown],Urwald,,N/A,N/A,B 27.34 | 1044084,Mix of Handwritten and Typed,no type status,
0001_C0268508F_p.jpg,leg. M. Fleischer nr. B 2692,M Fleischer,recordNumber: 1076699,1076699,25.3.1903,1903-03-25,N/A,Macromitrium,Macromitrium ,N/A,N/A,N/A,Australia,Queensland,N/A,N/A,"Australien: Queensland, Bumundi (ca. 100 Km nördlich Brisbane), Urwald.","Bumundi, Urwald, about 100 Kilometers north of Brisbane",N/A,,N/A,N/A,N/A,Mix of Handwritten and Typed,no type status ,
0002_C0268514F_p.jpg,leg M Fleischer,M Fleischer,N/A,B 2552,6.4.1903,1903-04-06,N/A,Macromitrium,Macromitrium,N/A,N/A,N/A,Australia,New South Wales,N/A,Sydney,"Blue Mountains bei Sydney, Wentworth Falls","Wentworth Falls, Blue Mountains",N/A,,N/A,N/A,1076824,Mix of Handwritten and Typed,no type status,
0003_C0268520F_p.jpg,leg M Fleischer,M Fleischer,N/A,B 2697,20 3 1903,1903-03-20,N/A,"Macromitrium Australien Queensland, bei Brisbane",Macromitrium ,N/A,N/A,N/A,Australia,Queensland,N/A,Brisbane,bei Brisbane,near Brisbane ,N/A,,N/A,N/A,1076705|104416,Handwritten,no type status,
0004_C0268544F.jpg,Coll. & det. T. Nakajima,T. Nakajima,N/A,s.n.,"Mar. 27, 1971",1971-03-27,N/A,Macromitrium gymnostomum Sull. et Lesq. c. fr.,Macromitrium gymnostomum,T. Nakajima,"Mar. 27, 1971",N/A,Japan,Wakayama Prefecture,N/A,Yuya,"On vertical face of rock, 330 m alt., Ohara, Yuya, Oto-mura, Nishi Muro-gun, Wakayama Prefecture","On vertical face of rock 330 meters altitude Ohara, Yuya, Oto-mura, Nishi Muro-gun, Wakayama Prefecture",N/A,,330 m alt,N/A,1043494,Handwritten,no type status,
0005_C0268545F.jpg,"Coll. & det. T. Nakajima,",T Nakajima,N/A,s.n.,"May 4, 1958",1958-05-04,N/A,714. Macromitrium gymnostomum Sull. et Lesq.,Macromitrium gymnostomum,A Noguchi,N/A,Fagus crenata,Japan,Nara Prefecture,N/A,N/A,"On trunks of Fagus crenata, ca. 1200 m. alt., Mt. Obako, Nara Prefecture","On trunks of Fagus crenata, Mount Obako",N/A,,ca. 1200 m. alt.,N/A,1043492 | C0268654F,Mix of Handwritten and Typed,no type status,
0006_C0268546F.jpg,Coll & det: T. Nakajima,T Nakajima,N/A,s.n.,"March 28, 1967",1967-03-28,N/A,Macromitrium gymnostomum Sull & Lesq. c. fr.,Macromitrium gymnostomum ,T Nakajima,"March 28, 1967",N/A,Japan,Wakayama Prefecture,Nishimuto-gun,Shirahama-chō,"On rocks, ca. 100 m alt. Syogawa,  Nishimiro-gun, Wakayama Prefecture",On rocks near Syogawa ,N/A,,ca. 100 m alt,N/A,1043491,Typed,no type status,
0007_C0268548F.jpg,leg S Hattorij,S Hattorij,N/A,s.n.,X. 1946,1946-10-00,N/A,33 Macromitrium gymnostomum Sull. et Lesq.,Macromitrium gymnostomum,A Noguchi,N/A,N/A,Japan,KIUSHIU,Miyazaki,"Minaminaka, Sakakani","ad arborum truncos, ca 500 m,",[precise locality unknown],ad arborum truncos,,ca 500 m,N/A,C0268548F,Handwritten,no type status ,
0008_C0268549F.jpg,Leg :  R.P.  J.B.  Ferrié,R. P. Ferrié,recordNumber: s.n.,s.n.,20.4.1898,1898-04-20,N/A,Macromitrium gymnostomum  S. L.,Macromitrium gymnostomum ,Theriot,N/A,N/A,Japan,Iles Liou-Kiou,Centre,N/A,Japon : Iles Liou-Kiou - Centre de l'île -,Centre of the island,N/A,,N/A,N/A,1000415,Typed,no type status,
0009_C0268550F.jpg,Leg : R.P. J.B.  Ferrié,R. Ferrié,N/A,s.n.,oct.nov.1898,1898-10-00,1898-11-00,Macromitrium gymnostomum S. L. = M. rupestre Mitt.  Sull. Card.,Macromitrium gymnostomum ,Théirot,N/A,N/A,Japan,N/A,N/A,Yaku-Sima,Japon : Yaku-Sima - ,[precise locality unknown],N/A,,N/A,N/A,C0268550F,Handwritten,no type status,
0010_C0268554F.jpg,A. Touw,A Touw,recordNumber: 14660,14660,Dat: 9 - 3 - 1975,1975-03-09,N/A,Macromitrium incurvifolium (Hook. & Grev.) Schwaegr.,Macromitrium incurvifolium,D H Vitt,N/A,N/A,Papua New Guinea,Morobe District,N/A,Lae,"Papua New Guinea, Morobe Distr., Lae. In fork of Plumeria tree in garden.",In fork of Plumeria tree in garden,N/A,,Alt: c 20 m,N/A,1142151,Mix of Handwritten and Typed,no type status,
