Image,title,collectedBy,secondaryCollectors,phylum,family,genus,specificEpithet,infraspecificEpithet,scientificNameAuthorship,identifiedBy,dateIdentified,acceptedScientificName,otherScientificName,scientificName,associatedTaxa,verbatimEventDate,eventDate,country,countryCode,firstPoliticalUnit,secondPoliticalUnit,city,verbatimLocality,locality,habitat,substrate,verbatimElevation,maximumElevationInMeters,minimumElevationInMeters,verbatimCoordinates,decimalLatitude,decimalLongitude,collectionCode,recordNumber,catalogNumber,language,languageRemarks,originalMethod,typeStatus,occuranceRemarks,sex,reproductiveCondition,generalNotes,expeditionFundedBy,generalInformationAboutThePlantSpecimenItself,rawFormat
0000_C0020034F.jpg,,R. M. Schuster,N/A,,,,,,,R. M. Schuster,,,,,Diplophyllum taxifolium + gemmae,Aug. 17 1968,,Canada,,Newfoundland and Labrador,N/A,,"Along Humber R., in Squires Memorial Park, near Rte 1A.","Along Humber River, in Squires Memorial Park, near Route 1A",N/A,,N/A,,,N/A,,,,68-1644,,,,Typed,no type status,,,,,,,
0001_C0020052F.jpg,,R. M. Schuster,K. Damsholt,,,,,,,R. M. Schuster | K. Damsholt,,,,,Cephalozia bicuspidata,July 3.,,Greenland,,N/A,N/A,,Frederiksdal,Frederiksdal,N/A,,N/A,,,"60°00'N lat., 44°40'W. long.",,,,82-1049,,,,Typed,no type status,,,,,,,
0002_C0025138F.jpg,,R. M. Schuster,N/A,,,,,,,N/A,,,,,Abies fraseri,June 30 1951,,United States,,North Carolina,N/A,,"Balsam Gap, N.C., ca. 25 mi. n. of Asheville, along Blue Ridge Parkway, 5220-5260 feet","Balsam Gap, approximately 25 miles north of Asheville, along Blue Ridge Parkway",N/A,,5220-5260 feet,,,N/A,,,,9067,,,,Typed,no type status,,,,,,,
0003_C0025164F.jpg,,R. M. Schuster,N/A,,,,,,,R. M. Schuster,,,,,N/A,April 14 19 79,,United States,,Arkansas,Stone,,"Ozark Natl. Forest. Barkshed Camp, ca. 10 mi E. of Big Flat.","Ozark National Forest, Barkshed Camp, approximately 10 miles east of Big Flat",N/A,,N/A,,,N/A,,,,79-488,,,,Typed,no type status,,,,,,,
0004_C0000578F.jpg,,J. J. Engel,M. von Konrat | J. E. Braggins,,,,,,,unsure and check,,,,,Blechnum novae-zelandiae | Weinmannia | Dicksonia squarrosa | Leptospermum scoparium,12 February 2003,,New Zealand,,Auckland,N/A,,"Wharerino Forest, start of track to Leitch's Hut. 280 m., 38° 24.5' S., 174° 49.8' E.","Wharerino Forest, start of track to Leitch's Hut","On clayey bank. Clay banks with Blechnum novae-zelandiae overhang, Weinmannia and Dicksonia squarrosa dominant canopy and occasional Leptospermum scoparium",,280 m.,,,"38° 24.5' S., 174° 49.8' E.",,,,23773,,,,Typed,holotype,,,,,,,
0005_C2077563F.jpg,,L. Dusenot,N/A,,,,,,,E. De Luna,,,,,N/A,N/A,,Ecuador,,Pichincha,N/A,,environs de Quito,Environs of Quito,N/A,,N/A,,,N/A,,,,4659 pp.,,,,Mix of Handwritten and Typed,no type status,,,,,,,
0006_C2077566F.jpg,,M. Lewis,N/A,,,,,,,B. De Luna,,,,,N/A,22 March 1979,,Bolivia,,La Paz,Larecaja,,Near large red outcrop 2 mi. from Sorata down Rio Consata,Near large red outcrop 2 miles from Sorata down Rio Consata,Bromeliad habitat. Abundant on rock faces of exposed cliffs,,2630 m,,,"15° 41' S., 68° 43' W.",,,,79-1237A,,,,Typed,no type status,,,,,,,
0007_C2077567F.jpg,,M. Lewis,N/A,,,,,,,E. De Luna,,,,,N/A,22 March 1979,,Bolivia,,La Paz,Larecaja,,Near large red outcrop 2 mi. from Sorata down Rio Consata,Near large red outcrop 2 miles from Sorata down Rio Consata,Bromeliad-grass habitat on exposed cliffs,,2630 m,,,15 41' S. 68 43' w.,,,,79-1232,,,,Typed,no type status,,,,,,,
0008_C2077568F.jpg,,M. Lewis,N/A,,,,,,,E. De Luna,,,,,N/A,6 March 1979,,Bolivia,,La Paz,Saavedra,,On mountain side directly N. of river beneath Niño Karire NNW of Chuma,On mountain side directly north of river beneath Niño Karire north-northwest of Chuma,Humid cliffs and steep slopes,,3320 m,,,15° 08' S 69° 03' W,,,,79-1114,,,,Mix of Handwritten and Typed,no type status,,,,,,,
0009_C2077569F.jpg,,F. J. Hermann,N/A,,,,,,,E. De Luna,,,,,N/A,"December 27, 1972",,Bolivia,,Cochabamba,N/A,,"On conglomerate boulder on shrubby NW slope of Mt. Tunari, near Liriuni Aguas Termales Hotel, alt. ca. 2700 m., 28 km. NW. COCHABAMBA","On conglomerate boulder on shrubby northwest slope of Mount Tunari, near Liriuni Aguas Termales Hotel, approximately 28 kilometers northwest of Cochabamba",On conglomerate boulder on shrubby northwest slope,,alt. ca. 2700 m.,,,N/A,,,,25152,,,,Typed,no type status,,,,,,,
