Image,verbatimCollectors,collectedBy,secondaryCollectors,recordNumber,verbatimEventDate,minimumEventDate,maximumEventDate,verbatimIdentification,latestScientificName,identifiedBy,verbatimDateIdentified,associatedTaxa,country,firstPoliticalUnit,secondPoliticalUnit,municipality,verbatimLocality,locality,habitat,verbatimElevation,verbatimCoordinates,otherCatalogNumbers,originalMethod,typeStatus
0000_C0020034F.jpg,R. M. Schuster,R. M. Schuster,N/A,68-1644,Aug. 17 68,1968-08-17,N/A,Anastrophylum minutum + gemm.,Anastrophylum minutum,R. M. Schuster,s.d.,Diplophyllum taxifolium,Canada,Newfoundland and Labrador,N/A,N/A,"Along Humber R., in Squires Memorial Park, near Rte 1A.","Along Humber River, in Squires Memorial Park, near Route 1A",[No habitat information provided],[No elevation information provided],[No coordinates provided],N/A,Typed,no type status
0001_C0020052F.jpg,R. M. Schuster & K. Damsholt,R. M. Schuster,K. Damsholt,82-1049,July 3.,1982-07-03,N/A,Anastrophylum minutum (SCHREB.)SCHUST. v.grandis (GOTT.)SCHUST.,Anastrophylum minutum,R. M. Schuster,1982,Cephalozia bicuspidata,Greenland,N/A,N/A,Frederiksdal,"Frederiksdal 60°00'N lat., 44°40'W. long.",[precise locality unknown],N/A,N/A,"60°00'N lat., 44°40'W. long.",S1,Typed,no type status
0002_C0025138F.jpg,R. M. Schuster,R. M. Schuster,N/A,9067,June 30 19 51,1951-06-30,N/A,"Frullania asagrayana Mont., male, can per. Plagiochila tridenticulata Dum. (traces)",Frullania asagrayana | Plagiochila tridenticulata,N/A,N/A,N/A,United States of America,North Carolina,N/A,N/A,"Balsam Gap, N.C., ca. 25 mi. n. of Asheville, along Blue Ridge Parkway","Balsam Gap, approximately 25 miles north of Asheville, along Blue Ridge Parkway",on Abies fraseri,5220-5260 feet,N/A,N/A,Typed,no type status
0003_C0025164F.jpg,R. M. Schuster,R. M. Schuster,N/A,79-488,April 14 79,1979-04-14,N/A,Frullania asagrayana,Frullania asagrayana,R. M. Schuster,N/A,N/A,United States of America,Arkansas,Stone,Big Flat,"Ozark Natl. Forest. Barkshed Camp, ca. 10 mi E. of Big Flat.","Ozark National Forest, Barkshed Camp, approximately 10 miles east of Big Flat",N/A,N/A,N/A,N/A,Typed,no type status
0004_C0000578F.jpg,"John J. Engel, Matt von Konrat & John E. Braggins",J. J. Engel,M. von Konrat | J. E. Braggins,23773,12 February 2003,2003-02-12,N/A,Telaranea lindenbergii var. papillata Engel & Merr.,Telaranea lindenbergii var. papillata,Engel & Merr.,N/A,Blechnum novae-zelandiae | Weinmannia | Dicksonia squarrosa | Leptospermum scoparium,New Zealand,Auckland,N/A,s.n.,"NORTH ISLAND, AUCKLAND PROV.: Whareorino Forest, start of track to Leitch's Hut","Whareorino Forest, start of track to Leitch's Hut",On clayey bank,280 m,"38° 24.5' S, 174° 49.8' E",1173554,Typed,holotype
0005_C2077563F.jpg,E. Andre,E. Andre,N/A,4659,s.d.,s.d.,N/A,Hedwigia ciliata (Hedw.) P. Beauv.,Hedwigia ciliata,Efrain De Luna,1992,N/A,Ecuador,N/A,N/A,N/A,environs de Quito,environs de Quito,N/A,s.n.,s.n.,1039453,Typed,no type status
0006_C2077566F.jpg,Marko Lewis,M. Lewis,N/A,no. 79-1237A,22 March 1979,1979-03-22,N/A,Hedwigia ciliata (Hedw.) P. Beauv.,Hedwigia ciliata,E. De Luna,1992,N/A,Bolivia,La Paz,Larecaja,Sorata,Near large red out-crop 2 mi. from Sorata town Rio Consata,near large red outcrop 2 miles from Sorata town Rio Consata,Bromeliad habitat. Abundant on rock faces of exposed cliffs,2630 m.,N/A,1032221,Typed,no type status
0007_C2077567F.jpg,Marko Lewis,M. Lewis,N/A,79-1232,22 March 1979,1979-03-22,N/A,Hedwigia ciliata (Hedw.) P. Beauv.,Hedwigia ciliata,E. De Luna,1982,N/A,Bolivia,La Paz,Larecaja,Sorata,"DEPTO. LA PAZ, PROV. LARECAJA: Near large red outcrop 2 mi. from Sorata down Río Consata, ""15° 41' S, 68° 43' W.""",Near large red outcrop 2 miles from Sorata down Río Consata,Bromeliad-grass habitat on exposed cliffs,2630 m.,"""15° 41' S, 68° 43' W.""",1032219,Typed,no type status
0008_C2077568F.jpg,Marko Lewis,M. Lewis,N/A,79-1114,6 March 1979,1979-03-06,N/A,Hedwigia ciliata (Hedw.) P. Beauv.,Hedwigia ciliata,E. De Luna,1992,N/A,Bolivia,La Paz,Saavedra,N/A,"On mountain side directly N. of river, beneath Nino Kariñe, NW of Chuma, 15° 08' S., 69° 03' W.","On mountain side directly north of river, beneath Nino Kariñe, northwest of Chuma",Humid cliffs and steep slopes,3320 m,"15° 08' S., 69° 03' W.",1032220,Typed,no type status
0009_C2077569F.jpg,F. J. Hermann,F. J. Hermann,N/A,25152,"December 27, 1972",1972-12-27,N/A,Hedwigia ciliata (Hedw.) P. Beauv.,Hedwigia ciliata,E. A. Luna,1982,N/A,Bolivia,Cochabamba,N/A,N/A,"On conglomerate boulder on shrubby NW slope of Mt. Tunari, near Liriuni Aguas Termales Hotel, alt. ca. 2700 m., 28 km. NW. Cochabamba","On conglomerate boulder on shrubby northwest slope of Mount Tunari, near Liriuni Aguas Termales Hotel",On conglomerate boulder on shrubby northwest slope,ca. 2700 m.,N/A,1040675,Typed,no type status
0010_C2077570F.jpg,Ynes Mexia,Y. Mexia,N/A,6804,"Dec. 2, 1931",1931-12-02,N/A,Philonotis subtheriophyllum C. Müll.,Philonotis subtheriophyllum,N/A,N/A,N/A,Peru,Loreto,N/A,N/A,Above Pongo de Manseriche. Streamlet near mouth of Rio Santiago.,"Above Pongo de Manseriche, streamlet near mouth of Rio Santiago",On fallen log,Alt. 400 m.,N/A,1057692,Typed,no type status
0011_C2077571F.jpg,Ynes Mexia,Y. Mexia,N/A,6804,"Dec. 9, 1931",1931-12-09,N/A,Philonotis subulata (Schwägr.) Brid. det. Bartram,Philonotis subulata,N/A,N/A,N/A,Peru,Loreto,N/A,N/A,Above Pongo de Manseriche,Above Pongo de Manseriche,[precise locality unknown],Alt. 400 m.,N/A,N/A,Typed,no type status
0012_C2077573F.jpg,J. Fluorschütz-de Waard & R. Zielman,J. Fluorschütz-de Waard,R. Zielman,s.n.,5-12-1981,1981-12-05,N/A,Pilotrichum ochrophyllum (Hornsch.) C. Müll.,Pilotrichum ochrophyllum,N/A,N/A,Cecropia (boopapaja),Suriname,Nickerie,N/A,N/A,"area of Kabalebo Dam project, distr. Nickerie, SW from road km 39.5, p. Second quarry","area of Kabalebo Dam project, southwest from road kilometer 39.5, point Second quarry",on rotting log,ALT. 0-50 m,N/A,1075252,Typed,no type status
0013_C2077574F.jpg,J. Florschütz-de Waard & R. Ziemann,J. Florschütz-de Waard,R. Ziemann,5254,3-11-1981,1981-11-03,N/A,Pilotrichum chlorophyllum (Hornsch.) C. Müll.,Pilotrichum chlorophyllum,Ziemann,s.d.,N/A,Suriname,N/A,N/A,N/A,"area of Kabalebo Dam project, altavr. Mickerie, line NW from road km 39.5, P. 51 SWQ, SE, Savanna forest, on rotting log.","area of Kabalebo Dam project, line Northwest from road kilometer 39.5","Savanna forest, on rotting log",0 - 50 m,N/A,1073529,Typed,no type status
0014_C2077575F.jpg,J. Fluweelchtst-de Waard & R. Zielman,J. Fluweelchtst-de Waard,R. Zielman,s.n.,3-10-1981,1981-10-03,N/A,Pilotrichum chlorophyllum (Hornsch.) Mitt.,Pilotrichum chlorophyllum,R. Zielman,3-10-1981,N/A,Suriname,Nickerie,N/A,N/A,"Area of Kabalebo Dam Project, distr. Nickerie, line W from road 34 km, P. 5°N 60 cp, SE, Rainforest, on rotting log.","Area of Kabalebo Dam Project, line West from road 34 kilometers","Rainforest, on rotting log",0 - 50 m.,"5°N 60 cp, SE",1073528 | 1001008,Typed,no type status
0015_C2077576F.jpg,"J. C. Lindeman, R. A. A. Oldeman, M. Jansen-Jacobs & A. L. Stoffers",J. C. Lindeman,R. A. A. Oldeman | M. Jansen-Jacobs | A. L. Stoffers,243 A,3-II-1980,1980-02-03,N/A,Philonotis chlorophylla (Hornsch.) C. Müll.,Philonotis chlorophylla,E. T. St. L.,27-II-1980,N/A,Suriname,Nickerie,N/A,N/A,"Area of Kabalebo Dam Project, distr. Nickerie",area of Kabalebo Dam Project,"Forest at km 28, epiphyte on tree trunk",Alt.; 30 - 130 m.,"4°50' N, 57°30' W",1073527,Typed,no type status
0016_C2077577F.jpg,J. Fluorschütz-de Waard and R. Zielman 5141,J. Fluorschütz-de Waard,R. Zielman,5141,31 October 1981,1981-10-31,N/A,Pilotum chlorophyllum (Hornsch.) C. Müll.,Pilotum chlorophyllum,R. Zielman,N/A,N/A,Suriname,Distr. Nickerie,N/A,Kabalebo river area,"1 line W. on from road km 34, 58W",1 line west on from road kilometer 34,Decaying log in marsh forest with Astrocaryum,alt. 0-50 m.,"5N, 58W",1 679863,Typed,no type status
0017_C2077578F.jpg,J. and P.A. Florschütz,J. Florschütz,P.A. Florschütz,4690,18 December 1975,1975-12-18,N/A,Pilosium chlorophyllum (Hornsch.) C. Muell.,Pilosium chlorophyllum,R. Ziemann | J. Florschütz-de Weard,N/A,N/A,Suriname,Brokopondo,N/A,N/A,"Brownsberg, trail to Leo Val","Brownsberg, trail to Leo Val",On rotting log in rainforest.,ca. 500 m.,N/A,N/A,Typed,no type status
0018_C2077579F.jpg,H. Cornelissen & S. R. Gradstein,H. Cornelissen,S. R. Gradstein,C076,8 March 1977,1977-03-08,N/A,Pilotrichum chlorophyllum (Hornsch.) C. Müll.,Pilotrichum chlorophyllum,J. Florschütz-de Waard,det. J. Florschütz-de Waard,N/A,Guyana,N/A,N/A,N/A,"Mahdia Hill, 180 km S of Georgetown, 5°20'N 58°40'W, alt. 0-50 m","Mahdia Hill, 180 kilometers south of Georgetown",On rotting tree base in mixed rain forest,alt. 0-50 m,5°20'N 58°40'W,1601586,Typed,no type status
0019_C2077582F.jpg,Richard Evans Schultes et Isidoro Cabrera,R. E. Schultes,I. Cabrera,14934,"October 4-6, 1951",1951-10-04,1951-10-06,Pilotrichum chlorophyllum (Hornsch.) C. Muell.,Pilotrichum chlorophyllum,H. A. Crum,1956,N/A,Colombia,Vaupés,N/A,N/A,"Rio Kuduyari (affluent of Rio Vaupés), Yapobodá, quartzite savannah.","Rio Kuduyari, Yapobodá",quartzite savannah,N/A,N/A,N/A,Typed,no type status
