Image,verbatimCollectors,collectedBy,secondaryCollectors,recordNumber,verbatimEventDate,minimumEventDate,maximumEventDate,verbatimIdentification,latestScientificName,identifiedBy,verbatimDateIdentified,associatedTaxa,country,firstPoliticalUnit,secondPoliticalUnit,municipality,verbatimLocality,locality,habitat,verbatimElevation,verbatimCoordinates,otherCatalogNumbers,originalMethod,typeStatus
0000_C0268502F_p.jpg,leg H Fleischer nr 3-2734,H Fleischer,N/A,3-2734,25 9 1903,1903-09-25,N/A,Macromitrium austraileni,Macromitrium austraileni,N/A,N/A,N/A,Australia,Queensland,N/A,N/A,Eumundi (ca 100 km nordlich Brisbane) Urwald,Eumundi (about 100 kilometers north of Brisbane),Urwald,N/A,N/A,1076713 1044984,Typed,no type status
0001_C0268508F_p.jpg,leg M Fleischer nr B 2692,M Fleischer,N/A,B 2692,29 3 1903,1903-03-29,N/A,Macromitrium,Macromitrium,N/A,N/A,N/A,Australia,Queensland,N/A,N/A,Eumundi (ca 100 km nordlich Brisbane) Urwald,Eumundi (about 100 kilometers north of Brisbane),Urwald,N/A,N/A,1076659 1041225,Typed,no type status
0002_C0268514F_p.jpg,Leg M Fleischer nr B 2952,M Fleischer,N/A,B 2952,6419O3,1903-04-06,N/A,Macromitrium,Macromitrium,N/A,N/A,N/A,Australia,New South Wales,N/A,N/A,Blue Mountains bei Sydney Wentworth Falls,Blue Mountains near Sydney Wentworth Falls,N/A,N/A,N/A,1076821,Typed,no type status
0003_C0268520F_p.jpg,M Fleischer nr B 2697,M Fleischer,N/A,B 2697,20.3.1903,1903-03-20,1903-03-20,Macromitrium,Macromitrium,N/A,N/A,N/A,Australia,Queensland,N/A,Brisbane,bei Brisbane,near Brisbane,N/A,N/A,N/A,1076705 1044145,Typed,no type status
0004_C0268544F.jpg,Coll & det T Nakajima,T Nakajima,N/A,N/A,Mar 27 1971,1971-03-27,N/A,Macromitrium gymnostomum Sull & Lesq c fr,Macromitrium gymnostomum,A Noguchi and Z Iwatsuki,N/A,N/A,N/A,Wakayama Prefecture,N/A,N/A,On vertical face of rock 330 m alt Ohara Yata Nishimuro-gun Wakayama Prefecture,Ohara Yata Nishimuro-gun,On vertical face of rock,330 m alt,N/A,1043494,Typed,no type status
0005_C0268545F.jpg,Coll & det T Nakajima,T Nakajima,N/A,N/A,"May 4, 1958",1958-05-04,1958-05-04,Macromitrium gymnostomum Sull et Lesq,Macromitrium gymnostomum Sull et Lesq,A Noguchi,N/A,Fagus crenata,N/A,Nara Prefecture,N/A,N/A,Mt Ohako Nara Prefecture,Mt Ohako,On trunks of Fagus crenata ca 1200 m alt,ca 1200 m alt,N/A,1043492,Typed,no type status
0006_C0268546F.jpg,Coll & det T Nakajima,T Nakajima,N/A,N/A,"March 28, 1967",1967-03-28,1967-03-28,Macromitrium gymnostomum Sull & Lesq c fr,Macromitrium gymnostomum Sull & Lesq,A Noguchi,N/A,N/A,N/A,Wakayama Prefecture,N/A,N/A,"On rocks, ca 100 m alt, Shirahama-cho, Nishimuro-gun, Wakayama Prefecture","On rocks, approximately 100 meters altitude, Shirahama-cho, Nishimuro-gun",On rocks,ca 100 m alt,N/A,1043491,Typed,no type status
0007_C0268548F.jpg,S Hattori,S Hattori,N/A,N/A,4 X 1946,1946-10-04,N/A,Macromitrium gymnostomum Sull et Lesq,Macromitrium gymnostomum Sull et Lesq,A Noguchi,N/A,N/A,N/A,KIUSHIU,N/A,N/A,KIUSHIU Miyazaki Minamimata Sakatani,Miyazaki Minamimata Sakatani,N/A,ca 500 m,N/A,1235073,Typed,no type status
0008_C0268549F.jpg,R J B Ferrie,R J B Ferrie,N/A,N/A,204 1898,1898-04-20,N/A,Macromitrium gymnostomum S L,Macromitrium gymnostomum S L,Theriot,N/A,N/A,Japan,N/A,N/A,N/A,Iles Liou-Kiou - Centre de l'ile,Liou-Kiou Islands - Center of the island,N/A,N/A,N/A,1000415,Typed,no type status
0009_C0268550F.jpg,R.P. J.B. Ferrié,R P J B Ferrié,N/A,N/A,oct.nov.1898,1898-10-00,1898-11-00,Macromitrium gymnostomum S. L. = m. rupestre Mitt. Bull. Card.,Macromitrium gymnostomum S. L.,Thériot,N/A,N/A,Japon,N/A,N/A,N/A,Yaku-Sima,Yaku-Sima,N/A,N/A,N/A,1000416,Typed,no type status
0010_C0268554F.jpg,A Touw No 14660,A Touw,N/A,14660,9-3- 1975,1975-03-09,N/A,Macromitrium incurvifolium (Hook & Grev) Schwaegr,Macromitrium incurvifolium (Hook & Grev) Schwaegr,D H Vitt,N/A,Plumeria,Papua New Guinea,N/A,Morobe Distr,Lae,"Morobe Distr, Lae In fork of Plumeria tree in garden",In fork of Plumeria tree in garden,N/A,Alt c 20 m,N/A,1142151,Typed,no type status
0011_C0268557F.jpg,A Touw No 18543,A Touw,N/A,18543,20.5.1975,1975-05-20,1975-05-20,Macromitrium longicaule C Müll,Macromitrium longicaule C Müll,D H Vitt,N/A,N/A,New Guinea,West Sepik Dist,Star Mts,N/A,Busilmin West forest on slope above Ok Din river W of Busilmin; on trees along Ok Din River,Busilmin West forest on slope above Ok Din river west of Busilmin; on trees along Ok Din River,forest on slope,Alt c 1500 - 1550 m,5°S 141°05'E,1141855,Typed,no type status
