Run ID,Prompt Used,Date Run,Time Run,Output Text,Output Spread,Photos Used,Model Used,Number of Photos,Who Ran?,Goal of run
1,1.1,2.29.24,5:13 PM,Output2.29.24,N/A,Batch 200,,First 100,R,Run of 100 With updated prompt
2,1.1,3.1.24,11:26 AM,OutputMar1.1126,n/A,Batch 200,,Full 200,R,Testing 200 with internet checking in prompt
3,1.1,3.4.24,2:26 PM,OutputMar3.221,SpreadMar3.221,Batch 300,,Full 300,R,Testing 300
4,1.1 Short,3.7.24,4:05 PM,OutputMar7.405,N/a,Batch 300,,Full 300 But only 245 success due to user error,R,With shorter prompt
4,1.1 Short,3.12.24,4:27 PM,OutputMar12.0427,SpreadMar12.0427,Batch 300,,Full 300,R,Full Run of 300 on short prompt
5,1.3,3.27.24,11:28,OutputMar27.1128,OutputMar27.1128,Batch 300,,Full 300,R,Full Run with 1.3
6,1.4 stripped,4.3.24,12:47,OutputApr3.1247,SpreadApr3.1247,Batch 300,,284/300 Completed,R,Full 1.4 Stripped
7,1.4 stripped,4.4.24,11:00 AM,Output4.4,Spread4.4,Batch 300,,Full 300,JG,Full 1.4 Stripped
8,1.4 stripped,4.4.24,1:04 PM,Output4.4.1304,Spread4.4.1304,Batch 300,,Full 300,JG,Full 1.4 Stripped replicate
9,1.4 stripped,4.10.24,1:34 PM,Output4.10.1334,Spread4.10.1334,Batch 202,,202 typed only,JG,"1.4 Stripped on typed only, full image"
10,1.4 stripped,4.16.24,2:00 PM,Ouput4.16.1400,Spread4.16.1400,Batch 78,,78 bryophytes typed only,JG,"1.4 stripped prompt on full image bryophytes, typed labels only"
11,1.5 stripped (in process),4.23.24,1:06 PM,Output4.23.1306,Spread4.23.1306,Batch 78,,78 bryophytes typed only,JG,"1.5 stripped prompt on full image bryophytes, typed labels only"
12,1.5 stripped (in process) V2,5.7.24,13:56,Output5.7.1356,Spread5.7.1356,Batch 78,,78 bryophytes typed only,JG,"1.5 stripped prompt V2 on full image bryophytes, typed labels only, ground truth edits"
13,1.5 stripped (in process) V2,5.7.24,19:42,,,Batch 78,,78 bryophytes typed only,JG,"1.5 stripped prompt V2 on full image bryophytes, typed labels only, ground truth edits, replicate failed"
14,1.5 stripped (in process) V2,5.7.24,,,,Batch 78,,78 bryophytes typed only,JG,"1.5 stripped prompt V2 on full image bryophytes, typed labels only, ground truth edits, replicate"
15,1.5 stripped (in process) V2,5.9.24,11:30,Output5.9.1130,Spread5.9.1130,,,100 bryophytes typed only,JG,"1.5 stripped prompt V2 on full image bryophytes, typed labels only, 100 for comparison with cropped labels"
16,1.5 stripped (in process) V2,5.9.24,15:00,Output5.9.1500,Spread5.9.1500,,,193 bryophytes,JG,"1.5 stripped prompt V2 on 193 cropped label bryophytes, typed labels only: problems"
17,1.5 stripped (in process) V2,5.15.24,11:50,Output5.15.1150,Spread5.15.1150,,,193 bryophytes - cropped labels,JG,"1.5 stripped prompt V2 on 193 cropped label bryophytes, typed labels only"
18,1.5 stripped (in process) V2,5.29.24,11:53,OutputMay29.Comparison1,,10Test,gpt 4o,10 From Jeffs batch 300,R,Comparison of 10 images to see temperature (using gpt 4o)
