Image,Title,ID,Barcode,Collected by,Scientific name,Date collected,Country,State/Province,County,Locality,Elevation,Collection name,Collection Number,Latitude and Longitude,Additional Notes
C0020028F.jpg,HEPATICAE OF EASTERN NORTH AMERICA,N/A,N/A,R. M. Schuster,Anastrophyllum minutum (Cr.) Schust.,"Aug. 17, 1968",NEWFOUNDLAND,N/A,N/A,"Along Humber R., in Squires Memorial Park, near Rte 1A",N/A,N/A,68â€“1666,N/A,N/A
C0020034F.jpg,HEPATICAE OF EASTERN NORTH AMERICA,N/A,N/A,R. M. Schuster,Anastrophylum minutum + gemm.,"Aug. 17, 1968",Canada,Newfoundland,N/A,"Along Humber R., in Squires Memorial Park, near Rte 1A.",N/A,N/A,68-1644,N/A,With: Diplophyllum taxifolium + gemmae 68-1644a
C0020040F.jpg,HEPATICAE OF EASTERN NORTH AMERICA,68-1660b,N/A,R. M. Schuster,"Anastrophylum minutum, Mylia taylori","Aug. 17, 1968",Canada,Newfoundland and Labrador,N/A,"Along Humber R., Squires Memorial Park, near Rte 1A.",N/A,N/A,68-1660b,N/A,"Associated with Diplophyllum taxifolium 68-1660,a"
C0020052F.jpg,Museum Botanicum Hauniense,82-1049,N/A,R.M. Schuster & K. Damsholt,Anastrophylum minutum (SCHREB.) SCHUST. var. grandis (GOTT.) SCHUST.,"July 3, 1982",Greenland,South Greenland,N/A,Frederiksdal,N/A,HEPATICAE OF SOUTH GREENLAND,S1,"60Â°00'N, 44Â°40'W",With: Cephaloziella bicuspidata (L.) DUM.
C0020064F.jpg,Museum Botanicum Hauniense,82-1482,N/A,R. M. Schuster & K. Damsholt,Anastrophylum minutum (SCHREB.) SCHUST.,"July 22, 1982",Greenland,South Greenland,N/A,Pamiagdluk: Anordliuitsog. South and west of lake,N/A,HEPATICAE OF SOUTH GREENLAND,S1,"60Â°04'N, 44Â°16'W",With: Lophozia ventricosa (DICKS.) DUM.
C0020083F.jpg,HEPATICAE OF EASTERN NORTH AMERICA,45793b,N/A,R. M. Schuster,Anastrophylum minutus ssp. grandis (Ldb.g.) Schust. c.gem.,"Aug. 2, 1960",Greenland,Northwest Greenland,N/A,"Kangerdluarssuk, W. side of Bowdoin Bay, Inglefield Bay",N/A,N/A,c.gem. 45793b,N/A,"Collected on damp peaty soil, between and amidst rocks, with Cassiope tetragona. Associated with Lophozia ventricosa (45793), Tritomaria quinquedentata & Phaeosotoma trichophyllum brevirete (in 45793c), Lophozia aff. ad L. pellucida (45793a)."
C0025138F.jpg,HEPATICAE OF THE NEARCTIC,No9067,N/A,R. M. Schuster,N/A,"June 30, 1951",United States of America,North Carolina (N.C.),N/A,"Balsam Gap, ca. 25 mi. n. of Asheville, along Blue Ridge Parkway",5220-5260 feet,N/A,9067,N/A,On Abies fraseri
C0025161F.jpg,Herbarium Specimen Label,Not visible in the image provided,N/A,R.M. Schuster,Frullania asagrayana Mont.,"September 5, 1947",United States of America (USA),Minnesota (Minn.),Cook Co.,"On dry, shaded, north facing high cliffs, 1.5 miles west of Pigeon Point",N/A,N/A,"H/303f (Assumed as it is next to the scientific name, but it is not clearly labeled as such.)",N/A,pH 4.2
C0025164F.jpg,HEPATICAE OF EASTERN NORTH AMERICA,79-488,N/A,R. M. Schuster,Frullania asagrayana,"April 14, 1979",United States of America,Arkansas,Stone,"Ozark National Forest, Barkshed Camp, ca. 10 mi E. of Big Flat",N/A,N/A,79-488,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
