Image,Title,URL,Collected by,Scientific name,Associated Taxon,Date collected Verbatum,Formatted Date Collected,Country,First Political Unit,Second Political Unit,City,Detailed Locality,Elevation,Collection name,Collection Number,Latitude,Longitude,Additional Notes
C0020028F.jpg,Hepaticae of Eastern North America,N/A,R.M. Schuster,Anastrophyllum minutum (Cr.) Schust.,N/A,Aug. 17 1968,17/08/1968,Canada,Newfoundland,N/A,N/A,"Along Humber River, in Squires Memorial Park, near Route 1A",N/A,N/A,68-1666,N/A,N/A,N/A
C0020034F.jpg,Hepaticae of Eastern North America,N/A,R. M. Schuster,Anastrophyllum minutum + gemm.,Diplophyllum taxifolium + gemmae,N/A,17/08/1968,Canada,Newfoundland and Labrador,N/A,N/A,"Along Humber River, in Squires Memorial Park, near Route 1A",N/A,N/A,68-1644,N/A,N/A,N/A
C0020052F.jpg,Hepaticae of South Greenland,N/A,R. M. Schuster & K. Damsholt,Anastrophylum minutum (Schreb.) Schust. var. grandis (Gott.) Schust.,Cephalozia bicuspidata (L.) Dum.,N/A,N/A,Greenland,N/A,N/A,Frederiksdal,N/A,N/A,N/A,No.82-1049,60°00'N,44°40'W,N/A
C0025138F.jpg,Hepaticae of the Nearctic,N/A,R. M. Schuster,Frullania asagrayana Mont.,Plagiochila tridenticulata Dum. (traces),June 30 19 51,30/06/1951,United States of America,North Carolina,N/A,N/A,"Balsam Gap, approximately 25 miles north of Asheville, along Blue Ridge Parkway",5220-5260 feet,N/A,9067,N/A,N/A,N/A
C0025161F.jpg,Frullania asagrayana Mt.,[The image does not provide a URL],R. M. Schuster,Frullania asagrayana,N/A,"Sept. 5, 1947",5/9/1947,United States,Minnesota,Cook County,[Not provided],1.5 miles west of Pigeon Point,N/A,N/A,N/A,N/A,N/A,pH 4.2
C0025164F.jpg,Hepaticae of Eastern North America,N/A,R. M. Schuster,Frullania asagrayana,N/A,April 14 19 79,14/04/1979,United States of America,Arkansas,Stone County,N/A,Ozark National Forest. Approximately 10 miles east of Big Flat.,N/A,N/A,79-488,N/A,N/A,N/A
C0028185F.jpg,University of British Columbia Plants of British Columbia,N/A,"W.B. Schofield, G.A. Godfrey & T. Goward",Anastrophyllum assimile (Mitt.) Steph.,N/A,N/A,N/A,Canada,N/A,N/A,N/A,"edge depression in tundra; Range Lake, northeast of Tweedsmuir Glacier",1100 meters,N/A,ACC# B139065,59 52'N,137 50'W,N/A
C0081541F.jpg,Frullania Asagrayana Mont.,N/A,A.J. Sharp,Frullania Asagrayana,N/A,N/A,N/A,United States of America,N/A,N/A,Hampton,"Bluff along Laurel Creek, above Hampton",N/A,UT 4971 dupl. (presumed to be the University of Tennessee herbarium duplication),N/A,N/A,N/A,Gift Of Alfred Clebsch
C2026363F.jpg,Cryptogamic Herbarium,N/A,Ed. Jeanpert,Solorina crocea,N/A,N/A,N/A,France,N/A,N/A,Paris,Bois de Boulogne,N/A,Herbarium Ed. Jeanpert,N/A,N/A,N/A,N/A
C2026366F.jpg,Cryptogamic Herbarium,No URL is present in the image provided.,Ed. Jeanpert,Bertia moriformis,N/A,N/A,13/08/1907,France,N/A,N/A,N/A,Entre les pierres et les tuiles,N/A,Herbarium Ed. Jeanpert,N/A,N/A,N/A,N/A
C2026368F.jpg,Herbarium Ed. Jeanpert,[The image does not provide a URL],Ed. Jeanpert,Silene minutula,N/A,16/4/06,16/April/1906,France,N/A,N/A,Nancy,N/A,N/A,Cryptogamic Herbarium Field Museum of Natural History,105577,N/A,N/A,N/A
C2026370F.jpg,Herbarium I. Thérond,This information is not provided in the image.,I. Thérond,Cetraria muricata (Ach.) Tuck.,N/A,N/A,03/04/1958,France,Not provided,Not provided,Not provided,"Cap Brun pr Toulon, on rocks",N/A,Herbar I. Thérond,N/A,Not provided,Not provided,N/A
C2026372F.jpg,The Field Museum Cryptogamic Herbarium,[No URL present on the label],Ed. Jeanpert,Peltigera canina (L.) Willd.,N/A,N/A,N/A,France,N/A,N/A,N/A,"Forêt de Rambouillet, Forêt is Forest in English.",N/A,N/A,N/A,N/A,N/A,N/A
C2026374F.jpg,Herbarium Specimen of Psilolejeunea minutula,Not provided in the image.,Ed. Jeanpert,Psilolejeunea minutula,N/A,N/A,09/August/1898,France,N/A,N/A,Islle d'Oleron,Islle d'Oleron,N/A,N/A,N/A,N/A,N/A,N/A
C2026376F.jpg,The Field Museum,"[Unfortunately, the image does not display a URL.]",Ed. Jeanpert,Sophia minutula,N/A,N/A,12/May/1893,France,N/A,N/A,Ad Genes,N/A,N/A,Cryptogamic Herbarium Field Museum of Natural History,N/A,N/A,N/A,Herber Ed. Jeanpert
C2026378F.jpg,Cryptogamic Herbarium,http://emuweb.fieldmuseum.org/botany/Specifyweb/Query.php?irn=1536773,M. Boulay,Pottia minutula,Gymnostomum concinnum Schleich.,N/A,"N/A (No specific date provided, only the month March which is ""Mars"" in French)",France,N/A,Orne (Department),"Petite Chapelle, Pré Athis","Dans les champs – Falaise (Valframbert). In English, This means ""In the fields – Cliff (Valframbert).""",N/A,N/A,167,N/A,N/A,"Removed by exchange from The Farlow Herbarium of Harvard University, March 1941."
C2026380F.jpg,Cryptogamic Herbarium,N/A,"J. Funk, and A. von Hügel",Pottia minutula (Schleich. ex Schwägr.) B.S.G.,N/A,N/A,February/1952,Germany,Bayern (Bavaria),N/A,N/A,"Proppe (Costanzi) ad lacum Lechoseense, Im Januar",N/A,Musei Hist. Nat. Vindobonensis. Cent. XCVI Musci.,Dec. 57–58,N/A,N/A,N/A
C2026382F.jpg,Herbarium G. Colomb-Duplan,(Information not available in the image provided),G. Colomb-Duplan,Lecidea latypiza (Nyl.) A. Zahlbr.,N/A,N/A,20/07/1891,France,Auvergne-Rhône-Alpes,Haute-Savoie,Chamonix,Vallée de Chamonix,1450 meters,Herbarium Ed. Jeanpert,N/A,N/A,N/A,N/A
C2026384F.jpg,Field Museum of Natural History,N/A,Herbarium Ed. Jeanpert,Anacalypta latifolia Nees et Hornsch.,N/A,N/A,26/06/1901,Germany,Bavaria,N/A,Wasserburg,"In summit of grassy Juras [Jurassic Mountains], near Grosse-Umstadt",N/A,N/A,N/A,N/A,N/A,N/A
C2026386F.jpg,Musci Čechoslovenici exsiccati Edit Ždeněk Pilous,N/A,Zd. Pilous,Pottia latifolia C. Müll.,N/A,N/A,N/A,Slovakia,N/A,N/A,N/A,Belianske Tatry; In terra graminosa sub saxicis loc Skalnatá vrata,1620 meters,Field Museum of Natural History,1018048,N/A,N/A,N/A
C2026388F.jpg,Herbarium of C. Flagey,[No URL provided in the image],C. Flagey,Stellaria lanceolata B. de Retz,N/A,N/A,8/4/1879,France,[No State/Province provided],Doubs,Besançon,"Hedges, cultivated in Besançon",N/A,Herbarium of C. Flagey,N/A,N/A,N/A,N/A
C2026390F.jpg,"Herbarium of Johns Hopkins University, Herbarium Fitz-Gerald",[The image does not provide a URL],I. Kileon,Pilosella caespitosa,N/A,N/A,02/May/1979,United States,Illinois,County not specified,N/A,N/A,N/A,The Field Museum,N/A,N/A,N/A,N/A
C2026392F.jpg,Herbarium Specimen,"[Image URL not provided, please upload an image for URL details]","[Collector name not visible, information missing]",Phyllodoce caerulea,N/A,N/A,16/07/[Year not visible],"[Country not visible, information missing]","[State/Province not visible, information missing]","[County not visible, information missing]","[City not visible, information missing]",[Detailed locality information missing],N/A,Herbarium Ed. Jeanpert,N/A,"[Latitude not visible, information missing]","[Longitude not visible, information missing]",N/A
C2026394F.jpg,Herbarium Ed. Jeanpert,No URL present on the label,R. Masson,Minuartia laricifolia subsp. laricifolia,N/A,N/A,01/08/1892,France,Haute-Savoie,N/A,N/A,Massif de la Tournette,N/A,The Field Museum,1058785,N/A,N/A,N/A
C2026396F.jpg,Herbarium Specimen,(There is no URL provided in the image),"(Collector is not clearly provided; it could be ""Ed. Jeanpert"" based on the herbarium label, but this is not explicit)",Potentilla arenaria,N/A,N/A,June 1877 (Exact day is not provided),France,N/A,N/A,N/A,N/A,N/A,Herbarium Ed. Jeanpert,N/A,N/A,N/A,N/A
C2026398F.jpg,Field Museum,No URL provided in the image,N/A,Dichaena consociata (C. Mull.) Mann,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Herbarium Ed. Jeanpert,N/A,N/A,N/A,N/A
C2026400F.jpg,Herbarium of C. Fitzgerald - Muscorum,Not available in this context,Potier,N/A,N/A,N/A,Year 1877,France,Nouvelle-Aquitaine,Pyrénées-Atlantiques,Pau,N/A,N/A,N/A,N/A,N/A,N/A,N/A
C2026402F.jpg,Cryptogamic Herbarium Field Museum of Natural History,N/A,Schur,Torti lancolata C. Muell,N/A,N/A,N/A,Romania,N/A,N/A,Kronstadt,[Specific information if any about the location]: N/A,N/A,The Field Museum,N/A,N/A,N/A,N/A
C2026404F.jpg,Herbarium Ed. Jeanpert,Not available in the image,Ed. Jeanpert,N/A,N/A,N/A,N/A,Not visible in the image,N/A,N/A,N/A,Not visible in the image,N/A,N/A,1059542,Not visible in the image,Not visible in the image,N/A
C2026406F.jpg,Cryptogamic Herbarium,"[No URL provided in the image, N/A]",E. Bauer,Pottia lanceolata (Hedw.) C. Müll.,N/A,N/A,15/03/1910,France,Lorraine,N/A,Einville-au-Jard,auf der Erdschichte einer strohgedeckten Mauer [on the earth layer of a straw-thatched wall],140 meters,The Field Museum,N/A,N/A,N/A,N/A
C2077558F.jpg,Cryptogamic Herbarium Field Museum of Natural History,Not provided,F. L. Herrera,Hedwigia ciliata (Hedw.) P. Beauv.,N/A,N/A,01/1927,Peru,N/A,N/A,N/A,"Valle del Paucar Tambo, Hacienda Churcú",3500 meters,Herbarium of the New York Botanical Garden - Elizabeth Gertrude Britton Moss Herbarium,N/A,N/A,N/A,N/A
C2077559F.jpg,Cryptogamic Herbarium,[No URL visible on the label],Marko Lewis,Hedwigia ciliata (Hedw.) P. Beauv.,N/A,N/A,08/12/1978,Ecuador,Azuay,[No Data],[No Data],"Area Nacional de Recreacion ""Cajas"", forested hills S. of ""Surrocucho"" (Laguna Llaviuco), S of Sayausi.",3240 meters,N/A,78-3163,[No Data],[No Data],N/A
C2077560F.jpg,Bryophyta of Ecuador,[The image does not provide a URL],Marko Lewis,Hedwigia ciliata (Hedw.) P. Beauv.,N/A,8 December 1978,08/12/1978,Ecuador,Azuay,N/A,N/A,"Area Nacional de Recreacion ""Cajas"", forested hill South of ""Estero Huagrahuma"" (Laguna Llaviuco), 5 miles Southwest of Sayausi",3230 meters,Field Museum of Natural History Cryptogamic Herbarium,78-3139,N/A,N/A,N/A
C2077561F.jpg,Bryophyta of Ecuador,Not applicable as the image URL is not given in the photograph.,Marko Lewis,Hedwigia ciliata (Hedw.) P. Beauv.,N/A,N/A,30/10/1978,Ecuador,Azuay,N/A,Cuenca,Cerro Uruca; ca. 2 km south of Cumbe,3000 meters,Field Museum of Natural History Cryptogamic Herbarium,1064818,3°07' S,N/A,N/A
C2077562F.jpg,Bryophyta of Ecuador,Not provided in the image.,Marko Lewis,Hedwigia ciliata (Hedw.) P. Beauv.,N/A,N/A,30/10/1978,Ecuador,Azuay,N/A,Cuenca,"""Cerro Uruca"", approximately 2 kilometers south of Cumbe, south of Cuenca.",3000 meters,Field Museum of Natural History Cryptogamic Herbarium,78-2150,3°07'S,79°01'W,N/A
C2077563F.jpg,Hedwigia ciliata (Hedw.) P. Beauv.,Not available from the image provided,P. Benoit et L. Emery,N/A,N/A,N/A,N/A,Ecuador,N/A,N/A,Quito,Environs de Quito,4659 meters,N/A,N/A,N/A,N/A,N/A
C2077564F.jpg,Herbarium Specimen,N/A,R. Benoist,Hedwigia ciliata (Hedw.) P. Beauv.,N/A,N/A,27/05/1930,Ecuador,N/A,N/A,Quito,Sur rochers calcaire,N/A,Herb. Crypt. Mus. Paris,N/A,N/A,N/A,N/A
C2077565F.jpg,Plants of Bolivia,N/A,R. S. Williams,Hedwigia ciliata (Hedw.) P. Beauv.,N/A,N/A,30/04/1902,Bolivia,N/A,N/A,N/A,near Potosí,3700 meters,The Herbarium of Robert S. Williams,1650,N/A,N/A,Distributed from the Herbarium of the New York Botanical Garden
C2077566F.jpg,Bryophyta of Bolivia,Not available in the image,Marko Lewis,Hedwigia ciliata (Hedw.) P. Beauv.,N/A,N/A,22/03/1979,Bolivia,La Paz,Larecaja,N/A,Near large red outcrop 2 miles from Sorata town Río Consata,2630 meters,Field Museum of Natural History Cryptogamic Herbarium,79237A,15° 41' S,68° 43' W,N/A
C2077567F.jpg,Bryophyta of Bolivia,Not available in the content provided.,Marko Lewis,Hedwigia ciliata (Hedw.) P. Beauv.,N/A,N/A,22/03/1979,Bolivia,Department of La Paz,Province of Larecaja,N/A,Near large red outcrop 2 miles from Sorata down Rio Consata.,2630 Meters,N/A,79-1232,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
