Image,verbatimCollectors,collectedBy,secondaryCollectors,recordNumber,verbatimEventDate,minimumEventDate,maximumEventDate,verbatimIdentification,latestScientificName,identifiedBy,verbatimDateIdentified,associatedTaxa,country,firstPoliticalUnit,secondPoliticalUnit,municipality,verbatimLocality,locality,habitat,substrate,verbatimElevation,verbatimCoordinates,otherCatalogNumbers,originalMethod,typeStatus
0000_V0573776F.jpg,E.D. Merrill,E.D. Merrill,N/A,852,"Jan. 10 to Feb. 9, 1904",1904-01-10,1904-02-09,Cyperus maculatus Boeck.,Cyperus maculatus Boeck.,L. Kucyniak,19.10.1947,N/A,Democratic Republic of the Congo,Congo Free State,N/A,N/A,"""Rhino Camp,"" Lado Enclave, Congo Free State","""Rhino Camp,"" Lado Enclave",N/A,,N/A,N/A,N/A,Typed,no type status
0001_V0576008F.jpg,F. G. Overlaet,F. G. Overlaet,N/A,1923-24,1923-24,1923-00-00,1924-00-00,Habenaria,Habenaria,B. Pettersson,1984,N/A,Democratic Republic of the Congo,N/A,N/A,N/A,N/A,[precise locality unknown],N/A,,N/A,N/A,752356,Typed,no type status
0002_V0576279F.jpg,R.A. Maas Geesteranus,R.A. Maas Geesteranus,N/A,4924,d.d. 14-VII-1949,1949-07-14,N/A,Pycreus sanguinolentus (Vahl) C.B.Cl.,Pycreus sanguinolentus (Vahl) C.B.Cl.,N/A,N/A,N/A,Kenya,Nyanza Province,Londiani Distr.,N/A,"Londiani Distr., Tinderet Forest Reserve, Camp I","Tinderet Forest Reserve, Camp I","Glade surrounded by rather open, tall forest, containing among others Dombeya mastersii and Olea hochstetteri",,2260 m. s.m.,"lat. 0° 5' S., long. 35° 27' E.",1447352,Typed,no type status
0003_V0577013F.jpg,M. de Ceballos,M. de Ceballos,N/A,20135,d.d. 3-5-6,unsure and check,unsure and check,Bulbophyllum scaberulum (Rolfe) Bolus var. scaberulum,Bulbophyllum scaberulum (Rolfe) Bolus var. scaberulum,Olga Kosenkovsky,2011,N/A,Gabon,N/A,N/A,N/A,"ca 6 km NW of Oveny, chantier Rougler & Cie., Océan","ca 6 kilometers northwest of Oveny, chantier Rougier & Cie., Océan",Primary rain forests,,N/A,01 41 N 11 07 E,N/A,Typed,no type status
0004_V0577892F.jpg,Carvalho 2102,Carvalho,N/A,2102,26-VII-1980,1980-07-26,N/A,Mariscus alternifolius Vahl,Mariscus alternifolius Vahl,"C. Cebolla & M.A. Rivas Ponce (UAM), 1995",1995,N/A,Equatorial Guinea,Bioko,N/A,Malabo,"""Malabo, finca las Carboneras, 32NMK7415, m. Bosque secundario y terrenos inclusos""","Malabo, finca las Carboneras",Bosque secundario y terrenos inclusos,,N/A,32NMK7415 ,N/A,Typed,no type status
0005_V0578553F.jpg,M. Carvalho & M.A. Ramos Ponce,M. Carvalho,M.A. Ramos Ponce,11206,5-II-1989,1989-02-05,N/A,Agrostis mannii (Hooker fil.) Stapf,Agrostis mannii (Hooker fil.) Stapf,C. Cebolla & M.A. Ramos Ponce,1993,N/A,Equatorial Guinea,Bioco,N/A,N/A,"Bioco: cumbre del pico Basilé, 32NMJ7396, 2270 m., márgenes de la pista, Fernández Casas 11206, 5-II-1989",cumbre del pico Basilé,márgenes de la pista,,2270 m,32NMJ7396,2200806,Typed,no type status
0006_V0574052F.jpg,COLL. I. F. OVERLAET,I. F. Overlaet,N/A,1932-4,s.d.,s.d.,s.d.,Scleria sp.,"Scleria melanotricha Welw. ex A. Rich. Det. H. & R. Kral, 1960",H. & R. Kral,1960,N/A,Democratic Republic of the Congo,N/A,N/A,N/A,N/A,[precise locality unknown],N/A,,N/A,N/A,752378,Typed,no type status
0007_V0577681F.jpg,C.J.P. Seegeler,C.J.P. Seegeler,N/A,2806,dd.-23 October 1972,1972-10-23,1972-10-23,Vernonia amygdalina Sch. Bip.,Vernonia amygdalina Sch. Bip.,G.J.H. Amshoff,Det.:G.J.H. Amshoff 1982,N/A,Ethiopia,Nazareth,N/A,N/A,"1 km from Matahara, on road to Nazareth. In full sun on a clay rock.","1 kilometer from Matahara, on road to Nazareth",In full sun on a clay rock,,253 m,"8°56'N, 39°55'E",2302805,Typed,no type status
0008_V0597557F.jpg,N/A,N/A,N/A,s.n.,s.d.,s.d.,s.d.,Cirsium heptacanthum Fres,Cirsium heptacanthum Freyn,N/A,N/A,N/A,Democratic Republic of the Congo,Sud-Kivu,Kabare,N/A,Habité: Musisi,Musisi,N/A,,Altitude:,Coordonnées géographiques:,N°: 2257689,Typed,no type status
0009_V0594376F.jpg,J.M. Fay,J.M. Fay,N/A,80I7,25 May 1987,1987-05-25,N/A,Burkea africana Hook.,Burkea africana Hook.,J.M. Fay,N/A,N/A,Central African Republic,N/A,N/A,N/A,"Park Manovo-Gounda-St. Floris, Vicinity of Camp Koumbala","Park Manovo-Gounda-St. Floris, Vicinity of Camp Koumbala",N/A,,1200 m,"08°29' N, 21°12' E","NCI # Wood G578/OO65, Bark G578/OO66, Root G578/OO67, Leaves G578/OO68",Typed,no type status
