Image,title,Collected by,Secondary Collectors,phylum,family,genus,specificEpithet,infraspecificEpithet,scientificNameAuthorship,identifiedBy,dateIdentified,acceptedScientificName,otherScientificName,scientificName,associatedTaxa,verbatimEventDate,eventDate,country,countryCode,firstPoliticalUnit,secondPoliticalUnit,city,verbatimLocality,locality,habitat,substrate,verbatimElevation,maximumElevationInMeters,minimumElevationInMeters,verbatimCoordinates,decimalLatitude,decimalLongitude,collectionCode,recordNumber,catalogNumber,language,languageRemarks,originalMethod,Type status,occurrenceRemarks,Sex,reproductiveCondition,generalNotes,expeditionFundedBy,generalInformationAboutThePlantSpecimenItself,rawFormat
0000_C0000578F.jpg,"Holotype Hepaticae of New Zealand, Telaranea lindenbergii var. papillata Engel & Merr.",John J. Engel,"Matt von Konrat, John E. Braggins",(Division): Marchantiophyta,Lepidoziaceae,Telaranea,lindenbergii,papillata,Engel & Merr.,"John J. Engel, Matt von Konrat, John E. Braggins",12 February 2003,Telaranea lindenbergii var. papillata Engel & Merr.,N/A,,"Blechnum novae-zelandiae, Weinmannia, Dicksonia squarrosa, Leptospermum scoparium",12 February 2003,12-02-2003,New Zealand,NZ,Auckland,N/A,N/A,"North Island, Auckland Prov.: Whareorino Forest, start of track to Leitch's Hut","Whareorino Forest, start of track to Leitch's Hut",On clayey bank,Clay bank,280 meters,280,280,"38° 24.5' S, 174° 49.8' E",-38.40833,174.83000,N/A,23773,1173554,English,N/A,,holotype,N/A,N/A,c. per + sporo (with perianth and sporophyte),"Supported by the National Geographic Society, The Field Museum","The National Geographic Society, The Field Museum","There appears to be a single plant specimen mounted on the sheet, without visible soil. The sample looks moderate in size.",
0001_C0020052F.jpg,Hepaticae of South Greenland S1,R. M. Schuster,K. Damsholt,Marchantiophyta,Lophoziaceae,Anastrepta,orcadensis,N/A,(Hook.) Schiffn.,N/A,N/A,Anastrepta orcadensis,Anastrophylum minutum (SCHREB.) SCHUST.,,Cephalozia bicuspidata (L.) DUM.,July 3,03-07-1982,Greenland,GL,N/A,N/A,N/A,Frederiksdal,Frederiksdal,N/A,N/A,N/A,N/A,N/A,"60°00'N lat., 44°40'W long.",60.0000,-44.6667,Museum Botanicum Hauniense,82-1049,N/A,English,N/A,Typed,no type status,N/A,N/A,N/A,N/A,N/A,N/A,
0002_C0025138F.jpg,"Hepaticae of the Nearctic,","R. M. Schuster,","N/A,","(Division): Marchantiophyta,","Frullaniaceae,","Frullania,","asagrayana,","N/A,","Mont.,","unsure and check,","(N/A),","Frullania asagrayana,","Plagiochila tridenticulata (traces),",,"Abies fraseri,","June 30 19 51,","1951-06-30,","United States of America,","US,","North Carolina,","N/A,","N/A,","Balsam Gap, NC, ca. 25 miles north of Asheville, along Blue Ridge Parkway, 5220-5260 feet,","Balsam Gap, Blue Ridge Parkway,","N/A,","on Abies fraseri,","5220-5260 feet,","1603 (conversion: 5260 feet * 0.3048),","1591 (conversion: 5220 feet * 0.3048),","N/A,","N/A,","N/A,","N/A,","9067,","N/A,","English,","N/A,","Typed,","no type status,","(N/A),","male,","can per (mature perianth),","N/A,",N/A,"N/A,",
0003_C0025164F.jpg,Hepaticae of Eastern North America,R. M. Schuster,N/A,(Division): Marchantiophyta,Frullaniaceae,Frullania,asagrayana,N/A,Mont.,R. M. Schuster,unsure and check,Frullania asagrayana (verified from The Checklist of the Liverworts and Hornworts of North America by GBIF at https://www.gbif.org/species/2683151),N/A,,N/A,April 14 1979,14-04-1979,United States of America,US,Arkansas,Stone County,N/A,"Ozark National Forest, Barkshed Camp, ca. 10 miles East of Big Flat","Ozark National Forest, Barkshed Camp area near Big Flat",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,79-488,N/A,English,N/A,Typed,no type status,N/A,N/A,N/A,N/A,N/A,N/A,
0004_C0020034F.jpg,"Hepaticae of Eastern North America, ",R. M. Schuster,N/A,Marchantiophyta,Aytoniaceae,"Anastrepta or Anastrophyllum (depending on the accepted scientific name, which requires verification)",minutum,N/A,(requires verification with the accepted scientific name),R. M. Schuster,N/A,Please provide an accessible image of the label displaying the scientific name so it can be verified.,N/A,,Diplophyllum taxifolium,Aug. 17 68,17-08-1968,Canada,CA,Newfoundland and Labrador,N/A,N/A,"Along Humber R., in Squires Memorial Park, near Rte 1A","Humber River, Squires Memorial Park, near Route 1A",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,68-1644,N/A,English,N/A,Typed,no type status,The specimen was collected along with gemmae,N/A,gemmae present,N/A,N/A,The label does not provide information about the physical characteristics of the plant specimen itself.,
0005_C0045536F_1586622756_web.jpg,"Flora of the United States of America, Field Museum of Natural History",Thomas G. Lammers,N/A,(Division): Pteridophyta,Dryopteridaceae,Dryopteris,carthusiana,N/A,(Vill.) H.P. Fuchs,Thomas G. Lammers,N/A,Dryopteris carthusiana,N/A,,N/A,9 May 1998,09-05-1998,United States of America,US,Illinois,Cook,Palos Township,"Cook County, Palos Township, Swallow Cliff Woods Forest Preserve, southwest of the jct. of U.S. Hwy 45 and State Hwy 83",Swallow Cliff Woods Forest Preserve,Maple-basswood forest on steep slopes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10674,2228497,English,N/A,Typed,no type status,N/A,N/A,N/A,Specimen collected on steep slopes of deep ravine south of toboggan run,N/A,"The plant specimen is mounted on a herbarium sheet; it appears as a single specimen with roots attached, looks moderate in size. No soil is visible",
0006_C2077559F.jpg,Bryophyta of Ecuador Hedwigia ciliata (Hedw.) P. Beauv.,Marko Lewis,N/A,(Division): Bryophyta,Hedwigiaceae,Hedwigia,ciliata,N/A,(Hedw.) P. Beauv.,Franklin E. D'Elia,1992,Hedwigia ciliata (Hedw.) P. Beauv.,N/A,,N/A,8 December 1978,1978-12-08,Ecuador,EC,Azuay,Unsure and check,N/A,"Area Nacional de Recreacion ""Cajas"", forested hills S. of ""Surrocucho"", (Logna-Limovuco), SW of Sayausi","Area Nacional de Recreacion ""Cajas""",Stonewall,N/A,3240 meters,N/A,3240 meters,N/A,N/A,N/A,Cryptogamic Herbarium,78-3163,1065433,English,N/A,Handwritten,no type status,N/A,N/A,N/A,N/A,N/A,There are multiple plant specimens mounted on a sheet,
0007_C2079898F.jpg,Bryophyta of Ecuador,M Lewis,N/A,(Division): Bryophyta,"uncertain, please verify",Kindbergia,praelonga,N/A,(Hedw.) Ochyra,V. C. Steere,N/A,unsure and check,N/A,,N/A,21-22 November 1978,21-11-1978/22-11-1978,Ecuador,EC,Imbabura,N/A,N/A,"E. side of Cerro Cotacachi, NW of Otavalo, 0°22'N, 78°20'W","East side of Cerro Cotacachi, northwest of Otavalo",Wet bank of runoff ravine,N/A,3750 m.,N/A,3750 meters,"0°22'N, 78°20'W",0.36667,-78.33333,Cryptogamic Herbarium,76-6284,1065158,English,N/A,Typed,no type status,N/A,N/A,N/A,N/A,N/A,There is a single plant specimen mounted on a sheet without any visible soil; the sample looks moderate in size,
0008_C0644079F.jpg,Blechnum occidentale L.,A. Monteagudo,"C. Mateo, G. Ortiz",(Division): Tracheophyta,Blechnaceae,Blechnum,occidentale,N/A,L.,H. van der Werff,2005,Blechnum occidentale L.,N/A,,N/A,10 Abril 2003,10-04-2003,Peru,PE,Pasco,Oxapampa,Distrito Pozuzo,"Distrito Pozuzo, Parque Nacional Yanachaga Chemillen Pozuzo Sector Pan de Azúcar, Zona de Recuperación","Parque Nacional Yanachaga Chemillen, Pozuzo Sector Pan de Azúcar, Zona de Recuperación",Bosque ribereño,Helecho terrestre adpreso a la roca,1100-1250m,1250,1100,10°15′ S 75°13′ W,-10.25,-75.2167,MO,4909,2287355,Spanish,N/A,Typed,no type status,"Helecho terrestre adpreso a la roca, soros marrones",N/A,soros marrones (brown sporangia),N/A,Missouri Botanical Garden Herbarium (MO),There are multiple plant specimens mounted on a sheet,
0009_V0075836F.jpg,Field Museum of Natural History ,S. Knapp,N/A,Polypodiophyta,Dryopteridaceae,Trichipteris,pinnata,N/A,(Stolze) R. M. Tryon,R. G. Stolze,1984,Trichipteris pinnata,N/A,,N/A,4 July 1982,1982-07-04,Panama,PA,Province of Colón,N/A,N/A,"Santa Rita Ridge road, 21-26 km from Transisthmian Highway, Tropical wet forest",Santa Rita Ridge road,Tropical wet forest,Terrestrial,500 - 550 meters,550,500,"9°25'N, 79°37'W",9.4167,-79.6167,MO,SB881,N/A,English,N/A,Typed,Holotype,Soil brown,N/A,N/A,Published in Amer. Fern J. 74(3): 1984,Missouri Botanical Garden Herbarium (MO),There are multiple plant specimens mounted on a sheet,
