record_ref,fieldname,observed_val,true_val,is this field,,,,
https://fm-digital-assets.fieldmuseum.org/2491/485/C0268502F_p.jpg,verbatimCollectors,leg. M. Fleischer,M. Fleischer,1,,,,
https://fm-digital-assets.fieldmuseum.org/2491/485/C0268502F_p.jpg,recordNumber,B 2754,B 2734,1,,,,
https://fm-digital-assets.fieldmuseum.org/2491/485/C0268502F_p.jpg,municipality,N/A,Eumundi,0,,,,
https://fm-digital-assets.fieldmuseum.org/2491/485/C0268502F_p.jpg,verbatimLocality,Bumundi (ca. 100 km nördlich Brisbane) Urwald,"Australien: Queensland, Eumundi (ca. 100 km nördlich Brisbane)",1,,,,
https://fm-digital-assets.fieldmuseum.org/2491/485/C0268502F_p.jpg,locality,Bumundi (approximately 100 kilometers north of Brisbane),Circa 100 kilometers nördlich Brisbane,1,,,,
https://fm-digital-assets.fieldmuseum.org/2491/486/C0268508F_p.jpg,verbatimCollectors,leg. M. Fleischer,M. Fleischer,1,,,,
https://fm-digital-assets.fieldmuseum.org/2491/486/C0268508F_p.jpg,verbatimLocality,Eumundi (ca. 100 km nördlich Brisbane) Urwald,"Australien: Queensland, Eumundi (ca. 100 km nördlich Brisbane)",1,,,,
https://fm-digital-assets.fieldmuseum.org/2491/486/C0268508F_p.jpg,locality,Eumundi (approximately 100 kilometers north of Brisbane),Circa 100 kilometers nördlich Brisbane,1,,,,
https://fm-digital-assets.fieldmuseum.org/2491/488/C0268514F_p.jpg,verbatimCollectors,leg. M. Fleischer,M. Fleischer,1,,,,
https://fm-digital-assets.fieldmuseum.org/2491/488/C0268514F_p.jpg,municipality,N/A,Sydney,0,,,,
https://fm-digital-assets.fieldmuseum.org/2491/488/C0268514F_p.jpg,verbatimLocality,Blue Mountains bei Sydney Wentworth Falls,"Australien: New South Wales, Blue Mountains bei Sydney, Wentworth Falls",1,,,,
https://fm-digital-assets.fieldmuseum.org/2491/488/C0268514F_p.jpg,locality,Blue Mountains near Sydney Wentworth Falls,"Blue Mountains, Wentworth Falls",1,,,,
https://fm-digital-assets.fieldmuseum.org/2491/491/C0268520F_p.jpg,verbatimCollectors,leg. M. Fleischer,M. Fleischer,1,,,,
https://fm-digital-assets.fieldmuseum.org/2491/491/C0268520F_p.jpg,municipality,N/A,Brisbane,0,,,,
https://fm-digital-assets.fieldmuseum.org/2491/491/C0268520F_p.jpg,verbatimLocality,bei Brisbane,"Australien: Queensland, bei Brisbane",1,,,,
https://fm-digital-assets.fieldmuseum.org/2491/491/C0268520F_p.jpg,locality,Brisbane,[precise locality unknown],0,,,,
https://fm-digital-assets.fieldmuseum.org/2303/612/C0268544F.jpg,verbatimCollectors,Coll. & det. T. Nakajima,T. Nakajima,1,,,,
https://fm-digital-assets.fieldmuseum.org/2303/612/C0268544F.jpg,verbatimIdentification,Macromitrium gymnostomum Sull. et Lesq. e. fr.,Macromitrium gymnostomum Sull. et Lesq.,1,,,,
https://fm-digital-assets.fieldmuseum.org/2303/612/C0268544F.jpg,verbatimDateIdentified,N/A,"Mar. 27, 1971",0,,,,
https://fm-digital-assets.fieldmuseum.org/2303/612/C0268544F.jpg,verbatimLocality,"Ohara, Yuya, Oto-mura, Nishimuro-gun","Ohara, Yuya, Oto-mura, Nishimuro-gun, Wakayama Prefecture",1,,,,
https://fm-digital-assets.fieldmuseum.org/2303/612/C0268544F.jpg,locality,"Ohara, Yuya, Oto-mura","Nishimuro District, Otomura, Yuya, Ohara",1,,,,
https://fm-digital-assets.fieldmuseum.org/2303/612/C0268544F.jpg,habitat,On vertical face of rock,N/A,0,,,,
https://fm-digital-assets.fieldmuseum.org/2303/612/C0268544F.jpg,verbatimElevation,330 m alt.,330 m,1,,,,
https://fm-digital-assets.fieldmuseum.org/2303/613/C0268545F.jpg,verbatimCollectors,Coll. & det. T. Nakajima,T. Nakajima,1,,,,
https://fm-digital-assets.fieldmuseum.org/2303/613/C0268545F.jpg,verbatimEventDate,4-May-68,4-May-58,1,,,,
https://fm-digital-assets.fieldmuseum.org/2303/613/C0268545F.jpg,minimumEventDate,5/4/1968,5/4/1958,1,,,,
https://fm-digital-assets.fieldmuseum.org/2303/613/C0268545F.jpg,verbatimDateIdentified,N/A,4-May-58,0,,,,
https://fm-digital-assets.fieldmuseum.org/2303/613/C0268545F.jpg,associatedTaxa,Fagus crenata,N/A,0,,,,
https://fm-digital-assets.fieldmuseum.org/2303/613/C0268545F.jpg,verbatimLocality,Mt. Ohako,"Mt. Obaki, Nara Prefecture",1,,,,
https://fm-digital-assets.fieldmuseum.org/2303/613/C0268545F.jpg,locality,Mt. Ohako,Mount Obako,1,,,,
https://fm-digital-assets.fieldmuseum.org/2303/613/C0268545F.jpg,habitat,On trunks of Fagus crenata,N/A,0,,,,
https://fm-digital-assets.fieldmuseum.org/2303/613/C0268545F.jpg,verbatimElevation,ca. 1200 m,1200 m,1,,,,
https://fm-digital-assets.fieldmuseum.org/2303/614/C0268546F.jpg,verbatimCollectors,Coll. & det. T. Nakajima,T. Nakajima,1,,,,
https://fm-digital-assets.fieldmuseum.org/2303/614/C0268546F.jpg,recordNumber,s.n.,1129,0,,,,
https://fm-digital-assets.fieldmuseum.org/2303/614/C0268546F.jpg,verbatimIdentification,Macromitrium gymnostomum Sull. & Lesq.,Macromitrium gymnostomum Sull. et Lesq.,1,,,,
https://fm-digital-assets.fieldmuseum.org/2303/614/C0268546F.jpg,verbatimDateIdentified,N/A,28-Mar-58,0,,,,
https://fm-digital-assets.fieldmuseum.org/2303/614/C0268546F.jpg,municipality,Shirahama-chō,Shirahama,1,,,,
https://fm-digital-assets.fieldmuseum.org/2303/614/C0268546F.jpg,verbatimLocality,"Sūgawa, Shirahama-chō, Nishimuro-gun, Wakayama Prefecture","Syōgawa, Shirahama-chō, Nishimuro-gun, Wakayama Prefecture",1,,,,
https://fm-digital-assets.fieldmuseum.org/2303/614/C0268546F.jpg,locality,"Sūgawa, Shirahama-chō","Nishimuro District, Syōgawa",1,,,,
https://fm-digital-assets.fieldmuseum.org/2303/614/C0268546F.jpg,habitat,"On rocks, ca. 100 meters alt.",N/A,0,,,,
https://fm-digital-assets.fieldmuseum.org/2303/614/C0268546F.jpg,verbatimElevation,ca. 100 m alt.,100 m,1,,,,
https://fm-digital-assets.fieldmuseum.org/2303/614/C0268546F.jpg,otherCatalogNumbers,10434191,1043491,1,,,,
https://fm-digital-assets.fieldmuseum.org/2303/617/C0268548F.jpg,verbatimCollectors,leg. S. Hattori,S. Hattori,1,,,,
https://fm-digital-assets.fieldmuseum.org/2303/617/C0268548F.jpg,recordNumber,s.n.,33,0,,,,
https://fm-digital-assets.fieldmuseum.org/2303/617/C0268548F.jpg,verbatimEventDate,LXX. 1946,X.1946,1,,,,
https://fm-digital-assets.fieldmuseum.org/2303/617/C0268548F.jpg,minimumEventDate,1946-07-00,1946-10-00,1,,,,
https://fm-digital-assets.fieldmuseum.org/2303/617/C0268548F.jpg,locality,"KIUSHIU, Miyazaki, Minaminaka, Sakatani","Kyushu Island | Mimaninaka District, Sakatani",1,,,,
https://fm-digital-assets.fieldmuseum.org/2303/617/C0268548F.jpg,habitat,ad arborum truncos,N/A,0,,,,
https://fm-digital-assets.fieldmuseum.org/2303/617/C0268548F.jpg,verbatimElevation,ca 500 m,ca. 500 m,1,,,,
https://fm-digital-assets.fieldmuseum.org/2303/617/C0268548F.jpg,otherCatalogNumbers,1285073,1285078,1,,,,
https://fm-digital-assets.fieldmuseum.org/2303/619/C0268549F.jpg,verbatimCollectors,R.P. J.B. Berrié,R.P. J.B. Ferrié,1,,,,
https://fm-digital-assets.fieldmuseum.org/2303/619/C0268549F.jpg,collectedBy,J. B. Berrié,R. P. Ferrié,1,,,,
https://fm-digital-assets.fieldmuseum.org/2303/619/C0268549F.jpg,secondaryCollectors,N/A,B. J. Ferrié,0,,,,
https://fm-digital-assets.fieldmuseum.org/2303/619/C0268549F.jpg,identifiedBy,Thériot,E. C. Thériot,1,,,,
https://fm-digital-assets.fieldmuseum.org/2303/619/C0268549F.jpg,verbatimLocality,Iles Liou-Kiou - Centre de l'Ile,Japon : Iles Liou-Kiou - Centre de l'ile,1,,,,
https://fm-digital-assets.fieldmuseum.org/2303/619/C0268549F.jpg,locality,Centre de l'Ile,Iles Liou-Kiou | Centre d'ile,1,,,,
https://fm-digital-assets.fieldmuseum.org/2303/621/C0268550F.jpg,verbatimCollectors,Leg. R. P. J. B. Ferrié,R.P. J.B. Ferrié,1,,,,
https://fm-digital-assets.fieldmuseum.org/2303/621/C0268550F.jpg,secondaryCollectors,J. B. Ferrié,B. J. Ferrié,1,,,,
https://fm-digital-assets.fieldmuseum.org/2303/621/C0268550F.jpg,verbatimEventDate,oct. - nov. 1898,oct.nov.1898,1,,,,
https://fm-digital-assets.fieldmuseum.org/2303/621/C0268550F.jpg,verbatimIdentification,Macromitrium gymnostomum S. L. = m. rupestre Mitt Sull. Card.,Macromitrium gymnostomum S. L.,1,,,,
https://fm-digital-assets.fieldmuseum.org/2303/621/C0268550F.jpg,identifiedBy,Thériot,E. C. Thériot,1,,,,
https://fm-digital-assets.fieldmuseum.org/2303/621/C0268550F.jpg,firstPoliticalUnit,Kagoshima,N/A,0,,,,
https://fm-digital-assets.fieldmuseum.org/2303/621/C0268550F.jpg,verbatimLocality,Yaku-Sima,Japon : Yaku-Sima,1,,,,
https://fm-digital-assets.fieldmuseum.org/2303/621/C0268550F.jpg,locality,Yaku-Sima,Yakushima Island,1,,,,
https://fm-digital-assets.fieldmuseum.org/2303/629/C0268554F.jpg,verbatimIdentification,Macromitrium incurvifolium (Hook. & Grev.) Schwager.,Macromitrium incurvifolium (Hook. & Grev.) Schwaegr.,1,,,,
https://fm-digital-assets.fieldmuseum.org/2303/629/C0268554F.jpg,verbatimLocality,In fork of Plumeria tree in garden.,"Papua New Guinea, Morobe Distr., Lae",0,,,,
https://fm-digital-assets.fieldmuseum.org/2303/629/C0268554F.jpg,locality,In fork of Plumeria tree in garden.,[precise locality unknown],0,,,,
https://fm-digital-assets.fieldmuseum.org/2303/629/C0268554F.jpg,habitat,N/A,Garden,0,,,,
https://fm-digital-assets.fieldmuseum.org/2303/629/C0268554F.jpg,verbatimElevation,c. 20 m.,c. 20 m,1,,,,
