collectedBy,secondaryCollectors,recordNumber,minimumEventDate,maximumEventDate,verbatimIdentification,latestScientificName,identifiedBy,verbatimDateIdentified,associatedTaxa,country,firstPoliticalUnit,secondPoliticalUnit,municipality,locality,habitat,verbatimElevation,otherCatalogNumbers,originalMethod,typeStatus
H. Fleischer,N/A,B 2734,1903-04-25,N/A,Macromitrium,Macromitrium,N/A,N/A,N/A,Australia,Queensland,N/A,N/A,Eumundi (approximately 100 kilometers north of Brisbane) [precise locality unknown],Urwald (primeval forest),N/A,1076713 1044984,Mix of Handwritten and Typed,no type status
W Fleischer,N/A,B 2692,PASS,N/A,Macromitrium,Macromitrium,N/A,N/A,N/A,Australia,Queensland,N/A,N/A,Eumundi (about 100 kilometers north of Brisbane) [precise locality unknown],Urwald (primeval forest),N/A,1076659 | 1041125,Typed,no type status
M. Fleischer,N/A,B 2952,1903-04-06,N/A,Macromitrium,Macromitrium,N/A,N/A,N/A,Australia,New South Wales,N/A,N/A,"Blue Mountains near Sydney, Wentworth Falls [precise locality unknown]",N/A,N/A,1076821,Typed,no type status
M Fleischer,N/A,B 2697,1903-03-20,N/A,Macromitrium,Macromitrium,N/A,N/A,N/A,Australia,Queensland,N/A,Brisbane,near Brisbane,N/A,N/A,1076705 | 1044145,Mix of Handwritten and Typed,no type status
T. Nakajima,N/A,s.n.,1971-03-27,N/A,Macromitrium gymnostomum Sull. et Lesq. c. fr.,Macromitrium gymnostomum,A. Noguchi | Z. Iwatsuki,N/A,N/A,Japan,Wakayama,N/A,Ohara,"On vertical face of rock, Ohara, Yata [precise locality unknown]",On vertical face of rock,330 m alt.,1043494,Typed,no type status
T. Nakajima,N/A,s.n.,1958-05-04,N/A,Macromitrium gymnostomum Sull. et Lesq.,Macromitrium gymnostomum,A. Noguchi,N/A,Fagus crenata,Japan,Nara Prefecture,N/A,N/A,"On trunks of Fagus crenata, Mount Ohako [precise locality unknown]",On trunks of Fagus crenata,ca. 1200 m. alt.,1043492,Typed,no type status
T. Nakajima,N/A,s.n.,1967-03-28,N/A,Macromitrium gymnostomum Sull. & Lesq.,Macromitrium gymnostomum,A. N.,N/A,N/A,Japan,Wakayama,N/A,N/A,"On rocks, approximately 100 meters altitude, Sōryama-chō",On rocks,ca. 100 m alt.,1043491,PASS,no type status
S. Hattori,N/A,s.n.,1946-10-01,N/A,Macromitrium gymnostomum Sull et Lesq,Macromitrium gymnostomum,A. Noguchi,N/A,N/A,Japan,Miyazaki,N/A,N/A,Minamimata Sakatani [precise locality unknown],ad arborum truncos,ca 500 m,1235073,Mix of Handwritten and Typed,no type status
R. P. J. B. Faurie,N/A,s.n.,1898-04-20,N/A,Macromitrium gymnostomum S. L.,Macromitrium gymnostomum,Thériot,N/A,N/A,Japan,N/A,N/A,N/A,[precise locality unknown],N/A,N/A,1000415,Typed,no type status
R. P. J. B. Ferrié,N/A,s.n.,1898-10-00,1898-11-00,Macromitrium gymnostomum S. L. = m. rupestre Mitt. Bull. Card.,Macromitrium gymnostomum,Thériot,N/A,N/A,Japan,N/A,N/A,N/A,Yaku-Sima,N/A,N/A,1000416,Typed,no type status
N/A,N/A,14660,1975-03-09,N/A,Macromitrium incurvifolium (Hook. & Grev.) Schwaegr,Macromitrium incurvifolium,D. H. Vitt,N/A,N/A,Papua New Guinea,Morobe,Lae,N/A,In fork of Plumeria tree in garden,N/A,Alt. c 20 m,1142151,Typed,no type status
A Touw,N/A,18543,1975-05-20,N/A,Macromitrium longicaule C Müll,Macromitrium longicaule,D H Vitt,N/A,N/A,Papua New Guinea,West Sepik,PASS,N/A,PASS,Wet forest on slope above river on trees along river,Alt c 1500 - 1550 m,1141855,Typed,no type status
N/A,N/A,s.n.,1975-05-08,N/A,Macromitrium macrosporum Broth.,Macromitrium macrosporum,PASS,N/A,N/A,Papua New Guinea,West Sepik,Star Mts.,N/A,NE summit of Mt Capella [precise locality unknown],on stems and branches of trees and shrubs in summit scrub,Alt. c. 3900 m.,1142194,Typed,no type status
A Touw,N/A,16376,1975-04-17,N/A,Macromitrium macrosporum Broth,Macromitrium macrosporum,D H Vitt,N/A,N/A,Papua New Guinea,West Sepik,N/A,N/A,Mt Capella Base Camp Limestone ridge near camp about 4-5 meters high stunted forest on ridge,Limestone ridge near camp about 4-5 meters high stunted forest on ridge,Alt c 3600 m,1142178,Typed,no type status
A. Touw,N/A,17312,1975-05-08,N/A,Macromitrium macrosporum Broth.,Macromitrium macrosporum,D. H. Vitt,N/A,N/A,Papua New Guinea,West Sepik,Star Mountains,N/A,NE Summit of Mt Capella Summit of ridge between Mt Capella Base Camp and Mt Capella ridge on isolated tree [precise locality unknown],N/A,Alt. c. 3650 m,1142156,Typed,no type status
