Image,title,collectedBy,secondaryCollectors,phylum,family,genus,specificEpithet,infraspecificEpithet,scientificNameAuthorship,identifiedBy,dateIdentified,acceptedScientificName,otherScientificName,scientificName,associatedTaxa,verbatimEventDate,eventDate,country,countryCode,firstPoliticalUnit,secondPoliticalUnit,city,verbatimLocality,locality,habitat,substrate,verbatimElevation,maximumElevationInMeters,minimumElevationInMeters,verbatimCoordinates,decimalLatitude,decimalLongitude,collectionCode,recordNumber,catalogNumber,language,languageRemarks,originalMethod,typeStatus,occuranceRemarks,sex,reproductiveCondition,generalNotes,expeditionFundedBy,generalInformationAboutThePlantSpecimenItself,rawFormat
0000_C0268559F_ENH.jpg,,A. Touw,N/A,,,,,,,D. H. Vitt,,,,,N/A,17.4.1975,,Papua New Guinea,,West Sepik,N/A,,Star Mts. c. 5°14′S 141°01′E Mt. Capella Base Camp Limestone ridge near camp,Star Mountains Mount Capella Base Camp Limestone ridge near camp,c. 4-5 m high stunted forest on ridge. On trees and shrubs,,c. 3600 m,,,c. 5°14′S 141°01′E,,,,16376,,,,Typed,no type status,,,,,,,
0001_C0341051F_ENH.jpg,,M. Lewis,N/A,,,,,,,Unsure and check,,,,,N/A,1 June 1979,,Bolivia,,Cochabamba,Chaparé,,"Slope of Cerro Khachi, N. of Corani","Slope of Cerro Khachi, north of Corani","On stones and banks of seepy creek in cloud forest ravine, with tree ferns",,3030 m,,,"17° 11' S, 65° 54' W",,,,79-2315,,,,Typed,no type status,,,,,,,
0002_C0341234F_ENH.jpg,,H. A. Crum,N/A,,,,,,,I. De Luna,,,,,N/A,23 July 1949,,Mexico,,Jalisco,N/A,,Slopes of La Ferreria above Manantlan,Slopes of La Ferreria above Manantlan,On dead limb fallen Oak forest,,7300 feet,,,N/A,,,,917,,,,Mix of Handwritten and Typed,no type status,,,,,,,
0003_C0341237F_ENH.jpg,,C. G. Pringle,N/A,,,,,,,E. De Luna,,,,,N/A,"17, July, 1908",,Mexico,,Federal District,N/A,,Base of trees Chap.,Base of trees Chapultepec Forest,N/A,,1000 ft.,,,N/A,,,,10550,,,,Typed,no type status,,,,,,,
0004_C0341238F_ENH.jpg,,N. Eggers,N. Frahm,,,,,,,B. De Luna,,,,,N/A,10.5.1979 (29),,Mexico,,Chiapas,N/A,,KM 100 AN DER STR. OCOSINGO-SAN CRISTOBAL EICHEN-KIEFERNWALD,Kilometer 100 on the road Ocosingo-San Cristobal,Oak pine forest,,2050 m,,,N/A,,,,s.n.,,,,Typed,no type status,,,,,,,
0005_C0341239F_ENH.jpg,,E. Eggers,N. Frahm,,,,,,,E. De Luna,,,,,N/A,10.3.79(29),,Mexico,,Chiapas,N/A,,KM 100 AN DER STR. OCU-SLNG-O-SAN CRISTOBAL EICHEN+KIEFERNNDLAU 2250 M,KM 100 AN DER STR. OCU-SLNG-O-SAN CRISTOBAL,EICHEN+KIEFERNNDLAU,,2250 M,,,N/A,,,,s.n.,,,,Typed,no type status,,,,,,,
0006_C0342165F_ENH.jpg,,J. J. Wurdack,N/A,,,,,,,E. B. Bartram,,,,,N/A,"February 21, 1953",,Venezuela,,Bolivar,N/A,,Frequent on fallen logs in forest between Camps 3 and 2,Between Camps 3 and 2,Slope forest Tepépán-tepui,,elev. 1250 - 1200 m,,,N/A,,,,34365,,,,Mix of Handwritten and Typed,no type status,,,,,,,
0007_C0342515F_ENH.jpg,,T. Husnot,N/A,,,,,,,N/A,,,,,N/A,N/A,,France,,N/A,N/A,,Rochers schisteux de la Solenetta (Lambardie) Aout,Rochers schisteux de la Solenetta Lambardie,N/A,,N/A,,,N/A,,,,s.n.,,,,Typed,no type status,,,,,,,
0008_C0398471F_ENH.jpg,,H. Inoue,N/A,,,,,,,Z. Iwatsuki,,,,,Pinus thunbergii,"Jan. 11, 1973",,Japan,,Ryukyu Isls,N/A,,"Around Shirahama, Iriomote Isl., the Ryukyu Isls","Around Shirahama, Iriomote Island",On bark of Pinus thunbergii,,elevation about 10 m,,,N/A,,,,s.n.,,,,Typed,no type status,,,,,,,
0009_C0399126F_ENH.jpg,,E. Reitz,N/A,,,,,,,L. R. Parra,,,,,N/A,17.12.1948,,Brazil,,Santa Catarina,N/A,,"Campo dos Padres, D. Retiro","Campo dos Padres, D. Retiro",Pasture,,2000 msm,,,N/A,,,,2464,,,,Typed,no type status,,,,,,,
