Dataset Source,accessURI,modifiedBy,verifiedBy,catalogNumber,verbatimCollectors,collectedBy,secondaryCollectors,recordNumber,verbatimEventDate,minimumEventDate,maximumEventDate,verbatimIdentification,latestScientificName,identifiedBy,verbatimDateIdentified,associatedTaxa,country,firstPoliticalUnit,secondPoliticalUnit,municipality,verbatimLocality,locality,habitat,substrate,verbatimElevation,verbatimCoordinates,otherCatalogNumbers,originalMethod,typeStatus
EMu Field Museum | African Plants Portal,https://fm-digital-assets.fieldmuseum.org/2433/459/V0573776F.jpg,,,0000_V0573776F.jpg,E. Heller & Mearns,E. Heller,Mearns,8752,"Jan. 16 to Feb. 2, 1909",1909-01-16,1909-02-02,Cyperus maculatus Boeck.,Cyperus maculatus Boeck.,N/A,19.10.1912,N/A,Congo Free State,N/A,N/A,N/A,"""Rhino Camp"", Bahr el Jebel, Lado Enclave, Congo Free State","""Rhino Camp"", Bahr el Jebel, Lado Enclave",N/A,N/A,N/A,N/A,463860,Typed,no type status
EMu Field Museum | African Plants Portal,https://fm-digital-assets.fieldmuseum.org/2437/184/V0576008F.jpg,,,0001_V0576008F.jpg,F. G. Overlaet,F. G. Overlaet,N/A,1923-4,1923-4,1923-04-00,1923-04-00,Habenaria,Habenaria,Borge Petterson,52,N/A,Belgian Congo,N/A,N/A,N/A,N/A,[precise locality unknown],N/A,N/A,N/A,N/A,752356,Typed,no type status
EMu Field Museum | African Plants Portal,https://fm-digital-assets.fieldmuseum.org/2433/678/V0576279F.jpg,,,0002_V0576279F.jpg,R. A. Maas Geesteranus,R. A. Maas Geesteranus,N/A,4924,d.d. 14-VI-1919,1919-06-14,N/A,Pycreus sanguinolentus (Vahl) C.B.Cl.,Pycreus sanguinolentus (Vahl) C.B.Cl.,N/A,N/A,"Dombeya mastersii, Olea hochstetteri",Kenya,Nyanza Province,Londiani Distr.,N/A,"Londiani Distr., Tinderet Forest Reserve, Camp I","Londiani District, Tinderet Forest Reserve, Camp I","Glade surrounded by rather open, tall forest",soil,2260 m.s.m.,"lat. 0° 5' S., long. 35° 27' E.",1447352,Typed,no type status
EMu Field Museum | African Plants Portal,https://fm-digital-assets.fieldmuseum.org/2437/413/V0577013F.jpg,,,0003_V0577013F.jpg,J.M. Reitsma & B. Reitsma,J.M. Reitsma,B. Reitsma,20123,d.d. 3-3-86,1986-03-03,N/A,Bulbophyllum scaberulum (Rolfe) Bolus var. scaberulum,Bulbophyllum scaberulum (Rolfe) Bolus var. scaberulum,Olga Kosenkovsky,2011,N/A,Gabon,Ogooué,N/A,N/A,"ca 6 km NW of Oveny, chantier Rougier & Cie","ca 6 km northwest of Oveny, chantier Rougier & Cie",Primary rain forests,N/A,N/A,N/A,N/A,Typed,no type status
EMu Field Museum | African Plants Portal,https://fm-digital-assets.fieldmuseum.org/2434/201/V0577892F.jpg,,,0004_V0577892F.jpg,Carvalho,Carvalho,N/A,2102,26-VII-1980,1980-07-26,N/A,Mariscus alternifolius Vahl,Mariscus alternifolius Vahl,C. Cebolla & M.A. Rivas Ponce (UAM),1995,N/A,Equatorial Guinea,Bioco,N/A,Malabo,"""Malabo, finca las Carboneras, 32NMK7415, m Bosque secundario y terrenos incultos""","""Malabo, finca las Carboneras""",Bosque secundario y terrenos incultos,soil,N/A,32NMK7415,2201108,Typed,no type status
EMu Field Museum | African Plants Portal,https://fm-digital-assets.fieldmuseum.org/2437/617/V0578553F.jpg,,,0005_V0578553F.jpg,C. Aedo & al.,C. Aedo,et al.,11206,5-III-1989,1989-03-05,N/A,Agrostis mannii (Hooker fil.) Stapf,Agrostis mannii (Hooker fil.) Stapf,C. Cebolla & M.A. Rivas Ponce,V-1993,N/A,Guinée Équatorialis,Bioco,N/A,N/A,"cumbre del pico Basile, 32NMJ7396, 2370 m. margenes de la pista, Fernández Casas 11206, 5-III-1989.","cumbre del pico Basile, 32NMJ7396, margenes de la pista, Fernández Casas",N/A,soil,2370 m,32NMJ7396,2200806,Typed,no type status
EMu Field Museum | African Plants Portal,https://fm-digital-assets.fieldmuseum.org/2441/863/V0574052F.jpg,,,0006_V0574052F.jpg,L. F. Overlaet,L. F. Overlaet,N/A,18324,1932-4,1932-04-00,N/A,Scleria sp.,Scleria sp.,N/A,N/A,N/A,Belgian Congo,N/A,N/A,N/A,N/A,[precise locality unknown],N/A,N/A,N/A,N/A,752378,Typed,no type status
EMu Field Museum | African Plants Portal,https://fm-digital-assets.fieldmuseum.org/2446/122/V0577681F.jpg,,,0007_V0577681F.jpg,C.J.P. Seegeler,C.J.P. Seegeler,N/A,2806,d.d.: 23 October 1972,1972-10-23,1972-10-23,Vernonia amygdalina Del.,Vernonia amygdalina Del.,G.J.H. Amshoff,1982,N/A,Ethiopia,N/A,N/A,N/A,"On a rocky mountain, on road to Nazareth. 11 km SSW from Metahara.","On a rocky mountain, 11 kilometers south-southwest from Metahara, on road to Nazareth",N/A,rock,ca 925m,"8° 56' N, 39° 55' E",2302805,Typed,no type status
EMu Field Museum | African Plants Portal,https://fm-digital-assets.fieldmuseum.org/2442/190/V0597557F.jpg,,,0008_V0597557F.jpg,N/A,N/A,N/A,L8,05/02/2008,2008-02-05,N/A,Cirsium heptacanthum Fres.,Cirsium heptacanthum Fres.,N/A,N/A,N/A,Pays: [The country is not specified on the label],Province: Sud-Kivu,N/A,N/A,Localite: Musisi Hab: [excluded],Musisi,"[The full habitat description is not given beyond the abbreviation ""Hab:"" which refers to habitat. Since there is no specific description provided, this cannot be determined from the provided information.]",N/A,Altitude: [excluded],Coordonnées géographiques: [not provided],Nº: 2257689,Typed,no type status
EMu Field Museum | African Plants Portal,https://fm-digital-assets.fieldmuseum.org/2452/643/V0594376F.jpg,,,0009_V0594376F.jpg,J.M. Fay 8017,J.m. fay,N/A,8017,25 May 1987,1987-05-25,N/A,"Caesalpiniaceae, Burkea africana Hook.",Burkea africana Hook.,J.M. Fay,N/A,N/A,Central African Republic,N/A,N/A,N/A,Parc Manovo-Gounda-St. Floris. Vicinity of Camp Kounbala.,Park Manovo-Gounda-St. Floris. Vicinity of Camp Kounbala,N/A,N/A,elev: 600 m,08°29'N 21°12'E,"NCI# Wood Q678D065, Bark Q678D066, Root Q678D067, Leaves Q678D068",Typed,no type status
EMu Field Museum | African Plants Portal,https://fm-digital-assets.fieldmuseum.org/2453/856/V0597275F.jpg,,,0010_V0597275F.jpg,P.C.M. Jansen,P.C.M. Jansen,N/A,9096,no date,N/A,N/A,Cirsium vulgare (Savi) Ten.,Cirsium vulgare (Savi) Ten.,C.C.H. Jongkind,14 April 1976,N/A,Ethiopia,Harerge,N/A,N/A,"around Damota Village, near Alemaya, between chat and sorghum fields","around Damota Village, near Alemaya, between chat and sorghum fields",Ground roots are drunk against gonorrhoea,N/A,1920m,N/A,N° 2302849,Typed,no type status
