collectedBy,secondaryCollectors,recordNumber,minimumEventDate,maximumEventDate,verbatimIdentification,latestScientificName,identifiedBy,verbatimDateIdentified,associatedTaxa,country,firstPoliticalUnit,secondPoliticalUnit,municipality,locality,habitat,verbatimElevation,otherCatalogNumbers,originalMethod,typeStatus
M. Fleischer,N/A,B 2754,1903-03-25,N/A,Macromitrium,Macromitrium,unsure and check,PASS,N/A,Australia,Queensland,N/A,N/A,Bumundi (approximately 100 kilometers north of Brisbane),Urwald,N/A,1076713,Typed,no type status
M. Fleischer,N/A,B 2692,1903-03-25,N/A,Macromitrium,Macromitrium,unsure and check,PASS,N/A,Australia,Queensland,N/A,Eumundi,Eumundi (approximately 100 kilometers north of Brisbane),Urwald,N/A,PASS,Typed,no type status
M. Fleischer,N/A,B 2552,1903-04-06,N/A,Macromitrium,Macromitrium,unsure and check,unsure and check,N/A,Australia,New South Wales,N/A,N/A,Blue Mountains near Sydney Wentworth Falls,N/A,N/A,1076824,Typed,no type status
M. Fleischer,N/A,B 2697,1903-03-20,N/A,Macromitrium,Macromitrium,unsure and check,PASS,N/A,Australia,Queensland,N/A,N/A,Brisbane,N/A,N/A,1076705,Typed,no type status
T. Nakajima,N/A,1229,1971-03-27,N/A,Macromitrium gymnostomum Sull. et Lesq. e. fr.,Macromitrium gymnostomum,T. Nakajima,PASS,N/A,Japan,Wakayama,N/A,N/A,"Ohara, Yuya, Oto-mura",On vertical face of rock,330 m alt.,1043494,Typed,no type status
T. Nakajima,N/A,714,1968-05-04,N/A,Macromitrium gymnostomum Sull. et Lesq.,Macromitrium gymnostomum,T. Nakajima,N/A,Fagus crenata,Japan,Nara,N/A,N/A,Mt. Ohako,On trunks of Fagus crenata,PASS,1043492,Typed,no type status
T. Nakajima,N/A,s.n.,1967-03-28,N/A,Macromitrium gymnostomum Sull. & Lesq.,Macromitrium gymnostomum,T. Nakajima,N/A,N/A,Japan,Wakayama,N/A,Shirahama-chō,"Sūgawa, Shirahama-chō",PASS,ca. 100 m alt.,PASS,Typed,no type status
S. Hattori,N/A,s.n.,1946-07-00,N/A,Macromitrium gymnostomum Sull. et Lesq.,Macromitrium gymnostomum,A. Noguchi,N/A,N/A,Japan,Miyazaki,N/A,N/A,"KIUSHIU, Miyazaki, Minaminaka, Sakatani",ad arborum truncos,ca 500 m,PASS,Typed,no type status
J. B. Berrié,N/A,s.n.,1898-04-20,N/A,Macromitrium gymnostomum S. L.,Macromitrium gymnostomum,Thériot,N/A,N/A,Japan,N/A,N/A,N/A,Centre de l'Ile,N/A,N/A,1000415,Typed,no type status
R. P. Ferrié,PASS,s.n.,1898-10-00,1898-11-00,Macromitrium gymnostomum S. L. = m. rupestre Mitt Sull. Card.,Macromitrium gymnostomum,Thériot,N/A,N/A,Japan,Kagoshima,N/A,N/A,Yaku-Sima,N/A,N/A,1000416,Typed,no type status
A. Touw,N/A,14660,1975-03-09,N/A,Macromitrium incurvifolium (Hook. & Grev.) Schwager.,Macromitrium incurvifolium,D. H. Vitt,N/A,N/A,Papua New Guinea,Morobe,N/A,Lae,PASS,PASS,c. 20 m.,1142151,Typed,no type status
A. Touw,N/A,18543,1975-05-20,N/A,Macromitrium longicaule C. Müll.,Macromitrium longicaule,D. H. Vitt,N/A,N/A,Papua New Guinea,West Sepik,PASS,PASS,PASS,PASS,c. 1500 - 1550 m,1141855,Typed,no type status
N/A,N/A,17369,1975-05-08,N/A,Macromitrium macrosporum Broth.,Macromitrium macrosporum,D. H. Vitt,N/A,N/A,Papua New Guinea,West Sepik,Star Mts.,N/A,NE summit of Mount Capella,On stems and branches of trees and shrubs in summit scrub.,PASS,1142194,Typed,no type status
PASS,N/A,16376,1975-04-17,N/A,Macromitrium macrosporum Broth.,Macromitrium macrosporum,D. H. Vitt,N/A,N/A,Papua New Guinea,West Sepik,N/A,N/A,Mt. Capella Base Camp Limestone ridge near camp,c. 4-5 m high stunted forest on ridge on trees and shrubs,c. 3600 m,1142178,Typed,no type status
PASS,N/A,PASS,1975-05-08,N/A,Macromitrium macrosporum Broth.,Macromitrium macrosporum,D. H. Vitt,N/A,N/A,Papua New Guinea,West Sepik,N/A,N/A,PASS,N/A,c. 3650 m,1142156,Typed,no type status
A. Touw,N/A,16420,1975-04-19,N/A,Macromitrium macrosporum Broth.,Macromitrium macrosporum,D. H. Vitt,N/A,N/A,Papua New Guinea,West Sepik,N/A,N/A,PASS,Forest remnant in deep chasm near the summit on soaking wet bark of trees,c. 3900 m,1142175,Typed,no type status
PASS,N/A,17205,1975-05-05,N/A,Macromitrium macrosporum Broth.,Macromitrium macrosporum,D. H. Vitt,N/A,N/A,Papua New Guinea,West Sepik,Star Mts.,N/A,PASS,PASS,c. 3450 m.,1141880,Typed,no type status
A. Town,N/A,18046,1975-05-14,N/A,Macromitrium megalocladon Fleisch.,Macromitrium megalocladon,D. H. Vitt,N/A,N/A,Papua New Guinea,West Sepik,N/A,N/A,Star Mountains Upper montane forest between Folongonom and Arits' Camp,Pendulous from heavy tree branches and slanting trunks,c. 2500 - 2600 m.,1142187,Typed,no type status
A. Touw,N/A,16555,1975-04-21,N/A,Macromitrium megalocladon Fleisch.,Macromitrium megalocladon,D. H. Vitt,N/A,N/A,Papua New Guinea,West Sepik,Star Mts.,N/A,PASS,N/A,c. 3400 m,1142432,Typed,no type status
A. Touw,N/A,15768,1975-04-07,N/A,Macromitrium megalocladon Fleisch.,Macromitrium megalocladon,D. H. Vitt,PASS,N/A,Papua New Guinea,West Sepik,N/A,N/A,PASS,PASS,c. 3350 m,1142300,Typed,no type status
S. Hattori,N/A,s.n.,1946-08-00,N/A,Macromitrium incurvum (Lindb.) Par.,Macromitrium incurvum,A. Noguchi,Ser. I (1947),N/A,Japan,Miyazaki,Minaminaka,Obi,Obi,rupicolous photophilous ca 50 m,ca 50 m,4235066,Typed,no type status
K. Mayebara,N/A,s.n.,1951-12-25,N/A,Macromitrium incurvum (Lindb.) Par.,Macromitrium incurvum,A. Noguchi,N/A,N/A,Japan,Kumamoto,N/A,Yoshio,On exposed rocks 60 meters above sea Yoshio,PASS,60 m. above sea,1043529,Typed,no type status
A. Mayebara,N/A,430,1952-02-11,N/A,Macromitrium gymnostomum Sull. et Lesq.,Macromitrium gymnostomum,A. Noguchi,N/A,N/A,Japan,Kumamoto,N/A,PASS,PASS,On rocks,ca. 100 m. above sea,1043490,Typed,no type status
