verbatimCollectors,collectedBy,secondaryCollectors,recordNumber,verbatimEventDate,minimumEventDate,maximumEventDate,verbatimIdentification,latestScientificName,identifiedBy,verbatimDateIdentified,associatedTaxa,country,firstPoliticalUnit,secondPoliticalUnit,municipality,verbatimLocality,locality,habitat,verbatimElevation,verbatimCoordinates,otherCatalogNumbers,originalMethod,typeStatus
leg H Fleischer nr B 2734,H. Fleischer,N/A,B 2734,25 4 1903,1903-04-25,N/A,Macromitrium,Macromitrium, N/A,N/A,N/A,Australia,Queensland,N/A,N/A,Eumundi (ca 100 km nordlich Brisbane) Urwald,Eumundi (approximately 100 kilometers north of Brisbane) [precise locality unknown],Urwald (primeval forest),N/A,N/A,1076713 1044984,Mix of Handwritten and Typed,no type status
leg W Fleischer nr B 2692,W. Fleischer,N/A,B 2692,PASS,PASS,N/A,Macromitrium,Macromitrium, N/A,N/A,N/A,Australia,Queensland,N/A,N/A,Eumundi (ca 100 km nordlich Brisbane) Urwald,Eumundi (about 100 kilometers north of Brisbane) [precise locality unknown],Urwald (primeval forest),N/A,N/A,1076659 | 1041125,Typed,no type status
leg M Fleischer nr B 2952,M. Fleischer,N/A,B 2952,6.4.1903,1903-04-06,N/A,Macromitrium,Macromitrium, N/A,N/A,N/A,Australia,New South Wales,N/A,N/A,"Blue Mountains bei Sydney, Wentworth Falls","Blue Mountains near Sydney, Wentworth Falls [precise locality unknown]",N/A,N/A,N/A,1076821,Typed,no type status
leg M Fleischer nr B 2697,M. Fleischer,N/A,B 2697,20 3 1903,1903-03-20,N/A,Macromitrium,Macromitrium, N/A,N/A,N/A,Australia,Queensland,N/A,Brisbane,bei Brisbane,near Brisbane,N/A,N/A,N/A,1076705 | 1044145,Mix of Handwritten and Typed,no type status
T Nakajima,T. Nakajima,N/A,s.n.,"Mar. 27, 1971",1971-03-27,N/A,Macromitrium gymnostomum Sull. et Lesq. c. fr.,Macromitrium gymnostomum,A. N. |. Z. Iwatsuki,N/A,N/A,Japan,Wakayama,N/A,Ohara,"On vertical face of rock, 330 m alt., Ohara, Yata, Nishimuro-gun, Wakayama Prefecture","On vertical face of rock, Ohara, Yata [precise locality unknown]",On vertical face of rock,330 m alt.,N/A,1043494,Typed,no type status
N/A,T. Nakajima,N/A,s.n.,"May 4, 1958",1958-05-04,N/A,Macromitrium gymnostomum Sull. et Lesq.,Macromitrium gymnostomum,A. Noguchi,N/A,Fagus crenata,Japan,Nara Prefecture,N/A,N/A,"On trunks of Fagus crenata, ca. 1200 m. alt., Mt. Ohako; Nara Prefecture","On trunks of Fagus crenata, Mount Ohako [precise locality unknown]",On trunks of Fagus crenata,ca. 1200 m. alt.,N/A,1043492,Typed,no type status
T Nakajima,T. Nakajima,N/A,s.n.,"March 28, 1967",1967-03-28,N/A,Macromitrium gymnostomum Sull. & Lesq.,Macromitrium gymnostomum,A. N.,N/A,N/A,Japan,Wakayama,N/A,N/A,"On rocks, ca. 100 m alt., Sōryama-chō, Nishimuro-gun, Wakayama Prefecture","On rocks, approximately 100 meters altitude, Sōryama-chō",On rocks,ca. 100 m alt.,N/A,1043491,PASS,no type status
leg S Hattori,S. Hattori,N/A,s.n.,1 X 1946,1946-10-01,N/A,Macromitrium gymnostomum Sull et Lesq,Macromitrium gymnostomum,A. Noguchi,N/A,N/A,Japan,Miyazaki,N/A,N/A,KIUSHIU Miyazaki Minamimata Sakatani,Minamimata Sakatani [precise locality unknown],ad arborum truncos,ca 500 m,N/A,1235073,Mix of Handwritten and Typed,no type status
R.P.J.B. Faurie,R. P. J. B. Faurie,N/A,s.n.,20.4.1898,1898-04-20,N/A,Macromitrium gymnostomum S. L.,Macromitrium gymnostomum, Thériot,N/A,N/A,Japan,N/A,N/A,N/A,Iles Liou-Kiou - Centre de l'ile,[precise locality unknown],N/A,N/A,N/A,1000415,Typed,no type status
R.P. J.B. Ferrié,R. P. J. B. Ferrié,N/A,s.n.,oct.nov.1898,1898-10-00,1898-11-00,Macromitrium gymnostomum S. L. = m. rupestre Mitt. Bull. Card.,Macromitrium gymnostomum, Thériot,N/A,N/A,Japan,N/A,N/A,N/A,Yaku-Sima,Yaku-Sima,N/A,N/A,N/A,1000416,Typed,no type status
N/A, N/A,N/A,14660,9-3- 1975,1975-03-09,N/A,Macromitrium incurvifolium (Hook. & Grev.) Schwaegr,Macromitrium incurvifolium,D. H. Vitt,N/A,N/A,Papua New Guinea,Morobe,Lae,N/A,In fork of Plumeria tree in garden,In fork of Plumeria tree in garden,N/A,Alt. c 20 m,N/A,1142151,Typed,no type status
A Touw No 18543,A. Touw,N/A,18543,20 5 1975,1975-05-20,N/A,Macromitrium longicaule C Müll,Macromitrium longicaule,D. H. Vitt,N/A,N/A,Papua New Guinea,West Sepik,PASS,N/A,PASS,PASS,Wet forest on slope above river on trees along river,Alt c 1500 - 1550 m,PASS,1141855,Typed,no type status
N/A, N/A,N/A,s.n.,8.5. 1975,1975-05-08,N/A,Macromitrium macrosporum Broth.,Macromitrium macrosporum,PASS,N/A,N/A,Papua New Guinea,West Sepik,Star Mts.,N/A,c 5°S141°05E NE summit of Mt. Capella; on stems and branches of trees and shrubs in summit scrub,NE summit of Mt Capella [precise locality unknown],on stems and branches of trees and shrubs in summit scrub,Alt. c. 3900 m.,c5°S141°05E,1142194,Typed,no type status
A Touw No 16376,A. Touw,N/A,16376,17.4.1975,1975-04-17,N/A,Macromitrium macrosporum Broth,Macromitrium macrosporum,D. H. Vitt,N/A,N/A,Papua New Guinea,West Sepik,N/A,N/A,West Sepik Distr Star Mts c 5°S141°05E Mt Capella Base Camp Limestone ridge near camp c 4 -5 m high stunted forest on ridge,Mt Capella Base Camp Limestone ridge near camp about 4-5 meters high stunted forest on ridge,Limestone ridge near camp about 4-5 meters high stunted forest on ridge,Alt c 3600 m,c5°S141°05E,1142178,Typed,no type status
N/A,A. Touw,N/A,17312,Dat. 8.5. 1975,1975-05-08,N/A,Macromitrium macrosporum Broth.,Macromitrium macrosporum,D. H. Vitt,N/A,N/A,Papua New Guinea,West Sepik,Star Mountains,N/A,c. 5°S 141°05'E NE Summit of Mt. Capella. Summit of ridge between Mt. Capella Base Camp and Mt. Capella ridge; on isolated tree,NE Summit of Mt Capella Summit of ridge between Mt Capella Base Camp and Mt Capella ridge on isolated tree [precise locality unknown],N/A,Alt. c. 3650 m,c5°S141°05'E,1142156,Typed,no type status
A Touw No 16420,A. Touw,N/A,16420,19.4.1975,1975-04-19,N/A,Macromitrium macrosporum Broth,Macromitrium macrosporum,D. H. Vitt,N/A,N/A,Papua New Guinea,West Sepik,Star Mountains,N/A,Mt Capella NE summit; forest remnant in deep chasm near the summit on soaking wet bark of trees,Mount Capella northeast summit [precise locality unknown],Forest remnant in deep chasm near the summit on soaking wet bark of trees,Alt c 3300 m,c5°S141°05'E,1142175,Typed,no type status
A. Touw No. 17205,A. Touw,N/A,17205,5.5. 1975,1975-05-05,N/A,Macromitrium macrosporum Broth.,Macromitrium macrosporum,D. Vitt,N/A,N/A,Papua New Guinea,West Sepik,Star Mts.,N/A,"Near Mt. Capella Base Camp, along trail to Tamanagabip; open sub-alpine scrub. At base of limestone rock faces.","Near Mt. Capella Base Camp, along trail to Tamanagabip [precise locality unknown]",Open sub-alpine scrub. At base of limestone rock faces.,Alt. c. 3450 m.,c5°S141°05'E,1141880,Typed,no type status
A Touw No 18046,A. Touw,N/A,18046,14.5.1975,1975-05-14,N/A,Macromitrium megalocladon Fleisch,Macromitrium megalocladon,D. H. Vitt,N/A,N/A,Papua New Guinea,West Sepik District,Star Mts,N/A,c 5°14'05E Upper montane forest between Folongonom and Artis' Camp,Upper montane forest between Folongonom and Artis' Camp,Pendulous from heavy tree branches and slanting trunks,Alt c 2500 - 2600 m,c5°14'05E,1142187,Typed,no type status
A. Touw No. 16555,A. Touw,N/A,16555,21.4.1975,1975-04-21,N/A,Macromitrium megalocladon Fleisch.,Macromitrium megalocladon,D. H. Vitt,N/A,N/A,Papua New Guinea,West Sepik,Star Mountains,N/A,c. 5°(40'SE) Small Kuki (grassfield) SW of Mt. Capella Base Camp; on vertical face of moss covered limestone boulder at edge of kuni,Small Kuki (grassfield) southwest of Mount Capella Base Camp; on vertical face of moss covered limestone boulder at edge of kuni,On vertical face of moss covered limestone boulder at edge of kuni,Alt. c. 3400 m,c5°(40'SE),1142432,Mix of Handwritten and Typed,no type status
A Touw No 15768,A. Touw,N/A,15768,7.4. 1975,1975-04-07,N/A,Macromitrium megalocladon Fleisch,Macromitrium megalocladon,D. H. Vitt,N/A,N/A,Papua New Guinea,West Sepik,Star Mts,N/A,Tel Basin; Ridge above Camp 2,Ridge above Camp 2 Tel Basin [precise locality unknown],Terrestrial in open shrubbery on ridge Dense moss vegetation covering soil rocks and the lower portion of shrubs Dominant,Alt c 3350 m,c5°S141°05'E,1142300,Typed,no type status
leg S Hattori,S. Hattori,N/A,s.n.,VIII 1946,1946-08-00,N/A,Macromitrium incurvum (Lindb.) Par.,Macromitrium incurvum,A. Noguchi,unsure and check,N/A,Japan,Kyushu,Miyazaki,N/A,"KIUSHIU: Miyazaki, Minaminiaka, Obi, rupicola, photophila, ca 50 m","Minaminiaka, Obi, on rocks, light-loving, about 50 meters","rupicola, photophila, ca 50 m",ca 50 m,N/A,1235066,Typed,no type status
Coll K Mayebara,K. Mayebara,N/A,s.n.,"December 25, 1951",1951-12-25,N/A,Macromitrium incurvum (Lindb.) Par.,Macromitrium incurvum,A. Noguchi,N/A,N/A,Japan,Kumamoto,N/A,N/A,"On exposed rocks, 60 m. above sea, Yosiho, Kumamoto Prefecture","On exposed rocks, 60 meters above sea, Yosiho [precise locality unknown]",On exposed rocks,60 m. above sea,N/A,1043529,Typed,no type status
Coll K Mayebara,K. Mayebara,N/A,s.n.,"February 11, 1952",1952-02-11,N/A,Macromitrium gymnostomum Sull. et Lesq.,Macromitrium gymnostomum,A. Noguchi,N/A,N/A,Japan,Kumamoto,N/A,N/A,"On rocks, ca. 100m. above sea, Koonose, Kumamoto Prefecture","On rocks, approximately 100 meters above sea, Koonose [precise locality unknown]",On rocks,ca. 100m. above sea,N/A,1043490,Typed,no type status
PASS,PASS,N/A,s.n.,March 1952,1952-03-00,N/A,Macromitrium gymnostomum Sull. et Lesq.,Macromitrium gymnostomum,PASS,N/A,N/A,Japan,Kumamoto,N/A,N/A,"On rocks, ca. 1000m alt., Hitoyoshi, Kumamoto County",PASS,On rocks,ca. 1000m alt.,N/A,4043493,Typed,no type status
N/A,H. H. Chung,N/A,B.206,s.d.,unsure and check,N/A,Macromitrium gymnostomum S. & L.,Macromitrium gymnostomum, Theriot,N/A,N/A,China,Fukien,N/A,N/A,Kushan near Foochow,Kushan near Foochow [precise locality unknown],On rock,altitude 500 m.,N/A,1122334,Mix of Handwritten and Typed,no type status
N/A,H. H. Chung,N/A,2.20,s.d.,unsure and check,N/A,Macromitrium gymnostomum Sull.,Macromitrium gymnostomum, Theriot,N/A,N/A,China,Fukien,N/A,N/A,On rock in bamboo forest,[precise locality unknown],On rock in bamboo forest,N/A,N/A,1122721,Mix of Handwritten and Typed,no type status
Timo Koponen,T. Koponen,N/A,35590,23 July 1981,1981-07-23,N/A,Macromitrium longicaule C. Müll.,Macromitrium longicaule,D. H. Vitt,1989,N/A,Papua New Guinea,Morobe,N/A,N/A,"Lake Wamba 5 km S of Teptep airstrip, Rather open montane forest with dominating Pandanus trees 1 km S of lake, alt. 2400 m, 6°31'S, 146°33'E, on stump","Lake Wamba 5 kilometers South of Teptep airstrip, 1 kilometer South of lake",Rather open montane forest with dominating Pandanus trees,alt. 2400 m,6°31'S146°33'E,1142665,Typed,no type status
N/A, N/A,N/A,B4,s.d.,N/A,N/A,Macromitrium japonicum (Dz & Mk) C M Syn,Macromitrium japonicum, N/A,N/A,N/A,China,Fukien,N/A,N/A,On shady rocks or bark,[precise locality unknown],On shady rocks or bark,N/A,N/A,1172825,Typed,no type status
Timo Koponen,T. Koponen,N/A,33571,9 July 1981,1981-07-09,N/A,Macromitrium microstomum Broth,Macromitrium microstomum,D. H. Vitt,PASS,N/A,Papua New Guinea,Morobe,N/A,N/A,"Mt Sarawaket Southern Range 2,5 km S of L Gwam Open alpine grassland and ""subalpine"" forest at L Kenzoroh E of Mt Enggom alt 3550 m 6°21'S 147°07'E",Mount Sarawaket Southern Range 25 kilometers south of Lake Gwam at Lake Kenzoroh east of Mount Enggom [precise locality unknown],"Open alpine grassland and ""subalpine"" forest",alt 3550 m,6°21'S147°07'E,1142666,Typed,no type status
N/A,N. Kitagawa,T. Yoshimura,s.n.,"Oct. 21,1973",1973-10-21,N/A,Macromitrium gymnostomum Sull. et Lesq.,Macromitrium gymnostomum,A. N. |. T. Iwatsuki,N/A,N/A,Japan,PASS,N/A,N/A,PASS,PASS,on tree trunk,1-10 m alt.,N/A,1049048,Typed,no type status
N/A, N/A,N/A,s.n.,s.d.,N/A,N/A,Macromitrium incurvum (Lindb.) Paris,Macromitrium incurvum, N/A,N/A,N/A,Japan,Honshu,N/A,N/A,"Honshu, Musashi, prope Tama-ri Kobotoké, pleiophylla",[precise locality unknown],N/A,N/A,N/A,1356480,Typed,no type status
Coll R SAITO,R. Saito,N/A,s.n.,"April 3, 1970",1970-04-03,N/A,Macromitrium gymnostomum SULL. & LESQ.,Macromitrium gymnostomum,A. Noguchi,N/A,N/A,Japan,Kagoshima,N/A,N/A,"Sumiyo-mura, Isl. Amami-ohshima, Kagoshima Pref.","Sumiyo-mura, Amami-ohshima Island [precise locality unknown]",On rock,elevation about 120 m,N/A,1051109,Typed,no type status
V et P Allorge,V. Allorge,PASS,s.n.,14.VI.1937,1937-06-14,N/A,Pogonatum urnigerum (Hedw.) P.B.,Pogonatum urnigerum, N/A,N/A,N/A,Portugal,Azores,N/A,N/A,PASS,PASS,PASS,vers 700 m,N/A,1181624,Typed,no type status
