Image,verbatimCollectors,collectedBy,secondaryCollectors,recordNumber,verbatimEventDate,minimumEventDate,maximumEventDate,verbatimIdentification,latestScientificName,identifiedBy,verbatimDateIdentified,associatedTaxa,country,firstPoliticalUnit,secondPoliticalUnit,municipality,verbatimLocality,locality,habitat,verbatimElevation,verbatimCoordinates,otherCatalogNumbers,originalMethod,typeStatus
C0268502F_p.jpg,M. Fleischer,M. Fleischer,N/A,B 2754,25.3.1903,1903-03-25,N/A,Macromitrium,Macromitrium, unsure and check,N/A,N/A,Australia,Queensland,N/A,N/A,Bumundi (ca. 100 km nördlich Brisbane) Urwald,Bumundi (approximately 100 kilometers north of Brisbane),Urwald,N/A,N/A,1076713,Typed,no type status
C0268508F_p.jpg,M. Fleischer,M. Fleischer,N/A,B 2692,25.3.1903,1903-03-25,N/A,Macromitrium,Macromitrium, unsure and check,N/A,N/A,Australia,Queensland,N/A,Eumundi,Eumundi (ca. 100 km nördlich Brisbane) Urwald,Eumundi (approximately 100 kilometers north of Brisbane),Urwald,N/A,N/A,1076699,Typed,no type status
C0268514F_p.jpg,M. Fleischer,M. Fleischer,N/A,B 2552,6.4.1903,1903-04-06,N/A,Macromitrium,Macromitrium, unsure and check,unsure and check,N/A,Australia,New South Wales,N/A,N/A,Blue Mountains bei Sydney Wentworth Falls,Blue Mountains near Sydney Wentworth Falls,N/A,N/A,N/A,1076824,Typed,no type status
C0268520F_p.jpg,M. Fleischer,M. Fleischer,N/A,B 2697,20.3.1903,1903-03-20,N/A,Macromitrium,Macromitrium, unsure and check,N/A,N/A,Australia,Queensland,N/A,N/A,bei Brisbane,Brisbane,N/A,N/A,N/A,1076705,Typed,no type status
C0268544F.jpg,& det. T. Nakajima,T. Nakajima,N/A,1229,"Mar. 27, 1971",1971-03-27,N/A,Macromitrium gymnostomum Sull. et Lesq. e. fr.,Macromitrium gymnostomum,T. Nakajima,N/A,N/A,Japan,Wakayama,N/A,N/A,"Ohara, Yuya, Oto-mura, Nishimuro-gun","Ohara, Yuya, Oto-mura",On vertical face of rock,330 m alt.,N/A,1043494,Typed,no type status
C0268545F.jpg,& det. T. Nakajima,T. Nakajima,N/A,714,"May 4, 1968",1968-05-04,N/A,Macromitrium gymnostomum Sull. et Lesq.,Macromitrium gymnostomum,T. Nakajima,N/A,Fagus crenata,Japan,Nara,N/A,N/A,Mt. Ohako,Mt. Ohako,On trunks of Fagus crenata,ca. 1200 m,N/A,1043492,Typed,no type status
C0268546F.jpg,& det. T. Nakajima,T. Nakajima,N/A,s.n.,"March 28, 1967",1967-03-28,N/A,Macromitrium gymnostomum Sull. & Lesq.,Macromitrium gymnostomum,T. Nakajima,N/A,N/A,Japan,Wakayama,N/A,Shirahama-chō,"Sūgawa, Shirahama-chō, Nishimuro-gun, Wakayama Prefecture","Sūgawa, Shirahama-chō","On rocks, ca. 100 meters alt.",ca. 100 m alt.,N/A,10434191,Typed,no type status
C0268548F.jpg,S. Hattori,S. Hattori,N/A,s.n.,LXX. 1946,1946-07-00,N/A,Macromitrium gymnostomum Sull. et Lesq.,Macromitrium gymnostomum,A. Noguchi,N/A,N/A,Japan,Miyazaki,N/A,N/A,"KIUSHIU, Miyazaki, Minaminaka, Sakatani","KIUSHIU, Miyazaki, Minaminaka, Sakatani",ad arborum truncos,ca 500 m,N/A,1285073,Typed,no type status
C0268549F.jpg,R.P. J.B. Berrié,J. B. Berrié,N/A,s.n.,20.4.1898,1898-04-20,N/A,Macromitrium gymnostomum S. L.,Macromitrium gymnostomum, Thériot,N/A,N/A,Japan,N/A,N/A,N/A,Iles Liou-Kiou - Centre de l'Ile,Centre de l'Ile,N/A,N/A,N/A,1000415,Typed,no type status
C0268550F.jpg,R. P. J. B. Ferrié,R. P. Ferrié,J. B. Ferrié,s.n.,oct. - nov. 1898,1898-10-00,1898-11-00,Macromitrium gymnostomum S. L. = m. rupestre Mitt Sull. Card.,Macromitrium gymnostomum, Thériot,N/A,N/A,Japan,Kagoshima,N/A,N/A,Yaku-Sima,Yaku-Sima,N/A,N/A,N/A,1000416,Typed,no type status
