verbatimCollectors,collectedBy,secondaryCollectors,recordNumber,verbatimEventDate,minimumEventDate,maximumEventDate,verbatimIdentification,latestScientificName,identifiedBy,verbatimDateIdentified,associatedTaxa,country,firstPoliticalUnit,secondPoliticalUnit,municipality,verbatimLocality,locality,habitat,verbatimElevation,verbatimCoordinates,otherCatalogNumbers,originalMethod,typeStatus
PASS,PASS,N/A,PASS,PASS,PASS,N/A,Macromitrium,Macromitrium,PASS,PASS,N/A,Australia,Queensland,N/A,N/A,PASS,PASS,PASS,N/A,N/A,PASS,PASS,no type status
PASS,PASS,N/A,B 2692,PASS,PASS,N/A,Macromitrium,Macromitrium,PASS,PASS,N/A,Australia,Queensland,N/A,PASS,PASS,PASS,PASS,N/A,N/A,PASS,Typed,no type status
PASS,M. Fleischer,N/A,PASS,6.4.1903,1903-04-06,N/A,Macromitrium,Macromitrium,PASS,PASS,N/A,Australia,New South Wales,N/A,N/A,PASS,PASS,N/A,N/A,N/A,PASS,Typed,no type status
PASS,M. Fleischer,N/A,B 2697,PASS,1903-03-20,N/A,Macromitrium,Macromitrium,PASS,PASS,N/A,Australia,Queensland,N/A,PASS,bei Brisbane,PASS,N/A,N/A,N/A,PASS,PASS,no type status
PASS,T. Nakajima,N/A,PASS,"Mar. 27, 1971",1971-03-27,N/A,PASS,Macromitrium gymnostomum,PASS,PASS,N/A,Japan,Wakayama,N/A,PASS,PASS,PASS,On vertical face of rock,330 m alt.,N/A,1043494,Typed,no type status
PASS,T. Nakajima,N/A,PASS,PASS,PASS,N/A,Macromitrium gymnostomum Sull. et Lesq.,Macromitrium gymnostomum,PASS,N/A,Fagus crenata,Japan,PASS,N/A,N/A,PASS,PASS,On trunks of Fagus crenata,PASS,N/A,1043492,Typed,no type status
PASS,T. Nakajima,N/A,s.n.,"March 28, 1967",1967-03-28,N/A,Macromitrium gymnostomum Sull. & Lesq.,Macromitrium gymnostomum,PASS,N/A,N/A,Japan,Wakayama,N/A,PASS,PASS,PASS,On rocks,ca. 100 m alt.,N/A,1043491,Typed,no type status
PASS,S. Hattori,N/A,s.n.,PASS,PASS,N/A,PASS,Macromitrium gymnostomum,A. Noguchi,N/A,N/A,Japan,Miyazaki,N/A,N/A,PASS,PASS,ad arborum truncos,ca 500 m,N/A,PASS,PASS,no type status
PASS,PASS,N/A,s.n.,20.4.1898,1898-04-20,N/A,Macromitrium gymnostomum S. L.,Macromitrium gymnostomum, Thériot,N/A,N/A,Japan,N/A,N/A,N/A,Iles Liou-Kiou - Centre de l'Ile,PASS,N/A,N/A,N/A,1000415,Typed,no type status
PASS,PASS,N/A,s.n.,PASS,1898-10-00,1898-11-00,PASS,Macromitrium gymnostomum, Thériot,N/A,N/A,Japan,PASS,N/A,N/A,Yaku-Sima,Yaku-Sima,N/A,N/A,N/A,1000416,Typed,no type status
