Image,verbatimCollectors,collectedBy,secondaryCollectors,recordNumber,verbatimEventDate,minimumEventDate,maximumEventDate,verbatimIdentification,latestScientificName,identifiedBy,verbatimDateIdentified,associatedTaxa,country,firstPoliticalUnit,secondPoliticalUnit,municipality,verbatimLocality,locality,habitat,verbatimElevation,verbatimCoordinates,otherCatalogNumbers,originalMethod,typeStatus
0000_C0268502F_p.jpg,leg H Fleischer nr B 2754,H. Fleischer,N/A,B 2754,25 4 1903,1903-04-25,N/A,Macromitrium,Macromitrium,N/A,N/A,N/A,Australia,Queensland,N/A,N/A,Eumundi (ca 100 km nordlich Brisbane) Urwald,Eumundi (about 100 kilometers north of Brisbane) [precise locality unknown],Urwald (primeval forest),N/A,N/A,1076713 1044984,Mix of Handwritten and Typed,no type status
0001_C0268508F_p.jpg,leg. W. Fleischer nr. B 2692,W. Fleischer,N/A,B 2692,29.3.1903,1903-03-29,N/A,Macromitrium,Macromitrium,N/A,N/A,N/A,Australia,Queensland,N/A,N/A,"Eumundi (ca. 100 km nördlich Brisbane), Urwald","Eumundi (about 100 kilometers north of Brisbane), [precise locality unknown]",Urwald (primeval forest),N/A,N/A,1076659,Typed,no type status
0002_C0268514F_p.jpg,leg M Fleischer nr B 2952,M. Fleischer,N/A,B 2952,6.4.1903,1903-04-06,N/A,Macromitrium,Macromitrium,N/A,N/A,N/A,Australia,New South Wales,N/A,N/A,"Blue Mountains bei Sydney, Wentworth Falls","Blue Mountains near Sydney, Wentworth Falls [precise locality unknown]",N/A,N/A,N/A,1076821,Typed,no type status
0003_C0268520F_p.jpg,leg M Fleischer nr B 2697,M. Fleischer,N/A,B 2697,20.3.1903,1903-03-20,N/A,Macromitrium,Macromitrium,N/A,N/A,N/A,Australia,Queensland,N/A,Brisbane,bei Brisbane,near Brisbane,N/A,N/A,N/A,1076705 1044145,Mix of Handwritten and Typed,no type status
0004_C0268544F.jpg,T Nakajima,T. Nakajima,N/A,s.n.,"Mar. 27, 1971",1971-03-27,N/A,Macromitrium gymnostomum Sull. et Lesq. c. fr.,Macromitrium gymnostomum,A. Noguchi | Z. Iwatsuki,N/A,N/A,Japan,Wakayama,N/A,Ohara,"On vertical face of rock, 330 m alt., Ohara, Yata, Nishimuro-gun, Wakayama Prefecture","On vertical face of rock, Ohara, Yata [precise locality unknown]",On vertical face of rock,330 m alt.,N/A,1043494,Typed,no type status
0005_C0268545F.jpg,T. Nakajima,T. Nakajima,N/A,s.n.,"May 4, 1958",1958-05-04,N/A,Macromitrium gymnostomum Sull. et Lesq.,Macromitrium gymnostomum,A. Noguchi,N/A,Fagus crenata,Japan,Nara,N/A,N/A,Mt. Ohako; Nara Prefecture,Mount Ohako [precise locality unknown],"On trunks of Fagus crenata, ca. 1200 m. alt.",ca. 1200 m. alt.,N/A,1043492,Typed,no type status
0006_C0268546F.jpg,Coll. & det. T. Nakajima,T. Nakajima,N/A,s.n.,"March 28, 1967",1967-03-28,N/A,Macromitrium gymnostomum Sull. & Lesq.    c. fr.,Macromitrium gymnostomum,T. Nakajima,"March 28, 1967",N/A,Japan,Wakayama,N/A,N/A,"On rocks, ca. 100 m alt., Shirahama-cho, Nishimuro-gun, Wakayama Prefecture","On rocks, approximately 100 meters altitude, Shirahama-cho",On rocks,ca. 100 m alt.,N/A,1043491,Typed,no type status
0007_C0268548F.jpg,leg S Hattori,S. Hattori,N/A,s.n.,1 X 1946,1946-10-01,N/A,Macromitrium gymnostomum Sull. et Lesq.,Macromitrium gymnostomum,A. Noguchi,N/A,N/A,Japan,Miyazaki,N/A,N/A,"KIUSHIU: Miyazaki, Minamimata, Sakatani","Minamimata, Sakatani [precise locality unknown]",ad arborum truncos,ca 500 m,N/A,1235073,Mix of Handwritten and Typed,no type status
0008_C0268549F.jpg,Leg. R.P.J.-B. Faurie,R. P. J.-B. Faurie,N/A,s.n.,20.4.1898,1898-04-20,N/A,Macromitrium gymnostomum S. L.,Macromitrium gymnostomum,Thériot,N/A,N/A,Japan,N/A,N/A,N/A,Iles Liou-Kiou - Centre de l'ile,[precise locality unknown],N/A,N/A,N/A,1000415,Typed,no type status
0009_C0268550F.jpg,R.P. J.B. Ferrié,R. P. J. B. Ferrié,N/A,s.n.,oct.nov.1898,1898-10-00,1898-11-00,Macromitrium gymnostomum S. L. = m. rupestre Mitt. Bull. Card.,Macromitrium gymnostomum,Thériot,N/A,N/A,Japan,N/A,N/A,N/A,Yaku-Sima,Yaku-Sima,N/A,N/A,N/A,1000416,Typed,no type status
