run,ground truth source,configuration source,associatedTaxa,collectedBy,country,firstPoliticalUnit,habitat,identifiedBy,latestScientificName,locality,maximumEventDate,minimumEventDate,municipality,originalMethod,otherCatalogNumbers,recordNumber,secondPoliticalUnit,secondaryCollectors,typeStatus,verbatimCollectors,verbatimCoordinates,verbatimDateIdentified,verbatimElevation,verbatimEventDate,verbatimIdentification,verbatimLocality,matchValid,matchNonValid,noMatchValid,noMatchNonValid,gradedMatchValid,gradedNoMatchValid,Correct:matchValid+matchNonValid,Errors:noMatchValid+noMatchNonValid,MV+MNV/MV+MNV+NMV+NMNV,all targets:accuracy,MV/MV+NMV+NMNV,valid targets:accuracy,,
gpt-4o-2024-06-11-1050-gpt-4o-2024-06-11-1110-cross-validated_values-transcriptions.csv,100-bryophytes-typed.csv,agreement_with_post.yaml,"[0, 0, 6]","[65, 81.6, 88]","[99, 99.2, 100]","[79, 85.5, 95]","[12, 28.8, 67]","[47, 60.4, 71]","[75, 88.6, 93]","[8, 38.8, 64]","[4, 4, 4]","[80, 90.9, 95]","[6, 6.7, 28]","[94, 94.2, 95]","[80, 84.0, 88]","[68, 75.6, 92]","[18, 20.2, 30]","[10, 13.4, 19]","[100, 100, 100]","[40, 66.6, 81]","[1, 20.2, 24]","[23, 23.9, 33]","[27, 55.9, 72]","[70, 88.1, 93]","[63, 90.1, 93]","[8, 36.5, 62]",1077,537,459,57,1353.290486,182.7095144,1614,516,1077+537/1077+537+459+57,0.757746479,1077/1077+459+57,0.676082863,,
gpt-4o-2024-06-11-1050-post_gpt-4o-2024-06-11-1050-cross-validated_values-transcriptions.csv,100-bryophytes-typed.csv,agreement_with_post.yaml,"[0, 0, 6]","[69, 90.8, 100]","[99, 99.2, 100]","[79, 86.0, 96]","[15, 37.6, 88]","[48, 63.4, 79]","[77, 94.1, 100]","[9, 61.9, 100]","[4, 4, 4]","[80, 94.8, 100]","[6, 6.7, 31]","[96, 96.7, 100]","[81, 88.3, 99]","[72, 80.3, 100]","[18, 21.2, 33]","[11, 19.2, 28]","[100, 100, 100]","[45, 61.9, 71]","[2, 28.4, 34]","[23, 23.9, 38]","[33, 55.4, 65]","[71, 92.7, 100]","[64, 95.9, 100]","[8, 55.3, 100]",1110,551,594,68,1457.626804,246.3731957,1661,662,1110+551/1110+551+594+68,0.715023676,1110/1110+594+68,0.626410835,,
gpt-4o-2024-06-11-1050-post_gpt-4o-2024-06-11-1110-cross-validated_values-transcriptions.csv,100-bryophytes-typed.csv,agreement_with_post.yaml,"[0, 0, 6]","[65, 81.6, 88]","[99, 99.2, 100]","[79, 85.5, 95]","[12, 28.8, 67]","[47, 60.4, 71]","[75, 88.6, 93]","[8, 38.8, 64]","[4, 4, 4]","[80, 90.9, 95]","[6, 6.7, 28]","[94, 94.2, 95]","[80, 84.0, 88]","[68, 75.6, 92]","[18, 20.2, 30]","[10, 13.4, 19]","[100, 100, 100]","[40, 51.1, 56]","[1, 20.2, 24]","[23, 23.9, 33]","[28, 48.9, 58]","[70, 88.1, 93]","[63, 90.1, 93]","[8, 36.5, 62]",1078,537,419,57,1330.711098,166.2889022,1615,476,1078+537/1078+537+419+57,0.772357724,1078/1078+419+57,0.693693694,,
gpt-4o-2024-06-11-1050-gemini-1.5-pro-2024-06-20-0153-cross-validated_values-transcriptions.csv,100-bryophytes-typed.csv,agreement_with_post.yaml,"[0, 0, 2]","[10, 11.9, 13]","[99, 99.2, 100]","[58, 60.9, 64]","[6, 12.5, 24]","[3, 8.4, 15]","[69, 76.5, 80]","[3, 5.8, 7]","[4, 4, 4]","[79, 82.4, 84]","[3, 3.7, 13]","[40, 40.5, 43]","[43, 43, 43]","[50, 50.8, 58]","[9, 9.1, 12]","[3, 3, 5]","[99, 99, 99]","[19, 24.8, 28]","[2, 4.7, 6]","[19, 19.9, 26]","[18, 28.5, 33]","[51, 57.2, 58]","[27, 30.8, 31]","[2, 3.1, 5]",716,504,122,15,779.7643693,58.23563072,1220,137,716+504/716+504+122+15,0.899042004,716/716+122+15,0.839390387,,
gpt-4o-2024-06-11-1050-gemini-1.5-pro-2024-06-26-1108-cross-validated_values-transcriptions.csv,100-bryophytes-typed.csv,agreement_with_post.yaml,"[0, 0, 2]","[11, 11.5, 12]","[99, 99.2, 100]","[58, 60.3, 64]","[7, 14.4, 28]","[6, 10.3, 16]","[71, 78.5, 82]","[4, 8.1, 10]","[4, 4, 4]","[79, 82.4, 84]","[2, 2, 12]","[45, 45.4, 47]","[42, 42, 42]","[52, 52.8, 60]","[9, 9.1, 12]","[2, 2, 4]","[100, 100, 100]","[18, 21.7, 24]","[2, 6.6, 8]","[20, 20.4, 26]","[12, 17.8, 21]","[54, 59.5, 60]","[28, 34.4, 35]","[3, 3.3, 4]",728,503,113,16,785.6791047,55.32089531,1231,129,728+503/728+503+113+16,0.905147059,728/728+113+16,0.849474912,,
gpt-4o-2024-06-11-1050-post_gemini-1.5-pro-2024-06-20-0153-cross-validated_values-transcriptions.csv,100-bryophytes-typed.csv,agreement_with_post.yaml,"[0, 0, 2]","[48, 53.8, 56]","[99, 99.2, 100]","[58, 60.9, 64]","[6, 12.5, 24]","[25, 31.2, 38]","[69, 76.5, 80]","[3, 6.6, 8]","[4, 4, 4]","[79, 82.4, 84]","[3, 3.7, 13]","[40, 40.5, 43]","[43, 43, 43]","[50, 50.8, 58]","[9, 9.1, 12]","[8, 8, 10]","[99, 99, 99]","[20, 22.2, 23]","[2, 4.7, 6]","[19, 19.9, 26]","[20, 28.7, 31]","[51, 57.2, 58]","[27, 30.8, 31]","[2, 3.1, 5]",784,504,119,15,847.7993939,55.2006061,1288,134,784+504/784+504+119+15,0.905766526,784/784+119+15,0.854030501,,
gpt-4o-2024-06-11-1050-post_gemini-1.5-pro-2024-06-26-1108-cross-validated_values-transcriptions.csv,100-bryophytes-typed.csv,agreement_with_post.yaml,"[0, 0, 2]","[55, 61.3, 64]","[99, 99.2, 100]","[58, 60.3, 64]","[7, 14.4, 28]","[28, 32.5, 39]","[71, 78.5, 82]","[4, 8.1, 10]","[4, 4, 4]","[79, 82.4, 84]","[2, 2, 12]","[45, 45.4, 47]","[42, 42, 42]","[52, 52.8, 60]","[9, 9.1, 12]","[8, 8, 10]","[100, 100, 100]","[19, 19.7, 20]","[2, 6.6, 8]","[20, 20.4, 26]","[14, 17.1, 18]","[54, 59.5, 60]","[28, 34.4, 35]","[3, 3.3, 4]",803,503,112,16,861.081316,53.91868396,1306,128,803+503/803+503+112+16,0.910739191,803/803+112+16,0.862513426,,
gpt-4o-2024-06-11-1110-post_gpt-4o-2024-06-11-1050-cross-validated_values-transcriptions.csv,100-bryophytes-typed.csv,agreement_with_post.yaml,"[0, 0, 6]","[65, 81.6, 88]","[99, 99.2, 100]","[79, 85.5, 95]","[12, 28.8, 67]","[47, 60.4, 71]","[75, 88.6, 93]","[8, 38.9, 64]","[4, 4, 4]","[80, 90.9, 95]","[6, 6.7, 28]","[94, 94.2, 95]","[80, 84.0, 88]","[68, 75.6, 92]","[18, 20.2, 30]","[10, 13.4, 19]","[100, 100, 100]","[40, 51.1, 56]","[1, 20.2, 24]","[23, 23.9, 33]","[27, 47.3, 56]","[70, 88.1, 93]","[63, 90.1, 93]","[8, 36.5, 62]",1077,537,418,57,1329.189361,165.8106389,1614,475,1077+537/1077+537+418+57,0.772618478,1077/1077+418+57,0.693943299,,
gpt-4o-2024-06-11-1110-post_gpt-4o-2024-06-11-1110-cross-validated_values-transcriptions.csv,100-bryophytes-typed.csv,agreement_with_post.yaml,"[0, 0, 7]","[67, 87.3, 100]","[99, 99.2, 100]","[80, 86.5, 96]","[13, 36.9, 89]","[50, 64.9, 78]","[76, 93.4, 100]","[12, 62.5, 100]","[4, 4, 5]","[80, 94.9, 100]","[7, 7.7, 33]","[97, 97.5, 100]","[83, 88.9, 98]","[68, 77.8, 100]","[18, 20.2, 32]","[11, 19.2, 28]","[100, 100, 100]","[42, 58.7, 70]","[1, 27.7, 34]","[25, 25.9, 38]","[29, 53.9, 64]","[70, 92.2, 100]","[63, 94.4, 100]","[8, 55.5, 100]",1103,545,598,71,1449.134633,251.8653674,1648,669,1103+545/1103+545+598+71,0.711264566,1103/1103+598+71,0.622460497,,
gpt-4o-2024-06-11-1110-gemini-1.5-pro-2024-06-20-0153-cross-validated_values-transcriptions.csv,100-bryophytes-typed.csv,agreement_with_post.yaml,"[0, 0, 2]","[10, 11.3, 12]","[99, 99.2, 100]","[58, 60.4, 63]","[6, 12.3, 23]","[3, 8.2, 14]","[67, 74.0, 77]","[5, 8.4, 10]","[4, 4, 4]","[79, 82.4, 84]","[3, 3.7, 14]","[41, 41.4, 43]","[44, 44, 44]","[47, 48.2, 56]","[9, 9.1, 14]","[3, 3.9, 7]","[99, 99, 99]","[19, 23.9, 29]","[1, 4.7, 6]","[21, 21.9, 28]","[15, 24.5, 28]","[51, 58.0, 60]","[26, 29.8, 30]","[2, 3.5, 5]",712,498,122,18,775.8132002,58.18679981,1210,140,712+498/712+498+122+18,0.896296296,712/712+122+18,0.835680751,,
