run name,fieldname,method,gradedMatch,diff gradedMatch,accuracy,diff accuracy,num mismatches,diff mismatches,   ,itemized,errors,  ------>,extraneous preface,"period,extraneous preface",period,spacing,"spacing,period,positive polarity sign",positive polarity sign,"period,positive polarity sign",vowel diacritic,"spacing,vowel diacritic,comma","spacing,comma","period,comma","vowel diacritic,dash","spacing,dash","vowel diacritic,comma","spacing,extraneous preface","spacing,period,comma",bracketed comment,"period,comma,extraneous preface","spacing,period,positive polarity sign,extraneous preface","spacing,period,extraneous preface","spacing,period","comma,extraneous preface",comma,"spacing,period,dash","comma,bracketed comment","vowel diacritic,bracketed comment","spacing,comma,bracketed comment",sum
gpt-4-2024-05-30-1139,collectedBy,name_compliance,86.0,,64.0,,4,,,,,,0,0,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
post_gpt-4-2024-05-30-1139,collectedBy,name_compliance,86.0,0.0,66.0,2.0,2,2,,,,,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gpt-4-2024-05-30-1025,collectedBy,name_compliance,93.0,,85.0,,3,,,,,,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
post_gpt-4-2024-05-30-1025,collectedBy,name_compliance,94.0,1.0,85.0,0.0,3,0,,,,,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gpt-4o-2024-06-11-1050,collectedBy,name_compliance,90.0,,69.0,,2,,,,,,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
post_gpt-4o-2024-06-11-1050,collectedBy,name_compliance,90.0,0.0,69.0,0.0,2,0,,,,,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gpt-4o-2024-06-11-1110,collectedBy,name_compliance,87.0,,67.0,,1,,,,,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
post_gpt-4o-2024-06-11-1110,collectedBy,name_compliance,87.0,0.0,67.0,0.0,1,0,,,,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
claude-3-opus-2024-06-12-1404,collectedBy,name_compliance,54.0,,31.0,,1,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
post_claude-3-opus-2024-06-12-1404,collectedBy,name_compliance,54.0,0.0,31.0,0.0,1,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
claude-3-opus-2024-06-12-1440,collectedBy,name_compliance,54.0,,31.0,,1,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
post_claude-3-opus-2024-06-12-1440,collectedBy,name_compliance,54.0,0.0,31.0,0.0,1,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gemini-1.5-pro-2024-06-20-0153,collectedBy,name_compliance,76.0,,13.0,,50,,,,,,0,0,48,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,52
post_gemini-1.5-pro-2024-06-20-0153,collectedBy,name_compliance,85.0,9.0,61.0,48.0,2,48,,,,,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gemini-1.5-pro-2024-06-26-1108,collectedBy,name_compliance,77.0,,14.0,,51,,,,,,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,52
post_gemini-1.5-pro-2024-06-26-1108,collectedBy,name_compliance,85.0,8.0,64.0,50.0,1,50,,,,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
claude-3.5-sonnet-2024-06-21-1043,collectedBy,name_compliance,86.0,,67.0,,8,,,,,,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
post_claude-3.5-sonnet-2024-06-21-1043,collectedBy,name_compliance,87.0,1.0,74.0,7.0,1,7,,,,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
claude-3.5-sonnet-2024-06-26-1050,collectedBy,name_compliance,85.0,,65.0,,9,,,,,,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
post_claude-3.5-sonnet-2024-06-26-1050,collectedBy,name_compliance,86.0,1.0,73.0,8.0,1,8,,,,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
