run,ground truth source,configuration source,associatedTaxa,collectedBy,country,firstPoliticalUnit,habitat,identifiedBy,latestScientificName,locality,maximumEventDate,minimumEventDate,municipality,originalMethod,otherCatalogNumbers,recordNumber,secondPoliticalUnit,secondaryCollectors,typeStatus,verbatimCollectors,verbatimCoordinates,verbatimDateIdentified,verbatimElevation,verbatimEventDate,verbatimIdentification,verbatimLocality,matchValid,matchNonValid,noMatchValid,noMatchNonValid,gradedMatchValid,gradedNoMatchValid,Correct:matchValid+matchNonValid,Errors:noMatchValid+noMatchNonValid,MV+MNV/MV+MNV+NMV+NMNV,all targets:accuracy,MV/MV+NMV+NMNV,valid targets:accuracy
gpt-4-2024-05-30-1139-transcriptions.csv,100-bryophytes-typed.csv,latest_prompt_runs.yaml,"[0, 0, 3]","[64, 86.7, 100]","[98, 98.8, 100]","[72, 81.7, 95]","[9, 37.3, 89]","[38, 56.4, 79]","[50, 85.6, 100]","[8, 51.3, 100]","[3, 3, 5]","[70, 90.8, 100]","[7, 8.3, 46]","[99, 99.1, 100]","[61, 72.2, 97]","[53, 70.2, 100]","[10, 12.6, 27]","[5, 13.5, 29]","[100, 100, 100]","[48, 80.9, 100]","[3, 23.8, 34]","[20, 24.9, 49]","[14, 60.6, 86]","[55, 86.4, 100]","[32, 80.7, 100]","[5, 53.3, 100]",924,560,831,84,1377.9695490415409,377.030450958461,1484,915,924+560/924+560+831+84,0.6185910796165068,924/924+831+84,0.5024469820554649
post_gpt-4-2024-05-30-1139-transcriptions.csv,100-bryophytes-typed.csv,latest_prompt_runs.yaml,"[0, 0, 3]","[66, 86.9, 100]","[98, 98.8, 100]","[72, 81.7, 95]","[9, 37.3, 89]","[40, 56.5, 79]","[50, 85.6, 100]","[8, 51.4, 100]","[3, 3, 5]","[70, 90.8, 100]","[7, 8.3, 46]","[99, 99.1, 100]","[61, 72.2, 97]","[53, 70.2, 100]","[10, 12.6, 27]","[5, 13.5, 29]","[100, 100, 100]","[50, 81.6, 100]","[3, 23.8, 34]","[20, 24.9, 49]","[17, 67.7, 86]","[55, 86.4, 100]","[32, 80.7, 100]","[5, 53.3, 100]",933,560,822,84,1386.1531691465336,368.8468308534678,1493,906,933+560/933+560+822+84,0.6223426427678199,933/933+822+84,0.5073409461663948
gpt-4-2024-05-30-1025-transcriptions.csv,100-bryophytes-typed.csv,latest_prompt_runs.yaml,"[0, 0, 9]","[85, 93.8, 100]","[98, 98.2, 100]","[79, 85.1, 94]","[13, 40.0, 91]","[47, 59.9, 82]","[61, 88.1, 100]","[22, 60.2, 100]","[4, 4, 5]","[89, 94.2, 100]","[9, 10.9, 40]","[99, 99.0, 100]","[0, 15.0, 99]","[74, 82.5, 100]","[17, 19.6, 30]","[12, 19.9, 29]","[99, 99.0, 100]","[67, 89.5, 100]","[8, 29.4, 35]","[23, 24.7, 50]","[11, 62.3, 87]","[71, 93.2, 100]","[46, 86.0, 100]","[16, 63.3, 100]",1050,548,705,96,1417.8295551339297,337.17044486607165,1598,801,1050+548/1050+548+705+96,0.6661108795331389,1050/1050+705+96,0.5672609400324149
post_gpt-4-2024-05-30-1025-transcriptions.csv,100-bryophytes-typed.csv,latest_prompt_runs.yaml,"[0, 0, 9]","[85, 94.0, 100]","[98, 98.2, 100]","[79, 85.1, 94]","[13, 40.0, 91]","[47, 59.8, 82]","[61, 88.1, 100]","[22, 60.2, 100]","[4, 4, 5]","[89, 94.2, 100]","[9, 10.9, 40]","[99, 99.0, 100]","[0, 15.0, 99]","[74, 82.5, 100]","[17, 19.6, 30]","[12, 19.9, 29]","[99, 99.0, 100]","[69, 90.1, 100]","[8, 29.4, 35]","[23, 24.7, 50]","[21, 71.6, 87]","[71, 93.2, 100]","[46, 86.0, 100]","[16, 63.3, 100]",1062,548,693,96,1427.7313864123862,327.2686135876148,1610,789,1062+548/1062+548+693+96,0.6711129637348895,1062/1062+693+96,0.5737439222042139
gpt-4o-2024-06-11-1050-transcriptions.csv,100-bryophytes-typed.csv,latest_prompt_runs.yaml,"[0, 0, 6]","[69, 90.8, 100]","[99, 99.2, 100]","[79, 86.0, 96]","[15, 37.6, 88]","[48, 63.4, 79]","[77, 94.1, 100]","[9, 61.9, 100]","[4, 4, 4]","[80, 94.8, 100]","[6, 6.7, 31]","[96, 96.7, 100]","[81, 88.3, 99]","[72, 80.3, 100]","[18, 21.2, 33]","[11, 19.2, 28]","[100, 100, 100]","[45, 79.8, 100]","[2, 28.4, 34]","[23, 23.9, 38]","[33, 66.6, 86]","[71, 92.7, 100]","[64, 95.9, 100]","[8, 55.3, 100]",1110,551,644,68,1486.7727007582193,267.2272992417829,1661,712,1110+551/1110+551+644+68,0.6999578592498946,1110/1110+644+68,0.6092206366630076
post_gpt-4o-2024-06-11-1050-transcriptions.csv,100-bryophytes-typed.csv,latest_prompt_runs.yaml,"[0, 0, 6]","[69, 90.8, 100]","[99, 99.2, 100]","[79, 86.0, 96]","[15, 37.6, 88]","[48, 63.4, 79]","[77, 94.1, 100]","[9, 61.9, 100]","[4, 4, 4]","[80, 94.8, 100]","[6, 6.7, 31]","[96, 96.7, 100]","[81, 88.3, 99]","[72, 80.3, 100]","[18, 21.2, 33]","[11, 19.2, 28]","[100, 100, 100]","[59, 87.5, 100]","[2, 28.4, 34]","[23, 23.9, 38]","[39, 73.8, 86]","[71, 92.7, 100]","[64, 95.9, 100]","[8, 55.3, 100]",1130,551,624,68,1501.640342144478,252.35965785552486,1681,692,1130+551/1130+551+624+68,0.7083860092709651,1130/1130+624+68,0.6201975850713501
gpt-4o-2024-06-11-1110-transcriptions.csv,100-bryophytes-typed.csv,latest_prompt_runs.yaml,"[0, 0, 7]","[67, 87.3, 100]","[99, 99.2, 100]","[80, 86.5, 96]","[13, 36.9, 89]","[50, 64.9, 78]","[76, 93.4, 100]","[12, 62.5, 100]","[4, 4, 5]","[80, 94.9, 100]","[7, 7.7, 33]","[97, 97.5, 100]","[83, 88.9, 98]","[68, 77.8, 100]","[18, 20.2, 32]","[11, 19.2, 28]","[100, 100, 100]","[42, 77.1, 100]","[1, 27.7, 34]","[25, 25.9, 38]","[29, 65.3, 86]","[70, 92.2, 100]","[63, 94.4, 100]","[8, 55.5, 100]",1103,545,650,71,1478.9937623499998,274.0062376500018,1648,721,1103+545/1103+545+650+71,0.6956521739130435,1103/1103+650+71,0.6047149122807017
post_gpt-4o-2024-06-11-1110-transcriptions.csv,100-bryophytes-typed.csv,latest_prompt_runs.yaml,"[0, 0, 7]","[67, 87.3, 100]","[99, 99.2, 100]","[80, 86.5, 96]","[13, 36.9, 89]","[50, 64.9, 78]","[76, 93.4, 100]","[12, 62.5, 100]","[4, 4, 5]","[80, 94.9, 100]","[7, 7.7, 33]","[97, 97.5, 100]","[83, 88.9, 98]","[68, 77.8, 100]","[18, 20.2, 32]","[11, 19.1, 28]","[100, 100, 100]","[55, 84.9, 100]","[1, 27.7, 34]","[25, 25.9, 38]","[35, 72.7, 86]","[70, 92.2, 100]","[63, 94.4, 100]","[8, 55.5, 100]",1122,545,631,71,1494.1020520457425,258.8979479542591,1667,702,1122+545/1122+545+631+71,0.7036724356268468,1122/1122+631+71,0.6151315789473685
claude-3-opus-2024-06-12-1404-transcriptions.csv,100-bryophytes-typed.csv,latest_prompt_runs.yaml,"[0, 0, 1]","[31, 54.3, 100]","[92, 94.5, 100]","[46, 58.1, 94]","[7, 24.3, 80]","[28, 44.1, 82]","[66, 87.1, 100]","[5, 29.4, 100]","[3, 3, 4]","[46, 74.9, 99]","[0, 0.8, 36]","[94, 94.6, 100]","[71, 87.2, 100]","[38, 52.6, 100]","[11, 15.5, 51]","[7, 8.8, 29]","[100, 100, 100]","[8, 33.8, 100]","[5, 24.2, 35]","[13, 14.0, 59]","[6, 51.9, 87]","[39, 66.9, 100]","[41, 73.4, 100]","[3, 35.2, 100]",760,538,992,105,1128.7317537899787,623.2682462100214,1298,1097,760+538/760+538+992+105,0.5419624217118998,760/760+992+105,0.40926225094238017
post_claude-3-opus-2024-06-12-1404-transcriptions.csv,100-bryophytes-typed.csv,latest_prompt_runs.yaml,"[0, 0, 1]","[31, 54.3, 100]","[92, 94.5, 100]","[46, 58.1, 94]","[7, 24.3, 80]","[33, 45.1, 82]","[66, 87.1, 100]","[7, 32.0, 100]","[3, 3, 4]","[46, 74.9, 99]","[0, 0.8, 36]","[94, 94.6, 100]","[71, 87.2, 100]","[38, 52.6, 100]","[11, 15.5, 51]","[7, 8.8, 29]","[100, 100, 100]","[11, 36.7, 100]","[5, 24.2, 35]","[13, 14.0, 59]","[10, 58.4, 87]","[39, 66.9, 100]","[41, 73.4, 100]","[3, 35.2, 100]",774,538,978,105,1141.690473102808,610.3095268971915,1312,1083,774+538/774+538+978+105,0.5478079331941544,774/774+978+105,0.4168012924071082
