Dataset Source,accessURI,Label only?,modifiedBy,verifiedBy,catalogNumber,verbatimCollectors,collectedBy,secondaryCollectors,recordNumber,verbatimEventDate,minimumEventDate,maximumEventDate,verbatimIdentification,latestScientificName,identifiedBy,verbatimDateIdentified,associatedTaxa,country,firstPoliticalUnit,secondPoliticalUnit,municipality,verbatimLocality,locality,habitat,substrate,verbatimElevation,verbatimCoordinates,otherCatalogNumbers,originalMethod,typeStatus
EMu Field Museum | Bryophytes Portal,https://fm-digital-assets.fieldmuseum.org/2491/485/C0268502F_p.jpg,,lk,,C0268502F,M. Fleischer,M. Fleischer,N/A,B 2734,25.3.1903,1903-03-25,N/A,Macromitrium,Macromitrium,N/A,N/A,N/A,Australia,Queensland,N/A,Eumundi,"Australien: Queensland, Eumundi (ca. 100 km nördlich Brisbane)",Circa 100 kilometers nördlich Brisbane,Urwald,N/A,N/A,N/A,1076713,Typed,no type status
EMu Field Museum | Bryophytes Portal,https://fm-digital-assets.fieldmuseum.org/2491/486/C0268508F_p.jpg,,lk,,C0268508F,M. Fleischer,M. Fleischer,N/A,B 2692,25.3.1903,1903-03-25,N/A,Macromitrium,Macromitrium,N/A,N/A,N/A,Australia,Queensland,N/A,Eumundi,"Australien: Queensland, Eumundi (ca. 100 km nördlich Brisbane)",Circa 100 kilometers nördlich Brisbane,Urwald,N/A,N/A,N/A,1076699,Typed,no type status
EMu Field Museum | Bryophytes Portal,https://fm-digital-assets.fieldmuseum.org/2491/488/C0268514F_p.jpg,,lk,,C0268514F,M. Fleischer,M. Fleischer,N/A,B 2552,6.4.1903,1903-04-06,N/A,Macromitrium,Macromitrium,N/A,N/A,N/A,Australia,New South Wales,N/A,Sydney,"Australien: New South Wales, Blue Mountains bei Sydney, Wentworth Falls","Blue Mountains, Wentworth Falls",N/A,N/A,N/A,N/A,1076824,Typed,no type status
EMu Field Museum | Bryophytes Portal,https://fm-digital-assets.fieldmuseum.org/2491/491/C0268520F_p.jpg,,lk,,C0268520F,M. Fleischer,M. Fleischer,N/A,B 2697,20.3.1903,1903-03-20,N/A,Macromitrium,Macromitrium,N/A,N/A,N/A,Australia,Queensland,N/A,Brisbane,"Australien: Queensland, bei Brisbane",[precise locality unknown],N/A,N/A,N/A,N/A,1076705,Typed,no type status
EMu Field Museum | Bryophytes Portal,https://fm-digital-assets.fieldmuseum.org/2303/612/C0268544F.jpg,,lk,,C0268544F,T. Nakajima,T. Nakajima,N/A,1229,"Mar. 27, 1971",1971-03-27,N/A,Macromitrium gymnostomum Sull. et Lesq.,Macromitrium gymnostomum,T. Nakajima,"Mar. 27, 1971",N/A,Japan,Wakayama,N/A,N/A,"Ohara, Yuya, Oto-mura, Nishimuro-gun, Wakayama Prefecture","Nishimuro District, Otomura, Yuya, Ohara",N/A,rock,330 m,N/A,1043494,Typed,no type status
EMu Field Museum | Bryophytes Portal,https://fm-digital-assets.fieldmuseum.org/2303/613/C0268545F.jpg,,lk,,C0268545F,T. Nakajima,T. Nakajima,N/A,714,"May 4, 1958",1958-05-04,N/A,Macromitrium gymnostomum Sull. et Lesq.,Macromitrium gymnostomum,T. Nakajima,"May 4, 1958",N/A,Japan,Nara,N/A,N/A,"Mt. Obaki, Nara Prefecture",Mount Obako,N/A,tree trunk,1200 m,N/A,1043492,Typed,no type status
EMu Field Museum | Bryophytes Portal,https://fm-digital-assets.fieldmuseum.org/2303/614/C0268546F.jpg,,lk,,C0268546F,T. Nakajima,T. Nakajima,N/A,1129,"March 28, 1967",1967-03-28,N/A,Macromitrium gymnostomum Sull. et Lesq.,Macromitrium gymnostomum,T. Nakajima,"March 28, 1958",N/A,Japan,Wakayama,N/A,Shirahama,"Syōgawa, Shirahama-chō, Nishimuro-gun, Wakayama Prefecture","Nishimuro District, Syōgawa",N/A,rock,100 m,N/A,1043491,Typed,no type status
EMu Field Museum | Bryophytes Portal,https://fm-digital-assets.fieldmuseum.org/2303/617/C0268548F.jpg,,lk,,C0268548F,S. Hattori,S. Hattori,N/A,33,X.1946,1946-10-00,N/A,Macromitrium gymnostomum Sull. et Lesq.,Macromitrium gymnostomum,A. Noguchi,N/A,N/A,Japan,Miyazaki,N/A,N/A,"Kiushiu, Miyazaki, Minaminaka, Sakatani","Kyushu Island | Mimaninaka District, Sakatani",N/A,bark,ca. 500 m,N/A,1285078,Typed,no type status
EMu Field Museum | Bryophytes Portal,https://fm-digital-assets.fieldmuseum.org/2303/619/C0268549F.jpg,,lk,,C0268549F,R.P. J.B. Ferrié,R. P. Ferrié,B. J. Ferrié,s.n.,20.4.1898,1898-04-20,N/A,Macromitrium gymnostomum S. L.,Macromitrium gymnostomum,E. C. Thériot,N/A,N/A,Japan,N/A,N/A,N/A,Japon : Iles Liou-Kiou - Centre de l'ile,Iles Liou-Kiou | Centre d'ile,N/A,N/A,N/A,N/A,1000415,Typed,no type status
EMu Field Museum | Bryophytes Portal,https://fm-digital-assets.fieldmuseum.org/2303/621/C0268550F.jpg,,lk,,C0268550F,R.P. J.B. Ferrié,R. P. Ferrié,B. J. Ferrié,s.n.,oct.nov.1898,1898-10-00,1898-11-00,Macromitrium gymnostomum S. L.,Macromitrium gymnostomum,E. C. Thériot,N/A,N/A,Japan,N/A,N/A,N/A,Japon : Yaku-Sima,Yakushima Island,N/A,N/A,N/A,N/A,1000416,Typed,no type status
