imageName,accessionNumber,associatedTaxa,collectedBy,country,firstPoliticalUnit,habitat,identifiedBy,latestScientificName,locality,maximumEventDate,minimumEventDate,municipality,originalMethod,otherCatalogNumbers,plantDescription,recordNumber,secondPoliticalUnit,secondaryCollectors,typeStatus,verbatimCollectors,verbatimCoordinates,verbatimDateIdentified,verbatimElevation,verbatimEventDate,verbatimIdentification,verbatimLocality
V0057262F,N/A,N/A,M. E. Jones,Mexico,Nayarit,N/A,N/A,Lepidium virginicum var. tepicense C. L. Hitchc.,Tepic,N/A,16 Feb 1927,N/A,N/A,701318,N/A,22840,N/A,N/A,Isotype,N/A,N/A,N/A,N/A,N/A,N/A,Tepic
V0469088F,N/A,N/A,Djaja D. Soejarto,Colombia,Vaupés,Tropical rain forest cut,N/A,Piper cf. arboreum Aubl.,Vicinity of Mitu,N/A,30 Mar 1970,N/A,N/A,1821019,"Treelet, 3 m tall, inflorescences white to green, plant odorous",2466,N/A,T. E. Lockwood,N/A,N/A,N/A,N/A,200 m,N/A,N/A,Vicinity of Mitu
V0558575F,N/A,N/A,Felix Woytkowski,Peru,Loreto,Upon rocks and old tree trunks,N/A,Peperomia serpens (Sw.) Loudon,Aguaitia,N/A,26 Aug 1946,N/A,N/A,1307659,"Perennial herb 0.35 m. Flowers green. Leaves soft, fleshy",34438,N/A,"Diego Tuesta Diaz, Jorge Woytkowski",N/A,N/A,N/A,N/A,170-180 m,N/A,N/A,Aguaitia
V0571031F,N/A,N/A,Debeaux,Algeria,N/A,a l'embouchure de l'oued,N/A,Frankenia corymbosa Desf.,Arzew: a l'embouchure de l'oued,N/A,10 May 1880,N/A,N/A,835959,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Arzew: a l'embouchure de l'oued
V0613170F,N/A,N/A,M. A. Lewis,N/A,N/A,N/A,N/A,Stachytarpheta pohliana Cham.,N/A,N/A,22 Sep 1990,N/A,N/A,2304360,N/A,37731,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
V0613171F,N/A,N/A,O. L. Lovelius,N/A,N/A,N/A,N/A,Turgenia latifolia (L.) Hoffm.,N/A,N/A,13 Jun 1968,N/A,N/A,1779118,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
V0613172F,N/A,N/A,G. R. Proctor,N/A,N/A,N/A,N/A,Ilex guianensis (Aubl.) Kuntze,N/A,N/A,14 Apr 1976,N/A,N/A,1782286,N/A,35707,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
V0613173F,N/A,N/A,E. L. Ekman,N/A,N/A,N/A,N/A,Ilex berteroi Loes.,N/A,N/A,22 Jan 1929,N/A,N/A,1480853,N/A,11287,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
V0613174F,N/A,N/A,de Heldreich,Greece,N/A,in arenosis maritimis,N/A,Frankenia hispida DC.,N/A,N/A,29 May 1893,N/A,N/A,842306,N/A,455,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
V0613176F,N/A,N/A,D. D. Soejarto,Laos,Bolikhamsay,"Tropical rain forest; a mosaic of cleared lands, previously logged forest with an open canopy, and little disturbed closed canopy forest with Liquidambar, Camellia, and Lagerstroemia association ",N/A,Lagerstroemia ovalifolia Teijsm. & Binn.,"Ban Namphao, ca. 5 km east of town proper",N/A,22 Apr 2000,N/A,N/A,2224146,"Tree 7 m tall, dbh 10 cm, bark gray, slash dull purplish white, wood pale brown, flowers deep pink to violet, stames deep yellow, filaments pink-red, fruits dull reddish brown",11377,Khamheut,"S. Bouamanivong, M. Sensanang, S. Vorasing",N/A,N/A,"18 10 N, 05 00 E",N/A,500 m,N/A,N/A,"Ban Namphao, ca. 5 km east of town proper"
V0362457F,N/A,N/A,Tonduz,Costa Rica,N/A,Zone littorale,N/A,Lonchocarpus orotinus,La baie de Salinas,N/A,Jun 1890,N/A,N/A,576895,N/A,2731,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
V0574012F,N/A,N/A,Antonio Molina R. ,Guatemala,Chiquimula,Dry slopes,N/A,Commelina robusta,N/A,N/A,8 Dec 1969,N/A,N/A,1695826,N/A,25236,N/A,Albertina R. Molina,N/A,N/A,N/A,N/A,900 m,N/A,N/A,N/A
