associatedTaxa,collectedBy,country,firstPoliticalUnit,habitat,identifiedBy,latestScientificName,locality,maximumEventDate,minimumEventDate,municipality,originalMethod,otherCatalogNumbers,recordNumber,secondPoliticalUnit,secondaryCollectors,typeStatus,verbatimCollectors,verbatimCoordinates,verbatimDateIdentified,verbatimElevation,verbatimEventDate,verbatimIdentification,verbatimLocality
N/A,M. Fleischer,Australia,Queensland,N/A,PASS,Macromitrium,PASS,N/A,1903-03-25,PASS,Typed,PASS,PASS,PASS,nr. B 2734,no type status,PASS,N/A,N/A,N/A,25.3.1903,Macromitrium,PASS
N/A,M. Fleischer,Australia,Queensland,N/A,N/A,Macromitrium,PASS,N/A,1903-03-25,N/A,Typed,PASS,PASS,N/A,PASS,PASS,PASS,N/A,N/A,N/A,25.3.1903,Macromitrium,PASS
PASS,M. Fleischer,Australia,New South Wales,N/A,N/A,Macromitrium,PASS,N/A,1903-04-06,PASS,Typed,PASS,1076824,PASS,,no type status,PASS,N/A,N/A,N/A,6.4.1903,Macromitrium,"Blue Mountains bei Sydney, Wentworth Falls."
N/A,M. Fleischer,Australia,Queensland,N/A,N/A,Macromitrium,PASS,PASS,1903-03-20,N/A,Typed,N/A,1076705,N/A,B 2697,no type status,leg. M. Fleischer nr. B 2697,N/A,N/A,N/A,20.3.1903,Macromitrium,bei Brisbane.
PASS,T. Nakajima,Japan,PASS,PASS,PASS,Macromitrium gymnostomum,PASS,N/A,1971-03-27,PASS,Typed,C0288544F,1043494,PASS,PASS,no type status,PASS,N/A,"Mar. 27, 1971",330 m alt.,"Mar. 27, 1971",PASS,PASS
PASS,PASS,Japan,PASS,PASS,A. Noguchi,Macromitrium gymnostomum,PASS,1958-05-04,1958-05-04,,PASS,PASS,1043492,,PASS,no type status,T. Nakajima,,PASS,PASS,PASS,Macromitrium gymnostomum Sull. et Lesq.,PASS
N/A,PASS,Japan,Wakayama,PASS,A. Noguchi,Macromitrium gymnostomum,PASS,N/A,PASS,PASS,Typed,C0288546F,1043491,N/A,N/A,no type status,PASS,N/A,PASS,PASS,PASS,Musci Japonici,PASS
N/A,PASS,Japan,Miyazaki,N/A,PASS,Macromitrium gymnostomum,PASS,N/A,1948-10-01,PASS,Typed,PASS,1285078,PASS,PASS,no type status,PASS,N/A,PASS,PASS,Oct 1948,PASS,PASS
N/A,PASS,Japan,PASS,N/A,PASS,Macromitrium gymnostomum,PASS,PASS,1898-04-20,PASS,Typed,PASS,1000415,N/A,PASS,no type status,PASS,N/A,N/A,N/A,20.4.1898,Macromitrium gymnostomum S. L.,PASS
N/A,PASS,Japan,N/A,N/A,PASS,Macromitrium gymnostomum,PASS,1898-11-00,1898-10-00,N/A,Typed,PASS,1000416,N/A,PASS,no type status,PASS,N/A,N/A,N/A,PASS,PASS,PASS
N/A,PASS,Papua New Guinea,Morobe,N/A,D. H. Vitt,Macromitrium incurvifolium,PASS,PASS,1975-09-03,PASS,Typed,PASS,PASS,N/A,PASS,no type status,PASS,N/A,N/A,PASS,9-3 - 1975,PASS,"Papua New Guinea, Morobe Distr., Lae. In fork of Plumeria tree in garden."
PASS,PASS,Papua New Guinea,Sepik Distr.,PASS,PASS,Macromitrium longicaule,PASS,N/A,1975-05-20,PASS,Typed,PASS,18543,PASS,PASS,no type status,PASS,PASS,N/A,PASS,20.5.1975,PASS,PASS
N/A,PASS,Papua New Guinea,PASS,N/A,D. H. Vitt,Macromitrium macrosporum,PASS,N/A,1975-05-08,N/A,Typed,PASS,PASS,N/A,N/A,no type status,PASS,PASS,N/A,Alt.: c. 3900 m.,PASS,PASS,PASS
PASS,PASS,PASS,PASS,PASS,PASS,Macromitrium macrosporum,PASS,N/A,1975-04-17,PASS,Typed,PASS,1142178,PASS,PASS,no type status,PASS,PASS,N/A,PASS,17.4.1975,PASS,PASS
N/A,PASS,PASS,PASS,N/A,D. H. Vitt,Macromitrium macrosporum,PASS,N/A,1975-05-08,N/A,Typed,1142156,17312,PASS,N/A,no type status,PASS,N/A,N/A,PASS,8.5. 1975,PASS,PASS
PASS,D. H. Vitt,Papua New Guinea,PASS,PASS,D. H. Vitt,Macromitrium macrosporum,PASS,N/A,1975-04-19,PASS,Typed,PASS,PASS,PASS,PASS,no type status,PASS,PASS,N/A,3900 m.,PASS,Macromitrium macrosporum Brot.,PASS
