associatedTaxa,collectedBy,country,firstPoliticalUnit,habitat,identifiedBy,latestScientificName,locality,maximumEventDate,minimumEventDate,municipality,originalMethod,otherCatalogNumbers,recordNumber,secondPoliticalUnit,secondaryCollectors,typeStatus,verbatimCollectors,verbatimCoordinates,verbatimDateIdentified,verbatimElevation,verbatimEventDate,verbatimIdentification,verbatimLocality
N/A,M. Fleischer,Australia,Queensland,N/A,PASS,Macromitrium,PASS,N/A,1903-03-25,PASS,Typed,PASS,PASS,PASS,PASS,no type status,leg. M. Fleischer nr. B 2734,N/A,N/A,N/A,25.3.1903,Macromitrium,PASS
N/A,M. Fleischer,Australia,Queensland,N/A,N/A,Macromitrium,PASS,N/A,1903-03-25,N/A,Typed,PASS,PASS,N/A,PASS,no type status,leg. M. Fleischer nr. B 2692,N/A,N/A,N/A,25.3.1903,Macromitrium,PASS
N/A,M. Fleischer,Australia,New South Wales,N/A,N/A,Macromitrium,PASS,N/A,1903-04-06,PASS,Typed,PASS,PASS,N/A,PASS,no type status,PASS,N/A,N/A,N/A,6.4.1903,Macromitrium,PASS
N/A,M. Fleischer,Australia,Queensland,N/A,N/A,Macromitrium,PASS,PASS,1903-03-20,PASS,Typed,N/A,PASS,PASS,PASS,no type status,leg. M. Fleischer nr. B 2697,N/A,N/A,N/A,20.3.1903,Macromitrium,PASS
PASS,T. Nakajima,Japan,Wakayama Prefecture,PASS,PASS,Macromitrium gymnostomum,PASS,N/A,1971-03-27,PASS,Typed,PASS,PASS,PASS,PASS,no type status,PASS,PASS,"Mar. 27, 1971",330 m alt.,"Mar. 27, 1971",PASS,PASS
PASS,PASS,Japan,PASS,PASS,A. Noguchi,Macromitrium gymnostomum,PASS,PASS,1958-05-04,PASS,Typed,PASS,PASS,PASS,PASS,no type status,T. Nakajima,PASS,PASS,PASS,PASS,Macromitrium gymnostomum Sull. et Lesq.,PASS
N/A,PASS,Japan,PASS,PASS,A. Noguchi,Macromitrium gymnostomum,PASS,N/A,1967-03-28,PASS,Typed,PASS,PASS,N/A,N/A,no type status,PASS,N/A,N/A,ca. 100 m alt.,PASS,PASS,PASS
N/A,S. Hattori,Japan,PASS,PASS,PASS,Macromitrium gymnostomum,PASS,N/A,PASS,N/A,Typed,PASS,PASS,N/A,N/A,no type status,PASS,N/A,PASS,PASS,PASS,PASS,PASS
PASS,PASS,Japan,PASS,PASS,PASS,Macromitrium gymnostomum,PASS,N/A,1898-04-20,PASS,Typed,PASS,PASS,PASS,PASS,no type status,PASS,PASS,N/A,PASS,20.4.1898,Macromitrium gymnostomum S. L.,PASS
N/A,R. P. Ferrié,Japan,N/A,N/A,PASS,PASS,PASS,PASS,PASS,N/A,Typed,PASS,PASS,N/A,J. B. Ferrié,no type status,R.P. J.B. Ferrié,N/A,N/A,N/A,PASS,PASS,Yaku-Sima
