associatedTaxa,collectedBy,country,firstPoliticalUnit,habitat,identifiedBy,latestScientificName,locality,maximumEventDate,minimumEventDate,municipality,originalMethod,otherCatalogNumbers,recordNumber,secondPoliticalUnit,secondaryCollectors,typeStatus,verbatimCollectors,verbatimCoordinates,verbatimDateIdentified,verbatimElevation,verbatimEventDate,verbatimIdentification,verbatimLocality
N/A,M. Fleischer,Australia,Queensland,N/A,PASS,Macromitrium,PASS,N/A,1903-03-25,PASS,Typed,PASS,PASS,PASS,PASS,no type status,PASS,N/A,N/A,N/A,25.3.1903,Macromitrium,PASS
N/A,M. Fleischer,Australia,Queensland,N/A,N/A,Macromitrium,PASS,N/A,PASS,N/A,Typed,PASS,PASS,PASS,PASS,no type status,leg. M. Fleischer nr. B 2692,N/A,N/A,N/A,PASS,Macromitrium,PASS
N/A,M. Fleischer,Australia,New South Wales,N/A,N/A,Macromitrium,PASS,N/A,PASS,PASS,Typed,PASS,PASS,PASS,PASS,no type status,PASS,N/A,N/A,N/A,PASS,Macromitrium,PASS
N/A,M. Fleischer,Australia,Queensland,N/A,N/A,Macromitrium,PASS,PASS,1903-03-20,N/A,PASS,PASS,PASS,N/A,PASS,no type status,PASS,N/A,N/A,N/A,20.3.1903,Macromitrium,PASS
N/A,PASS,Japan,PASS,N/A,PASS,Macromitrium gymnostomum,PASS,N/A,1971-03-27,PASS,Typed,PASS,PASS,PASS,PASS,no type status,PASS,N/A,PASS,330 m alt.,"Mar. 27, 1971",PASS,PASS
PASS,PASS,Japan,PASS,PASS,A. Noguchi,PASS,PASS,PASS,1958-05-04,PASS,Typed,PASS,PASS,PASS,PASS,no type status,PASS,PASS,PASS,ca. 1200 m.,PASS,PASS,PASS
PASS,PASS,Japan,PASS,PASS,A. Noguchi,PASS,PASS,N/A,1967-03-28,PASS,Typed,PASS,1043491,PASS,PASS,no type status,PASS,PASS,PASS,ca. 100 m alt.,PASS,PASS,PASS
N/A,PASS,Japan,Miyazaki,N/A,PASS,Macromitrium gymnostomum,PASS,N/A,PASS,PASS,PASS,PASS,PASS,PASS,N/A,no type status,PASS,N/A,PASS,ca 500 m,PASS,Macromitrium gymnostomum Sull. et Lesq.,PASS
N/A,PASS,Japan,PASS,N/A,PASS,Macromitrium gymnostomum,PASS,N/A,1898-04-20,PASS,Typed,PASS,PASS,N/A,PASS,no type status,PASS,N/A,N/A,N/A,20.4.1898,Macromitrium gymnostomum S. L.,PASS
N/A,PASS,Japan,PASS,N/A,PASS,Macromitrium gymnostomum,PASS,1898-11-00,1898-10-00,N/A,Typed,PASS,PASS,N/A,PASS,no type status,PASS,N/A,N/A,N/A,PASS,PASS,PASS
N/A,PASS,Papua New Guinea,Morobe,N/A,PASS,PASS,PASS,PASS,1975-09-03,Lae,Typed,N/A,1142151,PASS,PASS,no type status,D.H. Vitt,N/A,N/A,PASS,PASS,PASS,"Papua New Guinea, Morobe Distr., Lae. In fork of Plumeria tree in garden."
PASS,PASS,Papua New Guinea,PASS,PASS,PASS,Macromitrium longicaule,PASS,N/A,1975-05-20,PASS,Typed,PASS,PASS,PASS,PASS,no type status,PASS,PASS,N/A,PASS,20.5.1975,PASS,PASS
N/A,D. H. Vitt,Papua New Guinea,PASS,PASS,D. H. Vitt,PASS,PASS,N/A,1975-05-08,N/A,Typed,PASS,17369,N/A,N/A,no type status,D.H. Vitt,PASS,N/A,PASS,PASS,PASS,PASS
N/A,N/A,Papua New Guinea,PASS,PASS,PASS,PASS,PASS,N/A,1975-04-17,N/A,Typed,PASS,1142178,PASS,N/A,no type status,PASS,N/A,N/A,3600 m.,17.4.1975,PASS,PASS
N/A,PASS,Papua New Guinea,PASS,N/A,PASS,PASS,PASS,N/A,1975-05-08,N/A,Typed,PASS,PASS,PASS,N/A,no type status,PASS,PASS,N/A,PASS,8.5. 1975,PASS,PASS
PASS,PASS,Papua New Guinea,West Sepik Distr.,PASS,PASS,PASS,PASS,N/A,1975-04-19,PASS,Typed,A. Town No. 16420,1142175,PASS,,no type status,PASS,PASS,N/A,3900 m.,19.4.1975,PASS,PASS
N/A,PASS,Papua New Guinea,PASS,PASS,PASS,PASS,PASS,N/A,1975-05-05,N/A,Typed,PASS,PASS,N/A,N/A,no type status,PASS,PASS,N/A,PASS,PASS,PASS,PASS
PASS,PASS,Papua New Guinea,West Sepik Distr.,PASS,PASS,Macromitrium megalocladon,PASS,PASS,1975-05-14,PASS,Typed,PASS,1142187,PASS,PASS,no type status,PASS,PASS,PASS,PASS,14.5.1975,Macromitrium megalocladon Fleisch.,PASS
PASS,PASS,PASS,PASS,PASS,D.H. Vitt,Macromitrium megalocladon,PASS,N/A,1975-04-21,PASS,PASS,PASS,PASS,PASS,PASS,no type status,PASS,PASS,PASS,PASS,PASS,PASS,PASS
N/A,D. H. Vitt,Papua New Guinea,West Sepik Distr.,PASS,D. H. Vitt,Macromitrium megalocladon,PASS,N/A,1975-04-07,N/A,Typed,PASS,PASS,PASS,N/A,no type status,PASS,N/A,PASS,PASS,PASS,PASS,PASS
