imageName,verbatimCollectors,collectedBy,secondaryCollectors,recordNumber,verbatimEventDate,minimumEventDate,maximumEventDate,verbatimIdentification,latestScientificName,identifiedBy,verbatimDateIdentified,associatedTaxa,country,firstPoliticalUnit,secondPoliticalUnit,municipality,verbatimLocality,locality,habitat,verbatimElevation,verbatimCoordinates,otherCatalogNumbers,originalMethod,typeStatus
https://fm-digital-assets.fieldmuseum.org/2491/485/C0268502F_p.jpg,leg. M. Fleischer nr. B 2734,M. Fleischer,nr. B 2734,1044084,25.3.1903,1903-03-25,N/A,Macromitrium,Macromitrium,M. Fleischer,N/A,N/A,Australia,Queensland,Nördlich Brisbane,Uralwd,"(ca. 100 km nördlich Brisbane), Uralwd.",ca. 100 km north of Brisbane,N/A,N/A,N/A,C02888027,Typed,no type status
https://fm-digital-assets.fieldmuseum.org/2491/486/C0268508F_p.jpg,leg. M. Fleischer nr. B 2692,M. Fleischer,B 2692,1076699,25.3.1903,1903-03-25,N/A,Macromitrium,Macromitrium,N/A,N/A,N/A,Australia,Queensland,N/A,N/A,"Eumundi (ca. 100 km nördlich Brisbane), Urald.",ca. 100 km nördlich Brisbane,N/A,N/A,N/A,1044122,Typed,no type status
https://fm-digital-assets.fieldmuseum.org/2491/488/C0268514F_p.jpg,M. Fleischer nr. B 2552,M. Fleischer,,1076824,6.4.1903,1903-04-06,N/A,Macromitrium,Macromitrium,N/A,N/A,N/A,Australia,New South Wales,N/A,"Blue Mountains bei Sydney, Wentworth Falls.","Blue Mountains bei Sydney, Wentworth Falls.","Blue Mountains near Sydney, Wentworth Falls.",N/A,N/A,N/A,N/A,Typed,no type status
https://fm-digital-assets.fieldmuseum.org/2491/491/C0268520F_p.jpg,leg. M. Fleischer nr. B 2697,M. Fleischer,B 2697,1076705,20.3.1903,1903-03-20,1903-03-20,Macromitrium,Macromitrium,N/A,N/A,N/A,Australia,Queensland,N/A,N/A,bei Brisbane.,"Queensland, bei Brisbane.",N/A,N/A,N/A,N/A,Typed,no type status
https://fm-digital-assets.fieldmuseum.org/2303/612/C0268544F.jpg,T. Nakajima,T. Nakajima,N/A,1043494,"Mar. 27, 1971",1971-03-27,N/A,"Musci Japonici Ser. 25 (1973) 1229. Macromitrium gymnostomum Sull. et Lesq. cf. Nishimuro-gun, Wakayama Prefecture",Macromitrium gymnostomum,A. Noguchi and I. Iwatsuki,"Mar. 27, 1971",N/A,Japan,Wakayama Prefecture,Nishimuro-gun,N/A,"On vertical face of rock, 330 m alt., Sull., et Lesq. cf. Nishimuro-gun, Wakayama Prefecture",On vertical face of rock 330 m alt.,N/A,330 m alt.,N/A,C0288544F,Typed,no type status
https://fm-digital-assets.fieldmuseum.org/2303/613/C0268545F.jpg,T. Nakajima,T Nakajima,Ver. A. Noguchi,1043492,1958-05-04,1958-05-04,1958-05-04,Macromitrium gymnostomum Sull. et Lesq.,Macromitrium gymnostomum,A. Noguchi,1959-15-05,Fagus crenala,Japan,Nara,,,"On trunks of Fagus crenala, ca. 1200 m. alt., Mt. Obaku, Nara Prefecture","On trunks of Fagus crenala at approximately 1200 meters altitude, Mt. Obaku, Nara Prefecture",growing on the trunks of Fagus crenala,ca. 1200 m.,,Co268545F,Typed,no type status
https://fm-digital-assets.fieldmuseum.org/2303/614/C0268546F.jpg,A. Noguchi,A. Noguchi,N/A,1043491,1967 March 28,1967-03-28,N/A,Musci Japonici,Macromitrium gymnostomum,A. Noguchi,N/A,N/A,Japan,Wakayama,N/A,Nishimuro-gun,"Syogawa, Shirahama-cho, Coll. & det. T. Nakajima","On rocks, ca. 100 m alt., Syogawa, Shirahama-cho, Nishimuro-gun, Wakayama Prefecture",On rocks,ca. 100 m alt.,N/A,C0288546F,Typed,no type status
https://fm-digital-assets.fieldmuseum.org/2303/617/C0268548F.jpg,S. Hattori,S. Hattori,N/A,1285078,OCT 1948,1948-10-01,N/A,Macromitrium gymnostomum Sull. et Lesq.,Macromitrium gymnostomum,det. A. Noguchi,Set. I (1947),N/A,Japan,Miyazaki,N/A,N/A,"KIUSHIU, Miyazaki, Minaminaka, Sakatani, ad arboreum truncos, ca 500 m.","On tree trunk, elevation 500 m",N/A,ca 500 m,N/A,C2286548,Typed,no type status
https://fm-digital-assets.fieldmuseum.org/2303/619/C0268549F.jpg,R.P. J.B. Ferriè | Thériot,R. P. J. B. Ferriè,Thériot,1000415,20.4.1898,1898-04-20,N/A,Macromitrium gymnostomum S. L.,Macromitrium gymnostomum,N/A,N/A,N/A,Japan,Ile de Liou-Kiou,N/A,Centre,Japon · Ile Liou-Kiou · Centre de l'ile,Centre de l'ile,N/A,N/A,N/A,CO266549F,Typed,no type status
https://fm-digital-assets.fieldmuseum.org/2303/621/C0268550F.jpg,R.P. J.B. Ferrié,R. P. Ferrié,J. B. Ferrié,1000416,oct. nov. 1898,1898-10-00,1898-11-00,Macromitrium gymnostomum S. L. m. rupestre Mitt. Sull. Card.,Macromitrium gymnostomum,Theriot,N/A,N/A,Japan,N/A,N/A,N/A,Yaku-Sima,Yaku-Sima,N/A,N/A,N/A,C0288530F,Typed,no type status
https://fm-digital-assets.fieldmuseum.org/2303/629/C0268554F.jpg,D.H. Vitt,D. H. Vitt,,1142151,9-3 - 1975,1975-09-03,1975-09-03,Macromitrium incurvifolium (Hook. & Grev.) Schwaegr.,Macromitrium incurvifolium,D. H. Vitt,N/A,N/A,Papua New Guinea,Morobe,N/A,Lae,"Papua New Guinea, Morobe Distr., Lae. In fork of Plumeria tree in garden.",In fork of Plumeria tree in garden.,N/A,20 m.,N/A,N/A,Typed,no type status
https://fm-digital-assets.fieldmuseum.org/2303/633/C0268557F.jpg,Field Museum of Natural History,D. H. Vitt,,18543,20.5.1975,1975-05-20,N/A,Macromitrium longicaule C. Muell.,Macromitrium longicaule,D. H. Vitt,N/A,,Papua New Guinea,Sepik Distr.,,,"Star Mts., e. 52°51'05""E Busilimin; wet forest on slope above Ok Din river W of Busilimin; on trees along Ok Din River.","Star Mts. e. 52°51'05""E Busilimin; wet forest on slope above Ok Din river W of Busilimin; on trees along Ok Din River.",,Alt. c. 1500 - 1550 m.,,No. 1141855,Typed,no type status
