associatedTaxa,collectedBy,country,firstPoliticalUnit,habitat,identifiedBy,latestScientificName,locality,maximumEventDate,minimumEventDate,municipality,originalMethod,otherCatalogNumbers,recordNumber,secondPoliticalUnit,secondaryCollectors,typeStatus,verbatimCollectors,verbatimCoordinates,verbatimDateIdentified,verbatimElevation,verbatimEventDate,verbatimIdentification,verbatimLocality
N/A,M. Fleischer,Australia,Queensland,N/A,N/A,Macromitrium,[precise locality unknown],N/A,1903-03-25,N/A,Typed,1076713,B 2734,N/A,N/A,no type status,leg. M. Fleischer nr. B 2734,N/A,N/A,N/A,25.3.1903,Macromitrium,"Emundi (ca. 100 km nördlich Brisbane), Urwald."
N/A,M. Fleischer,Australia,Queensland,N/A,N/A,Macromitrium,"Eummundi (ca. 100 Km nördlich Brisbane), Urwald",N/A,1903-03-25,N/A,Typed,1076699,B 2692,N/A,N/A,no type status,leg. M. Fleischer nr. B 2692,N/A,N/A,N/A,25.3.1903,Macromitrium,"Eummundi (ca. 100 Km nördlich Brisbane), Urwald."
N/A,M. Fleischer,Australia,New South Wales,N/A,N/A,Macromitrium,"Blue Mountains near Sydney, Wentworth Falls",N/A,1903-04-06,Sydney,Typed,1076824,B 2552,N/A,N/A,no type status,leg. M. Fleischer nr. B 2552,N/A,N/A,N/A,6.4.1903,Macromitrium,"New South Wales, Blue Mountains bei Sydney, Wentworth Falls."
N/A,M. Fleischer,Australia,Queensland,N/A,N/A,Macromitrium,[precise locality unknown],N/A,1903-03-20,Brisbane,Typed,N/A,B 2697,,,no type status,leg. M. Fleischer nr. B 2697,N/A,N/A,N/A,20.3.1903,Macromitrium,bei Brisbane
,T. Nakajima,Japan,Wakayama Prefecture,,T. Nakajima,Macromitrium gymnostomum,"On vertical face of rock, Ohara, Oto-mura, Nishimuro-gun",N/A,1971-03-27,,Typed,1043494,s.n.,,,no type status,Coll. & det. T. Nakajima,,"Mar. 27, 1971",330 m alt.,"Mar. 27, 1971",Macromitrium gymnostomum Sull. et Lesq. f. cr.,"On vertical face of rock, 330 m alt., Ohara, Oto-mura, Nishimuro-gun"
N/A,T. Nakajima,Japan,Nara Prefecture,On trunks of Fagus crenata,A. Noguchi,Macromitrium gymnostomum,Mt. Oobako,N/A,1958-05-04,N/A,Typed,1043492,s.n.,N/A,N/A,no type status,T. Nakajima,N/A,N/A,ca. 1200 m. alt.,"May 4, 1958",Macromitrium gymnostomum Sull. et Lesq.,Mt. Oobako
N/A,T. Nakajima,Japan,Wakayama Prefecture,N/A,A. Noguchi,Macromitrium gymnostomum,"On rocks, ca. 100 m alt., Syôgawa, Shirahama-chô, Nishimuro-gun, Wakayama Prefecture",N/A,1967-03-28,N/A,Typed,1043491,s.n.,N/A,N/A,no type status,T. Nakajima,N/A,N/A,ca. 100 m alt.,"March 28, 1967",Macromitrium gymnostomum Sull. & Lesq.,"On rocks, ca. 100 m alt., Syôgawa, Shirahama-chô, Nishimuro-gun, Wakayama Prefecture"
N/A,S. Hattori,Japan,N/A,ad arborum truncos,A. Noguchi,Macromitrium gymnostomum,[precise locality unknown],N/A,N/A,N/A,Typed,1285078,s.n.,N/A,N/A,no type status,leg. S. Hattori,N/A,N/A,ca. 500 m,s.d.,"Macromitrium gymnostomum Sull., et Lesq.","ad arborum truncos, ca. 500 m"
,R.P. J.B. Ferrié,Japan,,,Thériot,Macromitrium gymnostomum,[precise locality unknown],N/A,1898-04-20,,Typed,1000415,s.n.,,,no type status,R.P. J.B. Ferrié,,N/A,,20.4.1898,Macromitrium gymnostomum S. L.,Japon : Iles Liou-Kiou - Centre de l'ile
N/A,R. P. Ferrié,Japan,N/A,N/A,Thériot,Macromitrium gynnostomamum,[precise locality unknown],1898-11-30,1898-10-01,N/A,Typed,C0628550F,s.n.,N/A,J. B. Ferrié,no type status,R.P. J.B. Ferrié,N/A,N/A,N/A,oct.nov.1898,Macromitrium gynnostomamum S. L. = m. rupestre Mitt. Sull. Card.,Yaku-Sima
N/A,N/A,Papua New Guinea,N/A,In fork of Plumeria tree in garden.,D. H. Vitt,Macromitrium incurvifolium,"Morobe Distr., Lae. In fork of Plumeria tree in garden.",N/A,1975-09-03,N/A,Typed,A. Touw No. 14660,s.n.,N/A,N/A,no type status,N/A,N/A,N/A,20 m.,9-3 - 1975,Macromitrium incurvifolium (Hook. & Grev.) Schwaegr.,"Papua New Guinea, Morobe Distr., Lae. In fork of Plumeria tree in garden."
N/A,N/A,Papua New Guinea,West Sepik,Wet forest on slope above Ok Din river W of Busimin; on trees along Ok Din River.,D. H. Vitt,Macromitrium longicaule,"Papua New Guinea, West Sepik Distr., Star Mts., c. 5° 51' 05"" S Busimin; Wet forest on slope above Ok Din river W of Busimin; on trees along Ok Din River.",N/A,1975-05-20,N/A,Typed,No: 1141855,s.n.,N/A,N/A,no type status,N/A,"c. 5° 51' 05"" S",N/A,1500 - 1550 m.,20. 5. 1975,Macromitrium longicaule C. Mull.,"Papua New Guinea, West Sepik Distr., Star Mts., c. 5° 51' 05"" S Busimin; Wet forest on slope above Ok Din river W of Busimin; on trees along Ok Din River."
