imageName,verbatimCollectors,collectedBy,secondaryCollectors,recordNumber,verbatimEventDate,minimumEventDate,maximumEventDate,verbatimIdentification,latestScientificName,identifiedBy,verbatimDateIdentified,associatedTaxa,country,firstPoliticalUnit,secondPoliticalUnit,municipality,verbatimLocality,locality,habitat,verbatimElevation,verbatimCoordinates,otherCatalogNumbers,originalMethod,typeStatus
https://fm-digital-assets.fieldmuseum.org/2491/485/C0268502F_p.jpg,leg. M. Fleischer nr. B 2734,M. Fleischer,N/A,B 2734,25.3.1903,1903-03-25,N/A,Macromitrium,Macromitrium,N/A,N/A,N/A,Australia,Queensland,N/A,N/A,"Emundi (ca. 100 km nördlich Brisbane), Urwald.",[precise locality unknown],N/A,N/A,N/A,1076713,Typed,no type status
https://fm-digital-assets.fieldmuseum.org/2491/486/C0268508F_p.jpg,leg. M. Fleischer nr. B 2692,M. Fleischer,N/A,B 2692,25.3.1903,1903-03-25,N/A,Macromitrium,Macromitrium,N/A,N/A,N/A,Australia,Queensland,N/A,N/A,"Eummundi (ca. 100 Km nördlich Brisbane), Urwald.","Eummundi (ca. 100 Km nördlich Brisbane), Urwald",N/A,N/A,N/A,1076699,Typed,no type status
https://fm-digital-assets.fieldmuseum.org/2491/488/C0268514F_p.jpg,leg. M. Fleischer nr. B 2552,M. Fleischer,N/A,B 2552,6.4.1903,1903-04-06,N/A,Macromitrium,Macromitrium,N/A,N/A,N/A,Australia,New South Wales,N/A,Sydney,"New South Wales, Blue Mountains bei Sydney, Wentworth Falls.","Blue Mountains near Sydney, Wentworth Falls",N/A,N/A,N/A,1076824,Typed,no type status
https://fm-digital-assets.fieldmuseum.org/2491/491/C0268520F_p.jpg,leg. M. Fleischer nr. B 2697,M. Fleischer,,B 2697,20.3.1903,1903-03-20,N/A,Macromitrium,Macromitrium,N/A,N/A,N/A,Australia,Queensland,,Brisbane,bei Brisbane,[precise locality unknown],N/A,N/A,N/A,N/A,Typed,no type status
https://fm-digital-assets.fieldmuseum.org/2303/612/C0268544F.jpg,Coll. & det. T. Nakajima,T. Nakajima,,s.n.,"Mar. 27, 1971",1971-03-27,N/A,Macromitrium gymnostomum Sull. et Lesq. f. cr.,Macromitrium gymnostomum,T. Nakajima,"Mar. 27, 1971",,Japan,Wakayama Prefecture,,,"On vertical face of rock, 330 m alt., Ohara, Oto-mura, Nishimuro-gun","On vertical face of rock, Ohara, Oto-mura, Nishimuro-gun",,330 m alt.,,1043494,Typed,no type status
https://fm-digital-assets.fieldmuseum.org/2303/613/C0268545F.jpg,T. Nakajima,T. Nakajima,N/A,s.n.,"May 4, 1958",1958-05-04,N/A,Macromitrium gymnostomum Sull. et Lesq.,Macromitrium gymnostomum,A. Noguchi,N/A,N/A,Japan,Nara Prefecture,N/A,N/A,Mt. Oobako,Mt. Oobako,On trunks of Fagus crenata,ca. 1200 m. alt.,N/A,1043492,Typed,no type status
https://fm-digital-assets.fieldmuseum.org/2303/614/C0268546F.jpg,T. Nakajima,T. Nakajima,N/A,s.n.,"March 28, 1967",1967-03-28,N/A,Macromitrium gymnostomum Sull. & Lesq.,Macromitrium gymnostomum,A. Noguchi,N/A,N/A,Japan,Wakayama Prefecture,N/A,N/A,"On rocks, ca. 100 m alt., Syôgawa, Shirahama-chô, Nishimuro-gun, Wakayama Prefecture","On rocks, ca. 100 m alt., Syôgawa, Shirahama-chô, Nishimuro-gun, Wakayama Prefecture",N/A,ca. 100 m alt.,N/A,1043491,Typed,no type status
https://fm-digital-assets.fieldmuseum.org/2303/617/C0268548F.jpg,leg. S. Hattori,S. Hattori,N/A,s.n.,s.d.,N/A,N/A,"Macromitrium gymnostomum Sull., et Lesq.",Macromitrium gymnostomum,A. Noguchi,N/A,N/A,Japan,N/A,N/A,N/A,"ad arborum truncos, ca. 500 m",[precise locality unknown],ad arborum truncos,ca. 500 m,N/A,1285078,Typed,no type status
https://fm-digital-assets.fieldmuseum.org/2303/619/C0268549F.jpg,R.P. J.B. Ferrié,R.P. J.B. Ferrié,,s.n.,20.4.1898,1898-04-20,N/A,Macromitrium gymnostomum S. L.,Macromitrium gymnostomum,Thériot,N/A,,Japan,,,,Japon : Iles Liou-Kiou - Centre de l'ile,[precise locality unknown],,,,1000415,Typed,no type status
https://fm-digital-assets.fieldmuseum.org/2303/621/C0268550F.jpg,R.P. J.B. Ferrié,R. P. Ferrié,J. B. Ferrié,s.n.,oct.nov.1898,1898-10-01,1898-11-30,Macromitrium gynnostomamum S. L. = m. rupestre Mitt. Sull. Card.,Macromitrium gynnostomamum,Thériot,N/A,N/A,Japan,N/A,N/A,N/A,Yaku-Sima,[precise locality unknown],N/A,N/A,N/A,C0628550F,Typed,no type status
