associatedTaxa,collectedBy,country,firstPoliticalUnit,habitat,identifiedBy,latestScientificName,locality,maximumEventDate,minimumEventDate,municipality,originalMethod,otherCatalogNumbers,recordNumber,secondPoliticalUnit,secondaryCollectors,typeStatus,verbatimCollectors,verbatimCoordinates,verbatimDateIdentified,verbatimElevation,verbatimEventDate,verbatimIdentification,verbatimLocality
N/A,M. Fleischer,Australia,Queensland,N/A,N/A,Macromitrium,[precise locality unknown],N/A,1903-03-25,N/A,Typed,1076713,B 2734,PASS,N/A,no type status,PASS,N/A,N/A,N/A,25.3.1903,Macromitrium,PASS
N/A,M. Fleischer,Australia,Queensland,N/A,N/A,Macromitrium,PASS,N/A,PASS,N/A,Typed,1076699,PASS,PASS,N/A,no type status,leg. M. Fleischer nr. B 2692,N/A,N/A,N/A,PASS,Macromitrium,PASS
N/A,M. Fleischer,Australia,New South Wales,N/A,N/A,Macromitrium,PASS,N/A,PASS,PASS,Typed,PASS,PASS,PASS,N/A,no type status,leg. M. Fleischer nr. B 2552,N/A,N/A,N/A,PASS,Macromitrium,PASS
N/A,M. Fleischer,Australia,Queensland,N/A,N/A,Macromitrium,[precise locality unknown],N/A,1903-03-20,PASS,PASS,PASS,B 2697,PASS,PASS,no type status,PASS,N/A,N/A,N/A,20.3.1903,Macromitrium,bei Brisbane
PASS,PASS,Japan,PASS,PASS,PASS,Macromitrium gymnostomum,PASS,N/A,1971-03-27,PASS,Typed,1043494,PASS,PASS,PASS,no type status,PASS,PASS,PASS,330 m alt.,"Mar. 27, 1971",PASS,PASS
N/A,T. Nakajima,Japan,Nara Prefecture,PASS,A. Noguchi,PASS,PASS,N/A,1958-05-04,N/A,Typed,1043492,s.n.,N/A,PASS,no type status,PASS,N/A,PASS,PASS,"May 4, 1958",PASS,PASS
PASS,PASS,Japan,PASS,PASS,A. Noguchi,PASS,PASS,N/A,1967-03-28,PASS,Typed,PASS,PASS,PASS,PASS,no type status,PASS,PASS,PASS,ca. 100 m alt.,"March 28, 1967",PASS,PASS
N/A,PASS,Japan,PASS,PASS,PASS,Macromitrium gymnostomum,PASS,N/A,N/A,PASS,PASS,1285078,s.n.,PASS,N/A,no type status,PASS,N/A,N/A,PASS,s.d.,PASS,PASS
PASS,R.P. J.B. Ferrié,Japan,PASS,PASS,Thériot,Macromitrium gymnostomum,[precise locality unknown],N/A,1898-04-20,PASS,Typed,1000415,s.n.,PASS,,no type status,PASS,PASS,N/A,PASS,20.4.1898,Macromitrium gymnostomum S. L.,PASS
N/A,PASS,Japan,PASS,N/A,Thériot,PASS,[precise locality unknown],PASS,PASS,N/A,Typed,PASS,s.n.,N/A,PASS,no type status,PASS,N/A,N/A,N/A,PASS,PASS,PASS
N/A,PASS,Papua New Guinea,PASS,PASS,PASS,PASS,PASS,N/A,1975-09-03,PASS,Typed,PASS,PASS,PASS,N/A,no type status,PASS,N/A,N/A,PASS,PASS,PASS,"Papua New Guinea, Morobe Distr., Lae. In fork of Plumeria tree in garden."
N/A,N/A,Papua New Guinea,PASS,PASS,PASS,Macromitrium longicaule,PASS,N/A,1975-05-20,PASS,Typed,PASS,PASS,PASS,N/A,no type status,PASS,PASS,N/A,1500 - 1550 m.,PASS,PASS,PASS
N/A,PASS,Papua New Guinea,PASS,PASS,D. H. Vitt,PASS,PASS,N/A,PASS,N/A,Typed,PASS,PASS,N/A,N/A,no type status,PASS,PASS,N/A,PASS,PASS,PASS,PASS
N/A,N/A,Papua New Guinea,PASS,PASS,PASS,PASS,PASS,N/A,1975-04-17,N/A,Typed,PASS,PASS,PASS,N/A,no type status,PASS,N/A,N/A,3600 m.,17.4.1975,PASS,PASS
N/A,PASS,Papua New Guinea,PASS,N/A,PASS,PASS,PASS,N/A,PASS,N/A,Typed,A. Touw No. 17312,PASS,PASS,N/A,no type status,PASS,PASS,N/A,PASS,8.5. 1975,PASS,PASS
N/A,PASS,Papua New Guinea,PASS,PASS,PASS,PASS,PASS,N/A,1975-04-19,N/A,Typed,PASS,PASS,PASS,PASS,no type status,PASS,PASS,N/A,3900 m.,19.4.1975,PASS,PASS
N/A,PASS,Papua New Guinea,PASS,PASS,PASS,PASS,PASS,N/A,1975-05-05,N/A,Typed,PASS,PASS,N/A,N/A,no type status,PASS,PASS,N/A,PASS,PASS,PASS,PASS
N/A,PASS,Papua New Guinea,PASS,PASS,PASS,Macromitrium megalocladon,PASS,N/A,1975-05-14,N/A,Typed,PASS,PASS,PASS,N/A,no type status,PASS,PASS,PASS,PASS,14.5.1975,Macromitrium megalocladon Fleisch.,PASS
N/A,N/A,Papua New Guinea,PASS,PASS,D.H. Vitt,Macromitrium megalocladon,PASS,N/A,1975-04-21,N/A,PASS,A. Touw No. 16555,PASS,PASS,N/A,no type status,PASS,PASS,N/A,PASS,PASS,PASS,PASS
