associatedTaxa,collectedBy,country,firstPoliticalUnit,habitat,identifiedBy,latestScientificName,locality,maximumEventDate,minimumEventDate,municipality,originalMethod,otherCatalogNumbers,recordNumber,secondPoliticalUnit,secondaryCollectors,typeStatus,verbatimCollectors,verbatimCoordinates,verbatimDateIdentified,verbatimElevation,verbatimEventDate,verbatimIdentification,verbatimLocality
N/A,M. Fleischer,Australia,Queensland,N/A,PASS,Macromitrium,[precise locality unknown],N/A,1903-03-25,N/A,Typed,PASS,B 2734,PASS,N/A,no type status,PASS,N/A,N/A,N/A,25.3.1903,Macromitrium,"(ca. 100 km nördlich Brisbane), Urwald."
N/A,M. Fleischer,Australia,Queensland,N/A,N/A,Macromitrium,[precise locality unknown],N/A,PASS,N/A,PASS,1076699,1041123,PASS,N/A,no type status,leg. M. Fleischer nr. B 2692,N/A,N/A,N/A,PASS,Macromitrium,PASS
N/A,M. Fleischer,Australia,New South Wales,N/A,N/A,Macromitrium,PASS,N/A,PASS,PASS,PASS,PASS,PASS,PASS,N/A,no type status,leg. M. Fleischer nr. B 2552,N/A,N/A,N/A,PASS,Macromitrium,PASS
N/A,M. Fleischer,Australia,Queensland,N/A,N/A,Macromitrium,[precise locality unknown],N/A,1903-03-20,N/A,PASS,PASS,B 2697,PASS,N/A,no type status,PASS,N/A,N/A,N/A,20.3.1903,Macromitrium,bei Brisbane
N/A,PASS,Japan,PASS,N/A,PASS,Macromitrium gymnostomum,PASS,N/A,PASS,PASS,Typed,PASS,PASS,PASS,PASS,no type status,PASS,N/A,PASS,PASS,PASS,Macromitrium gymnostomum,PASS
N/A,PASS,Japan,Nara Prefecture,N/A,A. Noguchi,PASS,PASS,N/A,1958-05-04,N/A,Typed,PASS,PASS,N/A,PASS,no type status,PASS,N/A,PASS,PASS,"May 4, 1958",PASS,PASS
PASS,PASS,Japan,PASS,PASS,A. Noguchi,PASS,PASS,N/A,1967-03-28,PASS,Typed,PASS,1043491,PASS,PASS,no type status,,PASS,PASS,PASS,"March 28, 1967",PASS,PASS
N/A,Donald Richards,Japan,PASS,N/A,Musci Japonici,Macromitrium gymnostomum,PASS,N/A,PASS,PASS,PASS,1285078,s.n.,PASS,N/A,no type status,Donald Richards,N/A,PASS,ca 500 m,s.d.,PASS,PASS
N/A,PASS,Japan,PASS,N/A,Thériot,Macromitrium gymnostomum,[precise locality unknown],N/A,1898-04-20,N/A,PASS,1000415,s.n.,PASS,PASS,no type status,PASS,N/A,N/A,N/A,20.4.1898,Macromitrium gymnostomum S. L.,N/A
N/A,PASS,Japan,PASS,N/A,Thériot,Macromitrium gymnostomum,PASS,1898-11-00,1898-10-00,N/A,PASS,PASS,s.n.,N/A,PASS,no type status,PASS,N/A,N/A,N/A,PASS,Macromitrium gymnostomum S. L.,PASS
PASS,D.H. Vitt,Papua New Guinea,Morobe,PASS,D.H. Vitt,PASS,[precise locality unknown],N/A,1975-09-03,Lae,Typed,PASS,1142151,PASS,N/A,no type status,D.H. Vitt,N/A,N/A,PASS,PASS,PASS,PASS
N/A,N/A,Papua New Guinea,West Sepik Distr.,N/A,PASS,Macromitrium longicaule,PASS,N/A,1975-05-20,PASS,Typed,A. Touw No. 18543,PASS,Star Mts.,N/A,no type status,PASS,PASS,N/A,1500 - 1550 m.,20.5.1975,Macromitrium longicaule C. Müll.,Wet forest on slope above Ok Din river W of Busilmin; on trees along Ok Din River.
N/A,PASS,Papua New Guinea,West Sepik Distr.,PASS,PASS,Macromitrium macrosporium,[precise locality unknown],N/A,1975-05-08,N/A,Typed,PASS,PASS,N/A,N/A,no type status,PASS,PASS,N/A,c. 3900 m.,8.5. 1975,Macromitrium macrosporium Broth.,PASS
N/A,PASS,Papua New Guinea,PASS,PASS,PASS,Macromitrium macrosporium,PASS,N/A,1975-04-17,N/A,Typed,A. Touw No. 16376,1142178,PASS,PASS,no type status,PASS,PASS,N/A,3600 m.,17.4.1975,Macromitrium macrosporium Broth.,PASS
N/A,PASS,Papua New Guinea,West Sepik Distr.,N/A,D.H. Vitt,PASS,PASS,N/A,1975-05-08,N/A,Typed,A. Touw No. 17312,1142156,Star Mts.,N/A,no type status,PASS,PASS,N/A,3650 m.,8.5. 1975,PASS,PASS
PASS,D.H. Vitt,Papua New Guinea,West Sepik Distr.,forest remnant in deep chasm near the summit on soaking wet bark of trees.,D.H. Vitt,Macromitrium macrosporium,[precise locality unknown],N/A,1975-04-19,PASS,Typed,A. Town No. 16420,1142175,PASS,,no type status,,PASS,N/A,3900 m.,19.4.1975,Macromitrium macrosporium Broth.,PASS
N/A,PASS,Papua New Guinea,PASS,PASS,D.H. Vitt,Macromitrium macrosporium,PASS,N/A,1975-05-05,N/A,Typed,PASS,1141880,PASS,N/A,no type status,PASS,PASS,N/A,PASS,5.5.1975,Macromitrium macrosporium Broth.,PASS
N/A,PASS,Papua New Guinea,West Sepik Distr.,PASS,PASS,Macromitrium megalocladon,PASS,N/A,1975-05-14,N/A,Typed,PASS,1142187,Star Mts.,N/A,no type status,PASS,PASS,PASS,2500 - 2600 m.,14.5.1975,Macromitrium megalocladon Fleisch.,PASS
N/A,PASS,Papua New Guinea,PASS,N/A,D.H. Vitt,Macromitrium megalocladon,Small Kuni (grassfield) SW of Mt. Capella Base Camp; on vertical face of moss covered limestone boulder at edge of kuni.,N/A,1975-04-21,N/A,PASS,A. Touw No. 16555,1142432,PASS,PASS,no type status,PASS,PASS,N/A,PASS,21.4.1975,PASS,Small Kuni (grassfield) SW of Mt. Capella Base Camp; on vertical face of moss covered limestone boulder at edge of kuni.
N/A,D. H. Vitt,Papua New Guinea,West Sepik Distr.,PASS,D. H. Vitt,Macromitrium megalocladon,[precise locality unknown],N/A,1975-04-07,N/A,Typed,PASS,1142300,PASS,N/A,no type status,PASS,N/A,PASS,3350 m.,7.4. 1975,Macromitrium megalocladon Fleisch.,PASS
N/A,PASS,Japan,Miyazaki,PASS,A. Noguchi,Macromitrium incurvum,PASS,N/A,PASS,PASS,Typed,PASS,PASS,PASS,N/A,no type status,PASS,N/A,PASS,PASS,PASS,Macromitrium incurvum (Lindb.) Par.,PASS
N/A,K. Mayebara,Japan,PASS,N/A,A. Noguchi,Macromitrium incurvum,PASS,N/A,1951-12-25,PASS,Typed,PASS,PASS,N/A,N/A,no type status,Coll. K. Mayebara,N/A,PASS,PASS,"December 25, 1951",PASS,PASS
N/A,K. Mayebara,Japan,Honshu,N/A,A. Noguchi,PASS,PASS,N/A,1952-02-11,PASS,Typed,1043490,PASS,PASS,PASS,no type status,PASS,N/A,N/A,PASS,"February 11, 1952",PASS,PASS
N/A,PASS,Japan,Hitoehi,N/A,PASS,PASS,PASS,N/A,1952-03-00,N/A,Typed,PASS,PASS,Kumamoto County,N/A,no type status,PASS,N/A,N/A,PASS,March 1952,PASS,PASS
PASS,PASS,China,Fukien Province,PASS,PASS,Macromitrium gymnostomum,PASS,N/A,1925-08-00,PASS,Typed,PASS,B.206,PASS,PASS,no type status,PASS,PASS,PASS,PASS,PASS,PASS,PASS
N/A,H. H. Chung,China,PASS,PASS,H. H. Chung,Macromitrium gymnostomum,PASS,N/A,PASS,PASS,PASS,1122721,B.20,PASS,PASS,no type status,PASS,PASS,PASS,PASS,PASS,Macromitrium gymnostomum Sull.,PASS
PASS,Timo Koponen,PASS,Morobe Prov.,PASS,Dale H. Vitt,Macromitrium longicaule,PASS,N/A,1981-07-23,N/A,Typed,PASS,PASS,N/A,N/A,no type status,Timo Koponen,"6°01’S, 146°33’E",1989,PASS,23 July 1981,Macromitrium longicaule C. Mull.,PASS
N/A,H. H. Chung,China,PASS,PASS,N/A,Macromitrium japonicum,[precise locality unknown],N/A,1945-03-00,N/A,Typed,1122615,PASS,PASS,PASS,no type status,H. H. Chung,PASS,PASS,PASS,"March, 1945",PASS,On shady rocks or bark.
N/A,Timo Koponen,Papua New Guinea,PASS,PASS,Dale H. Vitt,PASS,"Mt. Sarawaket Southern Range 2,5 km S of L. Gwam",N/A,1981-07-09,N/A,Typed,PASS,PASS,N/A,N/A,no type status,PASS,PASS,1989,3550 m,9 July 1981,PASS,PASS
N/A,PASS,Japan,PASS,N/A,Z. Iwatsuki,Macromitrium gymmostomum,[precise locality unknown],N/A,1975-01-23,N/A,Typed,PASS,PASS,PASS,PASS,no type status,PASS,N/A,PASS,PASS,PASS,Macromitrium gymmostomum Sull. et Lesq.,PASS
N/A,PASS,Japan,Honshu,N/A,PASS,Macromitrium incurvum,[precise locality unknown],N/A,PASS,N/A,Typed,1356480,PASS,Musashi,PASS,no type status,PASS,N/A,1936,N/A,PASS,PASS,PASS
N/A,K. Saito,Japan,PASS,N/A,K. Saito,Macromitrium gymnostomum,PASS,N/A,1970-04-03,N/A,Typed,1051109,PASS,N/A,N/A,no type status,K. SAITO,N/A,N/A,PASS,"April 3, 1970",PASS,PASS
PASS,S. Miguel,Portugal,PASS,N/A,V. et P. Allorge,PASS,PASS,N/A,1937-06-14,N/A,PASS,1181624,133,N/A,PASS,no type status,PASS,N/A,N/A,700 m.,14.VI.1937,PASS,PASS
N/A,M. Lewis,Bolivia,La Paz,Super humid Ceja de Montana forests following ravines. In small rill in dripping area of small waterfall.,PASS,Philonotis,PASS,N/A,1983-01-20,PASS,Typed,PASS,PASS,PASS,N/A,no type status,Marko Lewis,PASS,N/A,"1536'S, 68°39'W ca. 3550 m.",20 Jan 1983,Philonotis,PASS
N/A,Marko Lewis,Bolivia,Depto. La Paz,N/A,N/A,Philonotis fide Crum,PASS,N/A,1979-03-29,N/A,Typed,1078795,PASS,Prov. Larecaja,N/A,no type status,Marko Lewis,PASS,PASS,PASS,29 March 1979,BRYOPHYTA OF BOLIVIA Philonotis fide Crum,PASS
N/A,Marko Lewis,Bolivia,Cochabamba,PASS,PASS,Philonotis,PASS,N/A,1979-06-01,N/A,Typed,PASS,79-2315,PASS,N/A,no type status,PASS,PASS,PASS,3030 m,1 June 1979,PASS,"Slope of Cerro Khachi, N. of Corani, 3030 m."
PASS,PASS,Bolivia,PASS,PASS,N/A,PASS,PASS,N/A,1950-10-13,PASS,Handwritten,PASS,PASS,PASS,PASS,no type status,PASS,PASS,PASS,10000 ft.,13 Oct. 1950,PASS,Unduavi
N/A,PASS,Bolivia,N/A,PASS,N/A,Philotris,Unduavi,N/A,1950-10-13,N/A,PASS,PASS,6865,N/A,N/A,no type status,PASS,N/A,N/A,10000 ft.,13 Oct. 1950,PASS,PASS
N/A,M. Lewis,Bolivia,Cochabamba,PASS,M. Lewis,Philonotis,PASS,N/A,1979-06-01,PASS,Typed,1050327,PASS,Chapare,N/A,no type status,Marko Lewis,PASS,PASS,3030 m,1 June 1979,PASS,PASS
N/A,P.E. Hegewald,Peru,Amazonas,"Fels, Erde, Mauer, Baum, Strauch, Holz, See, Bach",PASS,PASS,PASS,N/A,1973-08-31,PASS,PASS,PASS,PASS,PASS,PASS,no type status,,N/A,N/A,3000 m.,31.8.1973,PASS,PASS
N/A,PASS,Mexico,Baja California Sur,PASS,PASS,Braunia secunda,PASS,N/A,1973-12-25,N/A,Typed,PASS,PASS,N/A,PASS,no type status,PASS,N/A,1992,PASS,25 December 1973,PASS,PASS
N/A,PASS,Mexico,Oaxaca,PASS,PASS,PASS,PASS,N/A,1973-06-23,N/A,Typed,1045248,2281,N/A,PASS,no type status,PASS,N/A,PASS,PASS,"June 23, 1973",PASS,PASS
N/A,PASS,Mexico,Jalisco,PASS,A.J. Sharp,Braunia secunda,PASS,N/A,1973-07-04,N/A,Typed,1045251,2736,N/A,PASS,no type status,PASS,N/A,PASS,1750 m.,"July 4, 1973",PASS,PASS
N/A,C G Pringle,Mexico,Jalisco,N/A,PASS,PASS,PASS,N/A,PASS,N/A,PASS,PASS,10619,N/A,N/A,no type status,C. G. Pringle,N/A,1992,"5,000 ft.",PASS,PASS,"On rocks near Guadalajara, 5,000 ft."
N/A,PASS,Mexico,Hidalgo,N/A,PASS,PASS,PASS,N/A,PASS,N/A,Typed,PASS,10627,N/A,N/A,no type status,C. G. Pringle,N/A,1992,N/A,PASS,Braunia andrieuixii Lor.,PASS
N/A,PASS,Mexico,PASS,PASS,PASS,Braunia secunda,PASS,N/A,PASS,PASS,Typed,C0341205F,PASS,PASS,PASS,no type status,PASS,N/A,1992,PASS,PASS,PASS,PASS
N/A,F. D. Bowers,Mexico,Durango,PASS,PASS,Brnunia secunda,PASS,N/A,1972-12-30,N/A,PASS,1036945,5067,N/A,PASS,no type status,PASS,N/A,PASS,PASS,30 December 1972,PASS,PASS
N/A,A. J. Sharp,Mexico,Rio,N/A,PASS,Braunia secunda,PASS,N/A,1941-07-23,N/A,PASS,C0341213F,PASS,N/A,N/A,no type status,PASS,N/A,PASS,N/A,"July 23, 1941",PASS,PASS
N/A,PASS,Mexico,PASS,PASS,PASS,Braunia squarrulosa,PASS,N/A,1972-12-19,N/A,PASS,1045274,4217,N/A,PASS,no type status,PASS,N/A,PASS,PASS,"Dec. 19, 1972",Braunia squarrulosa (Hampe) C. Muell.,PASS
PASS,PASS,Mexico,Chiapas,PASS,PASS,Braunia squarrulosa,PASS,N/A,1975-02-09,PASS,Typed,1052129,26429,PASS,PASS,no type status,PASS,PASS,PASS,PASS,PASS,Braunia squarrulosa (Hampe) Broth.,PASS
