imageName,verbatimCollectors,collectedBy,secondaryCollectors,recordNumber,verbatimEventDate,minimumEventDate,maximumEventDate,verbatimIdentification,latestScientificName,identifiedBy,verbatimDateIdentified,associatedTaxa,country,firstPoliticalUnit,secondPoliticalUnit,municipality,verbatimLocality,locality,habitat,verbatimElevation,verbatimCoordinates,otherCatalogNumbers,originalMethod,typeStatus
https://fm-digital-assets.fieldmuseum.org/2491/485/C0268502F_p.jpg,M. Fleischer,M. Fleischer,N/A,B 2734,25.3.1903,1903-03-25,N/A,Macromitrium,Macromitrium,N/A,N/A,N/A,Australia,Queensland,Eumudi,N/A,"(ca. 100 km nördlich Brisbane), Urwald.",[precise locality unknown],N/A,N/A,N/A,1076713,Typed,no type status
https://fm-digital-assets.fieldmuseum.org/2491/486/C0268508F_p.jpg,leg. M. Fleischer nr. B 2692,M. Fleischer,N/A,1041123,1903,1903-00-00,N/A,Macromitrium,Macromitrium,N/A,N/A,N/A,Australia,Queensland,Eumungi,N/A,"ca. 100 km nördlich Brisbane), Urwald.",[precise locality unknown],N/A,N/A,N/A,1076699,Typed,no type status
https://fm-digital-assets.fieldmuseum.org/2491/488/C0268514F_p.jpg,leg. M. Fleischer nr. B 2552,M. Fleischer,N/A,2552,1903,1903-01-01,N/A,Macromitrium,Macromitrium,N/A,N/A,N/A,Australia,New South Wales,Blue Mountains bei Sydney,Wentworth Falls,N/A,[precise locality unknown],N/A,N/A,N/A,N° 1076824,Typed,no type status
https://fm-digital-assets.fieldmuseum.org/2491/491/C0268520F_p.jpg,M. Fleischer,M. Fleischer,N/A,B 2697,20.3.1903,1903-03-20,N/A,Macromitrium,Macromitrium,N/A,N/A,N/A,Australia,Queensland,N/A,N/A,bei Brisbane,[precise locality unknown],N/A,N/A,N/A,1076705,Handwritten,no type status
https://fm-digital-assets.fieldmuseum.org/2303/612/C0268544F.jpg,"Collected by A. Noguchi, Mar. 27, 1971",A Noguchi,T Nakajima,1229,"Mar. 27, 1971",1971-03-27,N/A,Macromitrium gymnostomum,Macromitrium gymnostomum,A Noguchi,s.d.,N/A,Japan,Honshu,Kanagawa,"Nishiriuro-gun, Wakayama Prefecture","Ohara, Yuya, Oto-mura, Nishihiroro-gun, Wakayama Prefecture","On vertical face of rock, 330 m alt.",N/A,330 m alt.,N/A,1043494,Typed,no type status
https://fm-digital-assets.fieldmuseum.org/2303/613/C0268545F.jpg,"T. Nakajima, May 4, 1958|A. Noguchi",T. Nakajima,A. Noguchi,s.n.,"May 4, 1958",1958-05-04,N/A,Macromitrium gymmostomum Sull. et Lesq.,Macromitrium gymmostomum,A. Noguchi,"May 4, 1958",N/A,Japan,Nara Prefecture,N/A,N/A,"On trunks of Fagus crenata, ca. 1200 m. alt., Mt. Obake",Mt. Obake,N/A,ca. 1200 m.,N/A,1043492,Typed,no type status
https://fm-digital-assets.fieldmuseum.org/2303/614/C0268546F.jpg,,T. Nakajlma,,1043491,"March 28, 1967",1967-03-28,N/A,Macromitrium gymnostoma Sull. & Lesq. c. fr.,Macromitrium gymnostoma,A. Noguchi,1981,,Japan,Shizuoka-Ken,,,"On rocks, ca. 100 m alt., Syugawa, Shirahama-cho, Nishimuro-gun, Wakayama Prefecture","Syugawa, Shirahama-cho, Nishimuro-gun, Wakayama Prefecture",,ca. 100 m alt.,,,Typed,no type status
https://fm-digital-assets.fieldmuseum.org/2303/617/C0268548F.jpg,Donald Richards,Donald Richards,N/A,s.n.,s.d.,N/A,N/A,Macromitrium gymnostomum Sull. et Lesq.,Macromitrium gymnostomum,Musci Japonici,N/A,N/A,Japan,Miyazaki,Miyaminaka,Sakatani,N/A,"near arboretum, tr. 5, ca 500 m, leg. S. Hattori",N/A,ca 500 m,N/A,1285078,Handwritten,no type status
https://fm-digital-assets.fieldmuseum.org/2303/619/C0268549F.jpg,,R.P. J.B. Ferrié,,s.n.,20.4.1898,1898-04-20,N/A,Macromitrium gymnostomum S. L.,Macromitrium gymnostomum,Thériot,N/A,N/A,Japan,Ile Liou-Kiou - Centre de l'ile,N/A,N/A,N/A,[precise locality unknown],N/A,N/A,N/A,1000415,Typed,no type status
https://fm-digital-assets.fieldmuseum.org/2303/621/C0268550F.jpg,,S. L.,M. rupestre Mitt.,s.n.,1898 oct. nov.,1898-10-00,1898-11-00,Macromitrium gymnostomum S. L.,Macromitrium gymnostomum,Thériot,N/A,N/A,Japan,Yakusima,N/A,N/A,N/A,[precise locality unknown],N/A,N/A,N/A,1000416,Typed,no type status
