associatedTaxa,collectedBy,country,firstPoliticalUnit,habitat,identifiedBy,latestScientificName,locality,maximumEventDate,minimumEventDate,municipality,originalMethod,otherCatalogNumbers,recordNumber,secondPoliticalUnit,secondaryCollectors,typeStatus,verbatimCollectors,verbatimCoordinates,verbatimDateIdentified,verbatimElevation,verbatimEventDate,verbatimIdentification,verbatimLocality
N/A,E. A. Mearns,Congo Free State,N/A,N/A,J. Raynal,Cyperus maculatus Böck.,"""Rhino Camp,"" Bahr el Jebel",1910-02-03,1910-01-19,N/A,Typed,468360,2852,Lado Enclave,N/A,no type status,"Dr. EDGAR A. MEARNS, Collector",N/A,19.10.1971,N/A,"Jan. 19 to Feb. 3, 1910",Cyperus callistus Ridley,"""Rhino Camp,"" Bahr el Jebel, Lado Enclave, Congo Free State"
N/A,F. G. Overlaet,Belgian Congo,N/A,N/A,BÖRGE. PETTERSSON,Habenaria,[precise locality unknown],1924-00-00,1923-00-00,N/A,Typed,752356,s.n.,N/A,N/A,no type status,F. G. OVERLAET,N/A,19...... 84,N/A,1923-4,Habenaria,N/A
Dombeya mastersii and Olea hochstetteri,R. A. Maas Geesteranus,Kenya,Nyanza,"glade surrounded by rather open, tall forest, containing a.o. Dombeya mastersii and Olea hochstetteri; 2260 m s.m.",N/A,Pycreus segmentatus C.B.Cl.,"Nyanza Province, Londiani Distr., Tinderet Forest Reserve, Camp I, lat. 0° 5' S., long. 35° 27' E.",N/A,1949-06-14,N/A,Mix of Handwritten and Typed,1147852,4924,Londiani,N/A,no type status,R. A. Maas Geesteranus,"lat. 0° 5' S., long. 35° 27' E.",N/A,2260 m s.m.,14-VI 1949,Pycreus segmentatus C.B.Cl.,"Nyanza Province, Londiani Distr., Tinderet Forest Reserve, Camp I, lat. 0° 5' S., long. 35° 27' E."
N/A,J. M. Reitsma,Gabon,N/A,"Epiphytic orchid, growing in big clumps together. Flowers greenish-yellow. Leaves hard, succulent",Olga Kosovsky,Bulbophyllum scaberulum (Rolfe) Bolus var. scaberulum,"Primary rain forest, ca 6 km NW of Oveng, chantier Rougier Océan",N/A,1986-03-03,N/A,Typed,2310219,2013,N/A,B. Reitsma,no type status,J. M. et B. Reitsma,0 41 N x 11 07 E,2011,N/A,3-3-86,Bulbophyllum scaberulum (Rolfe) Bolus var. scaberulum,"Primary rain forest, ca 6 km NW of Oveng, chantier Rougier Océan. 0 41 N x 11 07 E"
N/A,Carvalho,GUINEÆ ÆQUATORIALIS,BIOCO,"Bosque secundario y terrenos incultos. Herbácea, 20-30 cm",C. Cebolla & Mª A. Rivas Ponce (UAM),Mariscus alternifolius Vahl,"Malabo, finca las Carboneras, 8 meters. Bosque secundario y terrenos incultos. Herbácea, 20-30 centimeters",N/A,1986-07-26,Malabo,Typed,Nº 2201108,2102,N/A,N/A,no type status,"Carvalho 2102, 26-VII-1986",32NMK7415,1995,8 m,26-VII-1986,Mariscus alternifolius Vahl,"«Malabo, finca las Carboneras, 32NMK7415, 8 m. Bosque secundario y terrenos incultos. Herbácea, 20-30 cm»"
N/A,Fernández Casas,GUINEA EQUATORIAL,BIOCO,márgenes de la pista,C. Cebolla & Mª A. Rivas Ponce,Agrostis manii (Hooker fil.) Stapf,"cumbre del pico Basilé, 32NMJ7396, 2870 meters, márgenes de la pista",N/A,1989-02-05,N/A,Typed,N° 2200806,11206,N/A,N/A,no type status,Fernández Casas,32NMJ7396,1993,2870 m,5-II-1989,Agrostis manii (Hooker fil.) Stapf,"cumbre del pico Basilé, 32NMJ7396, 2870 m, márgenes de la pista"
N/A,F. G. Overlaet,Belgian Congo,N/A,N/A,G. G. Nelsh,Scirpus mucronatus L.,[precise locality unknown],1924-00-00,1923-00-00,N/A,Typed,752378,s.n.,N/A,N/A,no type status,F. G. OVERLAET,N/A,1946,N/A,1923-4,Scirpus,N/A
N/A,C. J. P. Seegeler,ETHIOPIA,SHEWA,In full sun on lava rock.,G. J. H. Amshoff,Vernonia abyssinica Sch.Bip.,"c. 3 kilometers from Metahara, on road to Nazareth. In full sun on lava rock.",N/A,1972-10-23,N/A,Typed,2302805,2806,N/A,N/A,no type status,C.J.P. Seegeler,"c. 8°56' N, 39°55' E",1982,925m,23 October 1972,Vernonia abyssinica Sch.Bip.,"c. 3 km from Metahara, on road to Nazareth. In full sun on lava rock."
N/A,N/A,N/A,Sud-Kivu,Herbe,N/A,Cardus leptacanthus FRES,Musisi,N/A,2003-08-05,N/A,Typed,2257689,48,Kabare,N/A,no type status,N/A,N/A,N/A,N/A,05.08.2003,Cardus leptacanthus FRES,Musisi
N/A,J. M. Fay,Central African Republic,N/A,N/A,J. M. Fay,Burkea africana Hook.,Park Manovo-Gounda-St. Floris. vicinity of Camp Koumbala. prec: 1200 mm,N/A,1987-05-25,N/A,Typed,"No 1999188 | NCI# Wood Q67B/0065, Bark Q67B/0066, Root Q67B/0067, Leaves Q67B/0068",8017,N/A,N/A,no type status,J.M. Fay,08°29'N 21°12'E,N/A,elev: 600 m,25 May 1987,Burkea africana Hook.,Park Manovo-Gounda-St. Floris. vicinity of Camp Koumbala. prec: 1200 mm
