modelname,associatedTaxa,collectedBy,country,firstPoliticalUnit,habitat,identifiedBy,latestScientificName,locality,maximumEventDate,minimumEventDate,municipality,originalMethod,otherCatalogNumbers,recordNumber,secondPoliticalUnit,secondaryCollectors,typeStatus,verbatimCollectors,verbatimCoordinates,verbatimDateIdentified,verbatimElevation,verbatimEventDate,verbatimIdentification,verbatimLocality
sonnet-3.5_gpt-4o-cropped_gpt-4o-collage,N/A,E. A. Mearns,PASS,PASS,N/A,PASS,PASS,PASS,PASS,PASS,N/A,PASS,PASS,PASS,PASS,N/A,no type status,PASS,N/A,19.10.1971,N/A,PASS,PASS,PASS
sonnet-3.5_gpt-4o-cropped_gpt-4o-collage,N/A,F. G. Overlaet,PASS,N/A,N/A,PASS,Habenaria,[precise locality unknown],PASS,PASS,N/A,Typed,PASS,PASS,N/A,N/A,no type status,COLL. F. G. OVERLAET,N/A,PASS,N/A,PASS,Habenaria,N/A
sonnet-3.5_gpt-4o-cropped_gpt-4o-collage,PASS,R. A. Maas Geesteranus,Kenya,Nyanza,PASS,PASS,PASS,PASS,N/A,1949-06-14,N/A,PASS,PASS,4924,Londiani,N/A,no type status,PASS,PASS,N/A,2260 m s.m.,PASS,PASS,PASS
sonnet-3.5_gpt-4o-cropped_gpt-4o-collage,N/A,J. M. Reitsma,Gabon,N/A,PASS,PASS,PASS,PASS,N/A,PASS,N/A,Typed,PASS,2013,N/A,PASS,no type status,PASS,0 41 N x 11 07 E,2011,N/A,PASS,Bulbophyllum scaberulum (Rolfe) Bolus var. scaberulum,PASS
sonnet-3.5_gpt-4o-cropped_gpt-4o-collage,N/A,Carvalho,PASS,BIOCO,PASS,PASS,PASS,PASS,N/A,1986-07-26,Malabo,Typed,PASS,2102,N/A,N/A,no type status,PASS,PASS,1995,8 m,26-VII-1986,Mariscus alternifolius Vahl,PASS
sonnet-3.5_gpt-4o-cropped_gpt-4o-collage,N/A,PASS,PASS,PASS,márgenes de la pista,PASS,PASS,PASS,N/A,PASS,N/A,Typed,PASS,11206,N/A,N/A,no type status,PASS,32NMJ7396,1993,2870 m,PASS,Agrostis manii (Hooker fil.) Stapf,PASS
sonnet-3.5_gpt-4o-cropped_gpt-4o-collage,N/A,F. G. Overlaet,PASS,N/A,N/A,PASS,PASS,[precise locality unknown],PASS,PASS,N/A,Typed,PASS,s.n.,N/A,N/A,no type status,COLL. F. G. OVERLAET,N/A,PASS,N/A,1923-4,Scirpus,N/A
sonnet-3.5_gpt-4o-cropped_gpt-4o-collage,N/A,C. J. P. Seegeler,ETHIOPIA,SHEWA,PASS,G. J. H. Amshoff,PASS,PASS,N/A,1972-10-23,N/A,Typed,PASS,2806,N/A,N/A,no type status,PASS,PASS,1982,PASS,23 October 1972,Vernonia abyssinica Sch.Bip.,PASS
sonnet-3.5_gpt-4o-cropped_gpt-4o-collage,N/A,N/A,PASS,Sud-Kivu,PASS,N/A,PASS,PASS,N/A,2003-08-05,PASS,PASS,PASS,48,Kabare,N/A,no type status,PASS,N/A,N/A,N/A,05.08.2003,PASS,Musisi
sonnet-3.5_gpt-4o-cropped_gpt-4o-collage,N/A,J. M. Fay,Central African Republic,PASS,N/A,J. M. Fay,PASS,PASS,N/A,1987-05-25,N/A,Typed,PASS,8017,N/A,N/A,no type status,PASS,08°29'N 21°12'E,N/A,PASS,25 May 1987,Burkea africana Hook.,PASS
