associatedTaxa,collectedBy,country,firstPoliticalUnit,habitat,identifiedBy,latestScientificName,locality,maximumEventDate,minimumEventDate,municipality,originalMethod,otherCatalogNumbers,recordNumber,secondPoliticalUnit,secondaryCollectors,typeStatus,verbatimCollectors,verbatimCoordinates,verbatimDateIdentified,verbatimElevation,verbatimEventDate,verbatimIdentification,verbatimLocality
N/A,E. A. Mearns,Democratic Republic of the Congo,N/A,N/A,J. Raynal,Cyperus maculatus,[precise locality unknown],1910-02-02,1910-01-10,N/A,Mix of Handwritten and Typed,N/A,2532,N/A,N/A,no type status,Dr. Edgar A. Mearns,N/A,19.10.1971,N/A,"Jan. 10 to Feb. 2, 1910",Cyperus callistus Ridley,"""Rhino Camp"" Bahr el Jebel Lado Enclave Congo Free State"
N/A,F. G. Overlaet,Democratic Republic of the Congo,N/A,N/A,B. Pettersson,Habenaria,[precise locality unknown],N/A,0000-00-00,N/A,Typed,N/A,1923-4,N/A,N/A,no type status,F. G. OVERLAET,N/A,1984,N/A,s.d.,Habenaria,N/A
Dombeya mastersii | Olea hochstetteri,R. A. Maas Geesteranus,Kenya,Nyanza,"glade surrounded by rather open, tall forest, containing a.o. Dombeya mastersii and Olea hochstetteri",N/A,Pycreus segmentatus,"Tinderet Forest Reserve, Camp I",N/A,1949-06-14,N/A,Typed,N/A,4924,Londiani,N/A,no type status,R. A. Maas Geesteranus,"lat. 0° 5' S., long. 35° 27' E.",N/A,2260 m s.m.,14-VI-1949,Pycreus segmentatus C. B. Cl.,"Tinderet Forest Reserve, Camp I"
N/A,J. M. Reitsma,Gabon,N/A,Primary rain forest,O. Kosovsky,Bulbophyllum scaberulum,[precise locality unknown],N/A,1985-03-03,N/A,Typed,N/A,2013,N/A,B. Reitsma,no type status,Récolteurs: J. M. et B. Reitsma,0 41 N x 11 07 E,2011,N/A,3-3-85,Bulbophyllum scaberulum (Rolfe) Bolus var. scaberulum,"ca 6 km NW of Ovan, chantier Rougier Océan"
N/A,Carvalho,Equatorial Guinea,Bioco,Bosque secundario y terrenos incultos Herbácea 20-30 cm,C. Cebolla | M. A. Rivas Ponce,Mariscus alternifolius,finca las Carboneras,N/A,1986-07-26,Malabo,Typed,N/A,2102,N/A,N/A,no type status,Carvalho 2102,32NMK7415,1995,8 m,26-VII-1986,Mariscus alternifolius Vahl,finca las Carboneras 32NMK7415 8 m
N/A,N/A,Equatorial Guinea,N/A,Márgenes de la pista,C. Cebolla | M. A. Rivas Ponce,Agrostis manii,Cumbre del pico Basilé,N/A,1989-11-05,N/A,Typed,N/A,11206,N/A,N/A,no type status,Fernández Casas 11206,32NMJ7396,1993,2870 m,5-11-1989,Agrostis manii (Hooker fil.) Stapf,Bioco: cumbre del pico Basilé 32NMJ7396 2870 m márgenes de la pista
N/A,F. G. Overlaet,Democratic Republic of the Congo,N/A,N/A,N/A,Scirpus,[precise locality unknown],1923-04-00,1923-04-00,N/A,Typed,N/A,s.n.,N/A,N/A,no type status,F. G. OVERLAET,N/A,N/A,N/A,1923-4,Scirpus,N/A
N/A,C. J. P. Seegeler,Ethiopia,Shewa,In full sun on lava rock,G. J. H. Amshoff,Vernonia abyssinica,"3 kilometers from Metahara, on road to Nazareth",N/A,1972-10-23,N/A,Typed,N/A,2806,N/A,N/A,no type status,Collected by C.J.P. Seegeler,c. 8°56'N 39°55'E,1982,Alt: 925m,23 October 1972,Vernonia abyssinica Sch.Bip.,"c. 3 km from Metahara, on road to Nazareth"
N/A,N/A,Democratic Republic of the Congo,Sud-Kivu,N/A,N/A,Carduus leptacanthus,[precise locality unknown],N/A,2003-08-05,Musisi,Mix of Handwritten and Typed,N/A,48,Kabare,N/A,no type status,N/A,N/A,N/A,N/A,05.08.2003,Carduus leptacanthus Fres.,Musisi
N/A,J. M. Fay,Central African Republic,N/A,N/A,J. M. Fay,Burkea africana,Park Manovo-Gounda-St. Floris. Vicinity of Camp Koumbala.,N/A,1987-05-25,N/A,Typed,"NCI# Wood Q67B/0065, Bark Q67B/0066, Root Q67B/0057, Leaves Q67B/0068",8017,N/A,N/A,no type status,J.M. Fay,08°29'N 21°12'E,N/A,elev. 600 m,25 May 1987,Burkea africana Hook.,Park Manovo-Gounda-St. Floris. Vicinity of Camp Koumbala.
N/A,P. C. M. Jansen,Ethiopia,Harerge,Between chat and Sorghum fields,C. C. H. Jongkind,Cirsium vulgare,around Damata Village near Alemaya,N/A,1976-04-14,N/A,Typed,N/A,5996,N/A,N/A,no type status,P.C.M. Jansen,c. 9°24' N 42°01' E,1987,2000m,14 April 1976,Cirsium vulgare (Savi) Ten.,around Damata Village near Alemaya Between chat and Sorghum fields
N/A,A. Koch,Kenya,Kajiado,Dry bushland,P. Mutiso,Acacia reficiens,[precise locality unknown],N/A,2003-10-22,Oloishobor,Typed,N/A,AK61,N/A,W. Sakuda,no type status,"Amanda Koch, Wilson Sakuda, AK61, October 22, 2003",N/A,"November 02, 2003",N/A,"October 22, 2003",Acacia reficiens misera (Vatke) Brenan,Oloishobor
N/A,J. Lebrun,Democratic Republic of the Congo,Lualaba,N/A,C. A. Smith,Albizzia gummifera,Lolo,N/A,1931-03-00,N/A,Mix of Handwritten and Typed,N/A,2409,N/A,N/A,no type status,J. Lebrun,N/A,N/A,N/A,Mars 1931,Albizzia gummifera (J. M. G.),Lolo (Uele: Kimbi)
N/A,N/A,Kenya,N/A,N/A,N/A,Digitaria pennata,[precise locality unknown],N/A,1957-12-25,N/A,Mix of Handwritten and Typed,N/A,2077,N/A,N/A,no type status,N/A,N/A,N/A,N/A,25. 12. 1957,Digitaria pennata (Hochst.) Chiov.,Tsavo - Kituo Andei
N/A,N/A,Democratic Republic of the Congo,N/A,foret secondaire,H. Callens,Gaertnera paniculata,[precise locality unknown],N/A,1958-07-00,Kisantu,Typed,172587,s.n.,N/A,N/A,no type status,N/A,N/A,1/9/58,± 5 m,Juillet 1958,Gaertnera paniculata,Kisantu
