associatedTaxa,collectedBy,country,firstPoliticalUnit,habitat,identifiedBy,latestScientificName,locality,maximumEventDate,minimumEventDate,municipality,originalMethod,otherCatalogNumbers,recordNumber,secondPoliticalUnit,secondaryCollectors,typeStatus,verbatimCollectors,verbatimCoordinates,verbatimDateIdentified,verbatimElevation,verbatimEventDate,verbatimIdentification,verbatimLocality
N/A,E. A. Mearns,South Sudan,Bahr el Jebel,N/A,J. Koyap,Cyperus maculatus,Rhino Camp,1910-02-02,1910-01-10,N/A,Mix of Handwritten and Typed,468360,2532,Lado Enclave,N/A,no type status,Dr. Edgar A. Mearns,N/A,19.10.1971,N/A,"Jan. 10 to Feb. 2, 1910",Cyperus caldwellii Ridley,"""Rhino Camp"""
N/A,F. G. Overlaet,Democratic Republic of the Congo,N/A,N/A,B. Pettersson,Habenaria,[precise locality unknown],N/A,1923-04-00,N/A,Typed,752356,s.n.,N/A,N/A,no type status,COLL. F. G. OVERLAET,N/A,1984,N/A,1923-4,Habenaria,N/A
Dombeya mastersii | Olea hochstetteri,R. A. Maas Geesteranus,Kenya,Nyanza,glade surrounded by rather open tall forest,unsure and check,Pycreus segmentatus,Tinderet Forest Reserve Camp I,N/A,1949-06-14,N/A,Mix of Handwritten and Typed,1417352,4924,Londiani,N/A,no type status,R. A. Maas Geesteranus,lat. 0° 5' S long. 35° 27' E,N/A,2260 m s.m.,14-VI-1949,Pycreus segmentatus C.B.C.L.,Tinderet Forest Reserve Camp I
N/A,J. M. Reitsma,Gabon,N/A,Primary rain forest,O. Kosovsky,Bulbophyllum scaberulum,6 kilometers northwest of Ovan chantier Rougier Océan,N/A,1985-03-03,N/A,Typed,2310219,2013,N/A,C. B. Reitsma,no type status,Récolteurs: J. M. et C. B. Reitsma,0 41 N x 11 07 E,2011,N/A,3-3-85,Bulbophyllum scaberulum (Rolfe) Bolus var. scaberulum,ca 6 km NW of Ovan chantier Rougier Océan
N/A,Carvalho,Equatorial Guinea,Bioco,Bosque secundario y terrenos incultos Herbacea 20-30 cm,C. Cebolla | M. A. Rivas Ponce,Mariscus alternifolius,finca las Carboneras,N/A,1986-07-26,Malabo,Typed,2201108,2102,N/A,N/A,no type status,Carvalho 2102,N/A,1995,8 m,26-VII-1986,Mariscus alternifolius Vahl,finca las Carboneras 32NMK7415 8 m
N/A,N. Fernández,Equatorial Guinea,Bioco,márgenes de la pista,C. Cebolla | M. A. Rivas Ponce,Agrostis manii,Cumbre del pico Basilé,N/A,1989-11-05,N/A,Typed,2200806,11206,N/A,N/A,no type status,Fernández Casas 11206,32NMJ7396,1993,2870 m,5-11-1989,Agrostis manii (Hooker fil.) Stapf,cumbre del pico Basilé 32NMJ7396 2870 m márgenes de la pista
N/A,F. G. Overlaet,Democratic Republic of the Congo,N/A,N/A,A. Peter,Scirpus mucronatus,[precise locality unknown],1924-00-00,1923-00-00,N/A,Typed,752378,s.n.,N/A,N/A,no type status,COLL. F. G. OVERLAET,N/A,1960,N/A,1923-4,Scirpus,N/A
N/A,C. J. P. Seegeler,Ethiopia,Shewa,In full sun on lava rock,G. J. H. Amshoff,Vernonia abyssinica,3 kilometers from Metahara on road to Nazareth,N/A,1972-10-23,N/A,Typed,2302805,2806,N/A,N/A,no type status,Collected by C.J.P. Seegeler,c. 8°56'N 39°55'E,1982,Alt: 925m,23 October 1972,Vernonia abyssinica Sch.Bip.,3 km from Metahara on road to Nazareth
N/A,N/A,Democratic Republic of the Congo,Sud-Kivu,N/A,N/A,Carduus leptacanthus,Musisi,N/A,2003-08-05,Musisi,Mix of Handwritten and Typed,2257689,48,Kabare,N/A,no type status,Nom du récolteur,N/A,N/A,N/A,05.08.2003,Carduus leptacanthus Fres,Musisi
N/A,J. M. Fay,Central African Republic,Manovo-Gounda-St. Floris,N/A,J. M. Fay,Burkea africana,Vicinity of Camp Koumbala,N/A,1987-05-25,N/A,Typed,NCI# Wood Q67B/0065 Bark Q67B/0066 Root Q67B/0067 Leaves Q67B/0068,8017,N/A,N/A,no type status,J.M. Fay 8017,08°29'N 21°12'E,N/A,elev. 600 m,25 May 1987,Burkea africana Hook.,Vicinity of Camp Koumbala
