modelname,associatedTaxa,collectedBy,country,firstPoliticalUnit,habitat,identifiedBy,latestScientificName,locality,maximumEventDate,minimumEventDate,municipality,originalMethod,otherCatalogNumbers,recordNumber,secondPoliticalUnit,secondaryCollectors,typeStatus,verbatimCollectors,verbatimCoordinates,verbatimDateIdentified,verbatimElevation,verbatimEventDate,verbatimIdentification,verbatimLocality
sonnet-3.5_gpt-4o-cropped_gpt-4o-collage,N/A,PASS,Australia,Queensland,PASS,PASS,Macromitrium,PASS,N/A,PASS,PASS,PASS,PASS,PASS,N/A,N/A,no type status,PASS,N/A,N/A,N/A,PASS,Macromitrium,PASS
sonnet-3.5_gpt-4o-cropped_gpt-4o-collage,N/A,PASS,Australia,Queensland,PASS,PASS,Macromitrium,PASS,N/A,1903-03-25,PASS,PASS,PASS,PASS,N/A,PASS,no type status,PASS,N/A,N/A,N/A,PASS,Macromitrium,PASS
sonnet-3.5_gpt-4o-cropped_gpt-4o-collage,N/A,PASS,Australia,New South Wales,N/A,PASS,Macromitrium,PASS,N/A,1903-04-06,PASS,PASS,PASS,PASS,N/A,N/A,no type status,PASS,N/A,PASS,N/A,6.4.1903,Macromitrium,PASS
sonnet-3.5_gpt-4o-cropped_gpt-4o-collage,N/A,PASS,Australia,Queensland,N/A,PASS,Macromitrium,PASS,N/A,1903-03-20,PASS,PASS,PASS,B 2697,N/A,N/A,no type status,PASS,N/A,N/A,N/A,PASS,PASS,bei Brisbane
sonnet-3.5_gpt-4o-cropped_gpt-4o-collage,N/A,T. Nakajima,Japan,PASS,PASS,PASS,Macromitrium gymnostomum,PASS,N/A,1971-03-27,PASS,PASS,1043494,PASS,N/A,N/A,no type status,PASS,N/A,PASS,PASS,"Mar. 27, 1971",PASS,PASS
sonnet-3.5_gpt-4o-cropped_gpt-4o-collage,Fagus crenata,PASS,Japan,PASS,PASS,PASS,Macromitrium gymnostomum,PASS,N/A,PASS,N/A,PASS,PASS,PASS,N/A,N/A,no type status,PASS,N/A,N/A,PASS,PASS,PASS,PASS
sonnet-3.5_gpt-4o-cropped_gpt-4o-collage,N/A,PASS,Japan,PASS,PASS,PASS,Macromitrium gymnostomum,PASS,N/A,1967-03-28,PASS,PASS,PASS,s.n.,PASS,N/A,no type status,PASS,N/A,PASS,PASS,"March 28, 1967",PASS,PASS
sonnet-3.5_gpt-4o-cropped_gpt-4o-collage,N/A,PASS,Japan,PASS,ad arborum truncos,PASS,Macromitrium gymnostomum,PASS,N/A,PASS,PASS,PASS,PASS,s.n.,PASS,N/A,no type status,PASS,N/A,N/A,ca 500 m,PASS,PASS,PASS
sonnet-3.5_gpt-4o-cropped_gpt-4o-collage,N/A,PASS,Japan,PASS,N/A,PASS,Macromitrium gymnostomum,PASS,N/A,1898-04-20,N/A,Typed,1000415,s.n.,PASS,PASS,no type status,PASS,N/A,N/A,N/A,20.4.1898,PASS,PASS
sonnet-3.5_gpt-4o-cropped_gpt-4o-collage,N/A,PASS,Japan,PASS,N/A,PASS,Macromitrium gymnostomum,PASS,1898-11-00,1898-10-00,PASS,PASS,PASS,s.n.,N/A,PASS,no type status,PASS,N/A,N/A,N/A,PASS,PASS,PASS
sonnet-3.5_gpt-4o-cropped_gpt-4o-collage,N/A,PASS,Papua New Guinea,PASS,N/A,PASS,Macromitrium incurvifolium,PASS,N/A,1975-03-09,PASS,PASS,1142151,14660,PASS,PASS,no type status,PASS,N/A,N/A,PASS,PASS,PASS,PASS
sonnet-3.5_gpt-4o-cropped_gpt-4o-collage,N/A,PASS,Papua New Guinea,West Sepik,PASS,PASS,Macromitrium longicaule,PASS,N/A,1975-05-20,PASS,PASS,1141855,18543,PASS,N/A,no type status,PASS,PASS,N/A,PASS,PASS,PASS,PASS
sonnet-3.5_gpt-4o-cropped_gpt-4o-collage,N/A,PASS,Papua New Guinea,PASS,PASS,PASS,Macromitrium macrosporum,PASS,N/A,1975-05-08,N/A,Typed,1142194,PASS,PASS,N/A,no type status,PASS,PASS,N/A,PASS,PASS,PASS,PASS
sonnet-3.5_gpt-4o-cropped_gpt-4o-collage,N/A,PASS,Papua New Guinea,West Sepik,PASS,PASS,Macromitrium macrosporum,PASS,N/A,1975-04-17,N/A,PASS,1142178,16376,N/A,N/A,no type status,PASS,PASS,N/A,PASS,PASS,PASS,PASS
sonnet-3.5_gpt-4o-cropped_gpt-4o-collage,N/A,PASS,Papua New Guinea,West Sepik,N/A,PASS,Macromitrium macrosporum,PASS,N/A,1975-05-08,N/A,PASS,1142156,17312,PASS,N/A,no type status,PASS,PASS,N/A,PASS,PASS,Macromitrium macrosporum Broth.,PASS
sonnet-3.5_gpt-4o-cropped_gpt-4o-collage,N/A,PASS,Papua New Guinea,West Sepik,PASS,PASS,Macromitrium macrosporum,PASS,N/A,1975-04-19,N/A,Typed,1142175,16420,PASS,N/A,no type status,PASS,PASS,N/A,PASS,PASS,PASS,PASS
sonnet-3.5_gpt-4o-cropped_gpt-4o-collage,N/A,PASS,Papua New Guinea,West Sepik,PASS,PASS,Macromitrium macrosporum,PASS,N/A,1975-05-05,N/A,Typed,1141880,17205,PASS,N/A,no type status,PASS,PASS,N/A,PASS,PASS,Macromitrium macrosporum Broth.,PASS
sonnet-3.5_gpt-4o-cropped_gpt-4o-collage,N/A,PASS,Papua New Guinea,PASS,PASS,PASS,Macromitrium megalocladon,PASS,N/A,1975-05-14,N/A,Typed,1142187,18046,PASS,N/A,no type status,PASS,PASS,N/A,PASS,14.5.1975,PASS,PASS
