Image,verbatimCollectors,collectedBy,secondaryCollectors,recordNumber,verbatimEventDate,minimumEventDate,maximumEventDate,verbatimIdentification,latestScientificName,identifiedBy,verbatimDateIdentified,associatedTaxa,country,firstPoliticalUnit,secondPoliticalUnit,municipality,verbatimLocality,locality,habitat,verbatimElevation,verbatimCoordinates,otherCatalogNumbers,originalMethod,typeStatus
https://fm-digital-assets.fieldmuseum.org/2491/485/C0268502F_p.jpg,leg. M. Fleischer nr. B 2734,M. Fleischer,N/A,B 2734,25.3.1903,1903-03-25,N/A,Macromitrium,Macromitrium,N/A,N/A,N/A,Australia,Queensland,Eumungdi,N/A,"(ca. 100 km nördlich Brisbane), Urwald.",[precise locality unknown],N/A,N/A,N/A,1076713,Typed,no type status
https://fm-digital-assets.fieldmuseum.org/2491/486/C0268508F_p.jpg,leg. M. Fleischer nr. B 2692,M. Fleischer,N/A,1044122,25.3.1903,1903-03-25,N/A,Macromitrium,Macromitrium,N/A,N/A,N/A,Australia,Queensland,Emuindi,N/A,"ca. 100 km nördlich Brisbane, Urwald.",[precise locality unknown],N/A,N/A,N/A,1076699,Handwritten,no type status
https://fm-digital-assets.fieldmuseum.org/2491/488/C0268514F_p.jpg,leg. M. Fleischer nr. B 2552,M. Fleischer,N/A,2552,6.4.1903,1903-04-06,N/A,Macromitrium,Macromitrium,N/A,N/A,N/A,Australia,New South Wales,Blue Mountains bei Sydney,Wentworth Falls,N/A,"Blue Mountains bei Sydney, Wentworth Falls",N/A,N/A,N/A,1076824,Handwritten,no type status
https://fm-digital-assets.fieldmuseum.org/2491/491/C0268520F_p.jpg,leg. M. Fleischer nr. B 2697,M. Fleischer,N/A,1044116,20.3.1903,1903-03-20,N/A,Macromitrium,Macromitrium,N/A,N/A,N/A,Australia,Queensland,N/A,Brisbane,N/A,[precise locality unknown],N/A,N/A,N/A,1076705,Handwritten,no type status
https://fm-digital-assets.fieldmuseum.org/2303/612/C0268544F.jpg,"T. Nakaijima, Mar. 27, 1971",T. Nakaijima,N/A,1043494,"Mar. 27, 1971",1971-03-27,N/A,Macromitrium gymnostomum Sull. et Lesq. c. fr.,Macromitrium gymnostomum,T. Nakaijima,"Mar. 27, 1971",N/A,Japan,Honshu,N/A,N/A,"On vertical face of rock, 330 m alt., Ohara, Yuya, Oto-mura, Nishimuro-gun, Wakayama Prefecture","On vertical face of rock, 330 m alt., Ohara, Yuya, Oto-mura, Nishimuro-gun, Wakayama Prefecture",N/A,330 m,N/A,C0288544F,Handwritten,no type status
https://fm-digital-assets.fieldmuseum.org/2303/613/C0268545F.jpg,"T. Nakajima, May 4, 1958, Ver. A. Noguchi",T. Nakajima,Ver. A. Noguchi,1043492,"May 4, 1958",1958-05-04,N/A,Macromitrium gymnostomum Sull. et Lesq.,Macromitrium gymnostomum,A. Noguchi,1959,N/A,Japan,Nara Prefecture,N/A,N/A,"On trunks of Fagus crenata, ca. 1200 m. alt., Mt. Obake, Nara Prefecture","On trunks of Fagus crenata, ca. 1200 m. alt., Mt. Obake, Nara Prefecture",N/A,1200 m. alt.,N/A,714,Typed,no type status
https://fm-digital-assets.fieldmuseum.org/2303/614/C0268546F.jpg,"T. Nakajima, March 28, 1967, Ver. A. N.",T. Nakajima,A. Noguchi,1043491,"March 28, 1967",1967-03-28,N/A,Macromitrium gymnostomum Sull. & Lesq.,Macromitrium gymnostomum,A. Noguchi,1968,N/A,Japan,Honshu,N/A,N/A,"On rocks, ca. 100 m alt., Syōgawa, Shirahama-chō, Nishimuro-gun, Wakayama Prefecture","On rocks, ca. 100 m alt., Syōgawa, Shirahama-chō, Nishimuro-gun, Wakayama Prefecture",N/A,100 m,N/A,C028846F,Handwritten,no type status
https://fm-digital-assets.fieldmuseum.org/2303/617/C0268548F.jpg,N/A,N/A,N/A,s.n.,s.d.,1947-01-01,N/A,Macromitrium gymnostomum Sull. et Lesq.,Macromitrium gymnostomum,A. Noguchi,1946,N/A,Japan,Miyazaki,Minaminaka,Sakatani,"ad arborum truncos, ca 500 m",[precise locality unknown],N/A,N/A,N/A,1285078,Handwritten,no type status
https://fm-digital-assets.fieldmuseum.org/2303/619/C0268549F.jpg,"R.P.J.B. Ferrié, Thériot",R.P.J.B. Ferrié,Thériot,s.n.,20.4.1898,1898-04-20,N/A,Macromitrium gymnostomum S. L.,Macromitrium gymnostomum,Thériot,N/A,N/A,Japan,Ile Liou-Kiou - Centre de l'ile,N/A,N/A,Ile Liou-Kiou - Centre de l'ile,[precise locality unknown],N/A,N/A,N/A,1000415,Handwritten,no type status
https://fm-digital-assets.fieldmuseum.org/2303/621/C0268550F.jpg,"R.P.J.B. Ferrié, Thériot",R.P.J.B. Ferrié,Thériot,s.n.,oct.nov.1898,1898-10-00,1898-11-00,Macromitrium gymnostomum S. L. = m. rupestre Mitt. Sull. Card.,Macromitrium gymnostomum,Thériot,N/A,N/A,Japan,Yakushima,N/A,N/A,N/A,[precise locality unknown],N/A,N/A,N/A,C0288550F,Handwritten,no type status
