associatedTaxa,collectedBy,country,firstPoliticalUnit,habitat,identifiedBy,latestScientificName,locality,maximumEventDate,minimumEventDate,municipality,originalMethod,otherCatalogNumbers,recordNumber,secondPoliticalUnit,secondaryCollectors,typeStatus,verbatimCollectors,verbatimCoordinates,verbatimDateIdentified,verbatimElevation,verbatimEventDate,verbatimIdentification,verbatimLocality
N/A,PASS,PASS,PASS,Urwald,PASS,Macromitrium,PASS,N/A,PASS,N/A,Typed,PASS,PASS,N/A,N/A,no type status,PASS,N/A,N/A,N/A,PASS,Macromitrium,PASS
N/A,PASS,Australia,Queensland,Urwald,PASS,Macromitrium,PASS,N/A,PASS,PASS,Typed,PASS,PASS,PASS,N/A,no type status,PASS,N/A,N/A,N/A,PASS,Macromitrium,PASS
N/A,PASS,Australia,New South Wales,N/A,PASS,Macromitrium,PASS,N/A,1903-04-06,PASS,PASS,PASS,B 2552,N/A,N/A,no type status,PASS,N/A,PASS,N/A,6.4.1903,Macromitrium,PASS
N/A,PASS,Australia,Queensland,N/A,PASS,Macromitrium,PASS,N/A,PASS,N/A,Typed,PASS,PASS,N/A,N/A,no type status,PASS,N/A,N/A,N/A,PASS,Macromitrium,PASS
N/A,PASS,Japan,PASS,PASS,PASS,PASS,PASS,N/A,PASS,PASS,Typed,1043494,PASS,N/A,N/A,no type status,PASS,N/A,N/A,PASS,PASS,PASS,PASS
PASS,T. Nakajima,Japan,PASS,PASS,T. Nakajima,Macromitrium gymnostomum,PASS,N/A,PASS,PASS,Typed,1043492,PASS,N/A,N/A,no type status,PASS,N/A,PASS,PASS,PASS,Macromitrium gymnostomum Sull. et Lesq.,PASS
N/A,PASS,Japan,PASS,PASS,PASS,Macromitrium gymnostomum,PASS,N/A,PASS,PASS,Typed,PASS,PASS,PASS,N/A,no type status,PASS,N/A,N/A,ca. 100 m alt.,PASS,Macromitrium gymnostomum Sull. & Lesq.,PASS
N/A,S. Hattori,Japan,Miyazaki,PASS,A. Noguchi,Macromitrium gymnostomum,PASS,N/A,PASS,PASS,Typed,1285073,PASS,PASS,N/A,no type status,Leg. S. Hattori,N/A,N/A,ca 500 m,PASS,Macromitrium gymnostomum Sull. et Lesq.,"KIUSHIU, Miyazaki, Minaminaka, Sakatani"
N/A,PASS,Japan,PASS,N/A,PASS,Macromitrium gymnostomum,PASS,N/A,1898-04-20,N/A,PASS,1000415,PASS,PASS,N/A,no type status,PASS,N/A,N/A,N/A,20.4.1898,Macromitrium gymnostomum S. L.,PASS
N/A,PASS,Japan,PASS,N/A,PASS,Macromitrium gymnostomum,PASS,1898-11-00,1898-10-00,N/A,Typed,1000416,s.n.,N/A,PASS,no type status,PASS,N/A,N/A,N/A,PASS,PASS,Yaku-Sima
