associatedTaxa,collectedBy,country,firstPoliticalUnit,habitat,identifiedBy,latestScientificName,locality,maximumEventDate,minimumEventDate,municipality,originalMethod,otherCatalogNumbers,recordNumber,secondPoliticalUnit,secondaryCollectors,typeStatus,verbatimCollectors,verbatimCoordinates,verbatimDateIdentified,verbatimElevation,verbatimEventDate,verbatimIdentification,verbatimLocality
N/A,PASS,PASS,PASS,Urwald,N/A,Macromitrium,[precise locality unknown],N/A,PASS,PASS,PASS,PASS,PASS,N/A,N/A,no type status,PASS,N/A,N/A,N/A,PASS,Macromitrium,PASS
N/A,PASS,Australia,Queensland,PASS,N/A,Macromitrium,PASS,N/A,PASS,N/A,PASS,PASS,PASS,PASS,PASS,no type status,PASS,N/A,N/A,N/A,PASS,Macromitrium,PASS
N/A,PASS,Australia,New South Wales,N/A,N/A,Macromitrium,PASS,N/A,1903-04-06,PASS,PASS,PASS,B 2552,N/A,N/A,no type status,PASS,N/A,N/A,N/A,6.4.1903,Macromitrium,PASS
N/A,PASS,Australia,Queensland,N/A,N/A,Macromitrium,PASS,N/A,PASS,PASS,PASS,PASS,B 2697,N/A,N/A,no type status,PASS,N/A,N/A,N/A,PASS,PASS,bei Brisbane
N/A,PASS,Japan,PASS,N/A,PASS,PASS,PASS,N/A,PASS,PASS,PASS,1043494,PASS,N/A,N/A,no type status,PASS,N/A,PASS,PASS,PASS,PASS,PASS
PASS,PASS,Japan,Nara Prefecture,N/A,PASS,Macromitrium gymnostomum,PASS,N/A,1958-05-04,PASS,PASS,PASS,s.n.,N/A,N/A,no type status,PASS,N/A,PASS,ca. 1200 m. alt.,"May 4, 1958",PASS,"On trunks of Fagus crenata, ca. 1200 m. alt., Mt. Obako, Nara Prefecture"
N/A,PASS,Japan,PASS,N/A,PASS,Macromitrium gymnostomum,PASS,N/A,PASS,PASS,Typed,PASS,PASS,PASS,N/A,no type status,PASS,N/A,PASS,PASS,PASS,PASS,PASS
N/A,PASS,Japan,PASS,PASS,PASS,Macromitrium gymnostomum,[precise locality unknown],N/A,PASS,PASS,PASS,PASS,PASS,PASS,N/A,no type status,PASS,N/A,N/A,ca 500 m,PASS,PASS,PASS
N/A,PASS,Japan,Iles Liou-Kiou,N/A,PASS,Macromitrium gymnostomum,PASS,N/A,1898-04-20,N/A,PASS,1000415,PASS,PASS,PASS,no type status,PASS,N/A,N/A,N/A,20.4.1898,PASS,PASS
N/A,PASS,Japan,PASS,N/A,PASS,Macromitrium gymnostomum,[precise locality unknown],1898-11-00,1898-10-00,PASS,PASS,PASS,s.n.,N/A,N/A,no type status,PASS,N/A,N/A,N/A,oct.nov.1898,PASS,PASS
N/A,PASS,PASS,Morobe District,PASS,PASS,Macromitrium incurvifolium,PASS,N/A,1975-03-09,PASS,PASS,1142151,14660,N/A,PASS,no type status,PASS,N/A,PASS,PASS,PASS,PASS,PASS
N/A,PASS,PASS,PASS,PASS,PASS,Macromitrium longicaule,PASS,N/A,1975-05-20,N/A,PASS,1141855,18543,N/A,N/A,no type status,PASS,PASS,PASS,PASS,PASS,PASS,PASS
N/A,PASS,Papua New Guinea,PASS,PASS,PASS,Macromitrium macrosporum,PASS,N/A,PASS,N/A,Typed,1142194,17369,PASS,N/A,no type status,PASS,PASS,PASS,PASS,PASS,PASS,PASS
N/A,PASS,Papua New Guinea,PASS,On trees and shrubs,PASS,Macromitrium macrosporum,PASS,N/A,1975-04-17,PASS,PASS,1142178,PASS,PASS,N/A,no type status,PASS,PASS,PASS,PASS,PASS,PASS,PASS
N/A,PASS,PASS,PASS,N/A,PASS,Macromitrium macrosporum,PASS,N/A,1975-05-08,N/A,PASS,1142156,PASS,N/A,N/A,no type status,PASS,c. 5°S141°05'E,N/A,PASS,PASS,Macromitrium macrosporum Broth.,PASS
N/A,PASS,Papua New Guinea,PASS,PASS,PASS,Macromitrium macrosporum,PASS,N/A,1975-04-19,N/A,Typed,1142175,PASS,PASS,N/A,no type status,PASS,PASS,PASS,PASS,PASS,Macromitrium macrosporum Broth.,PASS
N/A,PASS,Papua New Guinea,PASS,PASS,PASS,Macromitrium macrosporum,PASS,N/A,1975-05-05,N/A,Typed,1141880,17205,PASS,N/A,no type status,PASS,PASS,PASS,PASS,PASS,Macromitrium macrosporum Broth.,PASS
N/A,PASS,Papua New Guinea,PASS,PASS,PASS,Macromitrium megalocladon,PASS,N/A,1975-05-14,N/A,Typed,1142187,18046,PASS,N/A,no type status,PASS,PASS,PASS,PASS,14.5.1975,PASS,PASS
N/A,PASS,Papua New Guinea,PASS,PASS,N/A,Macromitrium megalocladon,PASS,N/A,1975-04-21,PASS,PASS,1142432,16555,PASS,N/A,no type status,PASS,PASS,N/A,PASS,PASS,Macromitrium megalocladon Fleisch.,PASS
N/A,PASS,Papua New Guinea,PASS,PASS,PASS,Macromitrium megalocladon,PASS,N/A,1975-04-07,PASS,Typed,1142300,15768,PASS,N/A,no type status,PASS,PASS,PASS,PASS,PASS,PASS,PASS
N/A,PASS,Japan,PASS,PASS,PASS,Macromitrium incurvum,PASS,N/A,PASS,PASS,PASS,PASS,PASS,PASS,N/A,no type status,PASS,N/A,PASS,PASS,PASS,PASS,PASS
N/A,PASS,Japan,PASS,N/A,PASS,Macromitrium incurvum,PASS,N/A,1951-12-25,PASS,Typed,1043529,s.n.,PASS,N/A,no type status,PASS,N/A,PASS,60 m. above sea,"December 25, 1951",Macromitrium incurvum (Lindb.) Par.,"On exposed rocks, 60 m. above sea, Yoshio, Kumamoto Prefecture"
N/A,PASS,Japan,PASS,N/A,PASS,Macromitrium gymnostomum,PASS,N/A,PASS,PASS,Typed,1043490,s.n.,N/A,N/A,no type status,PASS,N/A,PASS,PASS,PASS,PASS,PASS
N/A,PASS,Japan,PASS,N/A,PASS,Macromitrium gymnostomum,PASS,N/A,PASS,PASS,Typed,PASS,PASS,PASS,N/A,no type status,PASS,N/A,PASS,PASS,PASS,Macromitrium gymnostomum Sull. et Lesq.,PASS
N/A,PASS,China,PASS,PASS,PASS,Macromitrium gymnostomum,Kushan near Foochow,N/A,PASS,PASS,Typed,PASS,B.206,N/A,N/A,no type status,H. H. Chung,N/A,N/A,PASS,PASS,PASS,Kushan near Foochow
N/A,PASS,China,PASS,On rock in bamboo forest,Theriot,PASS,PASS,N/A,PASS,PASS,Typed,PASS,B.20,N/A,N/A,no type status,PASS,N/A,N/A,N/A,PASS,PASS,PASS
N/A,PASS,Papua New Guinea,PASS,PASS,PASS,PASS,PASS,N/A,1981-07-23,N/A,PASS,PASS,PASS,PASS,N/A,no type status,PASS,PASS,1989,PASS,23 July 1981,PASS,PASS
N/A,N/A,China,Fukien Province,PASS,PASS,Macromitrium japonicum,PASS,N/A,PASS,PASS,Typed,PASS,B.4.,N/A,N/A,PASS,PASS,N/A,N/A,N/A,PASS,PASS,PASS
N/A,PASS,Papua New Guinea,PASS,PASS,PASS,PASS,PASS,N/A,1981-07-09,N/A,PASS,PASS,PASS,PASS,N/A,no type status,Timo Koponen,PASS,PASS,PASS,9 July 1981,PASS,PASS
N/A,PASS,Japan,PASS,PASS,PASS,PASS,PASS,N/A,PASS,PASS,Typed,PASS,1049048,PASS,PASS,no type status,PASS,N/A,N/A,PASS,PASS,PASS,PASS
N/A,PASS,Japan,PASS,PASS,N/A,Macromitrium incurvum,PASS,N/A,PASS,PASS,PASS,1356480,s.n.,Musashi,N/A,no type status,PASS,N/A,N/A,N/A,PASS,PASS,PASS
N/A,K. Saito,Japan,PASS,N/A,A. Noguchi,Macromitrium gymnostomum,PASS,N/A,PASS,PASS,PASS,PASS,PASS,PASS,N/A,no type status,PASS,N/A,PASS,PASS,PASS,PASS,PASS
N/A,PASS,Portugal,Azores,PASS,PASS,PASS,PASS,N/A,PASS,N/A,Typed,1181624,PASS,N/A,PASS,no type status,PASS,N/A,N/A,PASS,PASS,PASS,PASS
N/A,PASS,Bolivia,La Paz,PASS,N/A,Philonotis,PASS,N/A,1983-01-20,N/A,PASS,PASS,PASS,Larecaja,N/A,no type status,PASS,"15°36'S, 68°39'W",N/A,PASS,20 Jan 1983,Philonotis,PASS
N/A,M. Lewis,Bolivia,PASS,PASS,PASS,Philonotis,Along road 1 mile from Sorata towards Achacachi,N/A,1979-03-29,PASS,Typed,PASS,PASS,PASS,PASS,no type status,PASS,PASS,N/A,PASS,29 March 1979,Philonotis fide Crum,PASS
N/A,M. Lewis,Bolivia,Cochabamba,PASS,N/A,Philonotis,PASS,N/A,1979-06-01,N/A,PASS,PASS,79-2315,PASS,N/A,no type status,PASS,"17° 11' S., 65° 54' W",N/A,3030 m,1 June 1979,Philonotis,PASS
N/A,PASS,Bolivia,N/A,PASS,N/A,N/A,PASS,N/A,PASS,N/A,Typed,PASS,PASS,N/A,N/A,no type status,PASS,N/A,N/A,10000 ft,PASS,N/A,PASS
N/A,PASS,Bolivia,N/A,N/A,N/A,PASS,PASS,N/A,1950-10-13,N/A,Typed,PASS,6865,N/A,N/A,no type status,PASS,N/A,N/A,PASS,13 Oct. 1950,PASS,PASS
N/A,PASS,Bolivia,Cochabamba,PASS,N/A,Philonotis,PASS,N/A,1979-06-01,N/A,PASS,1050327,79-2315,PASS,N/A,no type status,PASS,PASS,N/A,PASS,1 June 1979,PASS,PASS
N/A,PASS,Peru,PASS,"Fels, Erde, Mauer, Baum, Strauch, Holz, See, Bach",PASS,PASS,PASS,N/A,PASS,N/A,PASS,1061647,PASS,PASS,PASS,no type status,PASS,N/A,N/A,PASS,PASS,PASS,PASS
N/A,PASS,Mexico,Baja California Sur,PASS,PASS,PASS,PASS,N/A,PASS,PASS,Typed,PASS,PASS,N/A,PASS,no type status,PASS,N/A,N/A,Alt. ca. 6300 ft.,PASS,PASS,PASS
N/A,PASS,Mexico,Oaxaca,"Partial shade, moist, road side cliff",A. J. Sharp,Braunia secunda,PASS,N/A,1973-06-23,N/A,PASS,PASS,PASS,N/A,PASS,no type status,PASS,N/A,PASS,PASS,"June 23, 1973",Braunia secunda (Hook.) B.S.G.,PASS
N/A,PASS,Mexico,Jalisco,PASS,PASS,Braunia secunda,PASS,N/A,1973-07-04,San Martín Hidalgo,PASS,1045251,2736,N/A,PASS,no type status,PASS,N/A,PASS,PASS,"July 4, 1973",Braunia secunda (Hook.) B.S.G.,PASS
N/A,PASS,Mexico,Jalisco,N/A,PASS,Braunia andrieuxii,PASS,N/A,PASS,PASS,Typed,PASS,PASS,N/A,N/A,no type status,PASS,N/A,N/A,PASS,PASS,PASS,PASS
N/A,PASS,Mexico,Hidalgo,N/A,PASS,PASS,PASS,N/A,PASS,N/A,Typed,PASS,10627,N/A,N/A,no type status,PASS,N/A,PASS,N/A,PASS,PASS,PASS
N/A,PASS,Mexico,PASS,N/A,PASS,Braunia secunda,PASS,N/A,PASS,N/A,PASS,1031423,PASS,N/A,PASS,no type status,PASS,N/A,1992,PASS,PASS,PASS,PASS
N/A,PASS,Mexico,PASS,PASS,PASS,Braunia secunda,PASS,N/A,PASS,PASS,PASS,1036945,PASS,N/A,PASS,no type status,PASS,N/A,PASS,PASS,PASS,PASS,PASS
N/A,PASS,Mexico,PASS,PASS,PASS,Braunia secunda,PASS,N/A,1941-07-23,N/A,Typed,1045239,PASS,N/A,N/A,no type status,PASS,N/A,PASS,PASS,"July 23, 1941",PASS,PASS
N/A,PASS,Mexico,PASS,PASS,PASS,Braunia squarrulosa,PASS,N/A,1972-12-19,N/A,Typed,1045274,PASS,N/A,PASS,no type status,PASS,N/A,N/A,PASS,"Dec. 19, 1972",PASS,PASS
N/A,PASS,Mexico,PASS,oak-pine woods,PASS,PASS,PASS,N/A,PASS,N/A,PASS,PASS,PASS,N/A,N/A,no type status,PASS,N/A,1992,PASS,PASS,PASS,PASS
N/A,PASS,Mexico,Oaxaca,PASS,PASS,Braunia squarrulosa,PASS,N/A,PASS,PASS,Typed,1045269,PASS,N/A,PASS,no type status,PASS,N/A,1992,PASS,PASS,PASS,PASS
N/A,PASS,Mexico,Jalisco,PASS,PASS,Braunia squarrulosa,PASS,N/A,PASS,N/A,PASS,PASS,PASS,N/A,N/A,no type status,PASS,N/A,1992,7300 feet,PASS,PASS,PASS
N/A,PASS,Mexico,PASS,N/A,PASS,Braunia squarrulosa,PASS,N/A,PASS,N/A,Typed,PASS,PASS,N/A,N/A,no type status,PASS,N/A,PASS,PASS,PASS,PASS,PASS
N/A,PASS,Mexico,Chiapas,PASS,PASS,Braunia squarrulosa,PASS,N/A,PASS,N/A,PASS,1031467,PASS,N/A,PASS,no type status,PASS,N/A,PASS,PASS,PASS,PASS,PASS
N/A,PASS,PASS,PASS,PASS,PASS,Braunia squarrulosa,PASS,N/A,PASS,N/A,Typed,1031495,PASS,N/A,PASS,no type status,PASS,N/A,PASS,PASS,PASS,PASS,PASS
N/A,PASS,Mexico,Chiapas,PASS,PASS,Braunia squarrulosa,PASS,N/A,PASS,PASS,PASS,1045277,PASS,N/A,N/A,no type status,PASS,PASS,PASS,PASS,PASS,PASS,PASS
N/A,PASS,Costa Rica,PASS,PASS,PASS,Braunia squarrulosa,PASS,N/A,PASS,N/A,PASS,1029423,PASS,PASS,PASS,PASS,PASS,N/A,1992,PASS,PASS,PASS,PASS
N/A,PASS,Bolivia,Tarija,PASS,PASS,Braunia exserta,PASS,N/A,PASS,N/A,Mix of Handwritten and Typed,PASS,PASS,PASS,N/A,no type status,Burnet O'Connor,PASS,PASS,PASS,PASS,PASS,PASS
N/A,PASS,Argentina,PASS,"Subtropical rainforest, epiphyte",PASS,PASS,PASS,N/A,PASS,Rio Cochuna,PASS,PASS,PASS,Chicligasta,N/A,no type status,PASS,N/A,PASS,PASS,PASS,PASS,PASS
N/A,PASS,Bolivia,La Paz,PASS,PASS,PASS,PASS,N/A,1979-04-06,PASS,PASS,PASS,79-1625,Larecaja,N/A,no type status,PASS,PASS,1992,PASS,6 April 1979,PASS,PASS
N/A,PASS,Bolivia,La Paz,PASS,PASS,Braunia plicata,PASS,N/A,PASS,PASS,PASS,PASS,PASS,PASS,N/A,no type status,PASS,"16°44'S, 68°41'W",1990,ca. 2450 m.,PASS,PASS,PASS
N/A,PASS,Bolivia,PASS,PASS,PASS,Braunia plicata,Near large red outcrop 2 miles from Sorata down Rio Consata,N/A,1979-03-22,N/A,PASS,1032384,79-1230,PASS,N/A,no type status,PASS,PASS,1992,PASS,22 March 1979,PASS,PASS
N/A,PASS,Bolivia,La Paz,PASS,PASS,Braunia plicata,PASS,N/A,1979-03-05,PASS,PASS,PASS,1032341,Saavedra,N/A,no type status,PASS,PASS,PASS,PASS,5 March 1979,PASS,PASS
N/A,PASS,Bolivia,PASS,PASS,PASS,Braunia plicata,PASS,N/A,1979-03-05,N/A,PASS,PASS,79-940,PASS,N/A,no type status,PASS,PASS,1992,PASS,5 March 1979,PASS,PASS
N/A,PASS,Bolivia,PASS,PASS,PASS,PASS,PASS,N/A,PASS,N/A,PASS,1032366,PASS,PASS,N/A,no type status,PASS,"15° 11' S, 69° 04' W",PASS,PASS,PASS,PASS,PASS
N/A,PASS,PASS,PASS,N/A,PASS,Hedwigidium integrifolium,PASS,N/A,1979-02-10,N/A,PASS,PASS,79-615,PASS,N/A,no type status,PASS,PASS,PASS,PASS,10 February 1979,PASS,PASS
N/A,PASS,Peru,Ancash,Growing on branches,PASS,Braunia secunda,PASS,N/A,1983-01-28,PASS,PASS,PASS,PASS,PASS,PASS,no type status,PASS,N/A,PASS,+ 3380 m,PASS,PASS,PASS
PASS,PASS,Venezuela,PASS,PASS,PASS,Braunia secunda,PASS,N/A,PASS,PASS,PASS,PASS,PASS,PASS,N/A,no type status,PASS,N/A,PASS,PASS,PASS,Braunia secunda (Hook.) BSG,PASS
