associatedTaxa,collectedBy,country,firstPoliticalUnit,habitat,identifiedBy,latestScientificName,locality,maximumEventDate,minimumEventDate,municipality,originalMethod,otherCatalogNumbers,recordNumber,secondPoliticalUnit,secondaryCollectors,typeStatus,verbatimCollectors,verbatimCoordinates,verbatimDateIdentified,verbatimElevation,verbatimEventDate,verbatimIdentification,verbatimLocality
N/A,PASS,Australia,Queensland,PASS,N/A,Macromitrium,PASS,N/A,PASS,PASS,Mix of Handwritten and Typed,PASS,PASS,N/A,N/A,no type status,PASS,N/A,N/A,N/A,PASS,Macromitrium,PASS
N/A,PASS,Australia,Queensland,PASS,N/A,Macromitrium,PASS,N/A,1903-03-25,N/A,PASS,PASS,PASS,N/A,PASS,no type status,PASS,N/A,N/A,N/A,PASS,Macromitrium,PASS
N/A,PASS,Australia,New South Wales,N/A,N/A,Macromitrium,PASS,N/A,1903-04-06,PASS,PASS,PASS,PASS,N/A,N/A,no type status,PASS,N/A,N/A,N/A,6.4.1903,Macromitrium,"Blue Mountains bei Sydney, Wentworth Falls"
N/A,M Fleischer,Australia,Queensland,N/A,N/A,Macromitrium,near Brisbane,N/A,1903-03-20,Brisbane,PASS,PASS,B 2697,N/A,N/A,no type status,PASS,N/A,N/A,N/A,20 3 1903,PASS,bei Brisbane
N/A,T. Nakajima,Japan,PASS,PASS,PASS,Macromitrium gymnostomum,PASS,N/A,1971-03-27,PASS,PASS,1043494,s.n.,N/A,N/A,no type status,PASS,N/A,PASS,PASS,"Mar. 27, 1971",Macromitrium gymnostomum Sull. et Lesq. c. fr.,PASS
Fagus crenata,PASS,Japan,Nara Prefecture,PASS,PASS,Macromitrium gymnostomum,PASS,N/A,1958-05-04,N/A,PASS,PASS,s.n.,N/A,N/A,no type status,PASS,N/A,N/A,ca. 1200 m. alt.,"May 4, 1958",PASS,PASS
N/A,PASS,Japan,PASS,PASS,PASS,Macromitrium gymnostomum,PASS,N/A,1967-03-28,PASS,PASS,1043491,s.n.,PASS,N/A,no type status,PASS,N/A,PASS,PASS,"March 28, 1967",PASS,PASS
N/A,PASS,Japan,PASS,ad arborum truncos,PASS,Macromitrium gymnostomum,PASS,N/A,PASS,PASS,PASS,PASS,s.n.,PASS,N/A,no type status,PASS,N/A,N/A,ca 500 m,PASS,PASS,PASS
N/A,PASS,Japan,PASS,N/A,PASS,Macromitrium gymnostomum,PASS,N/A,1898-04-20,N/A,Typed,1000415,s.n.,PASS,PASS,no type status,PASS,N/A,N/A,N/A,20.4.1898,PASS,PASS
N/A,PASS,Japan,N/A,N/A,PASS,Macromitrium gymnostomum,PASS,1898-11-00,1898-10-00,PASS,PASS,PASS,s.n.,N/A,N/A,no type status,PASS,N/A,N/A,N/A,oct.nov.1898,PASS,PASS
