Image Name,verbatimCollectors,collectedBy,secondaryCollectors,recordNumber,verbatimEventDate,minimumEventDate,maximumEventDate,verbatimIdentification,latestScientificName,identifiedBy,verbatimDateIdentified,associatedTaxa,country,firstPoliticalUnit,secondPoliticalUnit,municipality,verbatimLocality,locality,habitat,substrate,verbatimElevation,verbatimCoordinates,otherCatalogNumbers,originalMethod,typeStatus,URL
0000_C0268502F_p.jpg,leg. H. Fleischer nr. 3-2734,H. Fleischer,N/A,3-2734,25.9.1903,1903-09-25,N/A,Macromitrium austraileni,Macromitrium austraileni,N/A,N/A,N/A,Australia,Queensland,N/A,N/A,"Eumundi (ca. 100 km nördlich Brisbane), Urwald","Eumundi (about 100 kilometers north of Brisbane), [precise locality unknown]",Urwald,N/A,N/A,N/A,"1076713, 1044984",Typed,no type status,https://fm-digital-assets.fieldmuseum.org/2491/485/C0268502F_p.jpg
0001_C0268508F_p.jpg,leg W Fleischer nr B 2692,Fleischer,N/A,B 2692,25.3.1903,1903-03-25,N/A,Macromitrium,Macromitrium,N/A,N/A,N/A,Australia,Queensland,N/A,N/A,"Eumundi (ca. 100 km nordlich Brisbane), Urwald","Eumundi (about 100 km north of Brisbane), [precise locality unknown]",Urwald (primeval forest),N/A,N/A,N/A,"1076659, 1041125",Typed,no type status,https://fm-digital-assets.fieldmuseum.org/2491/486/C0268508F_p.jpg
0002_C0268514F_p.jpg,leg. M. Fleischer nr. B 2952,M Fleischer,N/A,B 2952,6.4.1903,1903-04-06,N/A,Macromitrium,Macromitrium,N/A,N/A,N/A,Australia,New South Wales,N/A,N/A,"Blue Mountains bei Sydney, Wentworth Falls","Blue Mountains near Sydney, Wentworth Falls",N/A,N/A,N/A,N/A,1076821,Typed,no type status,https://fm-digital-assets.fieldmuseum.org/2491/488/C0268514F_p.jpg
0003_C0268520F_p.jpg,leg M Fleischer nr B 2697,Fleischer,N/A,B 2697,20 3 1903,1903-03-20,N/A,Macromitrium,Macromitrium,N/A,N/A,N/A,Australia,Queensland,N/A,Brisbane,bei Brisbane,[precise locality unknown],N/A,N/A,N/A,N/A,"1076705, 1044145",Typed,no type status,https://fm-digital-assets.fieldmuseum.org/2491/491/C0268520F_p.jpg
0004_C0268544F.jpg,T. Nakajima,T. Nakajima,N/A,N/A,"Mar. 27, 1971",1971-03-27,N/A,Macromitrium gymnostomum Sull. et Lesq. c. fr.,Macromitrium gymnostomum,A. Noguchi and Z. Iwatsuki,N/A,N/A,N/A,Wakayama Prefecture,N/A,N/A,"On vertical face of rock, 330 m alt., Ohara, Yata, Nishimuro-gun","On vertical face of rock, Ohara, Yata",On vertical face of rock,rock,330 m alt.,N/A,1043494,Typed,no type status,https://fm-digital-assets.fieldmuseum.org/2303/612/C0268544F.jpg
0005_C0268545F.jpg,T Nakajima,Nakajima,N/A,N/A,"May 4, 1958",1958-05-04,N/A,Macromitrium gymnostomum Sull et Lesq,Macromitrium gymnostomum,A Noguchi,N/A,N/A,N/A,Nara Prefecture,N/A,N/A,Mt Ohako,Mount Ohako [precise locality unknown],On trunks of Fagus crenata,bark,ca 1200 m alt,N/A,1043492,Typed,no type status,https://fm-digital-assets.fieldmuseum.org/2303/613/C0268545F.jpg
0006_C0268546F.jpg,Coll. & det. T. Nakajima,T. Nakajima,N/A,N/A,"March 28, 1967",1967-03-28,N/A,Macromitrium gymnostomum Sull. & Lesq.,Macromitrium gymnostomum Sull. & Lesq.,T. Nakajima,"March 28, 1967",N/A,Japan,Wakayama Prefecture,N/A,N/A,"On rocks, ca. 100 m alt., Shirahama-cho, Nishimuro-gun, Wakayama Prefecture","On rocks, approximately 100 meters altitude, Shirahama-cho",On rocks,rock,ca. 100 m alt.,N/A,1043491,Typed,no type status,https://fm-digital-assets.fieldmuseum.org/2303/614/C0268546F.jpg
0007_C0268548F.jpg,leg S Hattori,S Hattori,N/A,N/A,1 X 1946,1946-10-01,N/A,Macromitrium gymnostomum Sull et Lesq,Macromitrium gymnostomum,A Noguchi,N/A,N/A,N/A,Miyazaki,N/A,N/A,KIUSHIU Miyazaki Minamimata Sakatani,Minamimata Sakatani [precise locality unknown],N/A,ad arborum truncos,ca 500 m,N/A,1235073,Typed,no type status,https://fm-digital-assets.fieldmuseum.org/2303/617/C0268548F.jpg
0008_C0268549F.jpg,Leg. R. P. J.-B. Faurie,R. P. J.-B. Faurie,N/A,N/A,20.4.1898,1898-04-20,N/A,Macromitrium gymnostomum S. L.,Macromitrium gymnostomum S. L.,Thériot,N/A,N/A,Japan,N/A,N/A,N/A,Iles Liou-Kiou - Centre de l'ile,[precise locality unknown],N/A,N/A,N/A,N/A,1000415,Mix of Handwritten and Typed,no type status,https://fm-digital-assets.fieldmuseum.org/2303/619/C0268549F.jpg
0009_C0268550F.jpg,R.P. J.B. Ferrié,Ferrié,N/A,N/A,oct.nov.1898,1898-10-00,1898-11-00,Macromitrium gymnostomum S. L. = m. rupestre Mitt. Bull. Card.,Macromitrium gymnostomum,Thériot,N/A,N/A,Japon,N/A,N/A,N/A,Yaku-Sima,[precise locality unknown],N/A,N/A,N/A,N/A,1000416,Mix of Handwritten and Typed,no type status,https://fm-digital-assets.fieldmuseum.org/2303/621/C0268550F.jpg
0010_C0268554F.jpg,N/A,N/A,N/A,A Touw No 14660,9-3- 1975,1975-03-09,N/A,Macromitrium incurvifolium (Hook & Grev) Schwaegr,Macromitrium incurvifolium (Hook & Grev) Schwaegr,D H Vitt,N/A,N/A,Papua New Guinea,N/A,Morobe Distr,Lae,In fork of Plumeria tree in garden,In fork of Plumeria tree in garden,N/A,bark,Alt c 20 m,N/A,1142151,Typed,no type status,https://fm-digital-assets.fieldmuseum.org/2303/629/C0268554F.jpg
0011_C0268557F.jpg,A Touw No 18543,A Touw,N/A,18543,20 5 1975,1975-05-20,N/A,Macromitrium longicaule C Müll,Macromitrium longicaule C Müll,D H Vitt,N/A,N/A,New Guinea,West Sepik Distr,Star Mts,N/A,Busilmin Wet forest on slope above Ok Din river W of Busilmin on trees along Ok Din River,Wet forest on slope above Ok Din river west of Busilmin on trees along Ok Din River [precise locality unknown],Wet forest on slope above river on trees along river,bark,Alt c 1500 - 1550 m,5°S 141°05'E,1141855,Typed,no type status,https://fm-digital-assets.fieldmuseum.org/2303/633/C0268557F.jpg
0012_C0268558F.jpg,A. Touw No. 17369,A Touw,N/A,17369,8.5. 1975,1975-05-08,N/A,Macromitrium macrosporum Broth.,Macromitrium macrosporum Broth.,D.H. Vitt,N/A,N/A,Papua New Guinea,West Sepik Distr.,Star Mts.,N/A,c 5°S141°05E NE summit of Mt. Capella; on stems and branches of trees and shrubs in summit scrub,NE summit of Mt Capella [precise locality unknown],Summit scrub,Stems and branches of trees and shrubs,Alt. c. 3900 m.,c 5°S141°05E,1142194,Typed,No type status,https://fm-digital-assets.fieldmuseum.org/2303/635/C0268558F.jpg
0013_C0268559F.jpg,A Touw No 16376,A Touw,N/A,16376,17.4.1975,1975-04-17,N/A,Macromitrium macrosporum Broth,Macromitrium macrosporum Broth,D H Vitt,N/A,N/A,Papua New Guinea,West Sepik Distr,Star Mts,N/A,c 5°S141°05E Mt Capella Base Camp limestone ridge near camp c 4 -5 m high stunted forest on ridge,"Mt Capella Base Camp, limestone ridge near camp, 4-5 meters high stunted forest on ridge","Limestone ridge, stunted forest on ridge",N/A,Alt c 3600 m,c 5°S141°05E,1142178,Typed,no type status,https://fm-digital-assets.fieldmuseum.org/2303/637/C0268559F.jpg
0014_C0268560F.jpg,A Touw No 17312,A Touw,N/A,17312,8 5 1975,1975-05-08,N/A,Macromitrium macrosporum Broth,Macromitrium macrosporum Broth,D H Vitt,N/A,N/A,New Guinea,West Sepik Distr,Star Mts,N/A,c 5°S 141°05'E NE Summit of Mt Capella Summit of ridge between Mt Capella Base Camp and Mt Capella ridge; on isolated tree,NE Summit of Mt Capella Summit of ridge between Mt Capella Base Camp and Mt Capella ridge; on isolated tree,N/A,N/A,Alt c 3650 m,c 5°S 141°05'E,1142156,Typed,no type status,https://fm-digital-assets.fieldmuseum.org/2303/639/C0268560F.jpg
0015_C0268561F.jpg,D H Vitt,D H Vitt,N/A,16420,19.4.1976,1976-04-19,N/A,Macromitrium macrosporum Broth,Macromitrium macrosporum Broth,D H Vitt,N/A,N/A,Papua New Guinea,West Sepik Distr,Star Mts,N/A,Mt Capella NE summit; forest remnant in deep chasm near the summit on soaking wet bark of trees,Mount Capella northeast summit [precise locality unknown],Forest remnant in deep chasm near the summit on soaking wet bark of trees,bark,Alt c 3900 m,c 5°S 141°05'E,1142175,Typed,no type status,https://fm-digital-assets.fieldmuseum.org/2303/641/C0268561F.jpg
0016_C0268562F.jpg,A. Touw No. 17205,A. Touw,N/A,17205,5.5. 1975,1975-05-05,N/A,Macromitrium macrosporum Broth.,Macromitrium macrosporum Broth.,D.H. Vitt,N/A,N/A,Papua New Guinea,West Sepik District,Star Mts.,N/A,"Near Mt. Capella Base Camp, along trail to Tamanagabip; open sub-alpine scrub. At base of limestone rock faces.","Near Mount Capella Base Camp, along trail to Tamanagabip [precise locality unknown]",Open sub-alpine scrub. At base of limestone rock faces.,rock,Alt. c. 3450 m.,c. 5°S 141°05'E,1141880,Typed,no type status,https://fm-digital-assets.fieldmuseum.org/2303/643/C0268562F.jpg
0017_C0268563F.jpg,A Touw No 18046,A Touw,N/A,18046,14.5.1975,1975-05-14,N/A,Macromitrium megalocladon Fleisch,Macromitrium megalocladon Fleisch,D R Vitt,N/A,N/A,Papua New Guinea,West Sepik District,Star Mts,N/A,Upper montane forest between Folongonom and Artis' Camp,Upper montane forest between Folongonom and Artis' Camp,Upper montane forest,N/A,2500 - 2600 m,c 5°S141°05E,1142187,Typed,no type status,https://fm-digital-assets.fieldmuseum.org/2303/645/C0268563F.jpg
0018_C0268564F.jpg,N/A,N/A,N/A,16555,21.4.1975,1975-04-21,N/A,Macromitrium megalocladon Fleisch.,Macromitrium megalocladon Fleisch.,D.H. Vitt,N/A,N/A,Papua New Guinea,West Sepik District,Star Mountains,N/A,"c 4°54'45""E Small Kuni (grassfield) SW of Mt. Capella Base Camp; on vertical face of moss covered limestone boulder at edge of Kuni.",Small Kuni (grassfield) southwest of Mount Capella Base Camp; on vertical face of moss covered limestone boulder at edge of Kuni [precise locality unknown],On vertical face of moss covered limestone boulder at edge of Kuni,rock,3400 m.,"c 4°54'45""E",1142432,Typed,no type status,https://fm-digital-assets.fieldmuseum.org/2303/647/C0268564F.jpg
0019_C0268565F.jpg,A Touw No 15768,A Touw,N/A,15768,7.4. 1975,1975-04-07,N/A,Macromitrium megalocladon Fleisch,Macromitrium megalocladon Fleisch,D H Vitt,N/A,N/A,Papua New Guinea,West Sepik District,Star Mountains,N/A,Tel Basin: Ridge above Camp 2,Ridge above Camp 2 [precise locality unknown],Terrestrial in open shrubbery on ridge Dense moss vegetation covering soil rocks and the lower portion of shrubs Dominant,soil,Alt c 3350 m,"c 5°14'05""E",1142300,Typed,no type status,https://fm-digital-assets.fieldmuseum.org/2303/649/C0268565F.jpg
0020_C0268566F.jpg,leg S Hattori,Hattori,N/A,N/A,VIII 1946,1946-08-00,N/A,Macromitrium incurvum (Lindb) Par,Macromitrium incurvum,A Noguchi,N/A,N/A,N/A,Kiushiu,Miyazaki,N/A,Minaminiaka Obi,[precise locality unknown],rupicola photophila,rock,ca 50 m,N/A,1235066,Typed,no type status,https://fm-digital-assets.fieldmuseum.org/2303/651/C0268566F.jpg
0021_C0268569F.jpg,Coll. K. Mayebara,K Mayebara,N/A,N/A,"December 25, 1951",1951-12-25,N/A,Macromitrium incurvum (Lindb.) Par.,Macromitrium incurvum (Lindb.) Par.,A. Noguchi,N/A,N/A,Japan,Kumamoto Prefecture,N/A,N/A,"On exposed rocks, 60 m. above sea, Yosiho, Kumamoto Prefecture","On exposed rocks, 60 meters above sea, Yosiho [precise locality unknown]","On exposed rocks, 60 meters above sea",rock,60 m. above sea,N/A,1043529,Typed,no type status,https://fm-digital-assets.fieldmuseum.org/2303/658/C0268569F.jpg
0022_C0268571F.jpg,Coll K Mayebara,K Mayebara,N/A,N/A,"February 11, 1952",1952-02-11,N/A,Macromitrium gymnostomum Sull et Lesq,Macromitrium gymnostomum Sull et Lesq,A Noguchi,N/A,N/A,N/A,Kumamoto Prefecture,N/A,N/A,"On rocks, ca 100m above sea, Koonose, Kumamoto Prefecture","On rocks, approximately 100 meters above sea, Koonose [precise locality unknown]","On rocks, approximately 100 meters above sea",rock,ca 100m above sea,N/A,1043490,Typed,no type status,https://fm-digital-assets.fieldmuseum.org/2303/661/C0268571F.jpg
0023_C0268572F.jpg,N/A,N. Noguchi,N/A,N/A,March 1962,1962-03-00,N/A,Macromitrium gymnostomum Sull. et Lesq.,Macromitrium gymnostomum Sull. et Lesq.,A. Noguchi & S. Hattori,N/A,N/A,Japan,Kumamoto County,N/A,N/A,"On rocks, ca. 1000m alt., Hitoyoshi","On rocks, approximately 1000 meters altitude, Hitoyoshi [precise locality unknown]",N/A,rock,ca. 1000m alt.,N/A,4043493,Typed,no type status,https://fm-digital-assets.fieldmuseum.org/2303/663/C0268572F.jpg
0024_C0268574F.jpg,H H Chung,H H Chung,N/A,B.206,N/A,N/A,N/A,Macromitrium gymnostomum S. & L.,Macromitrium gymnostomum S. & L.,Det. Theriot.,N/A,N/A,China,Fukien Province,N/A,N/A,Kushan near Foochow,Kushan near Foochow,N/A,rock,altitude 500 m.,N/A,1122334,Typed,no type status,https://fm-digital-assets.fieldmuseum.org/2303/668/C0268574F.jpg
