associatedTaxa,collectedBy,country,firstPoliticalUnit,habitat,identifiedBy,latestScientificName,locality,maximumEventDate,minimumEventDate,municipality,originalMethod,otherCatalogNumbers,recordNumber,secondPoliticalUnit,secondaryCollectors,typeStatus,verbatimCollectors,verbatimCoordinates,verbatimDateIdentified,verbatimElevation,verbatimEventDate,verbatimIdentification,verbatimLocality
N/A,PASS,Australia,Queensland,Urwald,N/A,Macromitrium,[precise locality unknown],N/A,1903-03-25,Eumundi,PASS,PASS,1076713,N/A,N/A,no type status,PASS,N/A,N/A,N/A,25.3.1903,Macromitrium,PASS
N/A, M. Fleischer,Australia,Queensland,N/A,N/A,Macromitrium,PASS,N/A,1903-03-25,N/A,Mix of Handwritten and Typed,PASS,PASS,N/A,PASS,no type status,PASS,N/A,N/A,N/A,25.3.1903,Macromitrium,PASS
N/A,PASS,Australia,New South Wales,N/A,N/A,Macromitrium,PASS,N/A,1903-04-06,Sydney,Mix of Handwritten and Typed,1076824,B 2552,N/A,N/A,no type status,PASS,N/A,N/A,N/A,6.4.1903,Macromitrium,PASS
N/A,PASS,Australia,Queensland,N/A,N/A,Macromitrium,Near Brisbane,N/A,1903-03-20,Brisbane,Handwritten,PASS,B 2697,N/A,PASS,no type status,PASS,N/A,N/A,N/A,PASS,PASS,bei Brisbane
N/A,PASS,Japan,Wakayama Prefecture,N/A,PASS,Macromitrium gymnostomum,PASS,N/A,1971-03-27,Yuya,PASS,PASS,PASS,N/A,N/A,no type status,PASS,N/A,"Mar. 27, 1971",PASS,"Mar. 27, 1971",Macromitrium gymnostomum Sull. et Lesq. c. fr.,PASS
Fagus crenata,PASS,Japan,Nara Prefecture,N/A,PASS,Macromitrium gymnostomum,PASS,N/A,1958-05-04,N/A,Mix of Handwritten and Typed,PASS,s.n.,N/A,N/A,no type status,PASS,N/A,N/A,PASS,"May 4, 1958",714. Macromitrium gymnostomum Sull. et Lesq.,"On trunks of Fagus crenata, ca. 1200 m. alt., Mt. Obako, Nara Prefecture"
N/A,PASS,Japan,Wakayama Prefecture,N/A,PASS,Macromitrium gymnostomum,PASS,N/A,1967-03-28,PASS,PASS,1043491,s.n.,PASS,N/A,no type status,PASS,N/A,"March 28, 1967",PASS,"March 28, 1967",Macromitrium gymnostomum Sull & Lesq. c. fr.,PASS
N/A,PASS,Japan,KIUSHIU,ad arborum truncos,PASS,Macromitrium gymnostomum,[precise locality unknown],N/A,1946-10-00,PASS,PASS,PASS,s.n.,Miyazaki,N/A,no type status,PASS,N/A,N/A,ca 500 m,X. 1946,PASS,PASS
N/A,PASS,Japan,Iles Liou-Kiou,N/A,Theriot,Macromitrium gymnostomum,PASS,N/A,1898-04-20,N/A,PASS,1000415,s.n., Centre,PASS,no type status,PASS,N/A,N/A,N/A,20.4.1898,Macromitrium gymnostomum  S. L.,Japon : Iles Liou-Kiou - Centre de l'île -
N/A,PASS,Japan,N/A,N/A,PASS,Macromitrium gymnostomum,PASS,1898-11-00,1898-10-00,PASS,PASS,PASS,s.n.,N/A,PASS,no type status,PASS,N/A,N/A,N/A,oct.nov.1898,PASS,Japon : Yaku-Sima -
N/A,PASS,Papua New Guinea,Morobe District,N/A,D. H. Vitt,Macromitrium incurvifolium,In fork of Plumeria tree in garden,N/A,1975-03-09,PASS, Mix of Handwritten and Typed,1142151,PASS,PASS,PASS,no type status,A. Touw,N/A,N/A,PASS,PASS,Macromitrium incurvifolium (Hook. & Grev.) Schwaegr.,"Papua New Guinea, Morobe Distr., Lae. In fork of Plumeria tree in garden."
N/A,PASS,Papua New Guinea,West Sepik,PASS,PASS,Macromitrium longicaule,PASS,N/A,1975-05-20,N/A,PASS,1141855,18543,PASS,N/A,no type status,A. Touw, c. 5°51'S 141°05'E,N/A,PASS,Dat 20.5.1975,Macromitrium longicaule C. Müll. Det: D.H. Vitt,PASS
N/A,A. Touw,Papua New Guinea,PASS,on stems and branches of trees and shrubs in summit scrub,D. H. Vitt,Macromitrium macrosporum,PASS,N/A,1975-05-08,N/A,Typed,1142194,17369,PASS,N/A,no type status,A. Touw,PASS,N/A,PASS,PASS,PASS,PASS
N/A,PASS,Papua New Guinea,West Sepik,on trees and shrubs,PASS,Macromitrium macrosporum,PASS,N/A,1975-04-17,N/A,PASS,1142178,16376,PASS,N/A,no type status,PASS,PASS,N/A,PASS,Dat: 17.4.1975,PASS,PASS
N/A,PASS,Papua New Guinea,West Sepik,PASS,PASS,Macromitrium macrosporum,PASS,N/A,1975-05-08,N/A,PASS,1142156,17312,N/A,N/A,no type status,PASS,PASS,N/A,PASS,PASS,PASS,PASS
N/A,PASS,Papua New Guinea,West Sepik,PASS,N/A,Macromitrium macrosporum,"Star Mountains, Mount Capella Northeast summit",N/A,1975-04-19,N/A,Typed,1142175,16420,N/A,N/A,No type status,PASS,PASS,N/A,PASS,19. 4. 1975,Macromitrium macrosporum Broth.,PASS
N/A,PASS,Papua New Guinea,West Sepik,PASS,PASS,Macromitrium macrosporum,"Near Mount Capella Base Camp, along trail to Tamanagabip",N/A,1975-05-05,N/A,PASS,1141880,17205,N/A,N/A,No type status,PASS,PASS,N/A,PASS,5. 5. 1975,PASS,PASS
N/A,PASS,Papua New Guinea,West Sepik,PASS,PASS,Macromitrium megalocladon,PASS,N/A,1975-05-14,N/A,PASS,1142187,18046,PASS,N/A,no type status,N/A,PASS,N/A,PASS,14.5.1975,PASS,PASS
N/A,PASS,Papua New Guinea,West Sepik,on vertical face of moss covered limestone boulder at edge of kuni,PASS,Macromitrium megalocladon,PASS,N/A,1975-04-21,Star Mts,Mix of Handwritten and Typed,1142432,16555,PASS,N/A,no type status,D. H. Vitt,c. 5°S 141°05'E,N/A,PASS,PASS,PASS,PASS
N/A,D. H. Vitt,Papua New Guinea,West Sepik,"Terrestrial in open shrubbery on ridge. Dense moss vegetation covering soil, rocks, and the lower portion of shrubs. Dominant.",Fleisch,Macromitrium megalocladon,PASS,N/A,1975-04-07,PASS,Typed,1142300,15768,N/A,N/A,no type status,PASS,PASS,N/A,PASS,Dat: 7.4. 1975,PASS,PASS
N/A,PASS,Japan,PASS,PASS,PASS,Macromitrium incurvum,PASS,N/A,1946-08-00,Minaminaka,Typed,C0288586F,s.n.,Miyazaki,N/A,no type status,PASS,N/A,PASS,PASS,VIII. 1946.,20. Macromitrium incurvum (Lindb.) Par.,"KIUSHIU, Miyazaki, Minaminaka, Obi, rupicola, photophila, ca. 50 m."
N/A,PASS,Japan,Kumamoto,N/A,PASS,PASS,PASS,N/A,1951-12-25,Yoshio,Typed,PASS,PASS,N/A,N/A,no type status,PASS,N/A,N/A,PASS,"December 25, 1951",PASS,PASS
N/A,PASS,Japan,Kumamoto,N/A,PASS,Macromitrium gymnostomum,PASS,N/A,1952-02-11,PASS,Typed,1043490,s.n., N/A,N/A,no type status,"Coll: K. Mayebara,",N/A,1952,PASS,"February 11, 1952",430. Macromitrium gymnostomum Sull. et Lesq.,PASS
N/A,PASS,Japan,Kumamoto,N/A,PASS,Macromitrium gymnostomum,PASS,N/A,1952-03-00,Hitoyoshi,Typed,1043493| C0268572F,s.n., County,N/A,No type status,PASS,N/A,N/A,PASS,March 1952,Macromitrium gymnostomum Sull. et Lesq.,"On rocks, ca. 100m. alt., Hitoyoshi, Kumamoto County"
N/A,H. Chung,China,Fukien,"On rock, altitude 500 m.",Thériot,Macromitrium gymnostomum,Kushan near Foochow,N/A,1925-08-00,Foochow,Typed,PASS,B.206,N/A,N/A,no type status,H. H. CHUNG,N/A,N/A,500 m,"August, 1925",PASS,Kushan near Foochow
N/A,PASS,China,Fukien,On rock in bamboo forest,Theriot,Macromitrium gymnostomum,PASS,N/A,1925-05-02,Chuanchow,Typed,PASS,B.20,N/A,N/A,no type status,H. H. CHUNG,N/A,N/A,N/A,"May 2, 1925",PASS,PASS
N/A,PASS,Papua New Guinea,PASS,Rather open montane forest with dominating Pandanus trees,PASS,Macromitrium longicaule,5 km S of Teptep airstrip Rather open montane forest with dominating Pandanus trees 1 km S of Lake Wamba on stump,N/A,1981-07-23,N/A,Mix of Handwritten and Typed,PASS,PASS,PASS,N/A,no type status,Timo Koponen,"6°01'S, 146°33'E",1989,PASS,23 July 1981,PASS,"PAPUA NEW GUINEA Morobe Prov: Lake Wamba 5 km S of Teptep airstrip Rather open montane forest with dominating Pandanus trees 1 km S of lake, alt 2400 m, 6°01'S, 146°33'E, on stump"
N/A,N/A,China,FUKIEN PROVINCE,On shady rocks or bark., N/A,Macromitrium japonicum," Namputo, Amoy",N/A,1925-03-00,Amoy,Typed,PASS,B.4.,N/A,N/A,no type status,EX FARLOW HERBARIUM,N/A,N/A,N/A,"March, 1925",PASS,"Namputo, Amoy"
N/A,PASS,Papua New Guinea,Morobe Prov,on bush,PASS,Macromitrium macrosporum,PASS,N/A,1981-07-09,N/A,PASS,PASS,PASS,N/A,N/A,no type status,Timo Koponen,"6°21'S, 147°07'E",Det: Dale H Vitt 1989,PASS,9 July 1981,Macromitrium macrosporum Broth,PASS
N/A,M. Mizutani,Japan,RYUKYU,PASS,Z. Iwatsuki,Macromitrium gymnostomum,PASS,N/A,1975-01-23,PASS,PASS,PASS,PASS,PASS,I. Yoshimura,no type status,PASS,N/A,N/A,PASS,PASS,Macromitrium gymnostomum Sull. et Lesq.,PASS
N/A,PASS,Japan,PASS,PASS,N/A,Macromitrium incurvum,PASS,N/A,1932-10-00, Kobutoke,PASS,1356480,s.n.,Musashi,N/A,no type status,PASS,N/A,N/A,N/A,PASS,Macromitrium incurvum (Lindb.) Paris,PASS
N/A,K. Saito,Japan,Kagoshima,N/A,A. Noguchi,Macromitrium gymnostomum,PASS,N/A,1970-04-03,PASS,Mix of Handwritten and Typed,N/A,1051109,PASS,N/A,no type status,PASS,N/A,N/A,about 120 m,"April 3, 1970",PASS,PASS
N/A,PASS,Portugal,Azores,N/A,PASS,Pogonatum urnigerum,talus découvert Salto do Cavalo vers 700 meters S MIGUEL,N/A,1937-06-14, N/A,Typed,1181624,135,N/A,PASS,no type status,V et P Allorge,N/A,N/A,700 m,PASS,PASS,PASS
N/A,M. Lewis,Bolivia,LA PAZ,PASS,N/A,Philonotis,"Between 5-6 kilometers South of Tacacoma along road to Quiabaya, 16-17 kilometers North of Sorata",N/A,1983-01-20,N/A,Mix of Handwritten and Typed,C0341037F,1100485,LARECAJA,N/A,no type status,Marko Lewis 83-224,"15°36'S, 68°39'W",N/A,PASS,20 Jan 1983,Philonotis,"Between 5-6 km S of Tacacoma along road to Quiabaya, 16-17 km N of Sorata"
N/A,M. Lewis,Bolivia,PASS,Eroding bank,Crum,PASS,Along road 1 mile from Sorata towards Achacachi,N/A,1979-03-29,N/A,Typed,PASS,1078795,PASS,PASS,no type status,PASS,PASS,N/A,PASS,29 March 1979,PASS,PASS
N/A,PASS,Bolivia,COCHABAMBA,PASS,N/A,Philonotis,PASS,N/A,1979-06-01, N/A,Mix of Handwritten and Typed,PASS,79-2315, CHAPARÉ,N/A,no type status,Marko Lewis,PASS,N/A,3030 m,1 June 1979,Philonotis,PASS
N/A,PASS,Bolivia,N/A,PASS,N/A,N/A,PASS,N/A,1950-10-13,N/A,Typed,1013011,6867,N/A,N/A,no type status,PASS,N/A,N/A,PASS,13 Oct. 1950,N/A,UNDUAVI
N/A,PASS,Bolivia,N/A,N/A,N/A,Philanthus,UNDUAVI 10000 feet,N/A,1950-10-13,N/A,Typed,5013012,6865,N/A,N/A,no type status,Collector: Miss W. M. A. BROOKE,N/A,N/A,10000 ft,13 Oct. 1950,Philanthus,PASS
N/A,PASS,Bolivia,COCHABAMBA,"On stones and banks of seepy creek in cloud forest ravine, with tree ferns",N/A,PHILONOTIS,PASS,N/A,1979-06-01,N/A,PASS,1050327,79-2315, CHAPARÉ,N/A,no type status,PASS,PASS,N/A,3030 m,1 June 1979,PHILONOTIS,PASS
N/A,PASS,Peru,Amazonas,"Fels, Erde, Mauer, Baum, Strauch, Holz, See, Bach",PASS,PASS, Las Palmas between Balsas and Leimebamba,N/A,1973-08-31,N/A, Mix of Handwritten and Typed,1061647, Nr. 6989,Chachapoyas,PASS, no type status,PASS,N/A,N/A,PASS,PASS,PASS,PASS
N/A,PASS,Mexico,BAJA CALIFORNIA SUR,N/A,PASS,Braunia secunda,PASS,N/A,1973-12-25,Todos Santos,Typed,PASS,5166,N/A,PASS,no type status,PASS,N/A,N/A,PASS,25 December 1973,Braunia secunda (Hook.) B.S.G. det. A. J. Sharp,PASS
N/A,A. J. Sharp,Mexico,Oaxaca,"Partial shade, moist, road side cliff",A. J. Sharp,Braunia secunda,PASS,N/A,1973-06-23,N/A,Mix of Handwritten and Typed,1045248 | C0341164F,2281,N/A,PASS,no type status,PASS,N/A,1992,1625 m,"June 23, 1973",Braunia secunda (Hook.) B.S.G.,"Near El Punto on Hwy. 175, Oaxaca, México.  _1625_ m."
N/A,PASS,Mexico,Jalisco,PASS,PASS,Braunia secunda,PASS,N/A,1973-07-04,PASS,Handwritten,1045251,2736,N/A,PASS,no type status,"A.J. and E.B. Sharp, E.C. Clebsch, K.R. Thornburgh",N/A,PASS,PASS,"July 4, 1973",Braunia secunda (Hook.) B.S.G.,PASS
N/A,PASS,Mexico,Jalisco,N/A,Cardot,Braunia andrieuxii,On rocks near Guadalajara,N/A,1908-09-30,Guadalajara,Typed,1172142 | C0341179F,10619,N/A,N/A,no type status,C G PRINGLE,N/A,N/A,"5,000 ft","30, Sept, 1908",Braunia andrieuxii Lor,"On rocks near Guadalajara, 5,000 ft"
N/A,PASS,Mexico,HIDALGO,N/A,Efrain De Luna,PASS,Cuyamaloya,N/A,1908-09-17,N/A,Typed,PASS,10627,N/A,N/A,no type status,C G PRINGLE,N/A,1992,N/A,PASS,"Braunia plicata, Mitt, var. canescens, Card. n. var.",Cuyamaloya.
N/A,E. Eggers,Mexico,Veracruz,PASS,Efrain De Luna,Braunia secunda,PASS,N/A,PASS,PASS,PASS,1031423,PASS,PASS,PASS,no type status,PASS,N/A,1992,2300 m,PASS,PASS,"MEXICO: EDU. VERACRUZ: SIERRA MADRE AN DER STR. F55 Zw. PEROTE + JALAPA, kiefern-Eichenw. 2300 m"
N/A,PASS,Mexico,DURANGO,PASS,PASS,Braunia secunda,PASS,N/A,1973-12-30,PASS,PASS,1036945,5067,N/A,PASS,no type status,"Coll: Frank D. Bowers, Claudio Delgadillo M., and Paul Somers, Jr.",N/A,unsure and check,PASS,30 December 1973,PASS,PASS
