Image,verbatimCollectors,collectedBy,secondaryCollectors,recordNumber,verbatimEventDate,minimumEventDate,maximumEventDate,verbatimIdentification,latestScientificName,identifiedBy,verbatimDateIdentified,associatedTaxa,country,firstPoliticalUnit,secondPoliticalUnit,municipality,verbatimLocality,locality,habitat,verbatimElevation,verbatimCoordinates,otherCatalogNumbers,originalMethod,typeStatus
0000_V0573776F.jpg,E. Heller & J.E. McLain,E. Heller,J.E. McLain,8252,"Jan. 16 & 17, 1914",1914-01-16,1914-01-17,Cyperus exaltatus Retzius,Cyperus maculatus Boeck.,L. Kükenthal,19.10.1927,N/A,Democratic Republic of the Congo,Congo Free State,N/A,N/A,"""Rhino Camp,"" Lake Lebombo, Lado Enclave","""Rhino Camp,"" Lake Lebombo, Lado Enclave",N/A,N/A,N/A,463860,Typed,no type status
0001_V0576008F.jpg,F. G. Overlaet,F. G. Overlaet,N/A,s.n.,1923-24,1923-00-00,1924-00-00,Habenaria,Habenaria,Borge Petterson,1984,N/A,Democratic Republic of the Congo,N/A,N/A,N/A,Belgian Congo,[precise locality unknown],N/A,N/A,N/A,752356,Typed,no type status
0002_V0576279F.jpg,R.A. Maas Geesteranus,R.A. Maas Geesteranus,N/A,4924,d.d. 14-VII-1949,1949-07-14,N/A,Pycreus sanguinolentus (Vahl.) C.B.Clarke,Pycreus sanguinolentus (Vahl.) C.B.Clarke,N/A,N/A,N/A,Kenya,Nyanza Province,Londiani Distr.,N/A,"Londiani Distr., Tinderet Forest Reserve, Camp I.","Tinderet Forest Reserve, Camp I","glade surrounded by rather open, tall forest, containing a.o. Dombeya mastersii and Olea hochstetteri",2260 m.s.m.,"lat. 0° 5' S., long. 35° 27' E.",1447352,Typed,no type status
0003_V0577013F.jpg,J.M. Reitsma et B. Reitsma,J.M. Reitsma,B. Reitsma,2023,s.d.,s.d.,s.d.,Bulbophyllum scaberulum (Rolfe) Bolus var. scaberulum,Bulbophyllum scaberulum var. scaberulum,Olga Kosenkovsky,2011,N/A,Gabon,N/A,N/A,N/A,"Primary rain forest, ca 6 km NW of Oveng, chantier Rougier Océan","Primary rain forest, approximately 6 kilometers northwest of Oveng, chantier Rougier Ocean","Epiphytic orchid, growing in big clumps on the tree",N/A,0°41'N x 11°07'E,N/A,Typed,no type status
0004_V0577892F.jpg,Carvalho,N/A,N/A,2102,26-VII-1980,1980-07-26,N/A,Mariscus alternifolius Vahl,Mariscus alternifolius Vahl,C. Cebolla & M.A. Rivas Ponce,"(UAM), 1995",N/A,Equatorial Guinea,Bioko,N/A,Malabo,"""Malabo, finca las Carboneras, 32NMK7415, m Bosque secundario y terrenos incultos""","Malabo, finca las Carboneras",Bosque secundario y terrenos incultos,N/A,32NMK7415,2201108,Typed,no type status
0005_V0578553F.jpg,"C. Aedo, C. Navarro, F. Cabezas & M. Velayos",C. Aedo,"C. Navarro, F. Cabezas, M. Velayos",s.n.,5-II-1989,1989-02-05,1989-02-05,Agrostis mannii (Hooker fil.) Stapf,Agrostis mannii (Hooker fil.) Stapf,C. Cebolla & M.A. Rivas Ponce,1993,N/A,Equatorial Guinea,Bioko,N/A,N/A,"cumbre del pico Basilé, 32NMJ7396, 2470 m, márgenes de la pista, Fernández Casas / 11206, 5-II-1989","cumbre del pico Basilé, márgenes de la pista",N/A,2470 m,32NMJ7396,2200806,Typed,no type status
0006_V0574052F.jpg,COLL. F. G. OVERLAET,F. G. Overlaet,N/A,s.n.,1933-4,1933-00-00,1934-00-00,Sansevieria sp. De Wild & T. Durand,Sansevieria sp.,N/A,N/A,N/A,Democratic Republic of the Congo,N/A,N/A,N/A,N/A,[precise locality unknown],N/A,N/A,N/A,N/A,Typed,no type status
0007_V0577681F.jpg,C.J.P. Seegeler,C.J.P. Seegeler,N/A,2806,d.d.: 23 October 1972,1972-10-23,1972-10-23,Vernonia amygdalina Sch. Bip. Compositae,Vernonia amygdalina Sch. Bip.,G.J.H. Amshoff,Det.: 1982,N/A,Ethiopia,Oromia,East Shewa Zone,Nazareth,"In full sun on a rock from Metahara, on road to Nazareth. In full sun ca. 3 km SE.","In full sun on a rock from Metahara, on road to Nazareth. In full sun ca. 3 km southeast.",In full sun on a rock,925m,N/A,N°: 2302805,Typed,no type status
0008_V0597557F.jpg,N/A,N/A,N/A,s.n.,s.d.,1969-05-06,1969-05-06,Carduus nyassanus (R.E.Fr. ined.),Carduus nyassanus (R.E.Fr. ined.),N/A,N/A,N/A,Democratic Republic of the Congo,Sud-Kivu,N/A,N/A,"Territoire: Kabare, Localité: Musisi","Territoire: Kabare, Localité: Musisi",N/A,Altitude: -,Coordonnées géographiques: -,N° 2257689,Typed,no type status
0009_V0594376F.jpg,J.M. Fay,J.M. Fay,N/A,8017,25 May 1987,1987-05-25,N/A,Burkea africana Hook.,Burkea africana Hook.,J.M. Fay,N/A,N/A,Central African Republic,N/A,N/A,N/A,Park Manovo-Gounda St. Floris. Vicinity of Camp Koumbala.,Vicinity of Camp Koumbala,N/A,600 m,"08°29'N, 21°12'E","NCI # Wood 067B/0065, Bark 067B/0066, Root 067B/0067, Leaves 067B/0068",Typed,no type status
