Image,verbatimCollectors,collectedBy,secondaryCollectors,recordNumber,verbatimEventDate,minimumEventDate,maximumEventDate,verbatimIdentification,latestScientificName,identifiedBy,verbatimDateIdentified,associatedTaxa,country,firstPoliticalUnit,secondPoliticalUnit,municipality,verbatimLocality,locality,habitat,verbatimElevation,verbatimCoordinates,otherCatalogNumbers,originalMethod,typeStatus
0000_B%2010%200030420.jpg,"P. J. M. & H. Maas, L. Kollmann",P.J.M. Maas,"H. Maas, L. Kollmann",8833,16 Feb 1999,1999-02-16,N/A,Pseudoxandra sp. nov.,Pseudoxandra spiritus-sancti Maas,P.J.M. Maas,"Utrecht, 2001",N/A,Brazil,Espírito Santo,Santa Teresa,N/A,"Estação Biológica de Santa Lucia, vegetation with high forest on Barro Branco sand",Estação Biológica de Santa Lucia,"High forest, terrestrial and epiphytic Bromeliaceae",850 m,19°58'S 40°32'W,II B 10300420,Typed,Isotype
0001_B%2010%200069251.jpg,Kessler 283,N/A,N/A,283,21.12.1988,1988-12-21,N/A,Mallotus paniculatus,Mallotus paniculatus,Kessler,s.d.,N/A,Malaysia,Sarawak,1st Division,N/A,Base of Gunung Pueh,Base of Gunung Pueh,Secondary vegetation along road,alt. up to 200 m.,N/A,P.K. 283,Typed,no type status
0002_B%2010%200375227.jpg,"X. Cornejo, C. Bonifaz",X. Cornejo,C. Bonifaz,5822,27 Oct. 1997,1997-10-27,N/A,Capparis scerophylla Hitter sp.nov.,Capparis scerophylla,N/A,N/A,"C. heterophylla, C. asciabrada, C.lanocalata y C. cronoides.",Ecuador,Manabí,N/A,N/A,"Bosque seco tropical deciduo, 8 Km. Alrededores de Universidad Católica",8 km around Universidad Católica,"Bosque seco tropical deciduo, fuertemente intervenido",40-45 m,LATITUD -00.46 LONGITUD  -80.32,N/A,Typed,ISOTYPUS
0003_BM000934757.jpg,Wilhelm Suksdorf,W. Suksdorf,N/A,12045,Aug. 1926,1926-08-00,1926-08-00,Solanum triflorum Nutt.,Solanum triflorum Nutt.,T. Särkinen,2014,N/A,United States,Washington,Klickitat,Bingen,High sandy river-bank at Bingen.,High sandy river-bank at Bingen.,High sandy river-bank.,unsure and check,unsure and check,unsure and check,Typed,no type status
0004_C0000578F.jpg,"John J. Engel, Matt von Konrat & John E. Braggins",J.J. Engel,"M. von Konrat, J.E. Braggins",23773,12 February 2003,2003-02-12,N/A,Telaranea lindenbergii var. papillata Engel & Merr.,Telaranea lindenbergii var. papillata Engel & Merr.,N/A,N/A,N/A,New Zealand,Auckland,N/A,N/A,"NORTH ISLAND. AUCKLAND PROV.: Whareorino Forest, start of track to Leitch's Hut.","Whareorino Forest, start of track to Leitch's Hut",On clayey bank,280 m,"38° 24.5' S, 174° 49.8' E",1173554,Typed,HOLOTYPE
0005_C0004430F.jpg,Singer M0517,Singer,N/A,M0517,23 II 1988,1988-02-23,1988-02-23,"HYDROCYBE FUEGIANA Sing (= H. roses, sensu Horak)",HYDROCYBE FUEGIANA Sing,N/A,N/A,"Sphagnum sp., Rubus geoides",Argentina,Tierra del Fuego,Departamento Ushuaia,N/A,"Tierra del Fuego, Departamento Ushuaia, ya. road Ushuaya-Lago Fagnano, SW of highest point","road Ushuaya-Lago Fagnano, southwest of highest point",Gregarious in bog margin,N/A,N/A,F1075922,Typed,HOLOTYPE
0006_C0020034F.jpg,R. M. Schuster,R.M. Schuster,N/A,68-1644,Aug. 17 68,1968-08-17,N/A,Anastrophyllum minutum + gem.,Anastrophyllum minutum,N/A,N/A,Diplophyllum taxifolium + gemmae,Canada,Newfoundland and Labrador,N/A,N/A,"Along Humber R., in Squires Memorial Park, near Rte 1A.","Along Humber River, in Squires Memorial Park, near Route 1A",N/A,N/A,N/A,N/A,Typed,no type status
0007_C0020052F.jpg,R. M. Schuster & K. Damsholt,R.M. Schuster,K. Damsholt,82-1049,July 3.,1982-07-03,N/A,Anastrophylum minutum (SCHREB.) SCHUST. v.grandis (GOTT.) SCHUST.,Anastrophylum minutum var. grandis,N/A,1982,Cephalozia bicuspidata (L.) DUM.,Greenland,South Greenland,N/A,N/A,Frederiksdal,Frederiksdal,N/A,N/A,"60°00'N lat., 44°40'W. long.",S1,Typed,no type status
0008_C0025138F.jpg,R. M. Schuster,R.M. Schuster,N/A,9067,June 30 1951,1951-06-30,1951-06-30,"Frullania asagrayana Mont., male, on per. Plagiochila tridenticulata Dum. (traces)",Frullania asagrayana,N/A,N/A,Plagiochila tridenticulata (traces),United States,North Carolina,N/A,N/A,"Balsam Gap, N.C., ca. 25 mi. n. of Asheville, along Blue Ridge Parkway","Balsam Gap, approximately 25 miles north of Asheville, along Blue Ridge Parkway",on Abies fraseri,5220-5260 feet,N/A,N/A,Typed,no type status
0009_C0025164F.jpg,R. M. Schuster,R.M. Schuster,N/A,79-488,April 14 19 79,1979-04-14,1979-04-14,Frullania asagrayana,Frullania asagrayana,R.M. Schuster,N/A,N/A,United States,Arkansas,Stone County,N/A,"Ozark Natl. Forest. Barkshed Camp, ca. 10 mi E. of Big Flat.","Ozark National Forest, Barkshed Camp, approximately 10 miles East of Big Flat",N/A,N/A,N/A,N/A,Typed,no type status
