Image,verbatimCollectors,collectedBy,secondaryCollectors,recordNumber,verbatimEventDate,minimumEventDate,maximumEventDate,verbatimIdentification,latestScientificName,identifiedBy,verbatimDateIdentified,associatedTaxa,country,firstPoliticalUnit,secondPoliticalUnit,municipality,verbatimLocality,locality,habitat,substrate,verbatimElevation,verbatimCoordinates,otherCatalogNumbers,originalMethod,typeStatus
0000_V0573776F.jpg,E. Scarr,E. Scarr,N/A,852,"Jan. 15 to Feb. 6, 1906",1906-01-15,1906-02-06,Cyperus maculatus Boeck.,Cyperus maculatus Boeck.,L. Kükenthal,19.3.1927,N/A,Congo Free State,N/A,N/A,N/A,"""Rhino Camp,"" Kabu or Jelebo, Lake Edward","""Rhino Camp,"" Kabu or Jelebo, Lake Edward",N/A,N/A,N/A,N/A,463860,Typed,no type status
0001_V0576008F.jpg,F. G. Overlaet,F. G. Overlaet,N/A,1923-4,1923-4,1923-04-00,N/A,Habenaria,Habenaria,Borge Pettersson,1984,N/A,Belgian Congo,N/A,N/A,N/A,N/A,[precise locality unknown],N/A,N/A,N/A,N/A,752356,Typed,no type status
0002_V0576279F.jpg,R. A. Maas Geesteranus,R. A. Maas Geesteranus,N/A,4924,d.d. 14-VII 1949,1949-07-14,1949-07-14,Pycreus sanguinolentus C.B.Cl.,Pycreus sanguinolentus C.B.Cl.,N/A,N/A,N/A,Kenya,Nyanza Province,Londiani Distr.,N/A,"Londiani Distr., Tinderet Forest Reserve, Camp I","Tinderet Forest Reserve, Camp I","Glade surrounded by rather open, tall forest, containing a.o. Dombeya mastersii and Olea hochstetteri",soil,2260 m s.m.,"lat. 0° 5' S., long. 35° 27' E.",1447352,Typed,no type status
0003_V0577013F.jpg,J. M. Reitsma & B. Reitsma,J. M. Reitsma,B. Reitsma,20123,d.d. 3-5-86,1986-05-03,N/A,Bulbophyllum scaberulum (Rolfe) Bolus var. scaberulum,Bulbophyllum scaberulum var. scaberulum,Olga Kosevskovskaya,2011,N/A,Gabon,N/A,N/A,N/A,"Primary rain forest, ca 6 km NW of Oveng, chantier Rougier & Cie. Océan.","Primary rain forest, approximately 6 kilometers northwest of Oveng, chantier Rougier & Cie. Océan.",Primary rain forest,N/A,N/A,0 41 N x 11 07 E,N/A,Typed,no type status
0004_V0577892F.jpg,Carvalho 2102,Carvalho,N/A,2102,26-VII-1986,1986-07-26,N/A,Mariscus alternifolius Vahl,Mariscus alternifolius Vahl,C. Cebolla & M.A. Rivas Ponce (UAM),1995,N/A,Guinea Ecuatorial,Bioco,N/A,N/A,"""Bioco: «Malabo, finca las Carboneras, 32NMK7415, m. Bosque secundario y terrenos incultos. Herbácea, 20-30 cm»""","""Malabo, finca las Carboneras""",Bosque secundario y terrenos incultos,soil,N/A,32NMK7415,N/A,Typed,no type status
0005_V0578553F.jpg,N/A,N/A,N/A,N/A,5-II-1989,1989-02-05,1989-02-05,Agrostis manii (Hooker fil.) Stapf,Agrostis manii (Hooker fil.) Stapf,C. Cebolla & M.A. Rivas Ponce,1993,N/A,Guinea Ecuatorial,Bioco,N/A,N/A,"cumbre del pico Basilé, 32NMJ7396, 2870 m. márgenes de la pista, Fernández Casas 11206, 5-II-1989.",cumbre del pico Basilé,N/A,N/A,2870 m.,32NMJ7396,2200806,Typed,no type status
0006_V0574052F.jpg,F. G. Overlaet,F. G. Overlaet,N/A,1932-4,N/A,N/A,N/A,"Scleria nutans Linn. Det. A. E. Kral, 1964",Scleria nutans Linn.,A. E. Kral,1964,N/A,Belgian Congo,N/A,N/A,N/A,N/A,[precise locality unknown],N/A,N/A,N/A,N/A,752378,Typed,no type status
0007_V0577681F.jpg,C.J.P. Seegeler,C.J.P. Seegeler,N/A,2806,d.d.: 23 October 1972,1972-10-23,1972-10-23,Vernonia amygdalina Sch. Bip.,Vernonia amygdalina Sch. Bip.,G.J.H. Amshoff,1982,N/A,Ethiopia,N/A,N/A,Nazareth,"In full sun on a lava rock from Metahara, on road to Nazareth","on a lava rock from Metahara, on road to Nazareth",In full sun,rock,925m,"8°56'N, 39°55'E",2302805,Typed,no type status
0008_V0597557F.jpg,N/A,N/A,N/A,48,05/08/2008,2008-08-05,N/A,Carduus leptacanthus Fres.,Carduus leptacanthus Fres.,N/A,N/A,N/A,N/A,Sud-Kivu,N/A,N/A,Territoire: Kabare Localité: Musisi,"Kabare, Musisi",N/A,N/A,N/A,N/A,2257689,Typed,no type status
0009_V0594376F.jpg,J.M. Fay 8017,J.m. fay,N/A,8017,25 May 1987,1987-05-25,1987-05-25,Caesalpiniaceae Burkea africana Hook.,Burkea africana Hook.,J.M. Fey,N/A,N/A,Central African Republic,N/A,N/A,N/A,Park Manovo-Gounda-St. Floris. Vicinity of Camp Koumbala.,"Park Manovo-Gounda-St. Floris, vicinity of Camp Koumbala",N/A,N/A,600 m,08°29'N 21°12'E,"NCI # Wood G678/0065, Bark G678/0066, Root G678/0067, Leaves G678/0068",Typed,no type status
