Image,verbatimCollectors,collectedBy,secondaryCollectors,recordNumber,verbatimEventDate,minimumEventDate,maximumEventDate,verbatimIdentification,latestScientificName,identifiedBy,verbatimDateIdentified,associatedTaxa,country,firstPoliticalUnit,secondPoliticalUnit,municipality,verbatimLocality,locality,habitat,verbatimElevation,verbatimCoordinates,otherCatalogNumbers,originalMethod,typeStatus
0000_C0020034F.jpg,Collected and Determined by R. M. Schuster,R. M. Schuster,N/A,68-1644,Aug. 17 1968,1968-08-17,N/A,Anastrophyllum minutum + gem.,Anastrophyllum minutum,R. M. Schuster,N/A,Diplophyllum taxifolium + gemmae,Canada,Newfoundland and Labrador,N/A,N/A,"Along Humber R., in Squires Memorial Park, near Rte 1A.","Along Humber River, in Squires Memorial Park, near Route 1A",N/A,N/A,N/A,68-1644a,Typed,no type status
0001_C0020052F.jpg,R. M. Schuster & K. Damsholt,R. M. Schuster,K. Damsholt,82-1049,July 3.,1982-07-03,N/A,Anastrophyllum minutum (SCHREB.) SCHUST. v. grandis (GOTT.) SCHUST.,Anastrophyllum minutum,R. M. Schuster | K. Damsholt,1982,Cephalozia bicuspidata,Greenland,N/A,N/A,N/A,Frederiksdal,Frederiksdal,N/A,N/A,"60°00'N lat., 44°40'W. long.",S1,Typed,no type status
0002_C0025138F.jpg,Collected by R. M. Schuster,R. M. Schuster,N/A,9067,June 30 1951,1951-06-30,N/A,"Frullania asagrayana Mont., male, can per. Plagiochila tridenticulata Dum. (traces)",Frullania asagrayana,N/A,N/A,Abies fraseri,United States,North Carolina,N/A,N/A,"Balsam Gap, N.C., ca. 25 mi. n. of Asheville, along Blue Ridge Parkway, 5220-5260 feet","Balsam Gap, approximately 25 miles north of Asheville, along Blue Ridge Parkway",N/A,5220-5260 feet,N/A,N/A,Typed,no type status
0003_C0025164F.jpg,Collected and Determined by R. M. Schuster,R. M. Schuster,N/A,79-488,April 14 19 79,1979-04-14,N/A,Frullania asagrayana,Frullania asagrayana,R. M. Schuster,N/A,N/A,United States,Arkansas,Stone,N/A,"Ozark Natl. Forest. Barkshed Camp, ca. 10 mi E. of Big Flat.","Ozark National Forest, Barkshed Camp, approximately 10 miles east of Big Flat",N/A,N/A,N/A,N/A,Typed,no type status
0004_C0000578F.jpg,"John J. Engel, Matt von Konrat & John E. Braggins",J. J. Engel,M. von Konrat | J. E. Braggins,23773,12 February 2003,2003-02-12,N/A,Telaranea lindenbergii var. papillata Engel & Merr.,Telaranea lindenbergii var. papillata,unsure and check,unsure and check,Blechnum novae-zelandiae | Weinmannia | Dicksonia squarrosa | Leptospermum scoparium,New Zealand,Auckland,N/A,N/A,"Wharerino Forest, start of track to Leitch's Hut. 280 m., 38° 24.5' S., 174° 49.8' E.","Wharerino Forest, start of track to Leitch's Hut","On clayey bank. Clay banks with Blechnum novae-zelandiae overhang, Weinmannia and Dicksonia squarrosa dominant canopy and occasional Leptospermum scoparium",280 m.,"38° 24.5' S., 174° 49.8' E.",1173554,Typed,holotype
0005_C2077563F.jpg,"Leg. L. Dusenot, n° 4659 pp.",L. Dusenot,N/A,4659 pp.,N/A,0000-00-00,N/A,Hedwigia ciliata (Hedw.) P. Beauv.,Hedwigia ciliata,E. De Luna,1992,N/A,Ecuador,Pichincha,N/A,Quito,environs de Quito,Environs of Quito,N/A,N/A,N/A,2077591,Mix of Handwritten and Typed,no type status
0006_C2077566F.jpg,Marko Lewis,M. Lewis,N/A,79-1237A,22 March 1979,1979-03-22,N/A,Hedwigia ciliata (Hedw.) P. Beauv.,Hedwigia ciliata,B. De Luna,1992,N/A,Bolivia,La Paz,Larecaja,N/A,Near large red outcrop 2 mi. from Sorata down Rio Consata,Near large red outcrop 2 miles from Sorata down Rio Consata,Bromeliad habitat. Abundant on rock faces of exposed cliffs,2630 m,"15° 41' S., 68° 43' W.",1033221,Typed,no type status
0007_C2077567F.jpg,Marko Lewis,M. Lewis,N/A,79-1232,22 March 1979,1979-03-22,N/A,Hedwigia ciliata (Hedw.) P. Beauv.,Hedwigia ciliata,E. De Luna,1992,N/A,Bolivia,La Paz,Larecaja,N/A,Near large red outcrop 2 mi. from Sorata down Rio Consata,Near large red outcrop 2 miles from Sorata down Rio Consata,Bromeliad-grass habitat on exposed cliffs,2630 m,15 41' S. 68 43' w.,1032219,Typed,no type status
0008_C2077568F.jpg,Marko Lewis,M. Lewis,N/A,79-1114,6 March 1979,1979-03-06,N/A,Hedwigia ciliata (Hedw.) P. Beauv.,Hedwigia ciliata,E. De Luna,1992,N/A,Bolivia,La Paz,Saavedra,N/A,On mountain side directly N. of river beneath Niño Karire NNW of Chuma,On mountain side directly north of river beneath Niño Karire north-northwest of Chuma,Humid cliffs and steep slopes,3320 m,15° 08' S 69° 03' W,1032220,Mix of Handwritten and Typed,no type status
0009_C2077569F.jpg,F. J. Hermann,F. J. Hermann,N/A,25152,"December 27, 1972",1972-12-27,N/A,Hedwigia ciliata (Hedw.) Beauv.,Hedwigia ciliata,E. De Luna,1992,N/A,Bolivia,Cochabamba,N/A,N/A,"On conglomerate boulder on shrubby NW slope of Mt. Tunari, near Liriuni Aguas Termales Hotel, alt. ca. 2700 m., 28 km. NW. COCHABAMBA","On conglomerate boulder on shrubby northwest slope of Mount Tunari, near Liriuni Aguas Termales Hotel, approximately 28 kilometers northwest of Cochabamba",On conglomerate boulder on shrubby northwest slope,alt. ca. 2700 m.,N/A,1040675,Typed,no type status
