verbatimCollectors,collectedBy,secondaryCollectors,recordNumber,verbatimEventDate,minimumEventDate,maximumEventDate,verbatimIdentification,latestScientificName,identifiedBy,verbatimDateIdentified,associatedTaxa,country,firstPoliticalUnit,secondPoliticalUnit,municipality,verbatimLocality,locality,habitat,verbatimElevation,verbatimCoordinates,otherCatalogNumbers,originalMethod,typeStatus
leg. M. Fleischer,M. Fleischer,N/A,PASS,25.3.1903,1903-03-25,N/A,Macromitrium,Macromitrium,PASS,N/A,N/A,Australia,Queensland,N/A,PASS,PASS,PASS,Urwald,N/A,N/A,PASS,PASS,no type status
PASS,PASS,PASS,PASS,25.3.1903,1903-03-25,N/A,Macromitrium,Macromitrium,PASS,N/A,N/A,Australia,Queensland,N/A,PASS,PASS,PASS,PASS,N/A,N/A,PASS,PASS,no type status
PASS,PASS,N/A,B 2552,6.4.1903,1903-04-06,N/A,Macromitrium,Macromitrium,PASS,PASS,N/A,Australia,New South Wales,N/A,PASS,PASS,PASS,N/A,N/A,N/A,1076824,PASS,no type status
PASS,PASS,N/A,B 2697,PASS,1903-03-20,N/A,PASS,Macromitrium,PASS,N/A,N/A,Australia,Queensland,N/A,PASS,bei Brisbane,PASS,N/A,N/A,N/A,PASS,PASS,no type status
Coll. & det. T. Nakajima,T. Nakajima,N/A,PASS,"Mar. 27, 1971",1971-03-27,N/A,PASS,Macromitrium gymnostomum,T. Nakajima,PASS,N/A,Japan,PASS,N/A,PASS,PASS,PASS,PASS,PASS,N/A,1043494,PASS,no type status
PASS,PASS,N/A,PASS,PASS,PASS,N/A,PASS,Macromitrium gymnostomum,PASS,N/A,Fagus crenata,Japan,PASS,N/A,N/A,PASS,PASS,PASS,PASS,N/A,PASS,PASS,no type status
PASS,PASS,N/A,s.n.,"March 28, 1967",1967-03-28,N/A,PASS,Macromitrium gymnostomum,PASS,PASS,N/A,Japan,PASS,PASS,Shirahama-chō,PASS,PASS,PASS,PASS,N/A,PASS,Typed,no type status
PASS,PASS,N/A,s.n.,PASS,PASS,N/A,PASS,Macromitrium gymnostomum,PASS,N/A,N/A,Japan,PASS,PASS,PASS,PASS,PASS,ad arborum truncos,ca 500 m,N/A,PASS,PASS,no type status
PASS,PASS,PASS,s.n.,20.4.1898,1898-04-20,N/A,PASS,Macromitrium gymnostomum,PASS,N/A,N/A,Japan,PASS,PASS,N/A,PASS,PASS,N/A,N/A,N/A,1000415,Typed,no type status
PASS,PASS,PASS,s.n.,PASS,1898-10-00,1898-11-00,PASS,Macromitrium gymnostomum,PASS,N/A,N/A,Japan,PASS,N/A,PASS,PASS,PASS,N/A,N/A,N/A,PASS,PASS,no type status
A. Touw,PASS,PASS,14660,PASS,1975-03-09,N/A,PASS,Macromitrium incurvifolium,PASS,N/A,N/A,Papua New Guinea,PASS,N/A,Lae,PASS,PASS,N/A,PASS,N/A,1142151,PASS,no type status
A. Touw,PASS,N/A,18543,PASS,1975-05-20,N/A,PASS,Macromitrium longicaule,PASS,N/A,N/A,Papua New Guinea,West Sepik,PASS,PASS,PASS,PASS,PASS,PASS,PASS,1141855,PASS,no type status
PASS,PASS,N/A,17369,8.5.1975,1975-05-08,N/A,PASS,Macromitrium macrosporum,PASS,N/A,N/A,Papua New Guinea,PASS,PASS,N/A,PASS,PASS,PASS,c. 3900 m,PASS,1142194,Typed,no type status
PASS,PASS,N/A,16376,PASS,1975-04-17,N/A,PASS,Macromitrium macrosporum,PASS,N/A,N/A,Papua New Guinea,West Sepik,N/A,N/A,PASS,PASS,PASS,PASS,PASS,1142178,PASS,no type status
PASS,PASS,N/A,17312,PASS,1975-05-08,N/A,Macromitrium macrosporum Broth.,Macromitrium macrosporum,PASS,N/A,N/A,Papua New Guinea,West Sepik,N/A,N/A,PASS,PASS,N/A,PASS,PASS,1142156,PASS,no type status
PASS,PASS,N/A,16420,PASS,1975-04-19,N/A,Macromitrium macrosporum Broth.,Macromitrium macrosporum,PASS,N/A,N/A,Papua New Guinea,West Sepik,N/A,N/A,PASS,PASS,PASS,c. 3900 m,PASS,1142175,Typed,no type status
PASS,PASS,N/A,17205,PASS,1975-05-05,N/A,Macromitrium macrosporum Broth.,Macromitrium macrosporum,PASS,N/A,N/A,Papua New Guinea,West Sepik,PASS,N/A,PASS,PASS,PASS,c. 3450 m.,PASS,1141880,Typed,no type status
PASS,PASS,N/A,18046,14.5.1975,1975-05-14,N/A,PASS,Macromitrium megalocladon,PASS,N/A,N/A,Papua New Guinea,West Sepik,N/A,N/A,PASS,PASS,PASS,PASS,PASS,1142187,Typed,no type status
PASS,PASS,N/A,16555,PASS,1975-04-21,N/A,Macromitrium megalocladon Fleisch.,Macromitrium megalocladon,PASS,N/A,N/A,Papua New Guinea,West Sepik,PASS,PASS,PASS,PASS,PASS,PASS,PASS,1142432,PASS,no type status
PASS,PASS,N/A,15768,PASS,1975-04-07,N/A,PASS,Macromitrium megalocladon,PASS,N/A,N/A,Papua New Guinea,West Sepik,N/A,PASS,PASS,PASS,PASS,PASS,PASS,1142300,Typed,no type status
leg. S. Hattori,PASS,N/A,s.n.,PASS,1946-08-00,N/A,PASS,Macromitrium incurvum,PASS,Ser. I (1947),N/A,Japan,PASS,PASS,PASS,PASS,PASS,PASS,PASS,N/A,PASS,Typed,no type status
PASS,PASS,N/A,s.n.,"December 25, 1951",1951-12-25,N/A,Macromitrium incurvum (Lindb.) Par.,Macromitrium incurvum,PASS,N/A,N/A,Japan,Kumamoto,N/A,Yoshio,PASS,PASS,N/A,60 m. above sea,N/A,1043529,Typed,no type status
PASS,PASS,N/A,PASS,"February 11, 1952",1952-02-11,N/A,PASS,Macromitrium gymnostomum,PASS,PASS,N/A,Japan,Kumamoto,N/A,PASS,PASS,PASS,PASS,ca. 100 m. above sea,N/A,1043490,Typed,no type status
PASS,PASS,N/A,s.n.,March 1952,1952-03-00,N/A,PASS,Macromitrium gymnostomum,PASS,N/A,N/A,Japan,Kumamoto,PASS,Hitoyoshi,PASS,PASS,N/A,ca. 100m. alt.,N/A,PASS,Typed,no type status
PASS,PASS,N/A,B.206,"August, 1925",1925-08-00,N/A,PASS,Macromitrium gymnostomum,PASS,N/A,N/A,China,PASS,N/A,PASS,Kushan near Foochow,Kushan near Foochow,PASS,PASS,N/A,PASS,Typed,no type status
H. H. Chung,PASS,N/A,B.20,PASS,PASS,N/A,PASS,Macromitrium gymnostomum,Theriot,N/A,N/A,China,PASS,N/A,PASS,PASS,PASS,PASS,N/A,N/A,PASS,Typed,no type status
Timo Koponen,PASS,N/A,PASS,23 July 1981,1981-07-23,N/A,PASS,Macromitrium longicaule,PASS,1989,PASS,Papua New Guinea,PASS,PASS,N/A,PASS,PASS,Rather open montane forest with dominating Pandanus trees,PASS,PASS,PASS,PASS,no type status
PASS,PASS,N/A,B.4.,PASS,PASS,N/A,PASS,Macromitrium japonicum,N/A,N/A,N/A,China,PASS,N/A,PASS,PASS,PASS,PASS,N/A,N/A,PASS,Typed,no type status
Timo Koponen,PASS,N/A,PASS,9 July 1981,1981-07-09,N/A,PASS,Macromitrium macrosporum,PASS,PASS,N/A,Papua New Guinea,PASS,N/A,N/A,PASS,PASS,PASS,PASS,PASS,PASS,PASS,no type status
PASS,M. Mizutani,I. Yoshimura,PASS,"Jan. 23, 1975",1975-01-23,N/A,PASS,PASS,PASS,PASS,N/A,Japan,PASS,PASS,PASS,PASS,PASS,PASS,PASS,N/A,PASS,Typed,no type status
PASS,PASS,N/A,PASS,PASS,1932-10-00,N/A,Macromitrium incurvum (Lindb.) Paris,Macromitrium incurvum,N/A,N/A,N/A,Japan,PASS,Musashi,PASS,PASS,PASS,PASS,N/A,N/A,1356480,PASS,no type status
PASS,PASS,N/A,PASS,"April 3, 1970",1970-04-03,N/A,PASS,Macromitrium gymnostomum,A. Noguchi,N/A,N/A,Japan,Kagoshima,N/A,PASS,PASS,PASS,PASS,PASS,N/A,PASS,PASS,no type status
PASS,PASS,PASS,PASS,PASS,1937-06-14,N/A,PASS,PASS,unsure and check,N/A,N/A,Portugal,Azores,N/A,PASS,PASS,PASS,PASS,PASS,N/A,1181624,Typed,no type status
PASS,PASS,N/A,PASS,20 Jan 1983,1983-01-20,N/A,Philonotis,Philonotis,PASS,PASS,N/A,Bolivia,La Paz,Larecaja,N/A,PASS,PASS,Super humid Ceja de Montaña forests following ravines In small rill in dripping area of small waterfall,ca 3550 m,PASS,PASS,PASS,no type status
PASS,M. Lewis,PASS,PASS,29 March 1979,1979-03-29,N/A,Philonotis fide Crum,Philonotis,PASS,PASS,N/A,Bolivia,PASS,PASS,N/A,Along road 1 mi. from Sorata towards Achacachi,PASS,Eroding bank,2740 m.,PASS,PASS,Typed,no type status
Marko Lewis,M. Lewis,N/A,79-2315,1 June 1979,1979-06-01,N/A,Philonotis,Philonotis,PASS,PASS,N/A,Bolivia,Cochabamba,PASS,N/A,PASS,PASS,PASS,3030 m,PASS,PASS,PASS,no type status
PASS,PASS,N/A,6867,13 Oct. 1950,1950-10-13,N/A,PASS,PASS,PASS,PASS,N/A,Bolivia,N/A,N/A,N/A,Unduavi,PASS,PASS,PASS,N/A,1013011,Typed,no type status
PASS,PASS,N/A,6865,13 Oct. 1950,1950-10-13,N/A,PASS,PASS,PASS,PASS,N/A,Bolivia,N/A,N/A,N/A,PASS,PASS,N/A,PASS,N/A,PASS,Typed,no type status
PASS,PASS,N/A,79-2315,1 June 1979,1979-06-01,N/A,Philonotis,Philonotis,PASS,PASS,N/A,Bolivia,Cochabamba,PASS,N/A,PASS,PASS,PASS,3030 m,PASS,1050327,PASS,no type status
PASS,PASS,PASS,PASS,PASS,1973-08-31,N/A,PASS,PASS,PASS,N/A,N/A,Peru,Amazonas,Chachapoyas,N/A,PASS,PASS,"Fels, Erde, Mauer, Baum, Strauch, Holz, See, Bach",PASS,N/A,1061647,PASS,no type status
PASS,PASS,PASS,5166,25 December 1973,1973-12-25,N/A,PASS,Braunia secunda,PASS,N/A,N/A,Mexico,Baja California Sur,N/A,PASS,PASS,PASS,PASS,Alt. ca. 6300 ft.,N/A,PASS,Typed,no type status
PASS,A. J. Sharp,PASS,PASS,"June 23, 1973",1973-06-23,N/A,Braunia secunda (Hook.) B.S.G.,Braunia secunda,PASS,1992,N/A,Mexico,Oaxaca,N/A,N/A,PASS,PASS,"Partial shade, moist, road side cliff",1625 m,N/A,PASS,PASS,no type status
PASS,PASS,PASS,2736,PASS,PASS,N/A,Braunia secunda (Hook.) B.S.G.,PASS,PASS,PASS,N/A,Mexico,Jalisco,PASS,PASS,PASS,PASS,PASS,PASS,N/A,1045251,PASS,no type status
PASS,PASS,N/A,10619,PASS,PASS,N/A,PASS,Braunia Andrieuxii,PASS,PASS,N/A,Mexico,Jalisco,N/A,PASS,PASS,On rocks near Guadalajara,N/A,PASS,N/A,PASS,Typed,no type status
PASS,PASS,N/A,10627,PASS,1908-09-17,N/A,PASS,PASS,PASS,1992,N/A,Mexico,Hidalgo,N/A,N/A,PASS,Cuyamaloya,N/A,N/A,N/A,PASS,Typed,no type status
PASS,PASS,PASS,PASS,PASS,PASS,N/A,PASS,Braunia secunda,PASS,1992,N/A,Mexico,Veracruz,N/A,N/A,PASS,PASS,PASS,PASS,N/A,1031423,PASS,no type status
PASS,PASS,PASS,5067,PASS,PASS,N/A,PASS,Braunia secunda,PASS,PASS,N/A,Mexico,Durango,N/A,PASS,PASS,PASS,PASS,PASS,N/A,1036945,PASS,no type status
PASS,PASS,N/A,PASS,"July 23, 1941",1941-07-23,N/A,PASS,Braunia secunda,PASS,N/A,N/A,Mexico,PASS,N/A,N/A,PASS,PASS,PASS,N/A,N/A,1045239,Typed,no type status
PASS,PASS,PASS,PASS,"Dec. 19, 1972",1972-12-19,N/A,PASS,Braunia squarrulosa,F. Bowers,N/A,N/A,Mexico,Chiapas,N/A,N/A,PASS,PASS,"Partial shade, moist, trail side bank",PASS,N/A,1045274,Typed,no type status
PASS,PASS,N/A,PASS,PASS,1975-02-09,N/A,PASS,PASS,PASS,1992,N/A,Mexico,Chiapas,N/A,PASS,PASS,PASS,PASS,PASS,N/A,PASS,PASS,no type status
PASS,A. J. Sharp,PASS,2980-a,"Dec. 23, 1972",1972-12-23,N/A,Braunia squarrulosa (Hampe) Broth.,Braunia squarrulosa,A. J. Sharp,PASS,N/A,Mexico,Oaxaca,N/A,PASS,PASS,PASS,PASS,PASS,N/A,1045269,Typed,no type status
Howard A. Crum,PASS,N/A,PASS,23 July 1949,1949-07-23,N/A,PASS,PASS,PASS,1992,N/A,Mexico,Jalisco,N/A,N/A,PASS,PASS,PASS,7300 feet,N/A,PASS,PASS,no type status
PASS,PASS,N/A,10550,PASS,PASS,N/A,PASS,Braunia squarrulosa,PASS,1992,N/A,Mexico,Federal District,N/A,N/A,PASS,PASS,N/A,PASS,N/A,PASS,Typed,no type status
PASS,PASS,PASS,PASS,PASS,PASS,N/A,PASS,PASS,PASS,1992,N/A,Mexico,Chiapas,N/A,N/A,PASS,PASS,PASS,PASS,N/A,1031467,PASS,no type status
LEG.EGGERS & FRAHM,E. Eggers,PASS,PASS,10.3.79(29),1979-03-10,N/A,PASS,PASS,PASS,1992,N/A,Mexico,Chiapas,N/A,N/A,PASS,PASS,PASS,PASS,N/A,1031495,PASS,no type status
F. J. Hermann,PASS,N/A,26429,"February 9, 1975",1975-02-09,N/A,PASS,PASS,PASS,PASS,N/A,Mexico,Chiapas,N/A,PASS,PASS,PASS,PASS,PASS,N/A,1045277,PASS,no type status
PASS,PASS,PASS,PASS,PASS,1979-02-04,N/A,PASS,Braunia squarrulosa,PASS,PASS,N/A,Costa Rica,PASS,PASS,N/A,PASS,PASS,PASS,PASS,N/A,1029423,PASS,PASS
PASS,PASS,N/A,PASS,4 Ago 2001,2001-08-04,N/A,Braunia exserta C. Müller,Braunia exserta,PASS,2001,N/A,Bolivia,Tarija,PASS,N/A,PASS,PASS,PASS,PASS,21°25'S 64°19'W,PASS,PASS,no type status
B. Sparre,PASS,N/A,B11750,27 November 1946,1946-11-27,N/A,PASS,PASS,PASS,N/A,N/A,Argentina,Tucuman,Chicligasta,PASS,PASS,Rio Cochuna,PASS,1000 m a.s.l.,N/A,PASS,PASS,no type status
PASS,PASS,N/A,79-1625,6 April 1979,1979-04-06,N/A,PASS,PASS,PASS,1992,N/A,Bolivia,La Paz,Larecaja,PASS,PASS,PASS,In ravine with waterfall,3250 m,"15° 48' S, 68° 36' W",PASS,Mix of Handwritten and Typed,no type status
Marko Lewis,PASS,N/A,82-303,9 Dec 1982,1982-12-09,N/A,PASS,Braunia plicata,PASS,1990,N/A,Bolivia,La Paz,PASS,PASS,PASS,PASS,"Arid woodland and cliff area, many cacti present. At base of cliffs near river amongst a boulder pile in a deep canyon. Small trees, tree cacti and shrubs in shady, protected area.",PASS,"16°44'S, 68°41'W",PASS,PASS,no type status
Marko Lewis,PASS,N/A,79-1230,22 March 1979,1979-03-22,N/A,PASS,Braunia plicata,PASS,1992,N/A,Bolivia,PASS,PASS,N/A,PASS,Near large red outcrop 2 miles from Sorata down Rio Consata,Abundant on exposed rock face,2600 m,PASS,1032384,PASS,no type status
PASS,PASS,N/A,PASS,5 March 1979,1979-03-05,N/A,PASS,Braunia plicata,PASS,1992,N/A,Bolivia,La Paz,Saavedra,PASS,PASS,PASS,PASS,3200-3240 m,PASS,PASS,PASS,no type status
Marko Lewis,PASS,N/A,79-940,5 March 1979,1979-03-05,N/A,PASS,Braunia plicata,PASS,1992,N/A,Bolivia,PASS,PASS,N/A,PASS,PASS,PASS,3200 m,PASS,PASS,PASS,no type status
PASS,PASS,N/A,79-935,5 March 1979,1979-03-05,N/A,PASS,Hedwigidium integrifolium,PASS,Nov. 1991,N/A,Bolivia,PASS,PASS,N/A,PASS,PASS,PASS,3200 m,PASS,1032366,PASS,no type status
Marko Lewis,PASS,N/A,79-615,10 February 1979,1979-02-10,N/A,Hedwigidium integrifolium (P. Beauv.) Dix.,Hedwigidium integrifolium,PASS,Nov. 1991,N/A,Bolivia,Tarija,PASS,N/A,PASS,PASS,PASS,3350 m,PASS,PASS,PASS,no type status
PASS,PASS,PASS,PASS,PASS,1983-01-28,N/A,PASS,Braunia secunda,Dana Griffin III,PASS,N/A,Peru,Ancash,Yungay,N/A,PASS,PASS,Growing on branches,PASS,N/A,PASS,PASS,no type status
PASS,PASS,N/A,PASS,PASS,PASS,N/A,Braunia secunda (Hook.) BSG,Braunia secunda,PASS,PASS,PASS,Venezuela,PASS,N/A,PASS,PASS,PASS,PASS,PASS,N/A,PASS,PASS,no type status
PASS,PASS,N/A,PASS,2 February 1979,1979-02-02,N/A,PASS,PASS,PASS,1992,N/A,Bolivia,Tarija,PASS,PASS,PASS,PASS,On rocks in dry deciduous forest,1750 m,PASS,PASS,PASS,no type status
PASS,PASS,N/A,25278,"December 24, 1972",1972-12-24,N/A,Braunia subplicata E.G.Britt.,Braunia subplicata,Efrain De Luna,1992,N/A,Bolivia,PASS,PASS,PASS,PASS,PASS,N/A,PASS,N/A,1045267,PASS,no type status
S.R. Gradstein & M. Lewis,PASS,PASS,7560,12 November 1989,1989-11-12,N/A,PASS,Racopilum intermedium,PASS,N/A,N/A,Bolivia,PASS,PASS,PASS,PASS,PASS,PASS,PASS,N/A,PASS,PASS,no type status
Marko Lewis,PASS,N/A,83-503,PASS,1983-02-07,N/A,PASS,Racopilum tomentosum,PASS,PASS,N/A,Bolivia,La Paz,Nor Yungas,Coroico,PASS,PASS,Fruit and coffee plantations. On rocks in shady fruit orchard.,PASS,"16°11'S, 67°43'W",1100456,Typed,no type status
PASS,PASS,N/A,PASS,PASS,1930-11-11,N/A,PASS,Rhacopilum tomentosum,Bartram,N/A,N/A,Brazil,PASS,N/A,Viçosa,Fazenda de F. Lopez. Cut over woods. On rotting log.,PASS,PASS,PASS,N/A,PASS,Typed,no type status
PASS,PASS,PASS,PASS,24.IV.1976,1976-04-24,N/A,PASS,Rhacopilum tomentosum,PASS,N/A,N/A,Ecuador,Galapagos Islands,PASS,N/A,PASS,PASS,PASS,PASS,N/A,PASS,PASS,no type status
PASS,PASS,PASS,6726,PASS,1973-08-31,N/A,PASS,Racopilum tomentosum,PASS,N/A,N/A,Peru,Amazonas,Chachapoyas,PASS,PASS,PASS,PASS,PASS,N/A,1026724,Typed,no type status
PASS,J. Florschütz,P. A. Florschütz,4715,PASS,1975-12-18,N/A,Racopilum tomentosum (Hedw.) Brid.,Racopilum tomentosum,P. A. Florschütz | J. Florschütz-de Waard,N/A,N/A,Suriname,N/A,N/A,PASS,PASS,PASS,PASS,N/A,N/A,PASS,PASS,no type status
PASS,E. Linares,PASS,PASS,26 Sept. 1984,1984-09-26,N/A,PASS,Racopilum tomentosum,PASS,PASS,N/A,Colombia,Meta,Villavicencio,N/A,PASS,PASS,PASS,alt. 600 m,N/A,PASS,Typed,no type status
Marko Lewis,PASS,N/A,83-511,7 Feb 1983,1983-02-07,N/A,PASS,PASS,PASS,PASS,N/A,Bolivia,La Paz,Nor Yungas,Coroico,PASS,PASS,PASS,PASS,"16°11'S, 67°43'W",1100344,PASS,no type status
Ynes Mexia,PASS,N/A,PASS,"Sept. 15, 1936",1936-09-15,N/A,PASS,Rhacopilum tomentosum,Bartram,N/A,N/A,Peru,PASS,PASS,N/A,PASS,PASS,PASS,Alt. 1950 m.,N/A,PASS,Typed,no type status
PASS,PASS,N/A,PASS,"Sept. 9, 1936",1936-09-09,N/A,PASS,PASS,Bartram,N/A,N/A,Peru,PASS,PASS,N/A,PASS,Hacienda Exito; bank of Rio Ysabel; on rock in wood,on rock in wood,Alt. 1100 m.,N/A,PASS,Typed,no type status
Ynes Mexia,PASS,N/A,8168a,PASS,PASS,N/A,PASS,Rhacopilum tomentosum,Bartram,N/A,N/A,Peru,Huanuco,Churubamba,N/A,PASS,PASS,On rock in woods,PASS,N/A,PASS,Typed,no type status
PASS,R. E. Schultes,I. Cabrera,16563,"May 19, 1952",1952-05-19,N/A,PASS,PASS,H. A. Crum,1956,PASS,Colombia,Amazonas,N/A,N/A,PASS,PASS,PASS,PASS,PASS,1055465,Typed,no type status
PASS,PASS,PASS,PASS,Julio-Agosto 1977,1977-07-00,1977-08-00,PASS,PASS,PASS,N/A,N/A,Colombia,PASS,N/A,N/A,PASS,PASS,PASS,PASS,N/A,1029476,PASS,no type status
PASS,PASS,PASS,15466,6 July 1987,1987-07-06,N/A,PASS,PASS,PASS,N/A,PASS,Colombia,Antioquia,N/A,PASS,PASS,Cerro San Miguel South of San Miguel,In secondary montane forest,2460-2620 m,PASS,1139980,PASS,no type status
PASS,D. Griffin,PASS,215,"Julio 3-4, 1977",1977-07-03,1977-07-04,PASS,Hypnella pilifera,N/A,N/A,N/A,Costa Rica,Cartago,N/A,N/A,PASS,PASS,PASS,PASS,N/A,1025621,Typed,no type status
John J. Wurdack,PASS,N/A,34365,PASS,PASS,N/A,Hypnella cymbifolia (Hpe.) Jaeg.,Hypnella cymbifolia,PASS,N/A,N/A,Venezuela,PASS,N/A,N/A,PASS,PASS,PASS,elev. 1250 - 1200 m,N/A,1026297,Typed,no type status
PASS,PASS,PASS,2445,9-12 July 1979,1979-07-09,1979-07-12,Hookeriopsis parkeriana (Hook. & Grev.) Jaeg.,Hookeriopsis parkeriana,N/A,N/A,N/A,Brazil,Amazonas,N/A,N/A,PASS,PASS,PASS,ca. 450 m at summit,PASS,PASS,Typed,no type status
PASS,R. B. Foster,N/A,PASS,30 July 1981,1981-07-30,N/A,Hypnella pilifera (Hook. & Wils.) Jaeg.,Hypnella pilifera,PASS,N/A,N/A,Peru,Pasco,N/A,N/A,PASS,PASS,PASS,1900 m,PASS,PASS,Typed,no type status
PASS,PASS,PASS,s.n.,PASS,1981-12-04,N/A,Hypnella pilifera (Hook. & Wils.) Jaeg.,Hypnella pilifera,PASS,PASS,N/A,Peru,Cuzco,N/A,N/A,PASS,PASS,Extremely mossy elfin cloud forest near shallow ravine,PASS,PASS,PASS,PASS,no type status
S.P. Churchill et al.,PASS,N/A,18335,11 July 1992,1992-07-11,N/A,PASS,Hypnella diversifolia,PASS,N/A,N/A,Colombia,Antioquia,N/A,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,no type status
PASS,PASS,N/A,PASS,"January 7, 1953",1953-01-07,N/A,Hypnella cymbifolia (Hpe.) Jaeg.,Hypnella cymbifolia,PASS,N/A,N/A,Venezuela,Estado Bolívar,N/A,N/A,PASS,PASS,PASS,elev. 1200-1250 m.,N/A,1026299,Typed,no type status
PASS,PASS,N/A,PASS,30 July 1981,1981-07-30,N/A,Hypnella Pallescens (Hook.) Jaeg.,Hypnella Pallescens,PASS,N/A,PASS,Peru,Pasco,N/A,N/A,PASS,PASS,In Weinmannia forest,1900 m,PASS,PASS,PASS,no type status
John J. Wurdack,PASS,N/A,PASS,PASS,PASS,N/A,Hypnella cymbifolia (Hpe.) Jaeg.,Hypnella cymbifolia,PASS,N/A,N/A,Venezuela,PASS,N/A,N/A,PASS,PASS,PASS,elev. 1250 - 1200 m,N/A,PASS,PASS,no type status
PASS,PASS,PASS,PASS,PASS,PASS,N/A,PASS,Weissia compacta,N/A,N/A,N/A,France,PASS,PASS,Athis,PASS,PASS,PASS,N/A,N/A,PASS,Mix of Handwritten and Typed,no type status
Coll. H. Inoue,PASS,N/A,s.n.,PASS,1973-01-11,N/A,PASS,Macromitrium japonicum,PASS,N/A,Pinus thunbergii,Japan,PASS,N/A,N/A,PASS,PASS,PASS,PASS,N/A,PASS,Typed,no type status
PASS,PASS,N/A,2464,PASS,1948-12-17,N/A,PASS,Campylopus arctocarpus,PASS,1949,N/A,Brazil,Santa Catarina,N/A,N/A,PASS,PASS,Rupestre,PASS,N/A,PASS,PASS,no type status
