associatedTaxa,collectedBy,country,firstPoliticalUnit,habitat,identifiedBy,latestScientificName,locality,maximumEventDate,minimumEventDate,municipality,originalMethod,otherCatalogNumbers,recordNumber,secondPoliticalUnit,secondaryCollectors,typeStatus,verbatimCollectors,verbatimCoordinates,verbatimDateIdentified,verbatimElevation,verbatimEventDate,verbatimIdentification,verbatimLocality
N/A,M. Fleischer,Australia,Queensland,Urwald,unsure and check,Macromitrium,Bumundi (approximately 100 kilometers north of Brisbane),N/A,1903-03-25,N/A,Typed,1076713,B 2754,N/A,N/A,no type status,PASS,N/A,N/A,N/A,25.3.1903,Macromitrium,Bumundi (ca. 100 km nördlich Brisbane) Urwald
N/A,M. Fleischer,Australia,Queensland,Urwald,unsure and check,Macromitrium,Eumundi (approximately 100 kilometers north of Brisbane),N/A,1903-03-25,Eumundi,Typed,1076699,B 2692,N/A,N/A,no type status,PASS,N/A,N/A,N/A,25.3.1903,Macromitrium,Eumundi (ca. 100 km nördlich Brisbane) Urwald
N/A,M. Fleischer,Australia,New South Wales,N/A,unsure and check,Macromitrium,Blue Mountains near Sydney Wentworth Falls,N/A,1903-04-06,N/A,Typed,1076824,B 2552,N/A,N/A,no type status,PASS,N/A,unsure and check,N/A,6.4.1903,Macromitrium,Blue Mountains bei Sydney Wentworth Falls
N/A,M. Fleischer,Australia,Queensland,N/A,unsure and check,Macromitrium,Brisbane,N/A,1903-03-20,N/A,Typed,1076705,B 2697,N/A,N/A,no type status,PASS,N/A,N/A,N/A,20.3.1903,Macromitrium,bei Brisbane
N/A,T. Nakajima,Japan,Wakayama,On vertical face of rock,T. Nakajima,Macromitrium gymnostomum,"Ohara, Yuya, Oto-mura",N/A,1971-03-27,N/A,Typed,1043494,1229,N/A,N/A,no type status,PASS,N/A,N/A,PASS,"Mar. 27, 1971",Macromitrium gymnostomum Sull. et Lesq. e. fr.,"Ohara, Yuya, Oto-mura, Nishimuro-gun"
Fagus crenata,T. Nakajima,Japan,Nara,On trunks of Fagus crenata,T. Nakajima,Macromitrium gymnostomum,Mt. Ohako,N/A,1968-05-04,N/A,Typed,1043492,714,N/A,N/A,no type status,PASS,N/A,N/A,ca. 1200 m,"May 4, 1968",Macromitrium gymnostomum Sull. et Lesq.,Mt. Ohako
N/A,T. Nakajima,Japan,Wakayama,"On rocks, ca. 100 meters alt.",T. Nakajima,Macromitrium gymnostomum,"Sūgawa, Shirahama-chō",N/A,1967-03-28,Shirahama-chō,Typed,10434191,s.n.,N/A,N/A,no type status,PASS,N/A,N/A,PASS,"March 28, 1967",Macromitrium gymnostomum Sull. & Lesq.,"Sūgawa, Shirahama-chō, Nishimuro-gun, Wakayama Prefecture"
N/A,S. Hattori,Japan,Miyazaki,ad arborum truncos,A. Noguchi,Macromitrium gymnostomum,"KIUSHIU, Miyazaki, Minaminaka, Sakatani",N/A,1946-07-00,N/A,Typed,1285073,s.n.,N/A,N/A,no type status,PASS,N/A,N/A,ca 500 m,LXX. 1946,Macromitrium gymnostomum Sull. et Lesq.,"KIUSHIU, Miyazaki, Minaminaka, Sakatani"
N/A,J. B. Berrié,Japan,N/A,N/A,Thériot,Macromitrium gymnostomum,Centre de l'Ile,N/A,1898-04-20,N/A,Typed,1000415,s.n.,N/A,N/A,no type status,R.P. J.B. Berrié,N/A,N/A,N/A,20.4.1898,Macromitrium gymnostomum S. L.,Iles Liou-Kiou - Centre de l'Ile
N/A,R. P. Ferrié,Japan,Kagoshima,N/A,Thériot,Macromitrium gymnostomum,Yaku-Sima,1898-11-00,1898-10-00,N/A,Typed,1000416,s.n.,N/A,J. B. Ferrié,no type status,PASS,N/A,N/A,N/A,oct. - nov. 1898,Macromitrium gymnostomum S. L. = m. rupestre Mitt Sull. Card.,Yaku-Sima
N/A,A. Touw,Papua New Guinea,Morobe,N/A,D. H. Vitt,Macromitrium incurvifolium,In fork of Plumeria tree in garden.,N/A,1975-03-09,Lae,Typed,1142151,14660,N/A,N/A,no type status,A. Touw,N/A,N/A,c. 20 m.,9-3-1975,Macromitrium incurvifolium (Hook. & Grev.) Schwager.,In fork of Plumeria tree in garden.
