Image,title,collectedBy,secondaryCollectors,phylum,family,genus,specificEpithet,infraspecificEpithet,scientificNameAuthorship,identifiedBy,dateIdentified,acceptedScientificName,otherScientificName,scientificName,associatedTaxa,verbatimEventDate,eventDate,country,countryCode,firstPoliticalUnit,secondPoliticalUnit,city,verbatimLocality,locality,habitat,substrate,verbatimElevation,maximumElevationInMeters,minimumElevationInMeters,verbatimCoordinates,decimalLatitude,decimalLongitude,collectionCode,recordNumber,catalogNumber,language,languageRemarks,originalMethod,typeStatus,occuranceRemarks,sex,reproductiveCondition,generalNotes,expeditionFundedBy,generalInformationAboutThePlantSpecimenItself,rawFormat
0000_11oFYkEB4WLjfCjK5ogsWhIBviKbokESX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0000_C0000578F.jpg,,J. J. Engel,M. von Konrat | J. E. Braggins,,,,,,,unsure and check,,,,,Blechnum novae-zelandiae | Weinmannia | Dicksonia squarrosa | Leptospermum scoparium,12 February 2003,,New Zealand,,Auckland,N/A,,"Wharerino Forest, start of track to Leitch's Hut. 280 m., 38° 24.5' S., 174° 49.8' E.","Wharerino Forest, start of track to Leitch's Hut","On clayey bank. Clay banks with Blechnum novae-zelandiae overhang, Weinmannia and Dicksonia squarrosa dominant canopy and occasional Leptospermum scoparium.",,280 m.,,,"38° 24.5' S., 174° 49.8' E.",,,,23773,,,,Typed,holotype,,,,,,,
0001_C0020052F.jpg,,R. M. Schuster,K. Damsholt,,,,,,,R. M. Schuster | K. Damsholt,,,,,Cephalozia bicuspidata,July 3.,,Greenland,,N/A,N/A,,Frederiksdal,Frederiksdal,N/A,,N/A,,,"60°00'N lat., 44°40'W. long.",,,,82-1049,,,,Typed,no type status,,,,,,,
0002_C0025138F.jpg,,R. M. Schuster,N/A,,,,,,,unsure and check,,,,,Abies fraseri,June 30 1951,,United States,,North Carolina,N/A,,"Balsam Gap, N.C., ca. 25 mi. n. of Asheville, along Blue Ridge Parkway, 5220-5260 feet","Balsam Gap, approximately 25 miles north of Asheville, along Blue Ridge Parkway",N/A,,5220-5260 feet,,,N/A,,,,9067,,,,Typed,no type status,,,,,,,
0003_C0025164F.jpg,,R. M. Schuster,N/A,,,,,,,R. M. Schuster,,,,,N/A,April 14 19 79,,United States,,Arkansas,Stone,,"Ozark Natl. Forest. Barkshed Camp, ca. 10 mi E. of Big Flat.","Ozark National Forest, Barkshed Camp, approximately 10 miles east of Big Flat",N/A,,N/A,,,N/A,,,,79-488,,,,Typed,no type status,,,,,,,
0004_C0020034F.jpg,,R. M. Schuster,N/A,,,,,,,R. M. Schuster,,,,,Diplophyllum taxifolium,Aug. 17 1968,,Canada,,Newfoundland and Labrador,N/A,,"Along Humber R., in Squires Memorial Park, near Rte 1A.","Along Humber River, in Squires Memorial Park, near Route 1A",N/A,,N/A,,,N/A,,,,68-1644,,,,Typed,no type status,,,,,,,
0005_C0045536F_1586622756_web.jpg,,T. G. Lammers,N/A,,,,,,,N/A,,,,,N/A,9 May 1998,,United States,,Illinois,Cook,,Palos Twp. Swallow Cliffs Woods Forest Preserve southwest of the jct. of US Hwy 45 and State Hwy 83,Palos Township Swallow Cliffs Woods Forest Preserve southwest of the junction of US Highway 45 and State Highway 83,Local in mesic maple-basswood forest on steep slopes of deep ravine south of toboggan run,,N/A,,,N/A,,,,10674,,,,Typed,no type status,,,,,,,
0006_C2077559F.jpg,,M. Lewis,N/A,,,,,,,E. De Luna,,,,,N/A,8 December 1978,,Ecuador,,Azuay,N/A,,"Area Nacional de Recreación ""Cajas"", forested hill S. of ""Surrocohuco"" (Laguna Llaviuco), SW of Sayausí, 2°55'S, 79°09'W","Area Nacional de Recreación ""Cajas"", forested hill South of ""Surrocohuco"" (Laguna Llaviuco), Southwest of Sayausí",Stone wall,,3240 m,,,"2°55'S, 79°09'W",,,,78-3163,,,,Mix of Handwritten and Typed,no type status,,,,,,,
0007_C2079898F.jpg,,M. Lewis,N/A,,,,,,,W. C. Steere,,,,,N/A,21-22 November 1978,,Ecuador,,Imbabura,N/A,,E. side of Cerro Cotacachi NW of Cotacachi,East side of Cerro Cotacachi northwest of Cotacachi,Wet bank of runoff ravine,,3750 m.,,,"0°22'N, 78°20'W",,,,78-6284,,,,Typed,no type status,,,,,,,
0008_C0644079F.jpg,,A. Monteagudo,C. Mateo | G. Ortiz,,,,,,,H. van der Werff,,,,,N/A,10 Abril 2003,,Peru,,Pasco,Oxapampa,,"Parque Nacional Yanachaga Chemillen Pozuzo Sector Pan de Azúcar, Zona de Recuperación. Bosque ribereño.","Parque Nacional Yanachaga Chemillen Pozuzo Sector Pan de Azúcar, Zona de Recuperación","Bosque ribereño. Helecho terrestre adpreso a la roca, soros marrones.",,1100-1250m,,,10°15' S 75°31' W,,,,4909,,,,Mix of Handwritten and Typed,no type status,,,,,,,
