Image,verbatimCollectors,collectedBy,secondaryCollectors,recordNumber,verbatimEventDate,minimumEventDate,maximumEventDate,verbatimIdentification,latestScientificName,identifiedBy,verbatimDateIdentified,associatedTaxa,country,firstPoliticalUnit,secondPoliticalUnit,municipality,verbatimLocality,locality,habitat,verbatimElevation,verbatimCoordinates,otherCatalogNumbers,originalMethod,typeStatus
0200_V0565514F.jpg,J.D. Sauer,J. D. Sauer,N/A,3914,15 June 1963,1963-06-15,N/A,Aerva lanata (L) Juss,Aerva lanata,unsure and check,unsure and check,N/A,Kenya,Coast Province,Kwale District,near Mombasa,Bumburi Beach N of Mombasa,Bumburi Beach north of Mombasa,Beach ridge shallow open coast,N/A,N/A,595870,Typed,no type status
0201_V0565977F.jpg,C Vigne,C. Vigne,N/A,L.09,N/A,0000-00-00,N/A,Enantia polypetala Engl. & Diels,Enantia polypetala,N/A,N/A,N/A,Ghana,N/A,N/A,N/A,Gold Coast,Gold Coast,N/A,N/A,N/A,839434,Typed,no type status
0202_V0566108F.jpg,Emma Addo,E. Addo,N/A,1026,1999,1999-00-00,N/A,Uvaria versicolor Pierre,Uvaria versicolor,unsure and check,unsure and check,N/A,Ghana,unsure and check,unsure and check,N/A,N/A,[precise locality unknown],N/A,N/A,N/A,2325285,Typed,no type status
0203_V0567164F.jpg,A. A. Enti,A. A. Enti,N/A,Sp 398,11/19/71,1971-11-19,N/A,Periploca dennis,Periploca dennis,A. A. Enti,1971,N/A,Ghana,N/A,N/A,N/A,Avusu Winneba Road,Avusu Winneba Road,A climber among grasses flowers white conspicuous latex present,N/A,N/A,1753348,Typed,no type status
0204_V0567306F.jpg,Sue A. Thompson,S. A. Thompson,N/A,1522,9 July 1984,1984-07-09,N/A,Impatiens macroptera Hook.f.,Impatiens macroptera,S. A. Thompson,9 July 1984,N/A,Cameroon,Sud-Ouest,Fako,Bakilingili,Bakilingili Trail up Mt. Cameroon,Trail up Mt. Cameroon,Erect herb up to 70 centimeters tall growing on wet rocks flowers purple,Alt. 50-250 m,4°04'N 9°02'E,N/A,Typed,No type status
0205_V0570108F.jpg,Collected by G. MacNaughton,G. MacNaughton,N/A,580,N/A,0000-00-00,N/A,Combretum Schumannii Engler,Combretum schumannii,N/A,N/A,N/A,Kenya,N/A,N/A,N/A,N/A,[precise locality unknown],N/A,N/A,N/A,856357,Typed,no type status
0206_V0570110F.jpg,(J. M. Fay 8271),J. M. Fay,N/A,8271,28 February 1988,1988-02-28,N/A,Combretum smeathmannii G. Don,Combretum smeathmannii,Ak Assi,1988,Irvinia smithii | Guiboutia demensis | Berlina sp.,Cameroon,N/A,N/A,N/A,Along the Sangha River adjacent to the island of Kílona Adj in riparian forest adjacent to seasonally flooded forest with Irvinia smithii Guiboutia demeusi Berlian sp Prec 1400 mm,Along the Sangha River adjacent to the island of Kílona,In riparian forest adjacent to seasonally flooded forest with Irvinia smithii Guiboutia demeusi Berlina sp Prec 1400 mm Liana common on river bank Younger fruits with pinkish tinge,Prec 1400 mm,02°09’N 16°09’E 385 m,NCNI Stem 676/0466-T | Leaves 676/0467-U,Handwritten,no type status
0207_V0570163F.jpg,R.B. ,R. B.,N/A,No.1,10/12/1972,1972-12-10,N/A,Terminalia glaucescens,Terminalia glaucescens,N/A,1972,Terminalia glaucescens,Ghana,Volta Region,Ho,N/A,N/A,Ho,A tree to 40 feet.Tall 6 feet. In girth wood yellow or brownish yellow,N/A,N/A,2007210,Handwritten,no type status
0208_V0570471F.jpg,Dr. Edgar A. Mearns,E. A. Mearns,N/A,1117,"September 6 and 9, 1909",1909-09-06,1909-09-09,Eurybia divaricata L.,unsure and check,unsure and check,unsure and check,N/A,Kenya,N/A,N/A,N/A,"Vicinity of Tikka, British East Africa",Vicinity of Tikka,N/A,altitude about 1550 meters ,N/A,468287,Typed,no type status
0209_V0570543F.jpg,leg. Schimper,Schimper,N/A,1467,24.11.63,1863-11-24,N/A,Ipomoea curnorvashii,Ipomoea curnorvashii,N/A,N/A,N/A,Ethiopia,N/A,N/A,N/A,Abessinien,Abessinien,N/A,N/A,N/A,373793,Handwritten,no type status
0210_V0571550F.jpg,Leg. A. Pappi,A. Pappi,N/A,N. 2622,14-15.VIII.1902,1902-08-14,1902-08-15,Lavandula pubescens Decaisne,Lavandula pubescens,R. Corradi,N/A,N/A,Eritrea,Assaorta,N/A,N/A,Lungo il Torrente Hadas,Lungo il Torrente Hadas,N/A,N/A,N/A,1559918,Typed,Isotype
0211_V0572217F.jpg,J. Deaw,J. Deaw,N/A,Sp 283,4/7/71,1971-07-04,N/A,Eugenia coronata,Eugenia coronata,A. A. Enti,19,N/A,Ghana,N/A,N/A,Accra,N/A,Accra,A shrub about 6 feet high Flowering pedicels fascicled Fruit ellipsoid calyx persistent at the apex,N/A,N/A,1753423,Mix of Handwritten and Typed,no type status
0212_V0573054F.jpg,,,,,,,,,,,,,,,,,,,,,,,,
0213_V0573776F.jpg,Dr. Edgar A. Mearns,E. A. Mearns,N/A,2852,"Jan 10 to Feb 9, 1909",1909-01-10,1909-02-09,Cyperus caledonic Ridley,Cyperus maculatus,J. Raynal,19.10.1971,N/A,Democratic Republic of the Congo,Free State,N/A,N/A,“Ihuru Camp” Bahi or Jebel Lado Enclave,"Ihuru Camp, Bahi or Jebel, Lado Enclave",N/A,N/A,N/A,468360,Typed,no type status
0214_V0574052F.jpg,Coll. F.G. Overlaet,F. G. Overlaet,N/A,s.n.,1923-4,1923-00-00,1924-00-00,Scirpus,Scirpus mucronatus,A. A. De Smet,1964,N/A,Democratic Republic of the Congo,N/A,N/A,N/A,N/A,[precise locality unknown],N/A,N/A,N/A,752378,Typed,no type status
0215_V0574226F.jpg,(J. M. Fay 8294),J. M. Fay,N/A,8294,4 March 1988,1988-03-04,N/A,Millettia zechiana Harms,Millettia zechiana,A. Assi,1988,Gilburtia demeusei | Berlinia sp | Bombax sp,Cameroon,N/A,N/A,N/A,On the Sangha River across from Ndakan gorilla study area in seasonally flooded forest with Gilburtia demeusei Berlinia sp Bombax sp,On the Sangha River across from Ndakan gorilla study area,In seasonally flooded forest,1000 m,02°20'N 16°08'E,2041244,Typed,no type status
0216_V0574490F.jpg,Gordon McPherson,G. McPherson,N/A,13781,20 Mars 1989,1989-03-20,N/A,RUBIACEAE Corynanthe mayumbensis (R. Good) N. Halle,Corynanthe mayumbensis,Wilks & McPherson,1989,N/A,Gabon,Ogooué-Ivindo,N/A,N/A,Réserve de la Lopé au sud d’Ayem chantie SORONGA 0°25'S 11°30'E,Réserve de la Lopé au sud d’Ayem chantie SORONGA,N/A,c. 200 m,0°25'S 11°30'E,LP: 665-0223-G; HB: 665-0224-H; WD: 365-0225-I,Typed,no type status
0217_V0576008F.jpg,COLL. F. G. OVERLAET,F. G. Overlaet,N/A,s.n.,1923-24,1923-01-01,1924-12-31,Habenaria,Habenaria,B. Pettersson,1954,N/A,Democratic Republic of the Congo,N/A,N/A,N/A,N/A,[precise locality unknown],N/A,N/A,N/A,752356,Typed,no type status
0218_V0576279F.jpg,Leg. R. A. Maas Geesteranus  ,R. A. Maas Geesteranus ,N/A,4924,d.d. 14-VI-1949,1949-06-14,N/A,Pycreus segmentatus C.B.Cl.,Pycreus segmentatus,unsure and check,unsure and check,Dombeya mastersii | Olea hochstetteri,Kenya,Nyanza,Londiani,N/A,Tinderet Forest Reserve Camp I lat. 0° 5' S long. 35° 27' E,Tinderet Forest Reserve Camp I,"glade surrounded by rather open tall forest, containing Dombeya mastersii and Olea hochstetteri",2260 m s.m.,lat. 0° 5' S long. 35° 27' E,1447352,Typed,no type status
0219_V0577013F.jpg,"J. M. Reitsma, R. Reitsma",J. M. Reitsma,R. Reitsma,2013,d. 3-3-86,1986-03-03,N/A,Bulbophyllum scaberulum (Rolfe) Bolus var. scaberulum,Bulbophyllum scaberulum,O. Kosovky,2011,N/A,Gabon,Owendo,N/A,N/A,ca 6 km NW of Oweno chantier Rougier Océan 0 41 N x 11 07 E,"ca 6 kilometers northwest of Owendo, chantier Rougier Océan",Primary rain forest epiphytic orchid growing in big clumps together Flowers greenish-yellow leaves hard succulent,N/A,0 41 N x 11 07 E,2310219,Typed,no type status
0220_V0577681F.jpg,Collected by C.J.P. Slegeler,C. J. P. Slegeler,N/A,2806,d.d.: 23 October 1972,1972-10-23,N/A,Vernonia abyssinica Sch.Bip.,Vernonia abyssinica,G. J. H. Amshoff,1982,N/A,Ethiopia,Shewa,N/A,N/A,"c. 3 km from Metahara, on road to Nazareth","c. 3 kilometers from Metahara, on road to Nazareth",In full sun on lava rock,c. 925 m,"c. 8°36' N, 39°55' E",2302805,Typed,no type status
0221_V0577892F.jpg,Carvalho 2102,Carvalho,N/A,2102,26-VII-1986,1986-07-26,N/A,Mariscus alternifolius Vahl,Mariscus alternifolius,C. Cebolla | M.A. Rivas Ponce,1995,N/A,Equatorial Guinea,Bioko,N/A,Malabo,Malabo finca las Carboneras 32NMK7415 8 m Bosque secundario y terrenos incultos Herbazcea 20-30 cm,finca las Carboneras,Bosque secundario y terrenos incultos Herbazcea 20-30 cm,8 m,32NMK7415,2201108,Typed,no type status
0222_V0578553F.jpg,Fernandez Casas,F. Casas,N/A,11206,5-11-1989,1989-11-05,N/A,Agrostis manii (Hooker fil.) Stapf,Agrostis manii,C. Cebolla | M. A. Rivas Ponce,1993,N/A,Equatorial Guinea,Bioco,N/A,N/A,cumbre del pico Basilé 32NMJ7396 2870 m márgenes de la pista,"Cumbre del Pico Basilé, margins of the path",N/A,2870 m,32NMJ7396,2200806,Typed,No type status
0223_V0578764F.jpg,L. P. Bevis N. P. Leuele G. L. Kephart,L. P. Bevis,N. P. Leuele | G. L. Kephart,2,"June 4-September 8, 1927",1927-06-04,1927-09-08,N/A,N/A,N/A,N/A,N/A,Kenya,Nairobi,N/A,N/A,Muthaiga near Nairobi,Muthaiga near Nairobi,N/A,alt. 1700 meters,N/A,2074762,Mix of Handwritten and Typed,no type status
0224_V0580026F.jpg,H. Callens,H. Callens,N/A,308,Juillet 1950,1950-07-00,N/A,Gaertnera paniculata,Gaertnera paniculata,H. Callens,1/9/58,N/A,Congo,Kisantu,N/A,Kisantu,Kisantu,Kisantu,foret secondaire,petit arbre ± 5 m,N/A,154065,Typed,no type status
0225_V0580516F.jpg,Chifwafwa (dit Kalembe),N. S.,N/A,6533,10/6/1958,1958-10-06,N/A,Vernonia appendiculata G. Tiray,Vernonia appendiculata,unsure and check,N/A,N/A,Democratic Republic of the Congo,Kivu,Lubero,N/A,"Vers la 110, route Kawa-Makumo territoire Lubero",vers la 110 route Kawa-Makumo,Foret ombrophile,Alt. 950-900 m,N/A,1543353,Typed,no type status
0226_V0580728F.jpg,Coll. F. A. McKelvie,F. A. McKelvie,N/A,No. 199,29. viii. 1959,1959-08-29,N/A,Phaseolus lunatus L.,Phaseolus lunatus,N/A,N/A,N/A,Cameroon,N/A,N/A,N/A,South west of Crater Lake,South west of Crater Lake,Clearing in wood scrambling over herbage,Alt. 4500 ft.,N/A,1624518,Typed,no type status
0227_V0588237F.jpg,N/A,N/A,N/A,2077,25.12.1957,1957-12-25,N/A,Digitaria pendula (Hackl) Pilvio,Digitaria pendula,N/A,N/A,N/A,Kenya,unsure and check,N/A,N/A,Tsavo - Taita Andei Kenya,Tsavo - Taita Andei,N/A,N/A,N/A,1559644,Mix of Handwritten and Typed,no type status
0228_V0590787F.jpg,Coll. D.D. Soejarto,D. D. Soejarto,N/A,4793,"April 1, 1978",1978-04-01,N/A,Diospyros tricolor Hiern.,Diospyros tricolor,unsure and check,unsure and check,Thespesia populnea | Sophora occidentalis,Ghana,Greater Accra,N/A,N/A,"Bortianor village, 20 km. West of Accra, sea coast.","Bortianor village, 20 kilometers West of Accra, sea coast","Straggling shrub, in association with Thespesia populnea and Sophora occidentalis. Fruits green. Forming clumps just behind beach, on sandy soil. Common.",N/A,N/A,1842606,Mix of Handwritten and Typed,no type status
0229_V0591661F.jpg,D.W. Thomas,D. W. Thomas,N/A,6850,1987,1987-00-00,N/A,Cola flavovelutinia K. Schum.,Cola flavovelutinia,D. W. Thomas,1987,N/A,Cameroon,Southwest,N/A,N/A,Korup National Park,Korup National Park,Primary rain forest Understorey tree 5 meters tall,60 m,05°02'N 08°50'E,NCI#  Leaves twigs 666F/0029-T,Typed,no type status
0230_V0594158F.jpg,A. Léonard,A. Léonard,N/A,3149,19/2/1959,1959-02-19,N/A,Oncoba spinosa,Oncoba spinosa,J. Sosef,1989,N/A,Rwanda,N/A,N/A,Musisi,Vieille forêt secondaire,Musisi,Vieille forêt secondaire,1900m,N/A,2086095,Typed,N/A
0231_V0594376F.jpg,J. M. Fay 8017,J. M. Fay,N/A,8017,25 May 1987,1987-05-25,N/A,Burkea africana Hook.,Burkea africana,J. M. Fay,25 May 1987,N/A,Central African Republic,Park Manovo-Gounda-St. Floris,N/A,N/A,Vicinity of Camp Koumbala,Vicinity of Camp Koumbala,N/A,600 m,08°29'N 21°12'E,Wood Q678/0065  Bark Q678/0066  Root Q678/0067  Leaves Q678/0068,Typed,no type status
0232_V0597275F.jpg,Collected by: P.C.M. Jansen,P. C. M. Jansen,N/A,5996,d.d.: 14 April 1976,1976-04-14,N/A,Cirsium vulgare (Savi) Ten.,Cirsium vulgare,C. C. H. Jongkind,1987,N/A,Ethiopia,Harerge,N/A,N/A,"around Damata Village, near Alemaya ~ Between chat and Sorghum fields",Damata Village near Alemaya | Between chat and Sorghum fields,"Herb, c. 1 m. high Stem whitish green Leaves dark green above, whitish green beneath Spines yellow Invulocre dark green Disc flowers only lilac red",2000 m,9.22° N 42.01° E,N/A,Typed,no type status
0233_V0597557F.jpg,N/A,N/A,N/A,48,05.08.2003,2003-08-05,N/A,Carduus leptacanthus,Carduus leptacanthus,N/A,N/A,N/A,Democratic Republic of the Congo,Sud-Kivu,Kabare,Musisi,Musisi Kabare,Musisi,N/A,N/A,N/A,2257689,Typed,no type status
0234_V0597626F.jpg,"Amanda Koch, Wilson Sakuda, AK61",A. Koch,W. Sakuda | AK61,s.n.,October 22 2003,2003-10-22,N/A,Acacia reficiens misera (Vake) Brenan,Acacia reficiens misera,P. Muisto,November 02 2003,N/A,Kenya,Kajiado,N/A,N/A,Olooshibor Notes: Masaai Name: Oldepe ,Olooshibor,Dry bushland,N/A,N/A,N/A,Typed,no type status
0235_V0597688F.jpg,C. A. Smith,C. A. Smith,N/A,2409,Mont 1933,1933-00-00,N/A,Albizzia gummifera (Gmel.),Albizia gummifera,N/A,N/A,N/A,Democratic Republic of the Congo,Haut-Uele,N/A,Avakubi,Congo Belge iv. Avakubi (Haut-Uele),Avakubi,N/A,N/A,N/A,867368,Typed,no type status
0236_V0601010F.jpg,James T. Allen,J. T. Allen,N/A,41,"September 23, 1996",1996-09-23,N/A,Dissotis rotundifolia (Sm.) Triana,Dissotis rotundifolia,N/A,N/A,N/A,Ghana,Volta Region,N/A,Larteh,"Center for Scientific Research into Plant Medicine (CSRPM), farm",Center for Scientific Research into Plant Medicine farm,"anti-asthmatic, treating coughs and colds; anti-pyretic, for dysentery. Applied topically calli-arthritis.",N/A,N/A,2200652,Typed,no type status
0237_V0601406F.jpg,T. C. Wrigley and T. A. Melville,T. C. Wrigley,T. A. Melville,52,18 July 1959,1959-07-18,N/A,Cassipourea Annobonensis Gilg ex Alston.,Cassipourea annobonensis,A. W. Exell,1961,N/A,Equatorial Guinea,Annobón,N/A,N/A,Ridge west of Crater Lake.,Ridge west of Crater Lake,Open woodland,1200 meters,N/A,N/A,Mix of Handwritten and Typed,no type status
0238_V0602418F.jpg,J. E. Andoh,J. E. Andoh,N/A,5632,March 1952,1952-03-00,N/A,Chrysophyllum perpulchrum Mildbr.,Chrysophyllum perpulchrum,N/A,N/A,N/A,Ghana,Ashanti ,Kumasi,N/A,Kumasi Township Forest Reserve ,Kumasi Township Forest Reserve,Medium sized tree 30 ½ feet high and 2 feet 11 ½ girth. Planted in 1933.,N/A,N/A,1601919,Typed,No type status
0239_V0602609F.jpg,G. Schweinfurth Dr. V. Bivà.,G. Schweinfurth,V. Bivà.,1818,Januar 1892,1892-01-00,N/A,Rumex nervosus V,Rumex nervosus,unsure and check,N/A,N/A,Eritrea,N/A,N/A,N/A,Saganeiti pente du Ifad au dessus d’Adi-Aouara,Saganeiti pente du Ifad au dessus d’Adi-Aouara ,N/A,2300-2400 m,N/A,71288,Handwritten,no type status
