associatedTaxa,collectedBy,country,firstPoliticalUnit,habitat,identifiedBy,latestScientificName,locality,maximumEventDate,minimumEventDate,municipality,originalMethod,otherCatalogNumbers,recordNumber,secondPoliticalUnit,secondaryCollectors,typeStatus,verbatimCollectors,verbatimCoordinates,verbatimDateIdentified,verbatimElevation,verbatimEventDate,verbatimIdentification,verbatimLocality
N/A,A. Fleischer,Rwanda,N/A,Urwald,N/A,Macromitrium,[precise locality unknown],N/A,1907-02-25,N/A,Typed,1044981,B 2794,N/A,N/A,no type status,A. Fleischer nr. B 2794,N/A,N/A,N/A,25.2.1907,Macromitrium,"Australien: Queensland, Sumundi (Ost. 150 EB nördlich Brisbane), Urwald"
N/A,W. Fleischer,Australia,Queensland,Urwald,N/A,Macromitrium,[precise locality unknown],N/A,1943-03-25,N/A,Typed,1076659,B 2642,Eumundi,N/A,no type status,W. Fleischer nr. B 2642,N/A,N/A,N/A,25.3.1943,Macromitrium,"(Chr. 750 km nördlich Brisbane), Urwald."
N/A,H. Fleischer,Australia,New South Wales,N/A,N/A,Macromitrium,[precise locality unknown],N/A,1903-04-06,Blue Mountains bei Sydney,Handwritten,1076824 914.48,B 2552,N/A,N/A,no type status,N/A,N/A,N/A,N/A,6.4.1903,Macromitrium,Wentworth Falls
N/A,M. Fleischer,Australia,Queensland,N/A,N/A,Macromitrium,[precise locality unknown],N/A,1905-03-20,N/A,Typed,1076705,B 2697,N/A,N/A,no type status,N/A,N/A,N/A,N/A,20.3.1905,Macromitrium,bei Brisbane
N/A,N/A,Japan,N/A,N/A,A. Noguchi and Z. Iwatsuki,Macromitrium gymnostomum Sull. et Lesq.,"On vertical face of rock, 350 meters altitude, Ohara, Yura, Oto-mura, Nishimuro-gun",N/A,N/A,Wakayama Prefecture,Typed,1043494,N/A,N/A,N/A,no type status,N/A,N/A,N/A,350 m,N/A,Musci Japonici,"On vertical face of rock, 350 m alt., Ohara, Yura, Oto-mura, Nishimuro-gun"
N/A,T. Nakajima,Japan,Nara Prefecture,N/A,T. Nakajima,Macromitrium gymnostomum,"On trunks of Fagus crenata, ca. 1200 meters altitude, Mt. Obako",N/A,1958-05-04,Mt. Obako,Typed,1043492,s.n.,N/A,N/A,no type status,"& T. Nakajima, May 4, 1958",N/A,"May 4, 1958",ca. 1200 m.,"May 4, 1958",Macromitrium gymnostomum Sull. et Lesq.,"On trunks of Fagus crenata, ca. 1200 m. alt., Mt. Obako, Nara Prefecture"
N/A,N/A,Japan,Shizuoka,N/A,A. Noguchi,Macromitrium gymnostomum,"On rocks, ca. 100 meters alt., Sotoura, Shirahama-cho",N/A,N/A,Wakayama Prefecture,Typed,1043191,23 (1986),Nishimuro-gun,N/A,no type status,N/A,N/A,N/A,ca. 100 m,s.d.,Macromitrium gymnostomum Sull. & Lesq.,"On rocks, ca. 100 m alt., Sotoura, Shirahama-cho, Nishimuro-gun, Wakayama Prefecture"
N/A,S. Hattori,Japan,Miyazaki,"ad arborum truncos, ca 500 m",A. Noguchi,Macromitrium gymnostomum,[precise locality unknown],N/A,1948-10-00,Sakatani,Typed,1285073,33,Minaminaka,N/A,no type status,S. Hattori,N/A,N/A,ca 500 m,Oct 1948,Macromitrium gymnostomum Sull. et Lesq.,"KIUSHIU, Miyazaki, Minaminaka, Sakatani"
N/A,N/A,Japan,Iles Liou-Kiou,N/A,J. B. Ferrie,Macromitrium gymnostomum,[precise locality unknown],N/A,1898-04-20,N/A,Handwritten,1000415,N/A,Centre de l'île,N/A,no type status,N/A,N/A,N/A,N/A,20.4.1898,Macromitrium gymnostomum S. L.,Iles Liou-Kiou - Centre de l'île
N/A,R. P. J. B. Ferrié,Japan,Yaku-Sima,N/A,Thériot,Macromitrium gymnostomum,[precise locality unknown],1898-11-00,1898-10-00,N/A,Typed,1000416,s.n.,N/A,N/A,no type status,Leg.: R.P. J.B. Ferrié,N/A,N/A,N/A,oct.nov.1898,Macromitrium gymnostomum S. L.,Yaku-Sima
