associatedTaxa,collectedBy,country,firstPoliticalUnit,habitat,identifiedBy,latestScientificName,locality,maximumEventDate,minimumEventDate,municipality,originalMethod,otherCatalogNumbers,recordNumber,secondPoliticalUnit,secondaryCollectors,typeStatus,verbatimCollectors,verbatimCoordinates,verbatimDateIdentified,verbatimElevation,verbatimEventDate,verbatimIdentification,verbatimLocality
N/A,H. Fleischer,Australia,Queensland,Urwald (primeval forest),N/A,Macromitrium,Eumundi (approximately 100 kilometers north of Brisbane) ,N/A,1903-04-25,N/A,Mix of Handwritten and Typed,1076713 1044984,B 2734,N/A,N/A,no type status,H Fleischer nr B 2734,N/A,N/A,N/A,25 4 1903,Macromitrium,Eumundi (ca 100 km nordlich Brisbane) Urwald
N/A,W. Fleischer,Australia,Queensland,Urwald (primeval forest),N/A,Macromitrium,Eumundi (about 100 kilometers north of Brisbane) ,N/A,1903-03-29,N/A,Typed,1076659 | 1041125,B 2692,N/A,N/A,no type status,W Fleischer nr B 2692,N/A,N/A,N/A,29 3 1903,Macromitrium,Eumundi (ca 100 km nordlich Brisbane) Urwald
N/A,M. Fleischer,Australia,New South Wales,N/A,N/A,Macromitrium,"Blue Mountains near Sydney, Wentworth Falls ",N/A,1903-04-06,N/A,Typed,1076821,B 2952,N/A,N/A,no type status,M Fleischer nr B 2952,N/A,N/A,N/A,6.4.1903,Macromitrium,"Blue Mountains bei Sydney, Wentworth Falls"
N/A,M. Fleischer,Australia,Queensland,N/A,N/A,Macromitrium,near Brisbane,N/A,1903-03-20,Brisbane,Mix of Handwritten and Typed,1076705 | 1044145,B 2697,N/A,N/A,no type status,M Fleischer nr B 2697,N/A,N/A,N/A,20 3 1903,Macromitrium,bei Brisbane
N/A,T. Nakajima,Japan,Wakayama,On vertical face of rock,A. Noguchi | Z. Iwatsuki,Macromitrium gymnostomum,"On vertical face of rock, Ohara, Yata ",N/A,1971-03-27,Ohara,Typed,1043494,s.n.,N/A,N/A,no type status,T Nakajima,N/A,N/A,330 m,"Mar. 27, 1971",Macromitrium gymnostomum Sull. et Lesq. c. fr.,"On vertical face of rock, 330 m alt., Ohara, Yata, Nishimuro-gun, Wakayama Prefecture"
Fagus crenata,T. Nakajima,Japan,Nara Prefecture,On trunks of Fagus crenata,A. Noguchi,Macromitrium gymnostomum,"On trunks of Fagus crenata, Mount Ohako ",N/A,1958-05-04,N/A,Typed,1043492,s.n.,N/A,N/A,no type status,N/A,N/A,N/A,ca. 1200 m.,"May 4, 1958",Macromitrium gymnostomum Sull. et Lesq.,"On trunks of Fagus crenata, ca. 1200 m. alt., Mt. Ohako; Nara Prefecture"
N/A,T. Nakajima,Japan,Wakayama,On rocks,A. N.,Macromitrium gymnostomum,"On rocks, approximately 100 meters altitude, Sōryama-chō",N/A,1967-03-28,N/A,Typed,1043491,s.n.,N/A,N/A,no type status,T Nakajima,N/A,N/A,ca. 100 m,"March 28, 1967",Macromitrium gymnostomum Sull. & Lesq.,"On rocks, ca. 100 m alt., Sōryama-chō, Nishimuro-gun, Wakayama Prefecture"
N/A,S. Hattori,Japan,Miyazaki,ad arborum truncos,A. Noguchi,Macromitrium gymnostomum,Minamimata Sakatani ,N/A,1946-10-01,N/A,Mix of Handwritten and Typed,1235073,s.n.,N/A,N/A,no type status,S Hattori,N/A,N/A,ca 500 m,1 X 1946,Macromitrium gymnostomum Sull et Lesq,KIUSHIU Miyazaki Minamimata Sakatani
N/A,R. P. J. B. Faurie,Japan,N/A,N/A,Thériot,Macromitrium gymnostomum,[precise locality unknown],N/A,1898-04-20,N/A,Typed,1000415,s.n.,N/A,N/A,no type status,R.P.J.B. Faurie,N/A,N/A,N/A,20.4.1898,Macromitrium gymnostomum S. L.,Iles Liou-Kiou - Centre de l'ile
N/A,R. P. J. B. Ferrié,Japan,N/A,N/A,Thériot,Macromitrium gymnostomum,Yaku-Sima,1898-11-00,1898-10-00,N/A,Typed,1000416,s.n.,N/A,N/A,no type status,R.P. J.B. Ferrié,N/A,N/A,N/A,oct.nov.1898,Macromitrium gymnostomum S. L. = m. rupestre Mitt. Bull. Card.,Yaku-Sima
N/A,N/A,Papua New Guinea,Morobe,N/A,D. H. Vitt,Macromitrium incurvifolium,In fork of Plumeria tree in garden,N/A,1975-03-09,N/A,Typed,1142151,14660,Lae,N/A,no type status,N/A,N/A,N/A,c 20 m,9-3- 1975,Macromitrium incurvifolium (Hook. & Grev.) Schwaegr,In fork of Plumeria tree in garden
N/A,A. Touw,Papua New Guinea,West Sepik,Wet forest on slope above river on trees along river,D. H. Vitt,Macromitrium longicaule,Forest on slope above Ok Din river west of Busilmin on trees along Ok Din River ,N/A,1975-05-20,N/A,Typed,1141855,18543,Star Mountains,N/A,no type status,A Touw No 18543,5°S 141°05'E,N/A,c 1500 - 1550 m,20 5 1975,Macromitrium longicaule C Müll,Busilmin West forest on slope above Ok Din river W of Busilmin on trees along Ok Din River
N/A,N/A,Papua New Guinea,West Sepik,on stems and branches of trees and shrubs in summit scrub,D. H. Vitt,Macromitrium macrosporum,NE summit of Mt Capella ,N/A,1975-05-08,N/A,Typed,1142194,s.n.,Star Mts.,N/A,no type status,N/A,c 5°S141°05E,N/A,c. 3900 m.,8.5. 1975,Macromitrium macrosporum Broth.,c 5°S141°05E NE summit of Mt. Capella; on stems and branches of trees and shrubs in summit scrub
