associatedTaxa,collectedBy,country,firstPoliticalUnit,habitat,identifiedBy,latestScientificName,locality,maximumEventDate,minimumEventDate,municipality,originalMethod,otherCatalogNumbers,recordNumber,secondPoliticalUnit,secondaryCollectors,typeStatus,verbatimCollectors,verbatimCoordinates,verbatimDateIdentified,verbatimElevation,verbatimEventDate,verbatimIdentification,verbatimLocality
N/A,M. Fleischer,Australia,Queensland,Urwald,N/A,Macromitrium ,[precise locality unknown],N/A,1903-03-25,Eumundi ,PASS,PASS,1076713,N/A,N/A,no type status,PASS,N/A,N/A,N/A,25.3.1903,Macromitrium,PASS
N/A,M. Fleischer,Australia,Queensland,N/A,N/A,Macromitrium ,PASS,N/A,1903-03-25,N/A,Mix of Handwritten and Typed,PASS,PASS,N/A,PASS,no type status ,M. Fleischer nr. B 2692,N/A,N/A,N/A,25.3.1903,Macromitrium,PASS
N/A,M. Fleischer,Australia,New South Wales,N/A,N/A,Macromitrium,PASS,N/A,1903-04-06,Sydney,Mix of Handwritten and Typed,1076824,B 2552,N/A,N/A,no type status,PASS,N/A,N/A,N/A,6.4.1903,Macromitrium,PASS
N/A,M. Fleischer,Australia,Queensland,N/A,N/A,Macromitrium ,near Brisbane ,N/A,1903-03-20,Brisbane,Handwritten,PASS,B 2697,N/A,PASS,no type status,PASS,N/A,N/A,N/A,PASS,PASS,bei Brisbane
N/A,T. Nakajima,Japan,Wakayama Prefecture,N/A,T. Nakajima,Macromitrium gymnostomum,PASS,N/A,1971-03-27,Yuya,PASS,PASS,PASS,N/A,N/A,no type status,& T. Nakajima,N/A,"Mar. 27, 1971",330 m,"Mar. 27, 1971",Macromitrium gymnostomum Sull. et Lesq. c. fr.,PASS
Fagus crenata,T. Nakajima,Japan,Nara Prefecture,N/A,A. Noguchi,Macromitrium gymnostomum,PASS,N/A,1958-05-04,N/A,Mix of Handwritten and Typed,PASS,s.n.,N/A,N/A,no type status,PASS,N/A,N/A,PASS,"May 4, 1958",714. Macromitrium gymnostomum Sull. et Lesq.,"On trunks of Fagus crenata, ca. 1200 m. alt., Mt. Obako, Nara Prefecture"
N/A,T. Nakajima,Japan,Wakayama Prefecture,N/A,T. Nakajima,Macromitrium gymnostomum ,PASS,N/A,1967-03-28,PASS,PASS,1043491,s.n.,PASS,N/A,no type status,PASS,N/A,"March 28, 1967",ca. 100 m,"March 28, 1967",Macromitrium gymnostomum Sull & Lesq. c. fr.,PASS
N/A,PASS,Japan,KIUSHIU,ad arborum truncos,A. Noguchi,Macromitrium gymnostomum,[precise locality unknown],N/A,1946-10-00,PASS,PASS,PASS,s.n.,Miyazaki,N/A,no type status ,PASS,N/A,N/A,ca 500 m,X. 1946,PASS,PASS
N/A,PASS,Japan,Iles Liou-Kiou,N/A,Theriot,Macromitrium gymnostomum ,PASS,N/A,1898-04-20,N/A,PASS,1000415,s.n.,Centre,PASS,no type status,PASS,N/A,N/A,N/A,20.4.1898,Macromitrium gymnostomum  S. L.,Japon : Iles Liou-Kiou - Centre de l'île -
N/A,PASS,Japan,N/A,N/A,PASS,Macromitrium gymnostomum ,PASS,1898-11-00,1898-10-00,PASS,PASS,PASS,s.n.,N/A,PASS,no type status,: R.P. J.B. Ferrié,N/A,N/A,N/A,oct.nov.1898,PASS,Japon : Yaku-Sima - 
N/A,A. Touw,Papua New Guinea,Morobe District,N/A,D. H. Vitt,Macromitrium incurvifolium,In fork of Plumeria tree in garden,N/A,1975-03-09,PASS,Mix of Handwritten and Typed,1142151,PASS,PASS,PASS,no type status,A. Touw,N/A,N/A,PASS,PASS,Macromitrium incurvifolium (Hook. & Grev.) Schwaegr.,"Papua New Guinea, Morobe Distr., Lae. In fork of Plumeria tree in garden."
