associatedTaxa,collectedBy,country,firstPoliticalUnit,habitat,identifiedBy,latestScientificName,locality,maximumEventDate,minimumEventDate,municipality,originalMethod,otherCatalogNumbers,recordNumber,secondPoliticalUnit,secondaryCollectors,typeStatus,verbatimCollectors,verbatimCoordinates,verbatimDateIdentified,verbatimElevation,verbatimEventDate,verbatimIdentification,verbatimLocality
N/A,M. Fleischer,Australia,Queensland,Urwald,N/A,Macromitrium,[precise locality unknown],N/A,1903-03-25,Eumundi,Handwritten,B 2734,1076713,N/A,N/A,no type status,M Fleischer,N/A,N/A,N/A,25.3.1903,Macromitrium,"(ca 100 Km nordlich Brisbane), Urwald"
N/A,M. Fleischer,Australia,Queensland,N/A,N/A,Macromitrium," Bumundi (ca. 100 Km nördlich Brisbane), Urwald",N/A,1903-03-25,N/A,Mix of Handwritten and Typed,1076699 | 1044122,B 2692,N/A,N/A,no type status,M. Fleischer nr. B 2692,N/A,N/A,N/A,25.3.1903,Macromitrium,"Australien: Queensland, Bumundi (ca. 100 Km nördlich Brisbane), Urwald"
N/A,M. Fleischer,Australia,New South Wales,N/A,N/A,Macromitrium,"Blue Mountains, Wentworth Falls",N/A,1903-04-06,Sydney,Mix of Handwritten and Typed,1076824,B 2552,N/A,N/A,no type status,M. Fleischer nr. B 2552,N/A,N/A,N/A,6.4.1903,Macromitrium,"Australien: New South Wales, Blue Mountains bei Sydney, Wentworth Falls."
N/A,M. Fleischer,Australia,Queensland,N/A,N/A,Macromitrium,Near Brisbane,N/A,1903-03-20,Brisbane,Handwritten,1076705 | 1044116,B 2697,N/A,,no type status,M Fleischer nr,N/A,N/A,N/A,20. 3. 1903,Macromitrium,bei Brisbane
N/A,T. Nakajima,Japan,Wakayama Prefecture,N/A,T. Nakajima,Macromitrium gymnostomum,"On vertical face of rock, 330 meters altitude, Ohara, Yuya, Oto-mura, Nishimmuro-gun, Wakayama Prefecture",N/A,1971-03-27,Yuya,Typed,1043494 | C0268544F,1229,N/A,N/A,no type status,& T. Nakajima,N/A,"Mar. 27, 1971",330 m,"Mar. 27, 1971",Macromitrium gymnostomum Sull. et Lesq. c. fr.,"On vertical face of rock, 330 m alt., Ohara, Yuya, Oto-mura, Nishimmuro-gun, Wakayama Prefecture"
Fagus crenata,T. Nakajima,Japan,Nara Prefecture,N/A,A. Noguchi,Macromitrium gymnostomum,"On trunks of Fagus crenata, about 1200 meters altitude, Mount Obako",N/A,1958-05-04,N/A,Mix of Handwritten and Typed,1043492  C02688545F,s.n.,N/A,N/A,no type status,& T. Nakajima.,N/A,N/A,"ca. 1200 m. alt.,","May 4, 1958",714. Macromitrium gymnostomum Sull. et Lesq.,"On trunks of Fagus crenata, ca. 1200 m. alt., Mt. Obako, Nara Prefecture"
N/A,T. Nakajima,Japan,Wakayama Prefecture,N/A,T. Nakajima,Macromitrium gymnostomum,"On rocks, Syogawa, Shirahama-chō, Nishiimuro-gun, Wakayama Prefecture",N/A,1967-03-28,Nishiimuro-gun,Mix of Handwritten and Typed,1043491,s.n., Shirahama-chō,N/A,no type status,& det.: T. Nakajima,N/A,"March 28, 1967",ca. 100 m,"March 28, 1967",Macromitrium gymnostomum Sull & Lesq. c. fr.,"On rocks, ca. 100 m alt. Syogawa, Shirahama-chō, Nishiimuro-gun, Wakayama Prefecture"
N/A,S. Hattori,Japan,KIUSHIU,ad arborum truncos,A. Noguchi,Macromitrium gymnostomum,[precise locality unknown],N/A,1946-10-00,"Minaminaka, Sakata[ni]",Mix of Handwritten and Typed,1285078,s.n.,Miyazaki,N/A,no type status,S. Hattori],N/A,N/A,ca 500 m,X. 1946,33. Macromitrium gymnostomum Sull. et Lesq.,"ad arborum truncos, ca 500 m"
N/A,J. B. Ferrié,Japan,Iles Liou-Kiou,N/A,Theriot,Macromitrium gymnostomum,Centre of the Iles Liou-Kiou,N/A,1898-04-20,N/A,Handwritten,1000415,s.n., Centre,R. P.,no type status,: R.P. J.B. | Ferrié,N/A,N/A,N/A,20.4.1898,Macromitrium gymnostomum  S. L.,Japon : Iles Liou-Kiou - Centre de l'île -
N/A,R. P. Ferrié,Japan,N/A,N/A,Thériot,Macromitrium gymnostomum,Yaku-Sima,1898-11-00,1898-10-00,N/A,Mix of Handwritten and Typed,1060416|C0268550F,s.n.,N/A,,no type status,: R.P. J.B. Ferrié,N/A,N/A,N/A,oct.nov.1898,Macromitrium gymnostomum S. L. = M. rupestre Mitt. Sull. Card.,Japon : Yaku-Sima -
