associatedTaxa,collectedBy,country,firstPoliticalUnit,habitat,identifiedBy,latestScientificName,locality,maximumEventDate,minimumEventDate,municipality,originalMethod,otherCatalogNumbers,recordNumber,secondPoliticalUnit,secondaryCollectors,typeStatus,verbatimCollectors,verbatimCoordinates,verbatimDateIdentified,verbatimElevation,verbatimEventDate,verbatimIdentification,verbatimLocality
N/A,E. Heller,Democratic Republic of the Congo,Congo Free State,N/A,L. Kükenthal,Cyperus maculatus Boeck.,"""Rhino Camp,"" Lake Lebombo, Lado Enclave",1914-01-17,1914-01-16,N/A,Typed,463860,8252,N/A,J. E. McLain,no type status,E. Heller & J.E. McLain,N/A,19.10.1927,N/A,"Jan. 16 & 17, 1914",Cyperus exaltatus Retzius,"""Rhino Camp,"" Lake Lebombo, Lado Enclave"
N/A,F. G. Overlaet,Democratic Republic of the Congo,N/A,N/A,Borge Petterson,Habenaria,[precise locality unknown],1924-00-00,1923-00-00,N/A,Typed,752356,s.n.,N/A,N/A,no type status,F. G. Overlaet,N/A,1984,N/A,1923-24,Habenaria,Belgian Congo
N/A,R. A. Maas Geesteranus,Kenya,Nyanza Province,"glade surrounded by rather open, tall forest, containing a.o. Dombeya mastersii and Olea hochstetteri",N/A,Pycreus sanguinolentus (Vahl.) C.B.Clarke,"Tinderet Forest Reserve, Camp I",N/A,1949-07-14,N/A,Typed,1447352,4924,Londiani Distr.,N/A,no type status,R.A. Maas Geesteranus,"lat. 0° 5' S., long. 35° 27' E.",N/A,2260 m.s.m.,d.d. 14-VII-1949,Pycreus sanguinolentus (Vahl.) C.B.Clarke,"Londiani Distr., Tinderet Forest Reserve, Camp I."
N/A,J. M. Reitsma,Gabon,N/A,"Epiphytic orchid, growing in big clumps on the tree",Olga Kosenkovsky,Bulbophyllum scaberulum var. scaberulum,"Primary rain forest, approximately 6 kilometers northwest of Oveng, chantier Rougier Ocean",s.d.,s.d.,N/A,Typed,N/A,2023,N/A,B. Reitsma,no type status,J.M. Reitsma et B. Reitsma,0°41'N x 11°07'E,2011,N/A,s.d.,Bulbophyllum scaberulum (Rolfe) Bolus var. scaberulum,"Primary rain forest, ca 6 km NW of Oveng, chantier Rougier Océan"
N/A,N/A,Equatorial Guinea,Bioko,Bosque secundario y terrenos incultos,C. Cebolla & M.A. Rivas Ponce,Mariscus alternifolius Vahl,"Malabo, finca las Carboneras",N/A,1980-07-26,Malabo,Typed,2201108,2102,N/A,N/A,no type status,Carvalho,32NMK7415,"(UAM), 1995",N/A,26-VII-1980,Mariscus alternifolius Vahl,"""Malabo, finca las Carboneras, 32NMK7415, m Bosque secundario y terrenos incultos"""
N/A,C. Aedo,Equatorial Guinea,Bioko,N/A,C. Cebolla & M.A. Rivas Ponce,Agrostis mannii (Hooker fil.) Stapf,"cumbre del pico Basilé, márgenes de la pista",1989-02-05,1989-02-05,N/A,Typed,2200806,s.n.,N/A,"C. Navarro, F. Cabezas, M. Velayos",no type status,"C. Aedo, C. Navarro, F. Cabezas & M. Velayos",32NMJ7396,1993,2470 m,5-II-1989,Agrostis mannii (Hooker fil.) Stapf,"cumbre del pico Basilé, 32NMJ7396, 2470 m, márgenes de la pista, Fernández Casas / 11206, 5-II-1989"
N/A,F. G. Overlaet,Democratic Republic of the Congo,N/A,N/A,N/A,Sansevieria sp.,[precise locality unknown],1934-00-00,1933-00-00,N/A,Typed,N/A,s.n.,N/A,N/A,no type status,COLL. F. G. OVERLAET,N/A,N/A,N/A,1933-4,Sansevieria sp. De Wild & T. Durand,N/A
N/A,C. J. P. Seegeler,Ethiopia,Oromia,In full sun on a rock,G.J.H. Amshoff,Vernonia amygdalina Sch. Bip.,"In full sun on a rock from Metahara, on road to Nazareth. In full sun ca. 3 km southeast.",1972-10-23,1972-10-23,Nazareth,Typed,N°: 2302805,2806,East Shewa Zone,N/A,no type status,C.J.P. Seegeler,N/A,Det.: 1982,925m,d.d.: 23 October 1972,Vernonia amygdalina Sch. Bip. Compositae,"In full sun on a rock from Metahara, on road to Nazareth. In full sun ca. 3 km SE."
N/A,N/A,Democratic Republic of the Congo,Sud-Kivu,N/A,N/A,Carduus nyassanus (R.E.Fr. ined.),"Territoire: Kabare, Localité: Musisi",1969-05-06,1969-05-06,N/A,Typed,N° 2257689,s.n.,N/A,N/A,no type status,N/A,Coordonnées géographiques: -,N/A,Altitude: -,s.d.,Carduus nyassanus (R.E.Fr. ined.),"Territoire: Kabare, Localité: Musisi"
N/A,J. M. Fay,Central African Republic,N/A,N/A,J.M. Fay,Burkea africana Hook.,Vicinity of Camp Koumbala,N/A,1987-05-25,N/A,Typed,"NCI # Wood 067B/0065, Bark 067B/0066, Root 067B/0067, Leaves 067B/0068",8017,N/A,N/A,no type status,J.M. Fay,"08°29'N, 21°12'E",N/A,600 m,25 May 1987,Burkea africana Hook.,Park Manovo-Gounda St. Floris. Vicinity of Camp Koumbala.
