associatedTaxa,collectedBy,country,firstPoliticalUnit,habitat,identifiedBy,latestScientificName,locality,maximumEventDate,minimumEventDate,municipality,originalMethod,otherCatalogNumbers,recordNumber,secondPoliticalUnit,secondaryCollectors,typeStatus,verbatimCollectors,verbatimCoordinates,verbatimDateIdentified,verbatimElevation,verbatimEventDate,verbatimIdentification,verbatimLocality
N/A,M. Fleischer,Australia,Queensland,rainforest,N/A,Macromitrium,"approximately 100 kilometers north of Brisbane, rainforest",N/A,1903-03-25,Eumundi,Typed,C0268502F,B 2734,N/A,N/A,no type status,M. Fleischer,N/A,N/A,N/A,25.3.1903,Macromitrium,"ca. 100 km nördlich Brisbane, Urwald."
N/A,M. Fleischer,Australia,Queensland,Urwald,N/A,Macromitrium,[precise locality unknown],N/A,1903-03-25,Eumundi,Typed,N/A,B 2692,N/A,N/A,no type status,M. Fleischer,N/A,N/A,N/A,25.3.1903,Macromitrium,"Australien: Queensland, Eumundi (ca. 100 km nördlich Brisbane), Urwald."
N/A,M. Fleischer,Australia,New South Wales,[precise locality unknown],N/A,Macromitrium,"Blue Mountains near Sydney, Wentworth Falls",N/A,1903-04-06,Wentworth Falls,Typed,N/A,B 2552,N/A,N/A,no type status,M. Fleischer,N/A,N/A,N/A,6.4.1903,Macromitrium,"Blue Mountains bei Sydney, Wentworth Falls."
,,,,,,,,,,,,,,,,,,,,,,,
N/A,T. Nakajima,Japan,Wakayama Prefecture,N/A,T. Nakajima,Macromitrium gymnostonum,"On vertical face of rock, Ohara, Yuya",N/A,1971-03-27,Oto-mura,Typed,C0268544F,1229,Nishimuro-gun,N/A,no type status,T. Nakajima,N/A,"Mar. 27, 1971",330 m,"Mar. 27, 1971",Macromitrium gymnostonum Sull. et Lesq. c. fr.,"On vertical face of rock, Ohara, Yuya, Oto-mura, Nishimuro-gun"
Fagus crenata,T. Nakajima,Japan,Nara,On trunks of Fagus crenata,T. Nakajima,Macrotritium gymnostomum,"On trunks of Fagus crenata, ca. 1200 m. alt., Mt. Obako",N/A,1958-05-04,N/A,Typed,C0268545F,s.n.,N/A,N/A,no type status,T. Nakajima,N/A,N/A,ca. 1200 m.,"May 4, 1958",Macrotritium gymnostomum Sull. et Lesq.,"Mt. Obako, Nara Prefecture"
N/A,T. Nakajima,Japan,Wakayama,N/A,T. Nakajima,Macromitrium gymnostomum,"On rocks, approximately 100 meters altitude, Syōgawa, Shirahama-chō",N/A,1967-03-28,Shirahama-chō,Typed,C0268546F,1129,Nishimuro,N/A,no type status,T. Nakajima,N/A,"March 28, 1967",ca. 100 m,"March 28, 1967",Macromitrium gymnostomum Sull. & Lesq. c. fr.,"On rocks, ca. 100 m alt., Syōgawa, Shirahama-chō, Nishimuro-gun"
N/A,S. Hattori,Japan,Miyazaki,on tree trunks,A. Noguchi,Macromitrium gymnostomum,near tree trunks,N/A,1946-10-00,"Minaminaka, Sakatani",Typed,C0268548F,s.n.,N/A,N/A,no type status,S. Hattori,N/A,Ser. I (1947),ca 500 m,X. 1946,Macromitrium gymnostomum Sull. et Lesq.,"KIUSHIU, Miyazaki, Minaminaka, Sakatani, ad arborum truncos, ca 500 m"
N/A,J. B. Ferrié,Japan,N/A,[precise habitat description not provided on label],Thériot,Macromitrium gymnostomum,Centre de l'ile,N/A,1898-04-20,N/A,Typed,C0268549F,s.n.,N/A,N/A,no type status,R.P. J.B. Ferrié,N/A,unsure and check,N/A,20.4.1898,Macromitrium gymnostomum S. L.,Iles Liou-Kiou – Centre de l'ile
N/A,J. B. Ferrié,Japan,N/A,N/A,Thériot,Macromitrium gymnostonum,Yaku-Sima,1898-11-00,1898-10-00,N/A,Typed,C0268550F,s.n.,N/A,N/A,no type status,R.P. J.B. Ferrié,N/A,N/A,N/A,oct.nov.1898,Macromitrium gymnostonum S. L.  = m. rupestre Mitt. Sull. Card.,Yaku-Sima
Plumeria,A. Touw,Papua New Guinea,Morobe,In garden,D. H. Vitt,Macromitrium incurvifolium,In fork of Plumeria tree in garden,N/A,1975-03-09,Lae,Typed,C0268554F,14660,N/A,N/A,no type status,A. Touw,N/A,N/A,c. 20 m.,9-3-1975,Macromitrium incurvifolium (Hook. & Grev.) Schwaegr.,"Morobe Distr., Lae. In fork of Plumeria tree in garden."
N/A,A. Touw,Papua New Guinea,West Sepik,Wet forest on slope,D. H. Vitt,Macromitrium longicaule,Wet forest on slope above Ok Din river west of Busilmin; on trees along Ok Din River,N/A,1975-05-20,Busilmin,Typed,C0268557F,18543,N/A,N/A,no type status,A. Touw No. 18543,c. 5°S 141°05'E,20.5.1975,c. 1500 - 1550 m,20.5.1975,Macromitrium longicaule C. Müll.,"Papua New Guinea, West Sepik Distr., Star Mts., c. 5°S 141°05'E Busilmin"
N/A,A. Touw,Papua New Guinea,West Sepik,on stems and branches of trees and shrubs in summit scrub,D. H. Vitt,Macromitrium macrosporum,Northeast summit of Mount Capella,N/A,1975-05-08,N/A,Typed,C0268558F,17369,N/A,N/A,no type status,A. Touw No.,c. 5° S141°05’E,Dat: 8.5. 1975,Alt: c. 3900 m,8.5. 1975,Macromitrium macrosporum Broth.,"West Sepik Distr., Star Mts., c. 5° S141°05’E NE summit of Mt. Capella;"
N/A,A. Touw,Papua New Guinea,West Sepik,Limestone ridge near camp; high stunted forest on ridge,D. H. Vitt,Macromitrium macrosporum,"Star Mountains, near Mount Capella Base Camp",N/A,1975-04-17,N/A,Typed,C0268559F,16376,N/A,N/A,no type status,A. Touw No. 16376,5°S 141°05’E,17.4.1975,c. 3600 m.,17.4.1975,Macromitrium macrosporum Broth.,"West Sepik Distr., Star Mts., c. 5°S 141°05’E Mt. Capella Base Camp."
N/A,A. Touw,Papua New Guinea,West Sepik,N/A,D. H. Vitt,Macromitrium macrosporum,NE Summit of Mt. Capella. Summit of ridge between Mt. Capella Base Camp and Mt. Capella ridge; on isolated tree.,N/A,1975-05-08,N/A,Typed,C0268560F,17312,N/A,N/A,no type status,A. Touw No. 17312,c. 5°S 141°05'E,8.5. 1975,c. 3650 m,8.5. 1975,Macromitrium macrosporum Broth.,"West Sepik Distr., Star Mts., c. 5°S 141°05'E NE Summit of Mt. Capella. Summit of ridge between Mt. Capella Base Camp and Mt. Capella ridge; on isolated tree."
N/A,A. Touw,Papua New Guinea,West Sepik,Forest remnant in deep chasm near the summit on soaking wet bark of trees,D. H. Vitt,Macromitrium macrosporum,"Star Mountains, Mount Capella Northeast summit",N/A,1975-04-19,N/A,Typed,C0268561F,16420,N/A,N/A,no type status,A. Touw No. 16420,c. 5°S 141° 05'E,19.4.1975,c. 3900 m.,19.4.1975,Macromitrium macrosporum Broth.,"West Sepik Distr., Star Mts., c. 5°S 141° 05'E Mt. Capella NE summit"
N/A,A. Touw,Papua New Guinea,West Sepik,Open subalpine scrub. At base of limestone rock faces,D. H. Vitt,Macromitrium macrosporum,"Near Mount Capella Base Camp, along trail to Tamanagabip",N/A,1975-05-05,N/A,Typed,C0268562F,17205,N/A,N/A,no type status,A. Touw,c. 5° S 141°05'E,N/A,c. 3450 m,5.5. 1975,Macromitrium macrosporum Broth.,"Near Mt. Capella Base Camp, along trail to Tamanagabip"
N/A,A. Touw,Papua New Guinea,West Sepik,Upper montane forest between Folongonom and Artis' Camp. Pendulous from heavy tree branches and slanting trunks,D. H. Vitt,Macrotrilium megalocladon,Upper montane forest between Folongonom and Artis' Camp,N/A,1975-05-14,N/A,Typed,C0268563F,18046,N/A,N/A,no type status,A. Touw,"c. 5°14'05""E",N/A,c. 2500 - 2600 m.,14.5.1975,Macrotrilium megalocladon Fleisch.,Upper montane forest between Folongonom and Artis' Camp.
