associatedTaxa,collectedBy,country,firstPoliticalUnit,habitat,identifiedBy,latestScientificName,locality,maximumEventDate,minimumEventDate,municipality,originalMethod,otherCatalogNumbers,recordNumber,secondPoliticalUnit,secondaryCollectors,substrate,typeStatus,verbatimCollectors,verbatimCoordinates,verbatimDateIdentified,verbatimElevation,verbatimEventDate,verbatimIdentification,verbatimLocality
N/A,E. Scarr,Congo Free State,N/A,N/A,L. Kükenthal,Cyperus maculatus Boeck.,"""Rhino Camp,"" Kabu or Jelebo, Lake Edward",1906-02-06,1906-01-15,N/A,Typed,463860,852,N/A,N/A,N/A,no type status,E. Scarr,N/A,19.3.1927,N/A,"Jan. 15 to Feb. 6, 1906",Cyperus maculatus Boeck.,"""Rhino Camp,"" Kabu or Jelebo, Lake Edward"
N/A,F. G. Overlaet,Belgian Congo,N/A,N/A,Borge Pettersson,Habenaria,[precise locality unknown],N/A,1923-04-00,N/A,Typed,752356,1923-4,N/A,N/A,N/A,no type status,F. G. Overlaet,N/A,1984,N/A,1923-4,Habenaria,N/A
N/A,R. A. Maas Geesteranus,Kenya,Nyanza Province,"Glade surrounded by rather open, tall forest, containing a.o. Dombeya mastersii and Olea hochstetteri",N/A,Pycreus sanguinolentus C.B.Cl.,"Tinderet Forest Reserve, Camp I",1949-07-14,1949-07-14,N/A,Typed,1447352,4924,Londiani Distr.,N/A,soil,no type status,R. A. Maas Geesteranus,"lat. 0° 5' S., long. 35° 27' E.",N/A,2260 m s.m.,d.d. 14-VII 1949,Pycreus sanguinolentus C.B.Cl.,"Londiani Distr., Tinderet Forest Reserve, Camp I"
N/A,J. M. Reitsma,Gabon,N/A,Primary rain forest,Olga Kosevskovskaya,Bulbophyllum scaberulum var. scaberulum,"Primary rain forest, approximately 6 kilometers northwest of Oveng, chantier Rougier & Cie. Océan.",N/A,1986-05-03,N/A,Typed,N/A,20123,N/A,B. Reitsma,N/A,no type status,J. M. Reitsma & B. Reitsma,0 41 N x 11 07 E,2011,N/A,d.d. 3-5-86,Bulbophyllum scaberulum (Rolfe) Bolus var. scaberulum,"Primary rain forest, ca 6 km NW of Oveng, chantier Rougier & Cie. Océan."
N/A,Carvalho,Guinea Ecuatorial,Bioco,Bosque secundario y terrenos incultos,C. Cebolla & M.A. Rivas Ponce (UAM),Mariscus alternifolius Vahl,"""Malabo, finca las Carboneras""",N/A,1986-07-26,N/A,Typed,N/A,2102,N/A,N/A,soil,no type status,Carvalho 2102,32NMK7415,1995,N/A,26-VII-1986,Mariscus alternifolius Vahl,"""Bioco: «Malabo, finca las Carboneras, 32NMK7415, m. Bosque secundario y terrenos incultos. Herbácea, 20-30 cm»"""
N/A,N/A,Guinea Ecuatorial,Bioco,N/A,C. Cebolla & M.A. Rivas Ponce,Agrostis manii (Hooker fil.) Stapf,cumbre del pico Basilé,1989-02-05,1989-02-05,N/A,Typed,2200806,N/A,N/A,N/A,N/A,no type status,N/A,32NMJ7396,1993,2870 m.,5-II-1989,Agrostis manii (Hooker fil.) Stapf,"cumbre del pico Basilé, 32NMJ7396, 2870 m. márgenes de la pista, Fernández Casas 11206, 5-II-1989."
N/A,F. G. Overlaet,Belgian Congo,N/A,N/A,A. E. Kral,Scleria nutans Linn.,[precise locality unknown],N/A,N/A,N/A,Typed,752378,1932-4,N/A,N/A,N/A,no type status,F. G. Overlaet,N/A,1964,N/A,N/A,"Scleria nutans Linn. Det. A. E. Kral, 1964",N/A
N/A,C. J. P. Seegeler,Ethiopia,N/A,In full sun,G.J.H. Amshoff,Vernonia amygdalina Sch. Bip.,"on a lava rock from Metahara, on road to Nazareth",1972-10-23,1972-10-23,Nazareth,Typed,2302805,2806,N/A,N/A,rock,no type status,C.J.P. Seegeler,"8°56'N, 39°55'E",1982,925m,d.d.: 23 October 1972,Vernonia amygdalina Sch. Bip.,"In full sun on a lava rock from Metahara, on road to Nazareth"
N/A,N/A,N/A,Sud-Kivu,N/A,N/A,Carduus leptacanthus Fres.,"Kabare, Musisi",N/A,2008-08-05,N/A,Typed,2257689,48,N/A,N/A,N/A,no type status,N/A,N/A,N/A,N/A,05/08/2008,Carduus leptacanthus Fres.,Territoire: Kabare Localité: Musisi
N/A,J.m. fay,Central African Republic,N/A,N/A,J.M. Fey,Burkea africana Hook.,"Park Manovo-Gounda-St. Floris, vicinity of Camp Koumbala",1987-05-25,1987-05-25,N/A,Typed,"NCI # Wood G678/0065, Bark G678/0066, Root G678/0067, Leaves G678/0068",8017,N/A,N/A,N/A,no type status,J.M. Fay 8017,08°29'N 21°12'E,N/A,600 m,25 May 1987,Caesalpiniaceae Burkea africana Hook.,Park Manovo-Gounda-St. Floris. Vicinity of Camp Koumbala.
N/A,P. C. M. Jansen,Ethiopia,Harerge,Ground roots are drunk against gonorrhoe.,C.C.H. Jongkind,Cirsium vulgare (Savi) Ten.,"around Damota Village, near Alema, between chat and sorghum fields.",N/A,N/A,N/A,Typed,N° 2302849,5996,N/A,N/A,soil,no type status,P.C.M. Jansen,N/A,14 April 1976,N/A,N/A,Cirsium vulgare (Savi) Ten.,"around Damota Village, near Alema, between chat and sorghum fields."
N/A,Amanda Koch,Kenya,Kajiado District,Dry bushland,Patrick Mutiso,Acacia reficiens meruensis (Vatke) Brenan,Oloishobor,N/A,2003-10-22,Oloishobor,Typed,2309478,AK61,N/A,Wilson Saduka,N/A,no type status,"Amanda Koch, Wilson Saduka, AK61",N/A,"November 02, 2003",N/A,"October 22, 2003",Acacia reficiens meruensis (Vatke) Brenan,Kenya: Kajiado District:Oloishobor
N/A,J. Lebrun,Congo Belge,Albert (Ville),N/A,N/A,Albizia gummifera (J.F.Gmel.) C.A.Sm.,Albert (Ville),1931-11-00,1931-11-00,N/A,Typed,867368,2409,N/A,N/A,N/A,no type status,J. Lebrun,N/A,N/A,N/A,Nov 1931,Albizia gummifera (J.F.Gmel.) C.A.Sm.,Albert (Ville)
N/A,N/A,Kenya,N/A,N/A,N/A,Digitaria perrottetii (Hochst.) Henrard,Tsavo - Taita Andei,1957-12-25,1957-12-25,N/A,Typed,1559644,207,N/A,N/A,soil,no type status,N/A,N/A,N/A,N/A,25.12.1957,Digitaria perrottetii (Hochst.) Henrard,Tsavo - Taita Andei
N/A,H. Callens,Congo Belge,Kivu,Forêt secondaire,H. Callens,Tarenna paniculata,Kisantu,1958-07-00,1958-07-00,Kisantu,Typed,N/A,1584065,N/A,N/A,N/A,no type status,H. Callens,N/A,1/9/58,N/A,Juillet 1958,Rubiaceae Tarenna paniculata,Kisantu
N/A,G. Troupin,Zaire,Kivu,"Forêt ombrophile, Ouest vers 1500 m.",N/A,Crotalaria ononoides (F.T.A.) B.L. Burtt,"Vers 119 route Kavumu-Kalehe-Kinigi, vers 1750 meters",N/A,1958-02-01,N/A,Typed,1543353,6333,N/A,N/A,N/A,no type status,G. Troupin,N/A,N/A,1950 - 2000 m.,1/02/1958,Crotalaria ononoides (F.T.A.) B.L. Burtt,"Territ. Kalehe, Vers 119 route Kavumu-Kalehe-Kinigi, vers 1750m, alt. 1950 - 2000 m."
N/A,Dorr,Gabon,Ogooué-Ivindo,N/A,Wilks & McPherson,Corynanthe mayumbensis (R. Good) N. Hallé,"Réserve de la Lopé, au sud d'Ayem; chantier SOFORGA",N/A,1989-03-20,N/A,Typed,"LP:4665-0223-G, BR:4665-0224-H, WD:4665-0225-I.",13781,N/A,Lopez,N/A,no type status,Collecté par Dorr & Lopez,0°25'S 11°30'E,1989,c. 200 m,20 Mars 1989,Corynanthe mayumbensis (R. Good) N. Hallé,"Réserve de la Lopé, au sud d'Ayem; chantier SOFORGA"
N/A,J. M. Fay,Cameroon,N/A,In seasonally flooded forest,Ake Assi,Millettia zechiana Harms,On the Sangha River across from Makana gorilla study area,1988-03-04,1988-03-04,N/A,Typed,N/A,8294,N/A,N/A,soil,no type status,J. M. Fay 8294,02°02'N 16°08'E,1998,385 m,4 March 1988,Millettia zechiana Harms,"On the Sangha River across from Makana gorilla study area. In seasonally flooded forest with Guibourtia demeusei, Pericopsis elata, Pombax sp."
N/A,F. N. Hepper,Cameroon,N/A,"Clearing in wood, scrambling over herbage",N/A,Phaseolus lunatus L.,South West of Crater Lake,1959-07-29,1959-07-29,N/A,Typed,1624518,199,N/A,N/A,N/A,no type status,F. N. Hepper,N/A,N/A,1500m,29.vii.1959,Phaseolus lunatus L.,"South West of Crater Lake. Clearing in wood, scrambling over herbage."
N/A,E. B. Bartram,Kenya,N/A,N/A,N/A,N/A,"Mathiaga, near Nairobi",1927-07-01,1927-06-30,Mathiaga,Typed,2074762,2,N/A,H. K. Airy Shaw,N/A,no type status,E. B. Bartram & H. K. Airy Shaw,N/A,N/A,"1,700 meters","June 30-July 1, 1927",N/A,"Mathiaga, near Nairobi"
N/A,A. Leonard,Rwanda,N/A,Vieille forêt secondaire,Bisse,Drymaria spermacoce DC.,Kivu,N/A,1959-02-19,N/A,Typed,2086095,3149,N/A,N/A,N/A,no type status,A. Leonard,N/A,5.XII.1969,1900m,19/2/1959,"Drymaria spermacoce DC. Bisse, indet.",Kivu
N/A,R. L. Fróes,N/A,N/A,N/A,N/A,Hevea nitida (Mart.) Müll. Arg.,[precise locality unknown],N/A,N/A,N/A,Mix of Handwritten and Typed,781173,8400,N/A,N/A,N/A,no type status,Herbier des seringueiros de L'Institut Agronomico do Norte recolte par le Pr. R. L. Fróes,N/A,N/A,N/A,N/A,Hevea nitida (Mart.) Müll. Arg.,N/A
N/A,James T. Allen,Ghana,Volta Region,N/A,N/A,Dissotis rotundifolia (Sm.) Triana,[precise locality unknown],1996-09-23,1996-09-23,N/A,Typed,2200652,41,N/A,N/A,N/A,no type status,James T. Allen,N/A,N/A,N/A,"September 23, 1996",Dissotis rotundifolia (Sm.) Triana,Volta Region
N/A,J. E. Amoah,Gold Coast,Ashanti Prov.,N/A,N/A,Chrysophyllum perpulchrum Mildbr.,Kumasi Township Forest Reserve,1952-03-00,1952-03-00,N/A,Typed,1601919,5632,Kumasi District,N/A,N/A,no type status,J. E. Amoah,N/A,N/A,N/A,March 1952,Chrysophyllum perpulchrum Mildbr.,Kumasi Township Forest Reserve
N/A,J. Nemba,Cameroon,Southwest,Secondary growth and old growth forest,D.W. Thomas,Donella welwitschii Pierre ex Engl.,Secondary growth and old growth forest along Kumba-Mamfe road at mile 14 L. K. 11,N/A,1987-06-15,N/A,Typed,NCI Leaves: Stems 066/0052-L,2041320,N/A,D. W. Thomas,N/A,no type status,J. Nemba & D.W. Thomas,04°44'N 09°29'E,1987,200 m,15 June 1987,Donella welwitschii Pierre ex Engl.,Secondary growth and old growth forest along Kumba-Mamfe road at mile 14 L. K. 11
