associatedTaxa,collectedBy,country,firstPoliticalUnit,habitat,identifiedBy,latestScientificName,locality,maximumEventDate,minimumEventDate,municipality,originalMethod,otherCatalogNumbers,recordNumber,secondPoliticalUnit,secondaryCollectors,typeStatus,verbatimCollectors,verbatimCoordinates,verbatimDateIdentified,verbatimElevation,verbatimEventDate,verbatimIdentification,verbatimLocality
N/A,M. Fleischer,Australia,Queensland,Urwald,PASS,Macromitrium,PASS,N/A,1903-03-25,PASS,PASS,PASS,PASS,N/A,N/A,no type status,M. Fleischer,N/A,N/A,N/A,25.3.1903,Macromitrium,PASS
N/A,M. Fleischer,Australia,Queensland,PASS,PASS,Macromitrium,PASS,N/A,1903-03-25,PASS,PASS,PASS,PASS,N/A,PASS,no type status,PASS,N/A,N/A,N/A,25.3.1903,Macromitrium,PASS
N/A,M. Fleischer,Australia,New South Wales,N/A,PASS,Macromitrium,PASS,N/A,1903-04-06,PASS,PASS,1076824,B 2552,N/A,N/A,no type status,PASS,N/A,PASS,N/A,6.4.1903,Macromitrium,PASS
N/A,M. Fleischer,Australia,Queensland,N/A,PASS,Macromitrium,PASS,N/A,1903-03-20,PASS,PASS,PASS,B 2697,N/A,N/A,no type status,PASS,N/A,N/A,N/A,PASS,PASS,bei Brisbane
N/A,T. Nakajima,Japan,PASS,PASS,T. Nakajima,Macromitrium gymnostomum,PASS,N/A,1971-03-27,PASS,PASS,1043494,PASS,N/A,N/A,no type status,& T. Nakajima,N/A,PASS,330 m,"Mar. 27, 1971",PASS,PASS
Fagus crenata,T. Nakajima,Japan,PASS,PASS,PASS,Macromitrium gymnostomum,PASS,N/A,PASS,N/A,PASS,PASS,PASS,N/A,N/A,no type status,PASS,N/A,N/A,PASS,PASS,PASS,PASS
N/A,T. Nakajima,Japan,PASS,PASS,T. Nakajima,Macromitrium gymnostomum,PASS,N/A,1967-03-28,Shirahama-chō,Typed,PASS,s.n.,PASS,N/A,no type status,PASS,N/A,PASS,ca. 100 m,"March 28, 1967",PASS,PASS
N/A,PASS,Japan,PASS,ad arborum truncos,A. Noguchi,Macromitrium gymnostomum,PASS,N/A,PASS,PASS,PASS,PASS,s.n.,PASS,N/A,no type status,PASS,N/A,N/A,ca 500 m,PASS,PASS,PASS
N/A,PASS,Japan,PASS,N/A,PASS,Macromitrium gymnostomum,PASS,N/A,1898-04-20,N/A,Typed,1000415,s.n.,PASS,PASS,no type status,PASS,N/A,N/A,N/A,20.4.1898,PASS,PASS
N/A,PASS,Japan,PASS,N/A,PASS,Macromitrium gymnostomum,PASS,1898-11-00,1898-10-00,PASS,PASS,PASS,s.n.,N/A,PASS,no type status,PASS,N/A,N/A,N/A,PASS,PASS,PASS
N/A,A. Touw,Papua New Guinea,PASS,N/A,D. H. Vitt,Macromitrium incurvifolium,PASS,N/A,1975-03-09,Lae,PASS,1142151,14660,N/A,PASS,no type status,A. Touw,N/A,N/A,PASS,PASS,PASS,PASS
N/A,A. Touw,Papua New Guinea,West Sepik,PASS,D. H. Vitt,Macromitrium longicaule,PASS,N/A,1975-05-20,PASS,PASS,1141855,18543,PASS,N/A,no type status,A. Touw,PASS,N/A,PASS,PASS,PASS,PASS
N/A,PASS,Papua New Guinea,PASS,PASS,D. H. Vitt,Macromitrium macrosporum,PASS,N/A,1975-05-08,N/A,Typed,1142194,17369,PASS,N/A,no type status,PASS,PASS,N/A,c. 3900 m,8.5.1975,PASS,PASS
N/A,PASS,Papua New Guinea,West Sepik,PASS,D. H. Vitt,Macromitrium macrosporum,PASS,N/A,1975-04-17,N/A,PASS,1142178,16376,N/A,N/A,no type status,PASS,PASS,N/A,PASS,PASS,PASS,PASS
N/A,PASS,Papua New Guinea,West Sepik,N/A,PASS,Macromitrium macrosporum,PASS,N/A,1975-05-08,N/A,PASS,1142156,17312,N/A,N/A,no type status,PASS,PASS,N/A,PASS,PASS,Macromitrium macrosporum Broth.,PASS
N/A,PASS,Papua New Guinea,West Sepik,PASS,PASS,Macromitrium macrosporum,PASS,N/A,1975-04-19,N/A,Typed,1142175,16420,N/A,N/A,no type status,PASS,PASS,N/A,c. 3900 m,PASS,Macromitrium macrosporum Broth.,PASS
N/A,PASS,Papua New Guinea,West Sepik,PASS,D. H. Vitt,Macromitrium macrosporum,PASS,N/A,1975-05-05,N/A,Typed,1141880,17205,PASS,N/A,no type status,PASS,PASS,N/A,c. 3450 m.,PASS,Macromitrium macrosporum Broth.,PASS
N/A,PASS,Papua New Guinea,West Sepik,PASS,D. H. Vitt,Macromitrium megalocladon,PASS,N/A,1975-05-14,N/A,Typed,1142187,18046,N/A,N/A,no type status,PASS,PASS,N/A,c. 2500 - 2600 m.,14.5.1975,PASS,PASS
N/A,PASS,Papua New Guinea,West Sepik,PASS,PASS,Macromitrium megalocladon,PASS,N/A,1975-04-21,PASS,PASS,1142432,16555,PASS,N/A,no type status,PASS,PASS,N/A,PASS,PASS,Macromitrium megalocladon Fleisch.,PASS
N/A,PASS,Papua New Guinea,West Sepik,PASS,PASS,Macromitrium megalocladon,PASS,N/A,1975-04-07,PASS,Typed,1142300,15768,N/A,N/A,no type status,PASS,PASS,N/A,PASS,PASS,PASS,PASS
N/A,S. Hattori,Japan,PASS,PASS,A. Noguchi,Macromitrium incurvum,PASS,N/A,1946-08-00,PASS,Typed,PASS,s.n.,PASS,N/A,no type status,S. Hattori,N/A,Ser. I (1947),PASS,PASS,PASS,PASS
N/A,K. Mayebara,Japan,Kumamoto,N/A,A. Noguchi,Macromitrium incurvum,PASS,N/A,1951-12-25,Yoshio,Typed,1043529,s.n.,N/A,N/A,no type status,PASS,N/A,N/A,60 m. above sea,"December 25, 1951",Macromitrium incurvum (Lindb.) Par.,PASS
N/A,PASS,Japan,Kumamoto,PASS,A. Noguchi,Macromitrium gymnostomum,PASS,N/A,1952-02-11,PASS,Typed,1043490,PASS,N/A,N/A,no type status,PASS,N/A,PASS,ca. 100 m. above sea,"February 11, 1952",PASS,PASS
N/A,PASS,Japan,Kumamoto,N/A,A. Noguchi,Macromitrium gymnostomum,PASS,N/A,1952-03-00,Hitoyoshi,Typed,PASS,s.n.,PASS,N/A,no type status,PASS,N/A,N/A,ca. 100m.,March 1952,PASS,PASS
N/A,PASS,China,PASS,PASS,PASS,Macromitrium gymnostomum,Kushan near Foochow,N/A,1925-08-00,PASS,Typed,PASS,B.206,N/A,N/A,no type status,PASS,N/A,N/A,PASS,"August, 1925",PASS,Kushan near Foochow
