docName,verbatimCollectors,collectedBy,secondaryCollectors,recordNumber,verbatimEventDate,minimumEventDate,maximumEventDate,verbatimIdentification,latestScientificName,identifiedBy,verbatimDateIdentified,associatedTaxa,country,firstPoliticalUnit,secondPoliticalUnit,municipality,verbatimLocality,locality,habitat,verbatimElevation,verbatimCoordinates,otherCatalogNumbers,originalMethod,typeStatus,accessionNumber,plantDescription
C2051895F.jpg,Herbier Ed Jeanpert,E. Jeanpert,N/A,s.n.,4/192,1902-04-00,N/A,Crossidium squamigerum (Un),Crossidium squamigerum,W. C. Steere,N/A,Barbula membranifolia,N/A,N/A,N/A,N/A,Crusherette de Viroinberg,Crusherette de Viroinberg,Dans pierre schiste,N/A,N/A,973420,Mix of Handwritten and Typed,no type status,N/A,N/A
C2026385F.jpg,N/A,C. Fitzgerald,N/A,6-78,N/A,N/A,N/A,Pottia latifolia C müll,Pottia latifolia,unsure and check,N/A,N/A,N/A,N/A,N/A,N/A,Ad worem humsan Pie du Midi,[precise locality unknown],N/A,2800 an,N/A,C2026385F,Handwritten,no type status,N/A,N/A
C2036209F.jpg,R Ochyra,R. Ochyra,N/A,1578/80,11/II/1980,1980-02-11,N/A,Tortula fuscoviridis Card,Tortula fuscoviridis,R. Ochyra,N/A,N/A,Antarctica,South Shetland Islands,King George Island,N/A,"Admiralty Bay, Esourra Inlet, Dufavel Island: SOPOT PEAK, 62°09 45 S, 58°33 45 W",SOPOT PEAK,"on soil over rock ledges, in dry situation",elev 4 m,"62°09 45 S, 58°33 45 W",1053922,Typed,no type status,N/A,N/A
C2078136F.jpg,Paul C Standley,P. C. Standley,N/A,10896,"July 5, 1947",1947-07-05,N/A,Wittensthauumim diuiniturn (Hpe.) E.G. Britt + sterile Eulodon,Wittensthauumim diuiniturn,E. B. Bartram,N/A,Eulodon,Nicaragua,Jinotega,N/A,N/A,"Dept Jinotega: Vicinity of Finca San Roque, sierra east of Jinotega","Vicinity of Finca San Roque, sierra east of Jinotega",chiefly in dense wet mixed forest,1300-1500 m.,N/A,C2078136F,Mix of Handwritten and Typed,no type status,N/A,On tree trunk
C2047133F.jpg,I H,I. H Hagen,N/A,s.n.,1903,1903-00-00,N/A,Cratoneurum Pilicinum (L) Roth v. curvicaule (Jur.) Monk. Musci Norvegici ex herb. I Hagen Amblyptegiem curvicaule (pur.),Cratoneurum pilicinum,unsure and check,N/A,Amblyptegiem curvicaule,Norway,Trondhjems,Opdal,N/A,"Sendre Trondhjems amt, Opdal Kongprold",Kongprold,N/A,altit. mtr. ca. 90020/7,N/A,C2047133F,Mix of Handwritten and Typed,no type status,N/A,N/A
C2047118F.jpg,Åke Hovgard,Å. Hovgard,N/A,s.n.,6/5 1937,1937-05-06,N/A,Cratoneuron filicinum (L) Loeske st. v. elatum Schimp,Cratoneuron filicinum,N/A,N/A,N/A,Sweden,Scania,N/A,Baskemölla,Baskemölla,[precise locality unknown],N/A,N/A,N/A,C2047118F,Typed,no type status,N/A,N/A
C2037874F.jpg,J Krupa,J. Krupa,N/A,s.n.,June 1876,1876-06-00,N/A,Cratoneuron filicinum (Hedw.) Spruce,Cratoneuron filicinum,N/A,N/A,N/A,Poland,N/A,Kraków-Częstochowa,N/A,Upland: Czerna 15 km west of Kraków,Czerna 15 kilometers west of Kraków,on wet calcareous rocks,N/A,N/A,1039315,Typed,no type status,1071170,N/A
C1048926F.jpg,W.J Eyerdam,W. J. Eyerdam,N/A,s.n.,July 26/40,1940-07-26,N/A,Pellia endiviaefolia (Dicks) Drum,Pellia endiviaefolia,Lois Clark,N/A,N/A,United States,Alaska,N/A,Ketchikan,"Ketchikan, Revillagigedo island",Revillagigedo island,On damp sendy ground in a shady thicket,N/A,N/A,C1048926F,Handwritten,no type status,N/A,N/A
C0079851F_lg.jpg,Walter Kiener,W. Kiener,N/A,9148,"Sept 15,1989",1989-09-15,N/A,Distichum capillaceum (Sw.),Distichum capillaceum,N/A,N/A,N/A,United States,Colorado,Larimer,N/A,LONGS PEAK,LONGS PEAK,Wet ground North exposure,"11,800 ft",Lat 40° N,C0079851F,Typed,no type status,N/A,N/A
C0071775F_lg.jpg,Donald Richards and Francis Drouet,D. Richards,F. Drouet,1272,15 September 1941,1941-09-15,N/A,Ceratodon purpureus (Hedw),Ceratodon purpureus,H. Habeeb,1948,C conicus,United States,California,Siskiyou County,Dunsmuir,In the wooded canyon of the Sacramento river,In the wooded canyon of the Sacramento river,In the wooded canyon,"Altitude ca 2,200 feet",N/A,C0071775F,Handwritten,no type status,N/A,
