URL,Image,title,collectedBy,secondaryCollectors,phylum,family,genus,specificEpithet,infraspecificEpithet,scientificNameAuthorship,identifiedBy,dateIdentified,acceptedScientificName,otherScientificName,scientificName,associatedTaxa,verbatimEventDate,eventDate,country,countryCode,firstPoliticalUnit,secondPoliticalUnit,city,verbatimLocality,locality,habitat,substrate,verbatimElevation,maximumElevationInMeters,minimumElevationInMeters,verbatimCoordinates,decimalLatitude,decimalLongitude,collectionCode,recordNumber,catalogNumber,language,languageRemarks,originalMethod,typeStatus,occuranceRemarks,sex,reproductiveCondition,generalNotes,expeditionFundedBy,generalInformationAboutThePlantSpecimenItself,rawFormat
https://fm-digital-assets.fieldmuseum.org/276/684/C0000578F.jpg,C0000578F.jpg,Holotype Hepaticae of New Zealand Telaranea lindenbargii var. papillata Engel & Merr.,John J. Engel,"Matt von Konrat, John E. Braggins",(Division): Marchantiophyta,Lepidoziaceae,Telaranea,lindenbargii,papillata,Engel & Merr.,Unsure and check,N/A,Telaranea lindenbargii var. papillata Engel & Merr.,N/A,N/A,"Blechnum novae-zelandiae, Weinmannia, Dicksonia squarrosa, Leptospermum scoparium",12 February 2003,2003-02-12,New Zealand,NZ,Auckland,N/A,N/A,"North Island. Auckland Prov.: Whareorino Forest, start of track to Leitch's Hut","Whareorino Forest, start of track to Leitch's Hut","On clayey bank with Blechnum novae-zelandiae overhang, Weinmannia and Dicksonia squarrosa dominant canopy and occasional Leptospermum scoparium.",Clayey bank,280 meters,280,280,"38° 24.5'S, 174° 49.8'E",-38.4083,174.8300,N/A,23773,1173554,English,N/A,Typed,Holotype,N/A,N/A,Circa perianth and sporophyte,Supported by the National Geographic Society. The Field Museum.,National Geographic Society,"The plant specimen appears to be a single specimen mounted on a sheet, moderate in size with no soil present.","HOLYTYPE HEPATICAE OF NEW ZEALAND Lepidoziaceae Telaranea lindenbargii var. papillata Engel & Merr. On clayey bank NORTH ISLAND. AUCKLAND PROV.: Whareorino Forest, start of track to Leitch's Hut 280 m, 38° 24.5'S, 174° 49.8'E. Clay banks with Blechnum novae-zelandiae overhang, Weinmannia and Dicksonia squarrosa dominant canopy and occasional Leptospermum scoparium. John J. Engel, Matt von Konrat & John E. Braggins, No. 23773 12 February 2003 Supported by the National Geographic Society. The Field Museum"
https://fm-digital-assets.fieldmuseum.org/444/531/C0020034F.jpg,C0020034F.jpg,Hepaticae of Eastern North America,R. M. Schuster,N/A,(Division): Marchantiophyta,"Scapaniaceae (unsure, check)",Anastrophylum,minutum,N/A,N/A,R. M. Schuster,17-08-1968,Anastrophylum minutum,Anastrophylum minutum + gemm.,N/A,Diplophyllum taxifolium + gemmae,Aug. 17 68,17-08-1968,Canada,CA,Newfoundland and Labrador,N/A,N/A,"Along Humber River, in Squires Memorial Park, near Route 1A","Squires Memorial Park, near Route 1A, Humber River",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,68-1644,N/A,English,N/A,Typed,no type status,N/A,N/A,Specimen collected with gemmae.,N/A,N/A,N/A,"HEPATICAE OF EASTERN NORTH AMERICA Collected and Determined by R. M. Schuster No 68-1644 Aug 17 68 Anastrophylum minutum + gemm NEWFOUNDLAND: Along Humber River, in Squires Memorial Park, near Rte 1A With: Diplophyllum taxifolium + gemmae 68-1644a"
https://fm-digital-assets.fieldmuseum.org/444/535/C0020052F.jpg,C0020052F.jpg,Museum Botanicum Hauniense Hepaticae of South Greenland S1,R. M. Schuster,K. Damsholt,(Division): Marchantiophyta,Anastrophyllaceae,Anastrophylum,minutum,grandis,(Schreb.) Schust.,R. M. Schuster,1982,Anastrophylum minutum (Schreb.) Schust. var. grandis (Gott.) Schust.,N/A,N/A,Cephalozia bicuspidata (L.) Dum.,July 3,03-07-1982,Greenland,GL,N/A,N/A,N/A,Frederiksdal,Frederiksdal,N/A,N/A,N/A,N/A,N/A,"60°00'N lat., 44°40'W long.",60.0000,-44.6667,S1,82-1049,N/A,English,N/A,Typed,no type status,N/A,N/A,N/A,N/A,N/A,N/A,"Museum Botanicum Hauniense HEPATICAE OF SOUTH GREENLAND Collected and Determined by R. M. Schuster & K. Damsholt No.82-1049 Anastrophylum minutum (SCHREB.)SCHUST. 1982 Frederiksdal v.grandis (GOTT.)SCHUST. 60°00'N lat., 44°40'W long. date: July 3. With: Cephalozia bicuspidata (L.) DUM."
https://fm-digital-assets.fieldmuseum.org/445/656/C0025138F.jpg,C0025138F.jpg,Hepaticae of the Nearctic,R. M. Schuster,N/A,(Division): Marchantiophyta,Frullaniaceae,Frullania,asagrayana,N/A,Mont.,N/A,N/A,Frullania asagrayana Mont.,Plagiochila tridenticulata Dum. (traces),N/A,Abies fraseri,"June 30, 1951",1951-06-30,United States of America,US,North Carolina,N/A,Balsam Gap,"Balsam Gap, N.C., circa 25 miles north of Asheville, along Blue Ridge Parkway, 5220-5260 feet","Balsam Gap, Blue Ridge Parkway",N/A,On Abies fraseri,5220-5260 feet,1603.04 meters,1591.44 meters,N/A,N/A,N/A,N/A,9067,N/A,English,N/A,Typed,no type status,N/A,"male, can per. (capable perianth)",N/A,N/A,N/A,N/A,"HEPATICAE OF THE NEARCTIC Collected by R. M. Schuster No19067 Frullania asagrayana Mont., male, can per. Plagiochila tridenticulata Dum. (traces) Balsam Gap, N.C., ca. 25 mi. n. of Asheville, along Blue Ridge Parkway, 5220-5260 feet on Abies fraseri Occurring with:"
https://fm-digital-assets.fieldmuseum.org/409/473/C0025164F.jpg,C0025164F.jpg,Hepaticae of Eastern North America,R. M. Schuster,N/A,(Division): Marchantiophyta,Frullaniaceae,Frullania,asagrayana,N/A,N/A,R. M. Schuster,N/A,Frullania asagrayana,N/A,N/A,N/A,April 14 19 79,1979-04-14,United States of America,US,Arkansas,Stone County,N/A,"Ozark Natl. Forest. Barkshed Camp, ca. 10 mi E. of Big Flat.","Ozark National Forest, Barkshed Camp",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,79-488,N/A,English,N/A,Typed,no type status,N/A,N/A,N/A,N/A,N/A,N/A,"HEPATICAE OF EASTERN NORTH AMERICA Collected and Determined by R. M. Schuster No. 79-488 Frullania asagrayana ARKANSAS: Stone Co.: Ozark Natl. Forest. Barkshed Camp, ca. 10 mi E. of Big Flat. With:"
https://www.pteridoportal.org/imglib/fern/F/C0045/C0045536F_1586622756_web.jpg,C0045536F_1586622756_web.jpg,Flora of the United States of America,Thomas G Lammers,N/A,(Division): Pteridophyta,Dryopteridaceae,Dryopteris,carthusiana,N/A,(Vill.) H.P. Fuchs,N/A,N/A,Dryopteris carthusiana (Vill.) H.P. Fuchs,N/A,N/A,N/A,9 May 1998,1998-05-09,United States of America,US,Illinois,Cook County,Palos Township,"Cook Co.: Palos Twp., Swallow Cliff Woods Forest Preserve, southwest of the jct. of US Hwy 45 and State Hwy 83","Swallow Cliff Woods Forest Preserve, southwest of the junction of US Highway 45 and State Highway 83",Local in mesic maple-basswood forest on steep slopes,soil,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10674,2228497,English,N/A,Typed,No type status,N/A,N/A,N/A,"Location specifics include near toboggan run, and description of habitat as being on steep slopes. Collected on 9 May 1998.",N/A,Mounted plant specimen appears to be moderate in size with roots and soil still attached.,"N° 2228497 FIELD MUSEUM OF NATURAL HISTORY FLORA OF THE UNITED STATES OF AMERICA Field Museum of Natural History Dryopteris carthusiana (Vill.) H.P. Fuchs ILLINOIS: Cook Co.: Palos Twp. Swallow Cliff Woods Forest Preserve, southwest of the jct. of US Hwy 45 and State Hwy 83. Local in mesic maple-basswood forest on steep slopes of deep ravine south of toboggan run. Thomas G. Lammers 10674 9 May 1998"
https://fm-digital-assets.fieldmuseum.org/1086/214/C0644079F.jpg,C0644079F.jpg,Field Museum of Natural History - Botany Department,A. Monteagudo,"C. Mateo, G. Ortiz",(Division): N/A,Blechnaceae,Blechnum,occidentale,N/A,L.,H. van der Werff,2005,Blechnum occidentale L.,N/A,N/A,N/A,10 Abril 2003,2003-04-10,Peru,PE,Pasco,Oxapampa,N/A,"Distrito Pozuzo, Parque Nacional Yanachaga Chemillen Pozuzo Sector Pan de Azúcar, Zona de Recuperación, Bosque ribereño",Bosque ribereño,N/A,N/A,1100-1250 meters,1250,1100,10°15' S 75°13' W,-10.25,-75.21666667,N/A,4909,2287355,Spanish,N/A,Handwritten,no type status,N/A,N/A,N/A,N/A,Missouri Botanical Garden Herbarium (MO),There are multiple fern specimens mounted on a sheet; there is soil present.,"BLECHNACEAE Blechnum occidentale L. Det. H. van der Werff (MO), 2005 PASCO: Oxapampa Distrito Pozuzo, Parque Nacional Yanachaga Chemillen Pozuzo Sector Pan de Azúcar, Zona de Recuperación. Bosque ribereño. 1100-1250m 10°15' S 75°13' W Helecho terrestre adpreso a la roca, soros marrones. 10 Abril 2003 A. Monteagudo, C. Mateo, G. Ortiz. 4909 MISSOURI BOTANICAL GARDEN HERBARIUM (MO)"
https://fm-digital-assets.fieldmuseum.org/2537/873/C2077559F.jpg,C2077559F.jpg,Bryophyta of Ecuador,Marko Lewis,N/A,(Division): Bryophyta,Hedwigiaceae,Hedwigia,ciliata,N/A,(Hedw.) P. Beauv.,Efraín De Luna,1992,Hedwigia ciliata (Hedw.) P. Beauv.,N/A,N/A,N/A,8 December 1978,1978-12-08,Ecuador,EC,Azuay,N/A,N/A,"Prov. Azuay: Area Nacional de Recreación ""Cajas"", forested hills S. of ""Turocucho"", ""Laguna Llaviuco"", S of Sayausí.","Area Nacional de Recreación ""Cajas""",Stone wall,N/A,3240 meters,3240,3240,N/A,N/A,N/A,C,78-3163,1065433,English,N/A,Typed,no type status,N/A,N/A,N/A,N/A,N/A,The plant specimen appears to be multiple small moss samples mounted on a sheet.,"No 1065433 FIELD MUSEUM OF NATURAL HISTORY CRYPTOGRAMIC HERBARIUM Hedwigia ciliata (Hedw.) P. Beauv. Det. Efrain De Luna, 1992 Duke University Herbarium BRYOPHYTA OF ECUADOR Stone wall. 3240 meters. PROV. AZUAY: Area Nacional de Recreación ""Cajas"", forested hills S. of ""Turocucho"", ""Laguna Llaviuco"", S of Sayausí. 255°S. Marko Lewis, no 78-3163 8 December 1978. Field Museum of Natural History"
https://fm-digital-assets.fieldmuseum.org/2535/382/C2079898F.jpg,C2079898F.jpg,Bryophyta of Ecuador,Marko Lewis,N/A,Bryophyta,Brachytheciaceae,Kindbergia,praelonga,N/A,(Hedw.) Ochyra,V. C. Steere,N/A,Kindbergia praelonga (Hedw.) Ochyra,N/A,N/A,N/A,21-22 November 1978,1978-11-21/1978-11-22,Ecuador,EC,Imbabura,N/A,N/A,"E. side of Cerro Cotacachi, 0°22'N, 78°20'W",east side of Cerro Cotacachi,Wet bank of run-off ravine,N/A,3750 m.,3750,3750,"0°22'N, 78°20'W",0.3667,-78.3333,Cryptogamic Herbarium,78-6284,1065158,English,N/A,Typed,no type status,N/A,N/A,N/A,N/A,Field Museum of Natural History,"The plant specimen appears to be a single moss specimen, moderately sized, mounted on a sheet without soil.","№ 1065158 FIELD MUSEUM OF NATURAL HISTORY CRYPTOGAMIC HERBARIUM Bryophyta of Ecuador, Kindbergia praelonga (Hedw.) Ochyra, Wet bank of run-off ravine, 3750 meters PROV IMBABURA: E side of Cerro Cotacachi, 0°22'N, 78°20'W Marko Lewis, no 78-6284 21-22 November 1978"
https://fm-digital-assets.fieldmuseum.org/227/835/V0075836F.jpg,V0075836F.jpg,Field Museum of Natural History - Trichipteris pinnata Stolze,S. Knapp,N/A,(Division): Pteridophyta,Dryopteridaceae,Trichipteris,pinnata,N/A,Stolze,Robert G. Stolze,1984,Trichipteris pinnata Stolze,N/A,N/A,N/A,4 July 1982,1982-07-04,Panama,PA,Colon,N/A,N/A,"Santa Rita Ridge road, 21-26 kilometers from Transisthmian Highway, Tropical wet forest",Santa Rita Ridge road,Tropical wet forest,Soil brown,500-550 meters,550,500,"9°2'25""N, 79°37'W",9.0403,-79.6167,N/A,S881,1932768,English,N/A,Typed,Holotype,N/A,N/A,N/A,Specimen label includes publication reference: (Amer. Fern J. 74(3): 1984),Missouri Botanical Garden Herbarium (MO),"The plant specimen on the sheet appears to be moderate in size, with multiple leaves mounted. There does not appear to be soil present.","N° 1932768 FIELD MUSEUM OF NATURAL HISTORY | HOLYTYPE: Trichipteris pinnata Stolze Robert G. Stolze 1984 | (P*T°) Field Museum of Natural History HOLYTYPE: Trichipteris pinnata Stolze (MO) | [Amer. Fern J. 74(3): 1984] | PANAMA Province of Colón | Santa Rita Ridge road, 21-26 km from Transisthmian Highway. Tropical wet forest. 500-550 m. | terrestrial. Soil brown. | S. Knapp S881 4 July 1982 MISSOURI BOTANICAL GARDEN HERBARIUM (MO)"
