URL,Image,title,collectedBy,secondaryCollectors,phylum,family,genus,specificEpithet,infraspecificEpithet,scientificNameAuthorship,identifiedBy,dateIdentified,otherScientificName,scientificName,associatedTaxa,verbatimEventDate,eventDate,country,countryCode,firstPoliticalUnit,secondPoliticalUnit,city,verbatimLocality,locality,Habitat,substrate,verbatimElevation,maximumElevationInMeters,minimumElevationInMeters,verbatimCoordinates,decimalLatitude,decimalLongitude,collectionCode,recordNumber,catalogNumber,language,languageRemarks,originalMethod,typeStatus,occuranceRemarks,sex,reproductiveCondition,generalNotes,expeditionFundedBy,generalInformationAboutThePlantSpecimenItself,rawFormat
https://fm-digital-assets.fieldmuseum.org/276/684/C0000578F.jpg,C0000578F.jpg,Holotype Hepaticae of New Zealand Telaranea lindenbergii var. papillata Engel & Merr.,John J. Engel,"Matt von Konrat, John E. Braggins",(Division): Marchantiophyta,Lepidoziaceae,Telaranea,lindenbergii,papillata,Engel & Merr.,N/A,N/A,N/A,N/A,"Blechnum novae-zelandiae, Weinmannia, Dicksonia squarrosa, Leptospermum scoparium",12 February 2003,2003-02-12,New Zealand,NZ,Auckland,N/A,Whareorino Forest,"Whareorino Forest, start of track to Leitch's Hut","Whareorino Forest, start of track to Leitch's Hut",N/A,clay,280 meters,280,280,"38° 24' 5"" S, 174° 49' 8"" E",-38.401389,174.818889,N/A,23773,1173554,English,N/A,Typed,holotype,N/A,N/A,"c. per. - c. sporo (perhaps meaning ""with perianth"" and ""with sporophyte"" but unsure)","Supported by the National Geographic Society, The Field Museum","National Geographic Society, The Field Museum","The herbarium sheet includes one specimen of the plant, which appears to be a moderate size, with some soil presence.","HOLOTYPE; HEPATICAE OF NEW ZEALAND; Telaranea lindenbergii var. papillata Engel & Merr.; On clayey bank; NORTH ISLAND. AUCKLAND PROV.: Whareorino Forest, start of track to Leitch's Hut. 280 meters, 38° 24' 5"" S, 174° 49' 8"" E. Clay banks with Blechnum novae-zelandiae overhang, Weinmannia and Dicksonia squarrosa dominant canopy and occasional Leptospermum scoparium. John J. Engel, Matt von Konrat & John E. Braggins. No 23773. 12 February 2003. Supported by the National Geographic Society, The Field Museum."
https://fm-digital-assets.fieldmuseum.org/444/531/C0020034F.jpg,C0020034F.jpg,Hepaticae of Eastern North America,R. M. Schuster,N/A,(Division): Marchantiophyta,(Unable to accurately determine without further research),Anastrophylum,minutum,N/A,(Authorship information is not present on the label),R. M. Schuster,N/A,Diplophyllum taxifolium,N/A,Diplophyllum taxifolium + gemmae,Aug. 17 68,1968-08-17,Canada,CA,Newfoundland and Labrador,N/A,N/A,"Along Humber River, in Squires Memorial Park, near Route 1A","Humber River, Squires Memorial Park, near Route 1A",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"COI (assumed based on common practice, not on label)",68-1644,N/A,English,N/A,Typed,no type status,N/A,N/A,With gemmae,"Specimens collected along Humber River, in Squires Memorial Park with gemmae present",N/A,N/A,"HEPATICAE OF EASTERN NORTH AMERICA Collected and Determined by R M Schuster No 68-1644 Aug 17 68 Anastrophylum minutum + gemm NEWFOUNDLAND: Along Humber R,, in Squires Memorial Park, near Rte 1A With: Diplophyllum taxifolium + gemmae 68-1644a"
https://fm-digital-assets.fieldmuseum.org/444/535/C0020052F.jpg,C0020052F.jpg,Museum Botanicum Hauniense,R. M. Schuster,K. Damsholt,(Division): N/A,N/A,Anastrophylum,minutum,grandis,(SCHREB.) SCHUST.,R. M. Schuster & K. Damsholt,N/A,Cephalozia bicuspidata (L.) DUM.,N/A,Cephalozia bicuspidata (L.) DUM.,July 3.,03-07-1982,Greenland,GL,South Greenland,N/A,N/A,Frederiksdal,Frederiksdal,N/A,N/A,N/A,N/A,N/A,"60°00'N lat., 44°40'W. long.",60.0000,-44.6667,S1,82-1049,N/A,English,N/A,Typed,no type status,N/A,N/A,N/A,N/A,N/A,N/A,"Museum Botanicum Hauniense HEPATICAE OF SOUTH GREENLAND Collected and Determined by R. M. Schuster & K. Damsholt No.82-1049 1982 Anastrophylum minutum (SCHREB.) SCHUST. Frederiksdal 60°00'N lat., 44°40'W. long. date: July 3. With: Cephalozia bicuspidata (L.) DUM."
https://fm-digital-assets.fieldmuseum.org/445/656/C0025138F.jpg,C0025138F.jpg,Hepaticae of the Nearctic,R. M. Schuster,N/A,(Division): Marchantiophyta,Frullaniaceae,Frullania,asagrayana,N/A,Mont.,N/A,N/A,Plagiochila tridenticulata Dum. (traces),N/A,Abies fraseri,June 30 1951,30-06-1951,United States,US,North Carolina,N/A,N/A,"Balsam Gap, N.C., ca. 25 miles north of Asheville, along Blue Ridge Parkway","Balsam Gap, Blue Ridge Parkway",N/A,on Abies fraseri,5220-5260 feet,1603 meters (5260 feet converted to meters),1591 meters (5220 feet converted to meters),N/A,N/A,N/A,N/A,9067,N/A,English,N/A,Typed,no type status,N/A,Male,can per. (short for Can Perianth),N/A,N/A,N/A,"HEPATICAE OF THE NEARCTIC Collected by R. M. Schuster No9067 Frullania asagrayana Mont., male, can per. Plagiochila tridenticulata Dum. (traces) Balsam Gap, N.C., ca. 25 miles north of Asheville, along Blue Ridge Parkway, 5220-5260 feet on Abies fraseri Occurring with:"
https://fm-digital-assets.fieldmuseum.org/409/473/C0025164F.jpg,C0025164F.jpg,Hepaticae of Eastern North America,R. M. Schuster,N/A,(Division): Marchantiophyta,Frullaniaceae,Frullania,asagrayana,N/A,Mont.,R. M. Schuster,N/A,N/A,N/A,N/A,April 14 1979,1979-04-14,United States of America,US,Arkansas,Stone County,N/A,"Ozark Natl. Forest. Barkshed Camp, ca. 10 mi E. of Big Flat.","Ozark National Forest, Barkshed Camp",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,79-488,N/A,English,N/A,Typed,no type status,N/A,N/A,N/A,N/A,N/A,N/A,"HEPATICAE OF EASTERN NORTH AMERICA Collected and Determined by R. M. Schuster No. 79-488 April 14 1979 Frullania asagrayana ARKANSAS: Stone Co.: Ozark Natl. Forest. Barkshed Camp, ca. 10 mi E. of Big Flat."
https://www.pteridoportal.org/imglib/fern/F/C0045/C0045536F_1586622756_web.jpg,C0045536F_1586622756_web.jpg,Flora of the United States of America,Thomas G Lammers,N/A,(Division): Pteridophyta,Dryopteridaceae,Dryopteris,carthusiana,N/A,(Vill.) H.P. Fuchs,Thomas G. Lammers,N/A,N/A,N/A,N/A,9 May 1998,1998-05-09,United States of America,US,Illinois,Cook,N/A,"Cook Co.: Palos Twp. Swallow Cliff Woods Forest Preserve, southwest of the int. of US Hwy 45 and State Hwy 83. Local in mesic maple-basswood forest on steep slopes of deep ravine south of toboggan run.","Swallow Cliff Woods Forest Preserve, Palos Township",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10674,2228497,English,N/A,Typed,no type status,N/A,N/A,N/A,N/A,N/A,"Appears to be a single moderate-sized plant specimen mounted on a sheet, with roots attached.","FLORA OF THE UNITED STATES OF AMERICA Field Museum of Natural History Dryopteris carthusiana (Vill.) H.P. Fuchs ILLINOIS: Cook Co.: Palos Twp. Swallow Cliff Woods Forest Preserve, southwest of the int. of US Hwy 45 and State Hwy 83. Local in mesic maple-basswood forest on steep slopes of deep ravine south of toboggan run. Thomas G. Lammers 10674 9 May 1998"
https://fm-digital-assets.fieldmuseum.org/1086/214/C0644079F.jpg,C0644079F.jpg,Field Museum of Natural History Herbarium Specimen,A. Monteagudo,"C. Mateo, G. Ortiz",(Division): Pteridophyta,Blechnaceae,Blechnum,occidentale,N/A,L.,H. van der Werff,2005,N/A,N/A,N/A,10 Abril 2003,10-04-2003,Peru,PE,Pasco,Oxapampa,N/A,"Distrito Pozuzo, Parque Nacional Yanachaga Chemillen Pozuzo Sector Pan de Azúcar, Zona de Recuperación","Distrito Pozuzo, Parque Nacional Yanachaga Chemillen, Pozuzo Sector Pan de Azúcar, Zona de Recuperación",N/A,N/A,1100-1250m,1250,1100,"10°15' S, 75°13' W",-10.25,-75.21666667,MISSOURI BOTANICAL GARDEN HERBARIUM (MO),4909,2287355,Spanish,N/A,Handwritten,no type status,N/A,not indicated on the label,soros marrones (brown sori),Identified by H. van der Werff in 2005,N/A,"The plant specimen appears to be a single terrestrial fern, pressed and mounted on a herbarium sheet without soil. The specimen size looks moderate.","BLECHNACEAE Blechnum occidentale L. Det. H. van der Werff (MO), 2005 PASCO: Oxapampa Distrito Pozuzo, Parque Nacional Yanachaga Chemillen Pozuzo Sector Pan de Azúcar, Zona de Recuperación. Bosque ribereño. 1100-1250m 10°15' S, 75°13' W Helecho terrestre adpreso a la roca, soros marrones. 10 Abril 2003 A. Monteagudo, C. Mateo, G. Ortiz. 4909 MISSOURI BOTANICAL GARDEN HERBARIUM (MO)"
https://fm-digital-assets.fieldmuseum.org/2537/873/C2077559F.jpg,C2077559F.jpg,Bryophyta of Ecuador,Marko Lewis,N/A,(Division): Bryophyta,Hedwigiaceae,Hedwigia,ciliata,N/A,(Hedw.) P. Beauv.,Efraín De Luna,1992,N/A,N/A,N/A,8 December 1978,1978-12-08,Ecuador,EC,Azuay,N/A,N/A,"Area Nacional de Recreación ""Cajas"", forested hills of ""Surocucho"" (Laguna Llaviucu), S of Sayausí","Area Nacional de Recreación ""Cajas"", S of Sayausí",N/A,stone wall,3240 m.,3240,3240,N/A,N/A,N/A,Cryptogamic Herbarium,70-3163,1065433,English,N/A,Typed,no type status,N/A,N/A,N/A,N/A,N/A,The plant specimen looks moderate in size and consists of multiple fragments mounted on a sheet. There is soil present at the base of the specimens.,"N° 1065433 FIELD MUSEUM OF NATURAL HISTORY CRYPTOGAMIC HERBARIUM Hedwigia ciliata (Hedw.) P. Beauv. Det. Efraín De Luna, 1992 Duke University Herbarium BRYOPHYTA OF ECUADOR Hedwigia ciliata (Hedw.) P. Beauv. Stone wall. 3240 m. PROV. AZUAY: Area Nacional de Recreación ""Cajas"", forested hills of ""Surocucho"" (Laguna Llaviucu), S of Sayausí, 255°S. Marko Lewis, no. 70-3163 8 December 1978 Field Museum of Natural History"
https://fm-digital-assets.fieldmuseum.org/2535/382/C2079898F.jpg,C2079898F.jpg,Bryophyta of Ecuador,Marko Lewis,N/A,(Division): Bryophyta,Brachytheciaceae,Kindbergia,praelonga,N/A,(Hedw.) Ochyra,V. C. Steere,N/A,N/A,N/A,N/A,21-22 November 1978,21-11-1978/22-11-1978,Ecuador,EC,Imbabura,N/A,N/A,"E. side of Cerro Cotacachi, 02°02'N, 78°20'W",East side of Cerro Cotacachi,N/A,N/A,3750 m.,3750,3750,"02°02'N, 78°20'W",+2.03333,-78.33333,Field Museum of Natural History Cryptogamic Herbarium,768-824,1065158,English,N/A,Typed,no type status,N/A,N/A,N/A,N/A,N/A,The herbarium sheet contains a single plant specimen mounted on white paper.,"N° 1065158 FIELD MUSEUM OF NATURAL HISTORY CRYPTOGAMIC HERBARIUM BRYOPHYTA OF ECUADOR Kindbergia praelonga (Hedw) Ochyra Wet bank of runoff ravine 3750 m. PROV IMBABURA E side of Cerro Cotacachi 02°02'N 78°20'W Marko Lewis, no 768-824 21-22 November 1978"
https://fm-digital-assets.fieldmuseum.org/227/835/V0075836F.jpg,V0075836F.jpg,Trichipteris pinnata Stolze ,S. Knapp,N/A,(Division): Pteridophyta,Dryopteridaceae,Trichipteris,pinnata,N/A,Stolze,Robert G. Stolze,1984,N/A,N/A,N/A,4 July 1982,1982-07-04,Panama,PA,Colón,N/A,N/A,"Santa Rita Ridge road, 21-26 km from Transisthmian Highway","Santa Rita Ridge road, 21-26 kilometers from Transisthmian Highway",N/A,Terrestrial,500-550 m,550,500,"9°25'N, 79°37'W",9.41667,-79.61667,Field Museum of Natural History,S881,1932768,English,N/A,Mix of Handwritten and Typed,Holotype,N/A,N/A,N/A,N/A,Missouri Botanical Garden Herbarium (MO),The specimen appears to be a single moderately sized mounted fern specimen. No soil is visible.,"NO 1932768 FIELD MUSEUM OF NATURAL HISTORY | Trichipteris pinnata Stolze | Robert G. Stolze | 1984 | (PHTO) | Field Museum of Natural History | HOLOTYPE: | Trichipteris pinnata Stolze | (MO) | [Amer. Fern J., 74 (3): 1984] | PANAMA Province of Colón | Santa Rita Ridge road, 21-26 km from Transisthmian Highway. Tropical wet forest. 500-550 m. | Terrestrial. Sori brown. | S. Knapp | S881 | 4 July 1982 | MISSOURI BOTANICAL GARDEN HERBARIUM (MO) "
