Image,Title,ID,Barcode,Collected by,Scientific name,Date collected,Country,State/Province,County,Locality,Elevation,Collection name,Collection Number,Latitude and Longitude,Additional Notes
C0020028F.jpg,HEPATICAE OF EASTERN NORTH AMERICA,68-1666,N/A,R. M. Schuster,Anastrophyllum minutum (Cr.) Schust.,"Aug. 17, 1968",Canada,Newfoundland,N/A,"Along Humber R., in Squires Memorial Park, near Rte 1A",N/A,N/A,68-1666,N/A,N/A
C0020034F.jpg,HEPATICAE OF EASTERN NORTH AMERICA,N/A,N/A,R. M. Schuster,Anastrophylum minutum + gemm.,Aug. 17 1968,Canada,Newfoundland,N/A,"Along Humber R., in Squires Memorial Park, near Rte 1A.",N/A,N/A,68-1644,N/A,With: Diplophyllum taxifolium + gemmae 68-1644a
C0020040F.jpg,HEPATICAE OF EASTERN NORTH AMERICA,N/A,N/A,R. M. Schuster,Anastrophylum minutum; Mylia taylori,"Aug. 17, 1968",Canada,Newfoundland and Labrador,N/A,"Along Humber River, Squires Memorial Park, near Route 1A",N/A,N/A,68-1660b,N/A,"Associates with Diplophyllum taxifolium 68-1660,a"
C0020052F.jpg,Museum Botanicum Hauniense,82-1049,N/A,R. M. Schuster & K. Damsholt,Anastrophylum minutum (SCHREB.) SCHUST. var. grandis (GOTT.) SCHUST.,"July 3, 1982",Greenland,South Greenland,N/A,Frederiksdal,N/A,HEPATICAE OF SOUTH GREENLAND,S1,"60Â°00'N lat., 44Â°40'W. long.",With: Cephalozia bicuspidata (L.) DUM.
C0020064F.jpg,Museum Botanicum Hauniense,82-1482,N/A,R. M. Schuster & K. Damsholt,Anastrophylum minutum (SCHREB.) SCHUST.,"July 22, 1982",Greenland,South Greenland,N/A,"Pamialdluk: Anordliuitsq, south and west of lake",N/A,HEPATICAE OF SOUTH GREENLAND,N/A,"60Â°04'N, 44Â°16'W",With: Lophozia ventricosa (DICKS.) DUM.
C0020083F.jpg,HEPATICAE OF EASTERN NORTH AMERICA,45793b,N/A,R. M. Schuster,Anastrophylum minutus ssp. grandis (Ldb.) Schust.,Aug. 2 1960,Greenland,Northwest Greenland,N/A,"Kangerdluarssuk, W. side of Bowdoin Bay, Inglefield Bay",N/A,N/A,c.gem.,N/A,"Collected in damp peaty soil, between and amidst rocks, with Cassiope tetragona. Accompanying species include Lophozia ventricosa (45793), Tritomaria quinquedentata & Phepharostoma trichophyllum brevirete (in 45793c), and Lophozia aff. ad L. pellucida (45793a)."
C0025138F.jpg,HEPATICAE OF THE NEARCTIC,9067,N/A,R. M. Schuster,"Frullania asagrayana Mont., male, can per. | Plagiochila tridenticulata Dum. (traces)","June 30, 1951",United States,North Carolina,N/A,"Balsam Gap, ca. 25 mi. n. of Asheville, along Blue Ridge Parkway",5220-5260 feet,N/A,N/A,N/A,Occurring with: Abies fraseri
C0025161F.jpg,Frullania asagrayana Mt.,#1303f,N/A,R. M. Schuster,Frullania asagrayana,"Sept. 5, 1947",USA,Minnesota,Cook,"On dry, shaded, north facing high cliffs, 1.5 miles west of Pigeon Point",N/A,N/A,N/A,N/A,pH 4.2
C0025164F.jpg,HEPATICAE OF EASTERN NORTH AMERICA,N/A,N/A,R. M. Schuster,Frullania asagrayana,"April 14, 1979",United States of America,Arkansas,Stone Co.,"Ozark National Forest, Barkshed Camp, approximately 10 miles East of Big Flat",N/A,N/A,79-488,N/A,N/A
C0076121F.jpg,HEPATICAE OF EASTERN UNITED STATES,45179,C0076121F,R. M. Schuster,Frullania eboracensis Go.,"June 14, 1960",United States,South Carolina,Oconee,"Thompson R. near mouth of gorge; ca 3.5-4 mi above Jocassee, ca 2-2.5 mi above confluence with Whitewater R.;",N/A,N/A,N/A,N/A,"Common on bark of Liriodendron tulipifera. With: Frullania brittoniae (45179; with (3)4-6(7-9) oil-bodies per cell); Leucol (part of name cut off, likely Leucoljeunea or similar) uniloba (45179b) (In part with gradation from trigonous perianth to subsp virginica type perianth) (in small part with caducous leaves)"
